names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MT-ND2,6.370229,0.5217595,1.8874619115712567e-10,5.617464141218374e-06,1.0
MT-ND3,5.4810257,0.41790238,4.22867101489836e-08,0.0006292685337270249,1.0
MT-ND4L,5.3523555,0.7231433,8.681656447460502e-08,0.0008612781972977315,0.9705882352941176
MT-ND1,5.037618,0.44847313,4.713604318488287e-07,0.00350715729317121,1.0
PSMB4,3.5815692,0.6321111,0.0003415367356272794,1.0,0.7794117647058824
SUMF2,3.468708,0.60007954,0.0005229675582376484,1.0,0.7352941176470589
NTAN1,3.3823466,0.92523694,0.0007186939214275436,1.0,0.5735294117647058
PUS7L,3.215955,0.82865745,0.0013001116367318331,1.0,0.5588235294117647
PFN2,3.1279256,0.5370994,0.001760446803258536,1.0,0.8676470588235294
LPP,2.9976635,0.4749883,0.002720579872831647,1.0,0.8235294117647058
UPP1,2.79537,1.1757895,0.005184032976431175,1.0,0.38235294117647056
PDLIM4,2.7639797,0.45571098,0.005710107969381758,1.0,0.8382352941176471
NDUFA6,2.690546,0.50014794,0.007133517945792122,1.0,0.75
LYL1,2.677846,0.5983187,0.007409730036126718,1.0,0.6470588235294118
DIAPH1,2.5600183,0.5571433,0.010466662019305508,1.0,0.6176470588235294
MEIS2,2.518809,0.67478013,0.011775247568598808,1.0,0.5588235294117647
VAMP2,2.509028,0.5266324,0.012106386598241842,1.0,0.6911764705882353
CDC27,2.4953423,0.656005,0.012583571800481039,1.0,0.5294117647058824
MRPS9,2.488594,0.9893065,0.012824932330582184,1.0,0.4117647058823529
SMARCE1,2.4409778,0.4408401,0.014647556917070923,1.0,0.7647058823529411
FKBP10,2.4354048,0.5803044,0.014875136830357117,1.0,0.6470588235294118
MT-CO3,2.4255102,0.14998294,0.015286892272332335,1.0,1.0
CCT2,2.4156153,0.40676633,0.01570864925514218,1.0,0.7352941176470589
METRNL,2.4134922,0.7729812,0.015800463596479245,1.0,0.45588235294117646
PPP1CB,2.3920345,0.4208944,0.016755262210174135,1.0,0.7352941176470589
MT-ND5,2.388471,0.28693247,0.016918644685187043,1.0,1.0
PDLIM3,2.3872957,0.40547037,0.016972831893737217,1.0,0.8676470588235294
ATP6V1G1,2.3849452,0.36775738,0.017081663394760593,1.0,0.8823529411764706
MAX,2.3806992,0.67623454,0.017279814986025623,1.0,0.4852941176470588
BNIP2,2.3712595,0.54177004,0.017727586106252486,1.0,0.6029411764705882
ATP6AP2,2.360834,0.46723187,0.01823389883841181,1.0,0.75
SAT2,2.357005,0.52756816,0.01842300791510741,1.0,0.6617647058823529
MRPL57,2.3525693,0.33301583,0.018644219039648788,1.0,0.8970588235294118
NFKBIL1,2.342068,1.14274,0.019177227290548562,1.0,0.3088235294117647
CCDC50,2.314772,0.3312033,0.0206254171981487,1.0,0.8088235294117647
GNB1,2.3039293,0.36231905,0.02122660879952047,1.0,0.8529411764705882
COMMD2,2.2223828,0.7102457,0.026257451183246055,1.0,0.45588235294117646
METTL22,2.208583,1.1667461,0.02720365068561281,1.0,0.29411764705882354
KIF1B,2.1836755,0.6714852,0.028986096308910442,1.0,0.47058823529411764
CRTAP,2.183031,0.38977465,0.02903352125580543,1.0,0.9117647058823529
YWHAE,2.1828036,0.23005405,0.029050275410361363,1.0,1.0
PPP2CB,2.1724539,0.38312143,0.02982144310185366,1.0,0.7941176470588235
CCNI,2.1529298,0.24114504,0.031324202396050306,1.0,1.0
TFPI,2.127681,0.3057332,0.0333635437199401,1.0,0.9705882352941176
MT-ATP6,2.1218426,0.11140958,0.03385095196242335,1.0,1.0
DPP7,2.1193786,0.5342085,0.03405849618367273,1.0,0.5735294117647058
GNL3L,2.117066,0.6857693,0.03425425686932981,1.0,0.45588235294117646
ARF1,2.113616,0.32937482,0.034548080138947085,1.0,0.8529411764705882
ZFAND1,2.1069057,0.7145303,0.03512575237316449,1.0,0.45588235294117646
SNHG16,2.1060338,0.28587085,0.03520141904396524,1.0,0.9117647058823529
ITM2B,2.1026976,0.23504472,0.03549221207868998,1.0,0.9852941176470589
EMG1,2.0995889,0.83028686,0.035765020557690125,1.0,0.39705882352941174
EIF3M,2.0937505,0.34266493,0.03628220329679488,1.0,0.7941176470588235
TKT,2.0929923,0.15710147,0.03634983528870767,1.0,1.0
PPIA,2.0860167,0.12496482,0.03697710636562784,1.0,1.0
FAM126A,2.0698667,0.44207332,0.038464834387455356,1.0,0.6470588235294118
COL4A5,2.036088,0.4283019,0.04174152833621099,1.0,0.6029411764705882
EGLN1,2.0348747,0.98979867,0.04186347634763709,1.0,0.3235294117647059
DHX9,2.0272167,0.49873337,0.04264025293899115,1.0,0.5294117647058824
MT-ND4,2.0213406,0.11058345,0.043244527372092376,1.0,1.0
TMED5,2.021227,0.626913,0.043256294023083494,1.0,0.47058823529411764
EML1,2.0176632,0.68401355,0.043626355178790564,1.0,0.39705882352941174
SETD5,2.0104222,0.5966913,0.04438652896406622,1.0,0.5
GRAMD1A,2.0058348,0.76187015,0.044873865038073585,1.0,0.36764705882352944
GALNT10,1.9901397,0.76195204,0.04657554434171213,1.0,0.38235294117647056
WAC-AS1,1.9812306,0.82218283,0.04756541398585408,1.0,0.35294117647058826
UQCRFS1,1.9660283,0.3056516,0.04929533926283004,1.0,0.7794117647058824
LRPPRC,1.9654976,0.44906816,0.04935667705986175,1.0,0.6029411764705882
SERPINB9,1.9642465,0.4945008,0.049501512405288,1.0,0.5
TMX3,1.9629954,0.4369728,0.04964670410647941,1.0,0.5882352941176471
PRMT1,1.9587115,0.36653548,0.05014658391929997,1.0,0.75
UQCRC2,1.956399,0.44368887,0.05041817951012499,1.0,0.6764705882352942
AHNAK2,1.9520391,0.52491003,0.050933556782956975,1.0,0.5882352941176471
ATR,1.9438883,0.7210358,0.05190892524193544,1.0,0.38235294117647056
TNKS,1.9322875,0.7579353,0.05332403033883154,1.0,0.39705882352941174
VIM,1.9300128,0.06991857,0.053605247030871064,1.0,1.0
CEMIP2,1.9222032,0.57606304,0.05458019869442862,1.0,0.4264705882352941
ERCC1,1.9137869,0.40048796,0.05564738800192572,1.0,0.6323529411764706
EIF3A,1.9127254,0.25164843,0.055783214853135685,1.0,0.8970588235294118
COMT,1.9078349,0.3454864,0.05641256060078607,1.0,0.7794117647058824
TRIM38,1.902641,0.57346636,0.0570873960365255,1.0,0.4264705882352941
RAB31,1.8974851,0.52510935,0.057763934092518926,1.0,0.5
PDS5A,1.8971819,0.45371604,0.05780393712052535,1.0,0.5735294117647058
SRRM1,1.8883865,0.30639428,0.05897407929008225,1.0,0.8970588235294118
LAMP1,1.887325,0.33059758,0.05911662401156061,1.0,0.7647058823529411
NUMB,1.8872871,0.37926644,0.05912172017901196,1.0,0.6470588235294118
MYOF,1.8833065,0.33788225,0.0596588505976963,1.0,0.7794117647058824
STK3,1.8829273,0.7746999,0.05971021633471264,1.0,0.36764705882352944
CLU,1.8799703,0.32793596,0.06011212939919477,1.0,0.7647058823529411
RPS25,1.8765962,0.08790414,0.060573459792475234,1.0,1.0
AIDA,1.872426,0.506116,0.06114769388540758,1.0,0.5294117647058824
MRPS26,1.8723881,0.3411508,0.061152934804216456,1.0,0.7352941176470589
CTBP1,1.8686348,0.42835954,0.06167363039515488,1.0,0.5588235294117647
SHARPIN,1.8667772,0.53900486,0.06193270305448219,1.0,0.4852941176470588
DUSP3,1.857072,0.7883706,0.06330090996122356,1.0,0.35294117647058826
LUC7L3,1.8569583,0.33980414,0.06331709052130957,1.0,0.7352941176470589
EEF2,1.8569204,0.14789927,0.06332248480079221,1.0,1.0
PKN1,1.8504754,0.40432572,0.0642450476545504,1.0,0.6029411764705882
DDX50,1.850248,0.55379534,0.06427781036581971,1.0,0.45588235294117646
TOX2,1.8487316,0.34945673,0.06449658109408238,1.0,0.6029411764705882
FBH1,1.8456987,0.7656721,0.06493596631683896,1.0,0.3382352941176471
RPS16,1.845585,0.08097739,0.0649524911825652,1.0,1.0
NDUFB4,1.8442581,0.25739864,0.06514553773849954,1.0,0.9411764705882353
RPL26,1.8428553,0.07619579,0.06535012984368493,1.0,1.0
RRBP1,1.8415285,0.28237924,0.06554415028939299,1.0,0.8970588235294118
CAST,1.8398225,0.19100614,0.06579430273445895,1.0,0.9705882352941176
TBL1XR1,1.8355764,0.40322995,0.0664203224353124,1.0,0.6911764705882353
DDX3X,1.8328848,0.27703616,0.06681970927907263,1.0,0.7647058823529411
ZMYM6,1.822535,1.1903428,0.06837383951576585,1.0,0.23529411764705882
TCEA1,1.8210565,0.30075023,0.06859826478170741,1.0,0.9411764705882353
LY96,1.8200709,0.33852762,0.06874821770891562,1.0,0.7205882352941176
GBGT1,1.8189335,1.5808597,0.06892157492213069,1.0,0.19117647058823528
ATP1A1,1.8102139,0.43159854,0.07026261195685267,1.0,0.5735294117647058
SLC25A37,1.8074086,0.30674782,0.0706986012138515,1.0,0.7352941176470589
PRR12,1.8010774,0.9615691,0.07169067954302413,1.0,0.29411764705882354
CPNE1,1.8004329,0.29008183,0.07179230607600201,1.0,0.7794117647058824
TNFRSF10B,1.79232,0.40296915,0.07308172740695919,1.0,0.5588235294117647
TMEM259,1.7875432,0.6306511,0.07384974093736026,1.0,0.38235294117647056
TRAP1,1.787202,0.44381753,0.0739048506011852,1.0,0.5
CLCC1,1.7870504,0.7759663,0.07392935457449001,1.0,0.3088235294117647
MUS81,1.7810982,0.9311741,0.07489639404059183,1.0,0.2647058823529412
POLR2E,1.7801505,0.42850235,0.0750513305041674,1.0,0.5735294117647058
TNPO3,1.7796956,0.8170142,0.07512579291795651,1.0,0.35294117647058826
NDUFAF4,1.7775346,0.71611804,0.07548031359304314,1.0,0.36764705882352944
TPPP3,1.7716584,0.37903616,0.07645127099847043,1.0,0.6029411764705882
ARPC1A,1.7692701,0.3386383,0.0768488184323637,1.0,0.7794117647058824
SLC7A2,1.767602,0.77528346,0.07712746878358646,1.0,0.3088235294117647
SLC44A1,1.7672987,0.4765718,0.07717822083718598,1.0,0.5588235294117647
POMGNT1,1.7663509,0.67382884,0.07733699642974982,1.0,0.35294117647058826
SELENOM,1.7632802,0.36565745,0.07785325820571926,1.0,0.6323529411764706
KHSRP,1.7592236,0.5062221,0.0785395322690807,1.0,0.47058823529411764
RANBP1,1.7564561,0.21332245,0.0790105569284647,1.0,0.8088235294117647
SRP68,1.7480778,0.7028285,0.08045055906021752,1.0,0.38235294117647056
YES1,1.7478882,0.3215722,0.08048338327418218,1.0,0.6764705882352942
SUPV3L1,1.7427323,1.0611244,0.08138038162316696,1.0,0.23529411764705882
POGLUT3,1.7422395,0.58509076,0.08146654727817375,1.0,0.39705882352941174
NDUFB10,1.7393962,0.26023233,0.08196510347163083,1.0,0.9117647058823529
DDB1,1.7317381,0.43651426,0.08332019843478013,1.0,0.5294117647058824
MRPL33,1.7310178,0.26855305,0.08344858619128835,1.0,0.8529411764705882
MAPK6,1.7304492,0.6206915,0.08355005808815354,1.0,0.4264705882352941
ARPC2,1.7285916,0.1871808,0.0838822295035846,1.0,1.0
FADS3,1.7281744,0.45512068,0.08395694535273832,1.0,0.5147058823529411
ESD,1.7265443,0.29846093,0.0842495334866759,1.0,0.7647058823529411
HPS4,1.7171423,1.0374408,0.08595316013116511,1.0,0.25
PPP2R5A,1.7121761,0.7584568,0.0868642322620288,1.0,0.3088235294117647
SURF4,1.7111145,0.5403038,0.08705997293220116,1.0,0.5
ATP5F1D,1.7038356,0.1934736,0.08841180346473872,1.0,0.9852941176470589
ATRAID,1.7016747,0.29826638,0.0888163694912212,1.0,0.7794117647058824
NDUFAF1,1.7012577,0.8771132,0.08889461508987052,1.0,0.25
BLOC1S4,1.695988,0.69862294,0.08988814800501689,1.0,0.35294117647058826
DDX1,1.695609,0.3623707,0.08995996848960057,1.0,0.5882352941176471
CTDSP2,1.6941683,0.95340663,0.09023330768196766,1.0,0.27941176470588236
RNF10,1.692993,0.4251668,0.09045678958022803,1.0,0.5441176470588235
ARL3,1.6917799,0.39081034,0.09068794744644547,1.0,0.5882352941176471
SEL1L3,1.6916282,0.45153657,0.09071687555902129,1.0,0.4852941176470588
NUTF2,1.6906426,0.277032,0.09090508925128125,1.0,0.8088235294117647
DPY30,1.6897327,0.3737986,0.09107910357699697,1.0,0.6029411764705882
ARFGEF1,1.6850318,0.5086587,0.09198244876180345,1.0,0.5147058823529411
PSMG2,1.6821884,0.38059482,0.09253231120877814,1.0,0.5588235294117647
UBE2A,1.6818472,0.43913072,0.0925984717008533,1.0,0.5147058823529411
INTS6,1.6786627,0.5237303,0.09321780283800545,1.0,0.4117647058823529
NSRP1,1.6760089,0.37407386,0.0937364474765365,1.0,0.6029411764705882
KCTD12,1.6739997,0.33453622,0.09413067311267978,1.0,0.6911764705882353
SRPX2,1.6730897,0.5120351,0.09430962711991066,1.0,0.45588235294117646
HIC1,1.6730139,0.64169097,0.09432455225622596,1.0,0.3382352941176471
ZCCHC10,1.6690712,0.7089323,0.09510327205739635,1.0,0.36764705882352944
TOMM22,1.6643702,0.28182077,0.09603846709384195,1.0,0.7205882352941176
ZDHHC16,1.6583803,0.7086404,0.0972407346217433,1.0,0.29411764705882354
RTL8C,1.6575463,0.29065424,0.09740908918969855,1.0,0.7205882352941176
EIF4B,1.6547787,0.23070465,0.09796938998173217,1.0,0.8676470588235294
TIAL1,1.6541343,0.43299758,0.09810023991214677,1.0,0.5
PRKAR2A,1.6536034,0.31653947,0.09820810347200705,1.0,0.6470588235294118
TNFSF12,1.6526178,0.5922244,0.09840867281998246,1.0,0.38235294117647056
RPS9,1.6456801,0.0725395,0.09982964186171518,1.0,1.0
MMRN2,1.6429505,0.4257567,0.10039317780986368,1.0,0.5735294117647058
GSK3A,1.6416236,0.75452393,0.10066803335619569,1.0,0.3235294117647059
