names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RRP36,3.6832013,0.6494582,0.0002303230616186564,1.0,0.5797101449275363
CEP170,2.9401557,0.34431925,0.003280473345069592,1.0,0.7971014492753623
MCUR1,2.8867862,0.64023244,0.003891984267522015,1.0,0.4420289855072464
XPC,2.8387327,0.4389879,0.004529307544116137,1.0,0.6376811594202898
MAPRE2,2.7299047,0.5088106,0.006335263874690443,1.0,0.4855072463768116
ZFR,2.706129,0.49101415,0.0068072570082824335,1.0,0.5507246376811594
MTPN,2.695577,0.2139462,0.007026685417686467,1.0,0.927536231884058
PPP1R10,2.5899754,0.6412936,0.009598280347228207,1.0,0.43478260869565216
MGAT4B,2.5773075,0.4706885,0.009957335530008658,1.0,0.5579710144927537
TIMP2,2.5102386,0.35980758,0.01206495959287777,1.0,0.6884057971014492
TRIP11,2.4772067,0.5057692,0.01324151725948967,1.0,0.4855072463768116
IFNAR1,2.4547007,0.4589389,0.014100195672375625,1.0,0.5144927536231884
PHF10,2.4474013,0.72752315,0.014389050843192197,1.0,0.3333333333333333
SMC5,2.4107463,0.7975112,0.015919919532132162,1.0,0.32608695652173914
NARS,2.3997445,0.32080457,0.01640652112316697,1.0,0.8043478260869565
MRPS10,2.3832417,0.41149616,0.01716092150946434,1.0,0.572463768115942
PPHLN1,2.3798037,0.50039786,0.017321864547628518,1.0,0.5
DAG1,2.369939,0.57992846,0.017791017657402465,1.0,0.43478260869565216
VDAC3,2.3476446,0.30680168,0.018892542878645897,1.0,0.7608695652173914
METAP2,2.3154325,0.22460757,0.02058927650262412,1.0,0.855072463768116
CEBPD,2.3134224,0.6503342,0.020699420182186214,1.0,0.4057971014492754
CCT7,2.304748,0.30148482,0.021180690323182583,1.0,0.7463768115942029
STIP1,2.2940106,0.37920514,0.02178988629768719,1.0,0.644927536231884
MSN,2.29327,0.2391824,0.021832456322834384,1.0,0.8985507246376812
FKBP14,2.275498,0.4026235,0.02287607294567856,1.0,0.5579710144927537
BLOC1S6,2.2708697,0.418096,0.02315485939570353,1.0,0.5797101449275363
MTCH1,2.2185054,0.3343385,0.026520390611666052,1.0,0.6884057971014492
CD55,2.1907628,0.18804656,0.02846895755674407,1.0,0.9420289855072463
