names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ASAP1,3.0793865,0.3696829,0.0020742747387074638,1.0,0.9484536082474226
CLPTM1,2.8587496,1.0437036,0.0042531446400154195,1.0,0.36082474226804123
SNAP23,2.8488083,0.5043383,0.004388330468591023,1.0,0.6494845360824743
GSPT1,2.7779856,0.4030687,0.005469706209952334,1.0,0.8556701030927835
ABCC3,2.692599,0.68741864,0.0070897459218902436,1.0,0.5257731958762887
PITPNA,2.6908896,0.6547293,0.007126179695161012,1.0,0.5463917525773195
SRPX2,2.6630607,0.6072117,0.007743347701883953,1.0,0.5154639175257731
SERPINE1,2.596385,0.2221164,0.009421040679934217,1.0,0.9896907216494846
ACSL4,2.5797322,0.42572466,0.009887699530356142,1.0,0.711340206185567
RND3,2.5318308,0.44175056,0.01134687102947005,1.0,0.6804123711340206
AHCYL1,2.51331,0.39566576,0.011960421727489519,1.0,0.7319587628865979
NIP7,2.5040019,0.6484303,0.012279736281618076,1.0,0.44329896907216493
CDH2,2.473862,0.5644926,0.013366137342936004,1.0,0.5360824742268041
UQCR10,2.4686062,0.26082864,0.01356403495357074,1.0,0.9690721649484536
NR2F1,2.4519217,0.3795955,0.014209560508015365,1.0,0.7938144329896907
TNPO1,2.4242826,0.32033786,0.015338661421890767,1.0,0.7938144329896907
SNW1,2.4197552,0.52520627,0.015530953576594736,1.0,0.6082474226804123
SSNA1,2.4140248,0.43403885,0.01577738403011843,1.0,0.6494845360824743
ATP5MG,2.4089594,0.18379016,0.015998080187615806,1.0,0.9587628865979382
SNU13,2.4083579,0.27699754,0.01602446730875886,1.0,0.9381443298969072
SSR2,2.3719807,0.28184623,0.017693012839949403,1.0,0.9175257731958762
SH3KBP1,2.3687515,0.47257525,0.017848243504880346,1.0,0.6804123711340206
SYAP1,2.3554227,0.34192178,0.018501646534815706,1.0,0.7319587628865979
BEX4,2.3124287,0.5475325,0.02075406821651177,1.0,0.4742268041237113
ATP6V1E1,2.2947943,0.47086793,0.021744918200522323,1.0,0.6185567010309279
DCTN2,2.294541,0.41141114,0.021759444298456512,1.0,0.6907216494845361
HTT,2.2921033,0.85978657,0.0218996903616103,1.0,0.35051546391752575
FDX2,2.2877657,0.66458863,0.02215116429916643,1.0,0.41237113402061853
HMGA1,2.2672503,0.18094748,0.02337494194515804,1.0,0.9587628865979382
POLR2J3,2.253795,0.4890861,0.024209075981918824,1.0,0.5670103092783505
FAM120A,2.2384083,0.32642233,0.02519444628733384,1.0,0.7938144329896907
PPP4R3A,2.2254593,0.66026276,0.026050414967208637,1.0,0.41237113402061853
SEC14L1,2.2147267,0.35345593,0.026778827421538778,1.0,0.7010309278350515
ADAM9,2.1956992,0.25826228,0.02811347981352986,1.0,0.8762886597938144
CDKN1A,2.1908236,0.31885237,0.028464559645387147,1.0,0.9175257731958762
CRIP2,2.1730626,0.14513354,0.02977561496176448,1.0,0.9690721649484536
MAPKAP1,2.1707196,0.44495258,0.029952370138860696,1.0,0.5567010309278351
DDIT4,2.1456134,0.42577827,0.03190382973061317,1.0,0.5876288659793815
GLO1,2.1412127,0.27266163,0.03225688407626437,1.0,0.7938144329896907
CHMP3,2.1342793,0.3640602,0.03281992646572655,1.0,0.7525773195876289
NDUFAF8,2.132443,0.2639136,0.032970444617249364,1.0,0.845360824742268
PRPF6,2.1254778,0.40555725,0.03354675909227073,1.0,0.7422680412371134
NARF,2.1122758,0.7921884,0.03466280487793346,1.0,0.35051546391752575
MAP3K20,2.0956545,0.45530915,0.03611286207968903,1.0,0.5773195876288659
USP9X,2.0872328,0.43557498,0.03686708888379043,1.0,0.5360824742268041
FAM234A,2.0848584,0.53993887,0.0370821561328231,1.0,0.4948453608247423
NOL4L,2.0735242,0.44981775,0.038123521108276444,1.0,0.4742268041237113
CDC123,2.0713081,0.38131618,0.038330020344122646,1.0,0.5979381443298969
PSMA6,2.0582643,0.35741702,0.03956477887593726,1.0,0.6907216494845361
SKP1,2.057441,0.18706799,0.03964382037238471,1.0,0.9587628865979382
UBE2R2,2.04636,0.32738006,0.04072095172551305,1.0,0.6597938144329897
MRPL20,2.0273643,0.28728572,0.04262517265770864,1.0,0.8247422680412371
ZFAND5,2.0263195,0.37726387,0.04273205394406599,1.0,0.5876288659793815
DMAC1,2.0147004,0.4240705,0.043936053247912304,1.0,0.6391752577319587
PPP2R5E,2.014352,0.40933865,0.04397257807999024,1.0,0.6185567010309279
FAM50A,2.0055506,0.35008636,0.04490420614035962,1.0,0.7938144329896907
PSMA2,1.9945648,0.28857365,0.04609036968068915,1.0,0.8350515463917526
SGCB,1.9908289,0.45210585,0.04649969943166981,1.0,0.4948453608247423
SMAD4,1.9907973,0.793442,0.04650318136152425,1.0,0.38144329896907214
PPCS,1.9887711,0.44295344,0.046726481814530436,1.0,0.5154639175257731
TXNRD1,1.968667,0.32926044,0.04899133361146475,1.0,0.9690721649484536
POLD2,1.9658494,0.40309516,0.04931601355986721,1.0,0.5670103092783505
MAP3K13,1.963285,0.44367483,0.04961307618310013,1.0,0.5670103092783505
DAB2,1.96319,0.35281202,0.0496241072630746,1.0,0.711340206185567
CCDC50,1.9597074,0.23319304,0.050030003051807756,1.0,0.7938144329896907
HS2ST1,1.9563514,0.7244993,0.050423768693089316,1.0,0.32989690721649484
RNASEK,1.9350444,0.12661259,0.0529848449762074,1.0,0.9690721649484536
EIF2S2,1.9341263,0.16524439,0.05309760261714594,1.0,1.0
TFG,1.9318784,0.46556023,0.053374510928122794,1.0,0.5360824742268041
COX20,1.9279842,0.4174538,0.053857079773794114,1.0,0.5463917525773195
TNFRSF10B,1.9240584,0.46514764,0.054347253158047386,1.0,0.5257731958762887
TMEM30A,1.9184548,0.2718778,0.055053379986429354,1.0,0.7938144329896907
UBC,1.9180748,0.21293402,0.055101528578989985,1.0,1.0
CTDSPL,1.9150988,0.53986686,0.05547990835432721,1.0,0.422680412371134
MICA,1.9113946,0.2863205,0.05595389260604197,1.0,0.6597938144329897
C1orf35,1.9089252,0.60168606,0.056271752034740385,1.0,0.3711340206185567
MED14,1.895818,0.8460167,0.05798411753729576,1.0,0.27835051546391754
IL6ST,1.8912907,0.2599692,0.058585558238350766,1.0,0.8041237113402062
PHAX,1.8904991,0.7425004,0.058691235444025006,1.0,0.35051546391752575
ESF1,1.8890427,0.37690544,0.05888609509011303,1.0,0.6391752577319587
TRIM56,1.8843255,0.48790112,0.05952096189571972,1.0,0.44329896907216493
JPX,1.8751758,0.29373363,0.060768539871610246,1.0,0.7216494845360825
KLC1,1.8724214,0.55602926,0.061148324128344825,1.0,0.4845360824742268
DNASE1L1,1.8658046,0.4398041,0.06206871847016104,1.0,0.4536082474226804
TAF1,1.8622903,0.8752925,0.06256218259493897,1.0,0.27835051546391754
TSR3,1.8472519,0.43361783,0.0647106390569197,1.0,0.5154639175257731
LUZP1,1.8414582,0.34630984,0.0655544443847521,1.0,0.6185567010309279
FN1,1.8295225,0.2617907,0.06732137989240958,1.0,0.9278350515463918
ABRACL,1.8289843,0.28629476,0.06740197069640523,1.0,0.711340206185567
MYCBP,1.828446,0.5207379,0.06748264087210933,1.0,0.4329896907216495
CHPT1,1.8251851,0.44696596,0.06797310766930761,1.0,0.44329896907216493
PODXL,1.822874,0.29184294,0.0683224922460204,1.0,0.7525773195876289
AKR1B1,1.8132809,0.30791032,0.06978849375779489,1.0,0.6597938144329897
POLR2H,1.8128694,0.3687534,0.06985196478859364,1.0,0.6185567010309279
TERF2,1.8111914,0.60307956,0.07011122185561128,1.0,0.36082474226804123
CIB1,1.8090069,0.23352359,0.07044992786166185,1.0,0.7422680412371134
TMEM59,1.8043846,0.31295007,0.07117103586005653,1.0,0.7628865979381443
SLC39A6,1.8033081,0.9763952,0.07133983083492404,1.0,0.21649484536082475
KLF10,1.802675,0.7694269,0.07143927517351933,1.0,0.26804123711340205
RHOQ,1.8022318,0.4725817,0.07150895378235325,1.0,0.44329896907216493
AL627171.2,1.80201,0.63106054,0.07154381396580632,1.0,0.30927835051546393
DYNLT1,1.78713,0.17216526,0.07391647492085258,1.0,0.8969072164948454
CAPRIN1,1.7858953,0.3079259,0.07411621223995783,1.0,0.7216494845360825
TCEAL1,1.784059,0.9165748,0.07441407315198126,1.0,0.23711340206185566
SRGAP1,1.7837107,0.4516705,0.07447067420961317,1.0,0.44329896907216493
BHLHE40,1.7782019,0.5018778,0.0753706881933922,1.0,0.4948453608247423
ANP32A,1.774941,0.32881734,0.07590762577865061,1.0,0.6494845360824743
PLOD2,1.7740229,0.28606603,0.07605936415996295,1.0,0.7525773195876289
RER1,1.7712685,0.28204635,0.0765160645104585,1.0,0.7835051546391752
REXO2,1.7674693,0.2375092,0.0771496626638718,1.0,0.845360824742268
DHX57,1.7660446,0.87762684,0.07738836149292047,1.0,0.24742268041237114
TRIP12,1.7605358,0.31240678,0.07831699746140626,1.0,0.5876288659793815
VPS45,1.7577181,0.98899287,0.0787954840926151,1.0,0.21649484536082475
FBXO8,1.7574965,1.1295942,0.07883321854363042,1.0,0.21649484536082475
SNX5,1.7565467,0.36869442,0.07899510416950667,1.0,0.6391752577319587
RPL41,1.7528108,0.054157875,0.07963447977946445,1.0,1.0
SENP6,1.7525892,0.4248344,0.0796725406409678,1.0,0.5463917525773195
GNA11,1.7480302,0.5958164,0.08045879320814474,1.0,0.35051546391752575
LLPH,1.7469221,0.41391623,0.08065084531512678,1.0,0.4845360824742268
RNF11,1.7454975,0.39775348,0.08089831631609166,1.0,0.5051546391752577
EMC8,1.7443894,0.44247976,0.08109121970571323,1.0,0.4536082474226804
INTS11,1.7418566,0.6781402,0.0815335440422545,1.0,0.28865979381443296
SLC27A5,1.7410017,0.4720681,0.08168326963192453,1.0,0.44329896907216493
CEP192,1.7362845,1.1094115,0.08251354989739787,1.0,0.20618556701030927
SRP14,1.7345748,0.11493183,0.08281614067673178,1.0,0.9896907216494846
MAF1,1.7299842,0.37078476,0.08363310418807005,1.0,0.5257731958762887
CAPZB,1.7293509,0.24712463,0.08374629923631775,1.0,0.845360824742268
KLF3,1.7274197,0.5552814,0.0840923104833017,1.0,0.36082474226804123
UBE2M,1.7225758,0.2865578,0.08496526747552324,1.0,0.6907216494845361
SYNGR2,1.7205812,0.5583281,0.08532684405199079,1.0,0.3917525773195876
SH3GLB1,1.7173202,0.259393,0.0859206716830323,1.0,0.8041237113402062
WDR36,1.7122546,0.38229576,0.08684974058022689,1.0,0.5463917525773195
ATXN2,1.7084872,0.3552796,0.0875459811932122,1.0,0.5773195876288659
GNAI2,1.7078223,0.19517258,0.08766931335150106,1.0,0.9896907216494846
CPSF2,1.7062393,0.40001717,0.08796352550624535,1.0,0.4845360824742268
C19orf53,1.7056378,0.17044981,0.08807553468850515,1.0,0.865979381443299
CISD2,1.704498,0.39534682,0.08828807799676797,1.0,0.4948453608247423
SLC25A22,1.703105,1.279485,0.0885484144894685,1.0,0.18556701030927836
SP100,1.7003189,0.29194683,0.08907094356125209,1.0,0.6804123711340206
TOP1,1.7002556,0.1758166,0.08908284802900422,1.0,0.8041237113402062
CIAO2A,1.6943036,0.4793467,0.09020760326302474,1.0,0.4020618556701031
HSPA1B,1.6935755,0.6987479,0.09034598744610987,1.0,0.29896907216494845
FLAD1,1.6896496,0.67199934,0.09109500418610458,1.0,0.28865979381443296
WWC2,1.6880666,0.5148383,0.09139843613168107,1.0,0.38144329896907214
ALYREF,1.6852806,0.47872478,0.09193444919334842,1.0,0.4845360824742268
RNF10,1.6850274,0.40814582,0.0919833026284256,1.0,0.4948453608247423
CELF1,1.6831594,0.3229692,0.09234424112498876,1.0,0.5360824742268041
TMCO3,1.6812915,0.4536838,0.09270631620367194,1.0,0.4536082474226804
ZNF106,1.6775873,0.28609926,0.09342770032218195,1.0,0.6494845360824743
EIF5A,1.677144,0.17902607,0.09351432066117184,1.0,0.9381443298969072
LYPLA1,1.6746745,0.28793013,0.09399809974309599,1.0,0.8556701030927835
EXT1,1.6741997,0.27074355,0.09409136386108524,1.0,0.845360824742268
MDM2,1.665145,0.36339378,0.09588383441005773,1.0,0.6391752577319587
IPO11,1.6643535,0.37030363,0.09604180927343854,1.0,0.5051546391752577
