names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CIAO2B,3.5430179,0.43156496,0.00039557602779037555,1.0,0.8672566371681416
LARP4,3.0839975,0.635819,0.002042392966309465,1.0,0.5309734513274337
SERF2,3.0377762,0.113732494,0.0023833086532821126,1.0,0.9911504424778761
EDF1,2.9516313,0.27558032,0.003161002202960398,1.0,0.911504424778761
C9orf16,2.933705,0.31113985,0.003349423061314674,1.0,0.9203539823008849
MYL12B,2.9298387,0.2164676,0.0033913804542511743,1.0,0.9911504424778761
DIXDC1,2.7888901,0.5508958,0.0052889016480796875,1.0,0.5752212389380531
TRAPPC2L,2.7255921,0.504316,0.006418627295363446,1.0,0.5929203539823009
PROCR,2.7056155,0.23754513,0.0068177922441892014,1.0,0.9469026548672567
TPM2,2.5982344,0.28487903,0.009370447175608287,1.0,0.9646017699115044
ARPC1A,2.568006,0.33719394,0.010228534351970981,1.0,0.8230088495575221
LMAN1,2.4984105,0.30084863,0.012475161310798746,1.0,0.8584070796460177
PRXL2A,2.4712284,0.3033602,0.013464976370606124,1.0,0.7964601769911505
ILF2,2.4470341,0.42564857,0.014403723105860227,1.0,0.6017699115044248
ERP29,2.4467998,0.27940562,0.01441309046821756,1.0,0.8053097345132744
SCARB1,2.414609,0.37936094,0.01575211589584858,1.0,0.6460176991150443
FIBP,2.3876026,0.4014423,0.016958673894336994,1.0,0.6460176991150443
RPL35A,2.3856986,0.08570314,0.017046717195284545,1.0,1.0
EMC6,2.3312464,0.41401947,0.01974036684380272,1.0,0.6106194690265486
RSRC2,2.303215,0.3377421,0.02126675342396516,1.0,0.7168141592920354
PDHB,2.296595,0.4552105,0.021641875823040387,1.0,0.5309734513274337
LRPAP1,2.2750955,0.32494402,0.022900201262420476,1.0,0.7256637168141593
MBOAT7,2.2417622,0.31080362,0.024976740655067154,1.0,0.7876106194690266
CYC1,2.2144337,0.2802621,0.02679895798725465,1.0,0.8053097345132744
UFL1,2.1831508,0.46557465,0.029024702475978728,1.0,0.5221238938053098
C4orf3,2.1685345,0.30086356,0.030118033889837106,1.0,0.8495575221238938
SMURF2,2.1657813,0.2611557,0.030327906413939835,1.0,0.8230088495575221
COX7C,2.1629107,0.14698504,0.03054804627604505,1.0,1.0
NDUFS6,2.1583998,0.19228631,0.03089675296468519,1.0,0.9203539823008849
VAPA,2.143022,0.25176817,0.032111323959442425,1.0,0.8407079646017699
NEDD8,2.119355,0.11319125,0.034060483622298444,1.0,0.9292035398230089
KMT5A,2.1092496,0.55990255,0.034923051108170226,1.0,0.40707964601769914
NUTF2,2.106584,0.24955775,0.03515365353261621,1.0,0.7787610619469026
FNBP1L,2.0952191,0.4458557,0.03615152170796084,1.0,0.4778761061946903
NMT1,2.0914404,0.31270516,0.03648859173298845,1.0,0.6637168141592921
S100A13,2.0833268,0.18560787,0.03722143542689773,1.0,0.9646017699115044
UROD,2.077996,0.4298379,0.03770973337807323,1.0,0.5309734513274337
OST4,2.0624423,0.14689258,0.039165637800209145,1.0,1.0
TUBA1A,2.060597,0.2695677,0.03934149891251761,1.0,0.8849557522123894
MPG,2.0526884,0.29249898,0.0401028021863003,1.0,0.6991150442477876
TOMM40,2.047504,0.4865266,0.04060863046111733,1.0,0.415929203539823
MCFD2,2.0302808,0.25978354,0.04232800532484965,1.0,0.8230088495575221
CASC3,2.0283184,0.47293222,0.04252777317186205,1.0,0.415929203539823
CCDC124,2.0254185,0.42151526,0.04282441170574245,1.0,0.6194690265486725
ERGIC3,2.0251842,0.23530948,0.04284845869904711,1.0,0.8761061946902655
ARRDC3,2.0205855,0.90318525,0.043322696173936893,1.0,0.23893805309734514
PARK7,2.0082538,0.1668003,0.04461631647937524,1.0,0.9292035398230089
IPO11,2.0069065,0.42488298,0.04475961694479245,1.0,0.5309734513274337
TSPAN3,2.0024836,0.29683554,0.045232747943061605,1.0,0.7787610619469026
ALKBH7,1.9985585,0.29719278,0.045656136601214814,1.0,0.7168141592920354
ZMYM2,1.9932861,0.54821324,0.04623011879057668,1.0,0.4247787610619469
IFT43,1.981394,0.4920312,0.047547105144573755,1.0,0.4336283185840708
RNF181,1.981189,0.26775134,0.04757008558174655,1.0,0.7079646017699115
TMEM14C,1.9732218,0.253877,0.04847029760487243,1.0,0.7433628318584071
RPS15A,1.9725481,0.080315076,0.048547070210170566,1.0,1.0
OCIAD1,1.9660162,0.28413537,0.04929673931337835,1.0,0.7256637168141593
UBAP2,1.9608903,0.5426288,0.049891825310792386,1.0,0.39823008849557523
ELMO1,1.9577562,0.79733384,0.050258636570481026,1.0,0.3274336283185841
LAMA4,1.9525423,0.24684995,0.050873852706049716,1.0,0.8141592920353983
LAMP1,1.9426126,0.2829845,0.05206297850862308,1.0,0.7345132743362832
TMEM147,1.941646,0.28189892,0.05217996583570566,1.0,0.7964601769911505
RWDD1,1.9408259,0.23845507,0.052279400141941074,1.0,0.8849557522123894
CAMTA1,1.9369595,0.23834923,0.0527502985443579,1.0,0.7522123893805309
BECN1,1.9325951,0.46374458,0.05328609698484361,1.0,0.4424778761061947
ST6GALNAC4,1.9271469,0.5370584,0.053961318007274495,1.0,0.4247787610619469
YRDC,1.9086057,0.8985224,0.056312974122655256,1.0,0.24778761061946902
MFSD14A,1.9047393,0.6399592,0.05681396839553881,1.0,0.37168141592920356
MRPL57,1.9043585,0.18783152,0.05686350873309198,1.0,0.8761061946902655
RSPRY1,1.9042413,0.5041031,0.056878759142960596,1.0,0.40707964601769914
ECI1,1.9010193,0.3910984,0.05729948082335011,1.0,0.5309734513274337
SCAND1,1.9003749,0.24631493,0.0573839349779963,1.0,0.7964601769911505
IL32,1.8971236,0.30472147,0.0578116247391195,1.0,0.7522123893805309
LGALS1,1.8967135,0.06105931,0.057865755272961124,1.0,1.0
TNFRSF1A,1.8951025,0.3244437,0.058078818922602686,1.0,0.6106194690265486
NDUFC1,1.8858173,0.24353126,0.059319583206940724,1.0,0.9026548672566371
FAM207A,1.8857294,0.33840522,0.059331429711944765,1.0,0.5309734513274337
BCKDK,1.8745987,0.47334126,0.060847939767396234,1.0,0.40707964601769914
SERPINB9,1.8730171,0.43915594,0.061066027484200903,1.0,0.49557522123893805
PHB,1.8581372,0.20266472,0.0631495315838175,1.0,0.7345132743362832
