names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
AP3D1,3.362103,0.76414126,0.000773512360237486,1.0,0.4954954954954955
MLX,3.032313,0.7489285,0.002426874027645976,1.0,0.4774774774774775
RPS20,2.9567897,0.1047683,0.0031086006321872374,1.0,1.0
XRCC5,2.856023,0.34338355,0.004289841064077034,1.0,0.9819819819819819
COX20,2.8404157,0.5363827,0.004505476579118892,1.0,0.5675675675675675
DYSF,2.83545,0.4799589,0.004576119487996555,1.0,0.7027027027027027
FSCN1,2.8109455,0.42329597,0.00493961608117783,1.0,0.7117117117117117
NUCB1,2.7636213,0.4338167,0.005716381667641684,1.0,0.7027027027027027
HSPB1,2.745354,0.19288,0.006044566415960317,1.0,0.972972972972973
CRLS1,2.7364862,0.58299553,0.006209919023361478,1.0,0.5225225225225225
RABAC1,2.661229,0.23891659,0.007785599486693347,1.0,0.9369369369369369
CHMP2A,2.6513858,0.3162049,0.008016221573938633,1.0,0.8288288288288288
BCL2L13,2.6429024,0.73251903,0.008219873488058808,1.0,0.3963963963963964
RBBP4,2.6394143,0.44644022,0.008304939431584378,1.0,0.7297297297297297
RPL34,2.6329706,0.075927325,0.008464169146490291,1.0,1.0
PSMG3,2.5804737,0.74212825,0.00986648733527468,1.0,0.38738738738738737
CTSD,2.567852,0.48156863,0.010233083948625736,1.0,0.6036036036036037
CFL2,2.5375836,0.3623969,0.011162072372957878,1.0,0.7117117117117117
CSNK2A1,2.5233657,0.3649583,0.011623746756339398,1.0,0.8198198198198198
HM13,2.5137293,0.37739354,0.011946205478250994,1.0,0.7837837837837838
ZNF593,2.4784951,0.38968527,0.013193794475272292,1.0,0.6756756756756757
RPL12,2.4712532,0.09264888,0.013464049622698692,1.0,1.0
FBXW5,2.451951,0.6623456,0.014208399528253729,1.0,0.4144144144144144
GRN,2.4484925,0.3565321,0.014345536582400007,1.0,0.8018018018018018
PTAR1,2.4299886,0.76651853,0.015099294619926141,1.0,0.35135135135135137
RPS29,2.42789,0.099134244,0.015186949347347461,1.0,1.0
SEC31A,2.426412,0.33129907,0.015248946616880008,1.0,0.8288288288288288
CEP250,2.409061,0.92692614,0.015993629683548036,1.0,0.32432432432432434
CCL2,2.3757775,0.5610984,0.017512023006646626,1.0,0.5675675675675675
FYTTD1,2.3568597,0.45128787,0.018430211756027364,1.0,0.5855855855855856
ST6GALNAC6,2.3466618,1.0116438,0.01894244124577232,1.0,0.26126126126126126
RPL36,2.336316,0.08867709,0.019474772426405596,1.0,1.0
HIGD2A,2.335843,0.2784872,0.019499416898649452,1.0,0.8018018018018018
LETMD1,2.3210342,0.7056488,0.02028500387541194,1.0,0.36936936936936937
RPL37A,2.3078508,0.07616147,0.021007438205053686,1.0,1.0
BID,2.3054268,0.4317069,0.02114267493851926,1.0,0.6216216216216216
CYHR1,2.3019094,0.66058326,0.021340281919106443,1.0,0.4144144144144144
LARP1,2.300993,0.34123212,0.02139202270469763,1.0,0.6306306306306306
LINC00607,2.2897606,0.60496753,0.022035195962354044,1.0,0.43243243243243246
SLC39A10,2.2841444,0.40001535,0.022363044455504966,1.0,0.5765765765765766
DEAF1,2.2662907,0.65812904,0.02343358610144017,1.0,0.36936936936936937
CPD,2.2610588,0.39507636,0.023755614760579767,1.0,0.6396396396396397
CAD,2.2569797,1.0348666,0.024009344693760946,1.0,0.26126126126126126
EVA1B,2.2557678,0.34551927,0.024085179626771324,1.0,0.6756756756756757
RPS27,2.1909153,0.10410325,0.028457926196899,1.0,1.0
H2AFJ,2.1846783,0.3287861,0.02891244297180964,1.0,0.7477477477477478
WDR83OS,2.1844714,0.26597944,0.028927628220160612,1.0,0.8828828828828829
RPL6,2.180008,0.08567552,0.02925687115098075,1.0,1.0
ZDHHC24,2.1468723,0.5104646,0.03180344995212855,1.0,0.43243243243243246
ATRN,2.145749,0.64537317,0.03189300553786189,1.0,0.3333333333333333
ATP11A,2.109835,0.8529257,0.034872585286746645,1.0,0.2882882882882883
EPHX1,2.1027112,0.6151889,0.03549103086448221,1.0,0.36036036036036034
CD81,2.0932817,0.16083325,0.036324008737830725,1.0,0.9279279279279279
STK17A,2.0873995,0.29036093,0.03685203476104839,1.0,0.7387387387387387
ARPC5L,2.0818424,0.29245642,0.03735686482214021,1.0,0.7207207207207207
CASP7,2.0653188,0.8538414,0.0388928334579309,1.0,0.2882882882882883
SCAMP1,2.0589933,0.43579128,0.03949488039926079,1.0,0.4954954954954955
RPAIN,2.049091,0.32359162,0.04045321499773524,1.0,0.5945945945945946
CMPK1,2.047495,0.32911912,0.04060952329526424,1.0,0.6846846846846847
PKIG,2.046667,0.32608664,0.04069077340500461,1.0,0.6846846846846847
DDX5,2.039041,0.18524514,0.041445940318866295,1.0,0.990990990990991
RPL39,2.035553,0.07745039,0.0417952624988673,1.0,1.0
AKAP8L,2.0335133,0.6005202,0.04200067954313361,1.0,0.35135135135135137
RNF149,2.024291,0.3853699,0.0429402192206658,1.0,0.5765765765765766
UQCR11,2.0213351,0.13506839,0.043245088441771454,1.0,0.990990990990991
CPNE1,2.0191476,0.2632449,0.04347186743125482,1.0,0.7747747747747747
MALAT1,2.0161917,0.13525015,0.04377992095401427,1.0,1.0
CAMLG,2.0053437,0.22128227,0.04492632019459613,1.0,0.7837837837837838
CFL1,2.002033,0.09390111,0.045281177104416495,1.0,1.0
GAS5,1.9983382,0.14681968,0.0456800098353047,1.0,1.0
TXNIP,1.9953527,0.39549887,0.04600442487164839,1.0,0.6306306306306306
USP48,1.99151,0.32259345,0.04642484304389496,1.0,0.6846846846846847
SHOC2,1.9876673,0.47748062,0.04684849089833749,1.0,0.43243243243243246
SERF2,1.9825832,0.089824446,0.04741400449982137,1.0,1.0
TXNDC17,1.9765828,0.21262524,0.04808881634095686,1.0,0.8828828828828829
