names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
COPS2,3.4582598,0.6949121,0.0005436766495206359,1.0,0.651685393258427
RPL22,2.9907353,0.14346303,0.0027830664363509817,1.0,1.0
ACBD3,2.8916075,0.6193707,0.003832764572707229,1.0,0.5955056179775281
TP53I11,2.8160627,0.8115395,0.004861618425856946,1.0,0.4606741573033708
PTTG1IP,2.8106713,0.33678803,0.004943826072483342,1.0,0.8876404494382022
RBFOX2,2.7290075,0.54112506,0.0063525261205388435,1.0,0.6404494382022472
CYB5B,2.7213008,0.45846015,0.006502555085639966,1.0,0.6853932584269663
EMC7,2.7198787,0.5389988,0.006530588665360505,1.0,0.6404494382022472
SRPRB,2.6985118,0.74429274,0.006965028531527255,1.0,0.47191011235955055
AGPAT4,2.6515112,0.75689054,0.008013245734661728,1.0,0.449438202247191
PDCD4,2.6372886,0.664333,0.008357168426053817,1.0,0.5056179775280899
TAGLN2,2.6226692,0.19659495,0.008724393390228756,1.0,1.0
ACAA1,2.588502,0.90725523,0.00963943767486549,1.0,0.3707865168539326
GLO1,2.5610824,0.35755837,0.010434663226800377,1.0,0.8202247191011236
ARF6,2.5292635,0.5158661,0.011430217459411671,1.0,0.6179775280898876
EEA1,2.4868605,0.36720923,0.012887592314348608,1.0,0.7415730337078652
LAMB1,2.4142263,0.30723655,0.015768664042145324,1.0,0.797752808988764
NFE2L1,2.3626614,0.46938136,0.01814424103647983,1.0,0.5842696629213483
MIA2,2.360743,1.0365463,0.018238366802277098,1.0,0.3146067415730337
ATP9A,2.3513825,0.5918479,0.01870379335741473,1.0,0.48314606741573035
ADIRF,2.3374577,0.22034317,0.019415398343020748,1.0,0.9662921348314607
APLP2,2.3016367,0.21222538,0.0213556664045043,1.0,1.0
AKAP9,2.293434,0.38609675,0.02182303257319412,1.0,0.651685393258427
UTRN,2.2918134,0.39483932,0.021916420856147,1.0,0.7078651685393258
FLNB,2.222983,0.3486483,0.026216960224824323,1.0,0.898876404494382
DOCK6,2.222123,0.6801658,0.02627500605168427,1.0,0.42696629213483145
MFAP1,2.2054858,0.5446914,0.027420025709558482,1.0,0.48314606741573035
FARP1,2.1979444,0.6788219,0.027953060464185518,1.0,0.4157303370786517
SIL1,2.190701,0.41301802,0.028473441141072624,1.0,0.6629213483146067
LRRC8B,2.184119,0.5163183,0.02895351369922836,1.0,0.5393258426966292
TCTEX1D2,2.1721456,0.54306304,0.029844690936700145,1.0,0.4943820224719101
BCAT1,2.1712193,0.39251375,0.029914593967965704,1.0,0.651685393258427
MTCH1,2.1651335,0.37360018,0.030377467403216007,1.0,0.7191011235955056
LAMC1,2.141385,0.2963748,0.03224299449352204,1.0,0.9438202247191011
SCAND1,2.137383,0.33355758,0.03256685651432976,1.0,0.7752808988764045
FAM217B,2.1359277,0.9388399,0.03268531335554365,1.0,0.3146067415730337
WDR74,2.1317933,0.8695483,0.03302385354875506,1.0,0.3146067415730337
ANXA6,2.1313632,0.42059922,0.03305923342810219,1.0,0.5955056179775281
SPCS3,2.1289818,0.34495,0.03325577151801764,1.0,0.7752808988764045
IFI6,2.1275265,0.5912095,0.03337636966315939,1.0,0.4606741573033708
ATG5,2.125608,0.92985606,0.033535911494211146,1.0,0.3146067415730337
NR2F2,2.07874,0.24895152,0.03764127353736421,1.0,0.8651685393258427
TM2D2,2.0715294,0.5783934,0.03830935972816923,1.0,0.43820224719101125
SNHG9,2.0670972,1.0550534,0.03872500015554379,1.0,0.2808988764044944
UTP14A,2.0659065,0.8829223,0.03883731555229039,1.0,0.3146067415730337
QKI,2.0607467,0.3954308,0.039327218886025105,1.0,0.6404494382022472
TBCB,2.059556,0.35158384,0.03944101565956208,1.0,0.6292134831460674
GRK6,2.0455317,0.9812685,0.04080245572580417,1.0,0.2808988764044944
RPF2,2.0334592,0.5596219,0.04200615188322909,1.0,0.449438202247191
SRSF11,2.0326655,0.3531201,0.04208634113043642,1.0,0.8539325842696629
EIF4E,1.9889063,0.35148123,0.04671154982720242,1.0,0.6292134831460674
TMEM30A,1.9785535,0.27182138,0.04786629012136864,1.0,0.8314606741573034
TP53I3,1.9670433,0.45091757,0.049178224960837756,1.0,0.48314606741573035
RPP40,1.9627434,0.9842414,0.04967599609845495,1.0,0.2696629213483146
NONO,1.9381351,0.30176234,0.05260674065276232,1.0,0.7078651685393258
SNHG6,1.9243757,0.13651685,0.05430751647205286,1.0,0.9775280898876404
MARCH2,1.9237803,0.9641387,0.054382131390704164,1.0,0.30337078651685395
UBE3B,1.923648,0.99221236,0.05439872409353324,1.0,0.25842696629213485
TMEM131,1.9148829,0.69984835,0.05550743708254646,1.0,0.33707865168539325
RNF115,1.9118068,0.48884982,0.05590096926491811,1.0,0.47191011235955055
MARCH6,1.9045303,0.4636062,0.056841163429338225,1.0,0.5056179775280899
EFNA5,1.9013549,0.5489397,0.05725553400383963,1.0,0.42696629213483145
GAS2L1,1.9009911,0.62364465,0.05730317399023689,1.0,0.42696629213483145
PCMT1,1.8995028,0.33690813,0.05749840825314368,1.0,0.6404494382022472
TBL1XR1,1.8872647,0.34001157,0.05912472783813089,1.0,0.6853932584269663
ACAP2,1.8848171,0.48535222,0.059454531393597285,1.0,0.5168539325842697
PLOD1,1.8737367,0.3983457,0.060966713816598336,1.0,0.6067415730337079
CAMSAP2,1.8702308,0.5426161,0.061451780034718864,1.0,0.4157303370786517
LCOR,1.8695031,0.8758252,0.0615528535373172,1.0,0.30337078651685395
YWHAG,1.8653356,0.25758943,0.062134383728132445,1.0,0.8426966292134831
NABP2,1.8633841,0.5939378,0.062408246105468274,1.0,0.38202247191011235
SEM1,1.8521384,0.16608346,0.06400595636049099,1.0,0.9325842696629213
CPD,1.8514107,0.36556464,0.06411049060304455,1.0,0.5955056179775281
GNG2,1.8495585,1.5869168,0.06437721398394577,1.0,0.1797752808988764
HNRNPDL,1.8334506,0.25447956,0.06673558672645227,1.0,0.7752808988764045
NCKAP1,1.8282908,0.34658945,0.06750591865015003,1.0,0.6629213483146067
BNIP2,1.8267032,0.34236625,0.06774441053482694,1.0,0.5393258426966292
MRPS18C,1.8238918,0.38587385,0.06816844013749923,1.0,0.5730337078651685
ZKSCAN1,1.8225356,0.36426908,0.06837375091415826,1.0,0.651685393258427
SNHG5,1.8190957,0.12670366,0.06889682011832013,1.0,0.9887640449438202
DDX18,1.8190957,0.33357492,0.06889682011832013,1.0,0.6404494382022472
TRIM44,1.8180043,0.36451918,0.06906347952311369,1.0,0.6067415730337079
S1PR1,1.8058985,0.2924242,0.07093418321175408,1.0,0.6404494382022472
PDIA6,1.8040464,0.08881091,0.07122404258270473,1.0,0.9325842696629213
MAT2A,1.7998788,0.3572085,0.07187977685162168,1.0,0.6292134831460674
USO1,1.7989857,0.39798656,0.07202093280350724,1.0,0.5168539325842697
BEX4,1.7930322,0.49183226,0.07296778472301484,1.0,0.449438202247191
ENAH,1.7906507,0.31236234,0.07334936660588424,1.0,0.6966292134831461
CTSA,1.7858547,0.3137075,0.07412278381447006,1.0,0.6853932584269663
RGCC,1.7854909,0.83831775,0.07418172783889371,1.0,0.29213483146067415
