names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL23,2.9191148,0.0959546,0.0035102694655276714,1.0,1.0
EI24,2.9190512,0.4109699,0.003510986343404905,1.0,0.84375
PCBP2,2.9183826,0.22631854,0.0035185216081627954,1.0,0.9479166666666666
PQBP1,2.832386,0.7891507,0.004620203351898891,1.0,0.4166666666666667
NFKB1,2.7873826,0.71122986,0.00531357103549926,1.0,0.46875
SNW1,2.758038,0.5245849,0.0058149437151866845,1.0,0.6145833333333334
MSANTD3,2.758006,0.61518985,0.005815509909903915,1.0,0.53125
COPS4,2.7431748,0.65835464,0.006084829173902816,1.0,0.5416666666666666
SNHG25,2.7352498,0.5111512,0.006233294821971372,1.0,0.7083333333333334
CALM2,2.7011948,0.1664301,0.006909084525744334,1.0,1.0
ACO1,2.6830535,0.47826898,0.007295333238320979,1.0,0.7395833333333334
SUZ12,2.6438744,0.5649684,0.008196308318869727,1.0,0.5416666666666666
DDAH1,2.6000485,0.81476843,0.009321059915200861,1.0,0.4270833333333333
WLS,2.5047581,0.5664704,0.012253512559714288,1.0,0.5520833333333334
RANGRF,2.5015118,0.63660294,0.012366430154879893,1.0,0.4270833333333333
ADAM10,2.4946373,0.4046521,0.012608596829405102,1.0,0.6979166666666666
YIF1A,2.4327335,0.3793384,0.014985323033850207,1.0,0.75
RPL37A,2.4180932,0.078428335,0.015602083570570914,1.0,1.0
CEBPZOS,2.3999517,0.60729605,0.01639723569023822,1.0,0.4791666666666667
UBE2M,2.3926952,0.41553238,0.01672513244584974,1.0,0.7083333333333334
RPL30,2.3759859,0.07559056,0.017502131089194163,1.0,1.0
COMMD10,2.3696523,0.6703284,0.017804819209157892,1.0,0.40625
RPS18,2.3385572,0.05898246,0.01935835782955369,1.0,1.0
TMEM43,2.322771,0.5074175,0.02019145467531286,1.0,0.5208333333333334
RHOG,2.3172967,0.6368829,0.020487569386937077,1.0,0.4166666666666667
EPRS,2.2649412,0.37117916,0.023516283169128082,1.0,0.75
TNFAIP1,2.2602308,0.62650365,0.02380692564068353,1.0,0.4270833333333333
RPL26,2.2470863,0.06105234,0.024634512556605655,1.0,1.0
PACSIN2,2.238493,0.5646992,0.025188924148597854,1.0,0.53125
MIER1,2.2330823,0.45794532,0.025543511849774107,1.0,0.5833333333333334
SLC39A3,2.2213383,0.8187761,0.02632806337203693,1.0,0.3333333333333333
SARNP,2.1996958,0.3615479,0.02782848529799842,1.0,0.71875
RPL17,2.1969268,0.06409545,0.028025671546131045,1.0,1.0
SRRM2,2.1890974,0.260275,0.02858976271828973,1.0,0.875
B3GNT5,2.1767485,0.81585383,0.029499338835926422,1.0,0.3229166666666667
GNPAT,2.1601985,0.5993592,0.030757313391468023,1.0,0.3854166666666667
ANP32A,2.1480722,0.41390127,0.03170801268176054,1.0,0.6979166666666666
TCTEX1D2,2.1478496,0.49725205,0.03172571273819248,1.0,0.5104166666666666
EMC1,2.1420252,0.58049864,0.032191458008951214,1.0,0.4270833333333333
CANX,2.1416433,0.23465686,0.03222220233653149,1.0,0.875
APPL1,2.1348004,0.4047229,0.03277731684324272,1.0,0.6458333333333334
WDR83OS,2.1261115,0.30960694,0.03349396657234579,1.0,0.9375
CCNB1IP1,2.1226106,0.41447723,0.033786492334226134,1.0,0.625
RPS24,2.114622,0.058477607,0.03446217280667895,1.0,1.0
EVA1B,2.1135716,0.3618624,0.034551860229887425,1.0,0.6875
UMPS,2.1130943,0.7219297,0.03459269310922962,1.0,0.3125
RPL34,2.1079702,0.08450161,0.03503356775968939,1.0,1.0
PTPRA,2.1076837,0.2629903,0.03505835385952305,1.0,0.875
MPLKIP,2.1069517,0.38068008,0.03512176413706185,1.0,0.6458333333333334
MAP2K1,2.0830495,0.82423604,0.03724670259140594,1.0,0.34375
ANKRD12,2.0716238,0.45588455,0.038300549368571024,1.0,0.4895833333333333
RPL36A,2.070828,0.057019632,0.03837487183983709,1.0,0.9895833333333334
GALNT6,2.0689185,0.3644832,0.038553746121971544,1.0,0.6145833333333334
ENOSF1,2.0635078,0.49374646,0.03906440911037216,1.0,0.4791666666666667
UCP2,2.059243,0.6799632,0.03947097001412852,1.0,0.375
RPL10A,2.0566332,0.032816075,0.039721528244712305,1.0,0.9895833333333334
ZNF644,2.053705,0.6475465,0.04000424779499151,1.0,0.3645833333333333
RPS8,2.017454,0.07141105,0.04364815481814451,1.0,1.0
LBR,2.0119162,0.53339595,0.044228780881152924,1.0,0.46875
UBE2G2,2.0118206,0.42442793,0.04423884856635019,1.0,0.5833333333333334
RPL18A,2.0072057,0.07467732,0.04472776449144082,1.0,1.0
TMEM245,2.0060282,0.47339162,0.044853249723120193,1.0,0.46875
XRCC6,2.0052643,0.3200472,0.04493480420572564,1.0,0.6979166666666666
STRN3,1.9962572,0.46916363,0.04590593484424941,1.0,0.4895833333333333
PFDN1,1.9908466,0.46661797,0.04649775522417423,1.0,0.53125
COX4I1,1.9884596,0.12832505,0.04676088696388966,1.0,0.9895833333333334
MYH9,1.9721005,0.31906974,0.04859814047072713,1.0,0.84375
NDUFA12,1.9591469,0.33375055,0.050095593165448135,1.0,0.7604166666666666
NUDT8,1.951572,0.6248068,0.050989040947063934,1.0,0.4270833333333333
CKLF,1.9508718,0.33678532,0.051072298158879335,1.0,0.7395833333333334
