names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
IMPAD1,3.5444214,0.63139665,0.0003934758084193622,1.0,0.71
MTMR9,3.2109337,0.9058046,0.0013230446359596493,1.0,0.46
RRP36,3.207006,0.6348329,0.0013412424629746001,1.0,0.6
GLTP,3.090731,0.5435358,0.0019966444959935554,1.0,0.7
KLF6,3.0561914,0.534976,0.002241681121817506,1.0,0.71
TMEM263,3.025455,0.7963387,0.0024825941715831096,1.0,0.49
SYNJ2BP,2.9555652,0.70011336,0.003120966598732376,1.0,0.49
TBCB,2.8899775,0.47086746,0.00385269430556139,1.0,0.7
SRSF10,2.8705256,0.51739943,0.004097900340380442,1.0,0.65
SVIL,2.814726,0.49340418,0.004881882446079328,1.0,0.69
PSMD2,2.799732,0.40806836,0.005114506173866674,1.0,0.79
QARS,2.7835221,0.6081059,0.005377221356045751,1.0,0.58
FAM171A1,2.7564328,0.60208917,0.005843562596952117,1.0,0.55
ARPC2,2.7499175,0.19207546,0.005961024839015702,1.0,0.98
TXNRD2,2.6727023,0.37748453,0.007524298146912255,1.0,0.88
SELENOH,2.593866,0.31398094,0.00949034476221907,1.0,0.9
SF3B5,2.5665586,0.36089215,0.010271326577698275,1.0,0.88
HIPK2,2.5371003,0.48857316,0.011177495194279685,1.0,0.66
SERINC1,2.5284653,0.5958072,0.011456240342924797,1.0,0.55
COTL1,2.510541,0.27341983,0.012054635617930907,1.0,0.91
BRK1,2.507829,0.30532634,0.012147548585644529,1.0,0.97
TRAPPC5,2.4934893,0.2774319,0.01264943880792663,1.0,0.82
ACTR6,2.490559,0.6813532,0.012754229212719981,1.0,0.46
SETD7,2.4895303,0.6914829,0.012791199121519563,1.0,0.39
ARPC1B,2.4663064,0.24527961,0.013651444475438949,1.0,0.99
ALG2,2.4630647,0.7482533,0.013775510456200827,1.0,0.37
ROBO4,2.4615371,0.40480632,0.013834308933288676,1.0,0.78
HIP1,2.4489744,0.76597327,0.014326362246711091,1.0,0.38
BRD7,2.4394667,0.3769485,0.0147089589060947,1.0,0.83
NEDD8,2.4168663,0.21382952,0.01565476485681194,1.0,0.98
EWSR1,2.4057999,0.46739808,0.016137098687151075,1.0,0.58
DCTN3,2.3948894,0.38227737,0.01662537786128054,1.0,0.72
NUP58,2.373006,0.7746517,0.017643974677513278,1.0,0.36
FAM192A,2.3716345,0.4925399,0.017709602266772203,1.0,0.55
PARP1,2.367582,0.42075786,0.017904753330237607,1.0,0.68
EXOSC1,2.3541152,0.6788778,0.018566852205377935,1.0,0.41
APLP2,2.351216,0.1574544,0.018712158067489312,1.0,0.99
DAZAP1,2.3482547,0.58277303,0.018861614957396623,1.0,0.47
MYL12B,2.3449504,0.12835039,0.01902960876415027,1.0,0.97
YLPM1,2.33856,0.6931785,0.019358217148110268,1.0,0.38
MAGI2-AS3,2.3324814,0.50574565,0.019675386528568116,1.0,0.55
C4orf3,2.3246257,0.31497106,0.02009198282252931,1.0,0.82
CSGALNACT2,2.3220384,0.7634883,0.0202308702637095,1.0,0.33
HIGD1A,2.3160532,0.42811662,0.020555366245547713,1.0,0.62
ARHGAP18,2.3155856,0.39773515,0.020580907588755755,1.0,0.69
PUDP,2.3146193,0.9871912,0.020633780741816838,1.0,0.3
HECTD1,2.3106914,0.40561795,0.020849905378867075,1.0,0.65
TTC37,2.3038023,0.48028463,0.021233748980003537,1.0,0.63
VPS29,2.3017137,0.3929408,0.021351327251438804,1.0,0.68
DNAJC15,2.2823553,0.38999736,0.02246837486384935,1.0,0.73
BMS1,2.2807655,0.6125742,0.02256233072770033,1.0,0.48
SDAD1,2.2775545,0.6284742,0.02275312646780882,1.0,0.43
ATAD1,2.27344,0.6083253,0.02299968981528845,1.0,0.45
PXDN,2.270416,0.3542811,0.02318235268255315,1.0,0.78
FAM107A,2.2693563,0.495853,0.023246676318251835,1.0,0.59
PDCD2,2.268421,0.4130841,0.0233035610943977,1.0,0.63
ITPR1,2.2467246,0.8558328,0.024657631444106504,1.0,0.32
SUDS3,2.2452595,0.6673998,0.024751478431005357,1.0,0.44
ZBTB8OS,2.2367494,0.5024725,0.02530273009333727,1.0,0.51
NIPSNAP3A,2.2348166,0.543789,0.02542939311700078,1.0,0.47
NIPSNAP1,2.234505,0.6129052,0.02544987393468858,1.0,0.4
GDF15,2.2288313,0.3897831,0.025825126237273958,1.0,0.69
E2F7,2.2235632,0.5859648,0.026177849578917167,1.0,0.43
