names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CAPZA1,3.5398486,0.6169222,0.0004003566860546394,1.0,0.9152542372881356
LDLR,3.5125983,0.6575041,0.0004437478488242744,1.0,0.8305084745762712
NSD3,3.4593196,0.7994649,0.0005415417047018214,1.0,0.6949152542372882
SNX9,3.294759,0.9292017,0.0009850614193811216,1.0,0.5932203389830508
ZNF106,3.0538647,0.6099761,0.002259138674263735,1.0,0.711864406779661
HNRNPDL,3.0261257,0.5284127,0.0024770928267954387,1.0,0.8813559322033898
GALNT6,2.9869406,0.684695,0.0028178436590175424,1.0,0.711864406779661
ABI2,2.9584684,0.6259607,0.003091718989091736,1.0,0.711864406779661
EZR,2.9453118,0.5536298,0.0032262943357539505,1.0,0.8813559322033898
C19orf25,2.935821,1.0717964,0.0033266625680305685,1.0,0.4576271186440678
SDHB,2.8177772,0.7071581,0.004835736202807824,1.0,0.6101694915254238
CHD3,2.7907712,0.74298555,0.005258261995965738,1.0,0.6610169491525424
LARP4,2.7874718,0.8625834,0.005312106292225582,1.0,0.5423728813559322
XIAP,2.7688162,0.7209683,0.00562603571660873,1.0,0.6101694915254238
EIF4EBP1,2.7125642,0.34228006,0.00667648557952907,1.0,0.9491525423728814
KIF5B,2.68511,0.4833618,0.007250589358701903,1.0,0.8813559322033898
INSIG1,2.6834402,0.48114532,0.007286901420534499,1.0,0.7966101694915254
ACTR3,2.6393266,0.4650061,0.008307093918653098,1.0,0.9322033898305084
DNM1L,2.5754573,0.5661283,0.010010761972442559,1.0,0.6440677966101694
NAV1,2.5707324,0.64818823,0.010148372950591079,1.0,0.6271186440677966
SNRPD2,2.532688,0.24781175,0.011319170411272277,1.0,0.9830508474576272
IFT57,2.5318732,0.49542305,0.011345501595216379,1.0,0.8135593220338984
CBL,2.5197756,0.72371846,0.011742969593269112,1.0,0.5254237288135594
ANKRD11,2.5172908,0.39618814,0.0118261169471435,1.0,0.9152542372881356
COQ9,2.5162318,0.9315461,0.011861715212037164,1.0,0.4406779661016949
EIF1,2.5156207,0.17442264,0.011882295867944705,1.0,1.0
TUT4,2.5034416,0.7273379,0.012299195991601848,1.0,0.576271186440678
TUBB,2.495458,0.3944614,0.012579464384238877,1.0,0.9152542372881356
GLRX3,2.494399,0.6740772,0.012617064477731454,1.0,0.6271186440677966
ANP32A,2.470122,0.5554916,0.013506691663820843,1.0,0.7796610169491526
ECI1,2.4592464,0.5644022,0.013922898799224686,1.0,0.6271186440677966
SNRNP70,2.4345624,0.6854798,0.014909809687194452,1.0,0.5932203389830508
C17orf49,2.4246643,0.44721654,0.01532254842184175,1.0,0.864406779661017
LPIN1,2.377455,0.6165031,0.017432574240724266,1.0,0.6610169491525424
UQCC1,2.361406,1.1348671,0.018205778852588443,1.0,0.3559322033898305
LRP10,2.3478827,0.51377136,0.018880458536542546,1.0,0.6610169491525424
C9orf16,2.346335,0.34504783,0.01895905842399122,1.0,0.9322033898305084
VAT1,2.3446243,0.34216306,0.019046264732711257,1.0,0.864406779661017
NDFIP1,2.3412435,0.55830413,0.019219632844036546,1.0,0.7457627118644068
RRS1,2.3359075,0.9367923,0.01949606875486386,1.0,0.3898305084745763
DKC1,2.3288605,0.70089304,0.019866451545442726,1.0,0.576271186440678
SMAP2,2.3256428,0.68986255,0.020037619186806473,1.0,0.5423728813559322
SDF2L1,2.3253982,0.55895,0.020050671697073166,1.0,0.6271186440677966
CD276,2.3236876,0.9586339,0.020142247224908462,1.0,0.3898305084745763
ZNF3,2.3128934,0.90886146,0.020728505024856396,1.0,0.3898305084745763
SCAF11,2.310205,0.42897055,0.020876809904684282,1.0,0.864406779661017
CD109,2.3040543,0.505394,0.02121959610002181,1.0,0.6949152542372882
HSPH1,2.3020992,0.4982528,0.021329583340044676,1.0,0.6610169491525424
CLIC4,2.2982702,0.37600544,0.02154641395193568,1.0,0.8305084745762712
DDX54,2.2928526,0.7789045,0.02185648358179279,1.0,0.4576271186440678
UVRAG,2.2819364,0.6827244,0.022493098462703483,1.0,0.5084745762711864
ACLY,2.2808774,0.39135107,0.022555708900749618,1.0,0.9152542372881356
HMGN3,2.2763968,0.4252234,0.022822278248813735,1.0,0.847457627118644
PRKCSH,2.266417,0.50648904,0.023425855852849096,1.0,0.7288135593220338
CCNI,2.259859,0.26499644,0.02382999468391533,1.0,1.0
EMC8,2.2521605,0.6473772,0.024312123163256934,1.0,0.5254237288135594
HNRNPR,2.2513459,0.41670653,0.02436363335785943,1.0,0.8135593220338984
KPNA2,2.248739,0.7003387,0.024529102112070718,1.0,0.559322033898305
MARCH7,2.231672,0.6384848,0.02563664928088881,1.0,0.5084745762711864
CYP51A1,2.2078433,0.40156406,0.02725520029209942,1.0,0.8813559322033898
SMG1,2.1942792,0.60621274,0.02821534158857308,1.0,0.5423728813559322
SKP1,2.1855216,0.24144474,0.028850619134602365,1.0,0.9661016949152542
CAPRIN1,2.1849513,0.40070117,0.02889240975137631,1.0,0.7627118644067796
AP1M1,2.175868,0.93204904,0.029565133843840904,1.0,0.3898305084745763
RRP1B,2.1757457,0.7565876,0.029574275013219326,1.0,0.4576271186440678
SLC38A1,2.171143,0.5578748,0.029920367035117957,1.0,0.6440677966101694
PTAR1,2.167314,0.95225257,0.030210913836619627,1.0,0.3728813559322034
BRIX1,2.16153,0.9129655,0.030654421293561624,1.0,0.3898305084745763
TTLL7,2.1549313,1.6835271,0.031167211608194623,1.0,0.2542372881355932
ITPRIPL2,2.1472328,0.74079597,0.03177475453354867,1.0,0.4576271186440678
PDCD2,2.135909,0.59177375,0.032686828517295326,1.0,0.6271186440677966
PSMA1,2.1332207,0.27890313,0.03290662808228697,1.0,0.847457627118644
VKORC1,2.1245446,0.37236136,0.03362463302087162,1.0,0.8135593220338984
WDR3,2.1223857,0.79889905,0.03380535942036841,1.0,0.4067796610169492
SF3B5,2.1164794,0.32532883,0.034304049769963575,1.0,0.8305084745762712
ATF2,2.1086996,1.0237774,0.0349705288983615,1.0,0.3389830508474576
CASP8AP2,2.107559,1.2679034,0.03506915580248531,1.0,0.288135593220339
AKAP13,2.0841782,0.6254575,0.037143951164281326,1.0,0.5254237288135594
ENTPD6,2.0835674,1.0040956,0.03719954270923667,1.0,0.3389830508474576
HSPA8,2.0792904,0.24182618,0.03759067024963165,1.0,0.9830508474576272
CSNK1A1,2.0717955,0.30702946,0.038284514882630814,1.0,0.8813559322033898
SPAG7,2.0715919,0.46973443,0.038303520305801905,1.0,0.6271186440677966
ACBD3,2.0712252,0.50889444,0.0383377502803014,1.0,0.6271186440677966
R3HDM1,2.063649,0.7769046,0.03905101329293454,1.0,0.423728813559322
HMGCR,2.0636082,0.48132613,0.03905487829554657,1.0,0.6610169491525424
SAMD9L,2.0588017,0.9877828,0.03951323540407819,1.0,0.3389830508474576
RAB1B,2.0573761,0.50681007,0.039650063746981476,1.0,0.5932203389830508
TNK2,2.0481706,1.7188612,0.04054330000176802,1.0,0.23728813559322035
TNFRSF12A,2.0454414,0.42906895,0.04081136519565155,1.0,0.8135593220338984
CAD,2.043079,1.2804177,0.04104463316554763,1.0,0.288135593220339
PPFIBP1,2.0375392,0.40011424,0.04159603967469643,1.0,0.6949152542372882
ZNF827,2.0372949,0.63883364,0.04162051019915071,1.0,0.4745762711864407
YWHAZ,2.0368466,0.18508871,0.0416654044833248,1.0,1.0
SH3KBP1,2.0287,0.48689964,0.04248884055705766,1.0,0.6949152542372882
STRN3,2.0268672,0.5866446,0.04267599860776494,1.0,0.5254237288135594
JUND,2.0265412,0.28593618,0.042709344024383054,1.0,0.864406779661017
MAK16,2.023242,0.7363263,0.043048208863050906,1.0,0.4406779661016949
TBL1XR1,2.0132625,0.41040456,0.044087032115183784,1.0,0.7288135593220338
PKIG,2.009352,0.3717735,0.04449981245273974,1.0,0.711864406779661
PPP5C,2.0084968,0.67904073,0.044590541524203775,1.0,0.4576271186440678
SRSF6,2.0045455,0.54227006,0.045011651187585607,1.0,0.5423728813559322
KDELR2,2.002061,0.3350712,0.04527818645600946,1.0,0.8305084745762712
UBE2V2,1.9967656,0.425548,0.04585065348786092,1.0,0.6440677966101694
UQCRFS1,1.9882116,0.33946735,0.046788283018993855,1.0,0.8305084745762712
EP300,1.9843421,0.7662491,0.047217719839088346,1.0,0.4067796610169492
SAMD9,1.9809612,0.9116588,0.04759562075450165,1.0,0.3389830508474576
ELK4,1.9775397,0.5712417,0.04798066022495443,1.0,0.5423728813559322
NR2F1,1.9686599,0.3868454,0.04899215751851105,1.0,0.7796610169491526
KIAA1522,1.9632832,1.0652089,0.049613279276774495,1.0,0.288135593220339
CLINT1,1.9603912,0.46534824,0.04995009035163161,1.0,0.6440677966101694
GALE,1.9575806,0.83020276,0.05027924854135621,1.0,0.3559322033898305
PDXDC1,1.9571325,0.552179,0.0503318906734546,1.0,0.4745762711864407
SPTBN1,1.9559512,0.33859044,0.05047089592736429,1.0,0.8813559322033898
PEX2,1.9558698,0.6228732,0.05048049434253979,1.0,0.4406779661016949
PPP4R3A,1.9552588,0.8397659,0.050552531221545,1.0,0.423728813559322
BCAT2,1.9534665,0.5076901,0.05076433644278325,1.0,0.5084745762711864
MTDH,1.950045,0.25719237,0.051170756268461334,1.0,0.9830508474576272
IPO5,1.9479676,0.5381151,0.0514188377274676,1.0,0.5423728813559322
PKIA,1.9476825,0.59778196,0.05145296656663854,1.0,0.4915254237288136
SERINC3,1.9414911,0.37413177,0.052198738534822715,1.0,0.847457627118644
CATSPER1,1.9407986,1.7631626,0.0522827065133945,1.0,0.22033898305084745
CAMTA1,1.937092,0.27211246,0.052734104985369866,1.0,0.7457627118644068
MANF,1.9368068,0.5353507,0.05276896245741959,1.0,0.5423728813559322
DNTTIP2,1.9362773,0.818095,0.052833748853442726,1.0,0.3898305084745763
FNDC3A,1.9288232,0.55814284,0.05375281775933046,1.0,0.6101694915254238
COMMD8,1.9286195,0.71736115,0.053778115085919266,1.0,0.423728813559322
TMEM132A,1.9228355,0.752408,0.05450071918251286,1.0,0.3728813559322034
HNRNPUL1,1.9174587,0.58571416,0.055179682143712216,1.0,0.5932203389830508
MARCKSL1,1.9111043,0.3146682,0.05599116835054392,1.0,0.8135593220338984
CBX5,1.9093935,0.42619652,0.056211335747574837,1.0,0.6949152542372882
SNHG6,1.9092714,0.19418053,0.056227089534948385,1.0,0.9661016949152542
CD3EAP,1.9092714,0.84814894,0.056227089534948385,1.0,0.3220338983050847
BORCS7,1.900025,0.77894473,0.05742983338484005,1.0,0.3728813559322034
GPATCH2L,1.8985994,0.5453163,0.05761716842026578,1.0,0.4915254237288136
CSNK1E,1.8955444,0.42744344,0.05802031169637218,1.0,0.6779661016949152
R3HDM2,1.8896788,0.4752239,0.058800918338862196,1.0,0.5932203389830508
AHCYL1,1.8896382,0.3647773,0.05880636955722148,1.0,0.7627118644067796
CBWD1,1.8895974,1.3344293,0.05881182119517926,1.0,0.2542372881355932
ELOVL1,1.8893123,0.46481884,0.058849994411593026,1.0,0.576271186440678
SRGAP2,1.8831209,0.7657448,0.059683984805972645,1.0,0.3728813559322034
XPO7,1.8822656,1.1039536,0.05979997428258048,1.0,0.3220338983050847
NCOA3,1.882184,0.44728616,0.05981103064371243,1.0,0.6101694915254238
B4GALT1,1.8803511,0.4471618,0.06006024735480626,1.0,0.5423728813559322
MIR99AHG,1.8800251,0.51567405,0.06010464256779649,1.0,0.5084745762711864
PHACTR4,1.8798623,0.5332073,0.06012685037586649,1.0,0.5084745762711864
PHB,1.8793734,0.3217024,0.06019351462430462,1.0,0.7796610169491526
FUBP1,1.8771331,0.54027855,0.06049984364208694,1.0,0.4915254237288136
SARNP,1.8765222,0.3871283,0.06058361180251949,1.0,0.7457627118644068
HNRNPA0,1.873182,0.4850675,0.06104324508891309,1.0,0.6271186440677966
TSC22D1,1.872286,0.37982285,0.061167051604214394,1.0,0.711864406779661
OSBPL11,1.8722045,1.0037457,0.06117831704715099,1.0,0.288135593220339
CALU,1.8700457,0.19230348,0.06147747798607074,1.0,0.9661016949152542
SIVA1,1.8650355,0.38282454,0.06217642633871852,1.0,0.6101694915254238
ACO2,1.8639357,0.63062125,0.06233073077184439,1.0,0.4406779661016949
SVBP,1.8611251,0.8863754,0.06272650396579635,1.0,0.3728813559322034
PGM3,1.8604734,0.56660503,0.06281857363533178,1.0,0.4067796610169492
DHX36,1.8580295,0.45152223,0.06316483054525468,1.0,0.6949152542372882
MAP3K20,1.8547708,0.46449053,0.0636289587309319,1.0,0.6610169491525424
STARD7,1.8525305,0.5304718,0.06394967828798608,1.0,0.5254237288135594
TRMT6,1.8446691,0.8759805,0.0650856907940597,1.0,0.3220338983050847
CDC34,1.8426324,0.5900728,0.0653826940695032,1.0,0.4406779661016949
ACTB,1.8413697,0.113264695,0.06556739671037352,1.0,1.0
ACO1,1.8403921,0.40663165,0.0657106875551372,1.0,0.6610169491525424
ZNF10,1.8370113,0.497689,0.06620822635761567,1.0,0.559322033898305
CEP250,1.8357893,0.69414675,0.06638882159837195,1.0,0.3559322033898305
NOTCH1,1.8317975,0.8114624,0.06698159590231795,1.0,0.3389830508474576
GTPBP6,1.8309828,0.55292237,0.0671031040321878,1.0,0.5254237288135594
PJA2,1.8302089,0.39655715,0.06721870475548869,1.0,0.6779661016949152
GNA12,1.828824,0.8450161,0.0674259782784993,1.0,0.3389830508474576
KRTCAP2,1.8283759,0.303295,0.06749314985443251,1.0,0.9491525423728814
ITFG1,1.8258913,0.5700139,0.06786664675528041,1.0,0.4576271186440678
UBC,1.8251988,0.26436275,0.0679710384292345,1.0,1.0
