names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPS6KA2,3.1483693,0.68217224,0.0016418411220645154,1.0,0.53125
RALA,2.9771948,0.32988948,0.0029089913258825172,1.0,0.8203125
RAD21,2.9541352,0.4658474,0.003135466706170328,1.0,0.7109375
TMEM179B,2.7915633,0.57354987,0.005245409718950932,1.0,0.5
GPAA1,2.7735884,0.4779602,0.0055441788743554495,1.0,0.5859375
LMAN2,2.7534146,0.39451817,0.005897716039021328,1.0,0.7890625
SUMO2,2.7254076,0.21340355,0.006422213240013239,1.0,0.9765625
TMEM30A,2.6895676,0.29554093,0.007154463910833975,1.0,0.828125
PCBP2,2.6723623,0.19456668,0.007531928689398631,1.0,0.9609375
ELAVL1,2.630091,0.4964421,0.008536205514014402,1.0,0.53125
RPL23,2.6144795,0.057830635,0.008936351095048778,1.0,1.0
TMEM134,2.5325477,0.5719877,0.011323695041527094,1.0,0.5
ROBO4,2.495306,0.38467684,0.012584854940177666,1.0,0.75
KRTCAP2,2.4941516,0.22745001,0.012625859001367487,1.0,0.875
MPLKIP,2.4912107,0.3874216,0.012730856659964207,1.0,0.6484375
CTSZ,2.4290955,0.18858118,0.015136547831280902,1.0,0.984375
CCT2,2.4071627,0.3367422,0.016077007612774474,1.0,0.7734375
POLR2K,2.3849826,0.35187882,0.0170799326860118,1.0,0.765625
STARD3NL,2.379513,0.56980187,0.017335528034703805,1.0,0.4453125
NUTM2A-AS1,2.378881,0.46574718,0.017365284376269226,1.0,0.5390625
FBRS,2.351891,1.0759714,0.018678248538600853,1.0,0.2421875
EIF2AK4,2.3388357,0.3233048,0.01934393532148432,1.0,0.6640625
TRMT10C,2.3345757,0.6146361,0.019565600690293047,1.0,0.3828125
BCAP29,2.2616038,0.31409377,0.023721891419569353,1.0,0.703125
PRMT2,2.2600372,0.30928057,0.02381894218089598,1.0,0.7109375
WBP1,2.2321951,0.6064379,0.02560206283915866,1.0,0.3671875
METTL9,2.2252965,0.35623556,0.02606133538994538,1.0,0.65625
TCF4,2.2170787,0.30568612,0.026617717104584094,1.0,0.7734375
THUMPD3-AS1,2.1881099,0.5651389,0.028661604530961293,1.0,0.4375
NXN,2.1811013,0.78469056,0.02917593078643431,1.0,0.3125
FBXW5,2.1726084,0.6282374,0.02980979907489159,1.0,0.375
PSMG2,2.1512804,0.39884916,0.03145407848566086,1.0,0.578125
KIAA0355,2.1508682,0.4986797,0.031486613837751115,1.0,0.4453125
CCT4,2.1499336,0.22804114,0.03156046752497382,1.0,0.859375
MRPL3,2.1414135,0.3801115,0.03224071933013782,1.0,0.5859375
NOP10,2.1324258,0.26139754,0.0329718532436197,1.0,0.96875
MRPL21,2.110658,0.39187062,0.034801718455482064,1.0,0.546875
KDELR2,2.101698,0.2528357,0.03557973917504121,1.0,0.84375
ARPC4,2.0854821,0.31715766,0.037025566793323514,1.0,0.65625
MEF2C,2.0834756,0.5467763,0.03720788820501021,1.0,0.3828125
ICMT,2.0760274,0.5560365,0.03789142504186496,1.0,0.359375
TNPO2,2.0680568,0.7398614,0.038634686372307894,1.0,0.2734375
UBE2H,2.065281,0.30880004,0.03889643871612114,1.0,0.6953125
TERF1,2.0633569,0.5181311,0.0390787338097604,1.0,0.4296875
CKLF,2.049917,0.31446958,0.04037254343279031,1.0,0.703125
PCBP1,2.0368617,0.23955028,0.0416639079157827,1.0,0.8359375
PXMP2,2.0348828,0.6129504,0.04186267147577707,1.0,0.34375
MLEC,2.030238,0.34088197,0.04233236856808329,1.0,0.6640625
SHC1,2.0298257,0.23943658,0.042374272221233536,1.0,0.796875
AFAP1L1,2.0285888,0.6714795,0.04250019375670017,1.0,0.296875
TOMM40,2.0265548,0.5026407,0.04270795281237417,1.0,0.3984375
C4orf3,1.991457,0.25853047,0.0464306711340547,1.0,0.796875
SNHG29,1.9870044,0.15819325,0.04692190313499095,1.0,1.0
SC5D,1.9764229,0.4932564,0.0481069050219569,1.0,0.421875
YTHDC1,1.9705411,0.43312347,0.04877638533208178,1.0,0.484375
TMSB10,1.9629829,0.06005892,0.04964816674318112,1.0,1.0
LMNB2,1.938494,0.7402406,0.05256298129053758,1.0,0.2578125
PRKDC,1.9356905,0.14843246,0.05290561007808394,1.0,0.890625
TCP1,1.9258236,0.30529025,0.05412640705150802,1.0,0.6953125
RRP36,1.915187,0.37282893,0.05546865927577965,1.0,0.5078125
LGALS3,1.9014447,0.33668005,0.057243793613645344,1.0,0.609375
DDAH2,1.8974044,0.36222732,0.05777458269034813,1.0,0.5234375
MPC2,1.8909456,0.34619996,0.05863161683797209,1.0,0.5390625
AC010642.2,1.8894614,0.36302298,0.05883003702320639,1.0,0.515625
GNS,1.8820405,0.31404662,0.05983051858178205,1.0,0.5625
