names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ATP5MF,3.1990266,0.34117287,0.0013789241479641046,1.0,0.9722222222222222
TSEN15,2.9767637,0.77636456,0.0029130835333856307,1.0,0.4444444444444444
ECE1,2.8747897,0.35144538,0.004042967524104902,1.0,0.8888888888888888
CCDC80,2.8642385,0.4613549,0.0041801310233015735,1.0,0.7685185185185185
MDM2,2.8388798,0.467399,0.0045272195735374,1.0,0.6944444444444444
JUN,2.7670305,0.44050834,0.005656948465047796,1.0,0.6759259259259259
ATP1B3,2.7122965,0.37526935,0.0066818804485898,1.0,0.8425925925925926
FBN2,2.6766865,0.60330695,0.007435418574119779,1.0,0.5
FBXW11,2.6228518,0.4858052,0.008719720328209331,1.0,0.5740740740740741
ACBD3,2.6194947,0.49656323,0.008806017056605631,1.0,0.5833333333333334
GNS,2.5432987,0.43303356,0.010981129887054195,1.0,0.6388888888888888
RIN2,2.5377235,0.7188627,0.01115761206809011,1.0,0.4074074074074074
SRP14,2.5338566,0.16186593,0.011281486032971334,1.0,0.9907407407407407
ATP5MPL,2.5321782,0.18140222,0.011335639837488464,1.0,0.9722222222222222
MMRN2,2.4985163,0.426299,0.0124714357669201,1.0,0.6111111111111112
AFF4,2.475256,0.5319092,0.013314069420018662,1.0,0.5092592592592593
CTSZ,2.460838,0.1905051,0.01386128760579946,1.0,0.9722222222222222
IGFBP7,2.4552028,0.272981,0.014080508664152412,1.0,0.9629629629629629
PDLIM3,2.4353297,0.32674634,0.014878228788846995,1.0,0.8240740740740741
TMEM59,2.4330816,0.34744608,0.014970929412071232,1.0,0.7592592592592593
PPP6R3,2.4108703,0.8190865,0.015914509759032965,1.0,0.32407407407407407
SUPT6H,2.3817647,0.63042593,0.017229901186217766,1.0,0.42592592592592593
CISD3,2.3517,0.4801424,0.01868783777993994,1.0,0.5277777777777778
DGKZ,2.3385112,0.7152123,0.019360747825849903,1.0,0.37037037037037035
ESF1,2.3308675,0.38126498,0.019760342857077062,1.0,0.6666666666666666
CCDC6,2.327031,0.60926443,0.01996362507357579,1.0,0.46296296296296297
SYNPO,2.3264613,0.64289004,0.01999395484817728,1.0,0.37962962962962965
CYB5B,2.323344,0.35234395,0.0201606840700065,1.0,0.6851851851851852
HEBP2,2.3179784,0.28193498,0.020450492862210033,1.0,0.8611111111111112
CBX1,2.3153706,0.40869498,0.020592657152169524,1.0,0.5925925925925926
DNAJB11,2.2988546,0.5022161,0.021513200557810894,1.0,0.5185185185185185
SEL1L3,2.2983449,0.5372402,0.02154216292876109,1.0,0.49074074074074076
FAM49B,2.295767,0.4321745,0.021689199256188518,1.0,0.5555555555555556
SNX14,2.284137,0.53275734,0.02236348471788691,1.0,0.4444444444444444
RB1,2.2785916,0.57037187,0.02269135374326889,1.0,0.4444444444444444
MSL3,2.271098,0.52964604,0.023141051550328633,1.0,0.48148148148148145
CALCRL,2.2661521,0.34741843,0.023442073891374253,1.0,0.7962962962962963
EMC1,2.2620456,0.66265255,0.023694590391222264,1.0,0.42592592592592593
WWP1,2.2397742,0.3987291,0.025105580360482868,1.0,0.6666666666666666
DHX36,2.2302423,0.35539684,0.025731361023266747,1.0,0.6666666666666666
ARL6IP4,2.2157044,0.26215068,0.026711743358195466,1.0,0.9537037037037037
