names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
HLA-E,3.4937444,0.36239254,0.0004762966510484438,1.0,0.9626168224299065
ATP5PF,3.257204,0.36020178,0.0011251550661054164,1.0,0.9532710280373832
DDOST,3.1247487,0.49134052,0.0017795702729153026,1.0,0.7289719626168224
NFE2L1,3.0743928,0.52716744,0.002109315499973383,1.0,0.6822429906542056
PAK2,3.0650563,0.38164732,0.002176289407204396,1.0,0.8878504672897196
S100A16,2.9407628,0.20375523,0.003274051644395692,1.0,0.9906542056074766
MARCH2,2.884745,0.95258474,0.003917310583130746,1.0,0.3644859813084112
AGO3,2.8569467,0.7326907,0.004277377358794118,1.0,0.4672897196261682
UBE2W,2.7971942,0.70505124,0.005154854845822425,1.0,0.4672897196261682
VIM,2.7766843,0.07109735,0.005491648507390877,1.0,1.0
METRNL,2.7602103,0.7003926,0.00577641761181147,1.0,0.4485981308411215
SMIM4,2.7193413,0.599886,0.006541209383087092,1.0,0.5327102803738317
UXT,2.709764,0.33892825,0.006733110955218409,1.0,0.8130841121495327
ERG28,2.700277,0.46120712,0.0069281760125765104,1.0,0.7009345794392523
TNFRSF10A,2.6712139,0.83848673,0.007557746023049243,1.0,0.411214953271028
PDLIM1,2.6526918,0.14145891,0.007985272978670068,1.0,0.9813084112149533
SMTN,2.6094737,0.6922474,0.009068161565097651,1.0,0.40186915887850466
LMAN1,2.5801396,0.33071008,0.009876039373455239,1.0,0.8785046728971962
PPT1,2.5252962,0.5082233,0.011560082296725527,1.0,0.5700934579439252
AGPAT3,2.521682,0.69717413,0.011679520687994329,1.0,0.411214953271028
CRAT,2.4979799,0.8815136,0.012490328634555537,1.0,0.3177570093457944
TOMM20,2.4831622,0.2766458,0.013022177291585276,1.0,0.9532710280373832
TSSC4,2.45428,0.7705803,0.014116708149030212,1.0,0.34579439252336447
KLHL36,2.433288,0.7376746,0.014962388384751555,1.0,0.38317757009345793
TXNL4A,2.4040744,0.28642288,0.016213469803247903,1.0,0.8130841121495327
RBBP7,2.394166,0.41899034,0.01665821123244727,1.0,0.6448598130841121
UBE2Q2,2.3619707,0.6003523,0.0181780815269965,1.0,0.4205607476635514
ZNF593,2.343599,0.35766518,0.01909868467507608,1.0,0.7102803738317757
ELOVL1,2.3140543,0.44564697,0.02066474937627349,1.0,0.5514018691588785
PYURF,2.31041,0.31350705,0.020865464980320603,1.0,0.8037383177570093
YIPF3,2.3043263,0.42490527,0.021204331103559088,1.0,0.5514018691588785
TMEM219,2.300351,0.34620622,0.02142834944380953,1.0,0.7289719626168224
MEA1,2.2948394,0.5182108,0.021742327950334796,1.0,0.5046728971962616
CTBP1,2.2940865,0.45814708,0.021785530541921564,1.0,0.5700934579439252
SH3KBP1,2.2896593,0.4046854,0.022041075946473237,1.0,0.6635514018691588
F2R,2.282642,0.26483873,0.02245146659270515,1.0,0.8504672897196262
DCTN2,2.27695,0.35191405,0.022789222250992915,1.0,0.6915887850467289
RDH11,2.2745104,0.37717247,0.022935320774719013,1.0,0.6635514018691588
LPGAT1,2.2574039,0.514014,0.023982856619876664,1.0,0.4485981308411215
CHMP4B,2.2550244,0.43717217,0.024131790494415547,1.0,0.5981308411214953
TMX4,2.2468626,0.4364061,0.0246487999735219,1.0,0.5420560747663551
CBX3,2.240267,0.23796104,0.025073588721690417,1.0,0.8785046728971962
PFDN6,2.2303283,0.47289726,0.02572564821153495,1.0,0.5607476635514018
CEP70,2.2287924,1.3382585,0.025827718419503556,1.0,0.21495327102803738
GPX8,2.2238834,0.41362178,0.02615629459308038,1.0,0.6074766355140186
SMAGP,2.2189744,0.5425378,0.026488477566467345,1.0,0.4485981308411215
SETX,2.1860862,0.65456194,0.02880929481518887,1.0,0.4205607476635514
