names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MRPL36,3.259424,0.6815824,0.0011163867346543777,1.0,0.691358024691358
PPP1R12A,2.9671848,0.6917386,0.0030054032285386023,1.0,0.6296296296296297
NUDT5,2.91476,0.5577064,0.003559621710825988,1.0,0.654320987654321
MARCH7,2.828299,0.79117537,0.004679606596350926,1.0,0.5061728395061729
TAX1BP1,2.7957895,0.48199922,0.005177311069445632,1.0,0.7901234567901234
SEC11A,2.7531836,0.3180704,0.005901879669934882,1.0,0.9753086419753086
DKC1,2.716545,0.5470521,0.006596718416087043,1.0,0.6172839506172839
NOLC1,2.6555507,0.6538418,0.00791790273687652,1.0,0.5308641975308642
GPATCH2,2.6298761,0.9246136,0.00854159869153973,1.0,0.4074074074074074
CCDC85B,2.6268923,0.33744,0.008616859780556953,1.0,0.9259259259259259
RPS27L,2.6069078,0.23056373,0.009136396569646418,1.0,1.0
DDOST,2.5915725,0.46739444,0.009553843462318277,1.0,0.7530864197530864
PREP,2.56621,1.1923187,0.010281653773713064,1.0,0.32098765432098764
CCN2,2.5565648,0.41206387,0.010571139356026146,1.0,0.8888888888888888
CLIC1,2.5524013,0.2528432,0.010698321405924747,1.0,0.9506172839506173
PCNP,2.53887,0.48469642,0.011121110534916332,1.0,0.654320987654321
HNRNPDL,2.5001848,0.4329099,0.012412855760273137,1.0,0.8765432098765432
SMURF2,2.4922395,0.41228864,0.012694041054521335,1.0,0.8641975308641975
SELENOH,2.4662526,0.34617287,0.013653499322230334,1.0,0.9135802469135802
SSBP1,2.4422781,0.30857685,0.014594897690583261,1.0,0.8518518518518519
IGFBP6,2.353423,0.53063136,0.018601448636491904,1.0,0.6296296296296297
UBE2S,2.3269506,0.50459725,0.019967892413556138,1.0,0.6666666666666666
LENG1,2.324869,1.0913516,0.020078970426679093,1.0,0.30864197530864196
SRI,2.3186584,0.3095144,0.02041356351676182,1.0,0.7777777777777778
RPN2,2.3015883,0.25458407,0.021358400048833492,1.0,0.9135802469135802
PDS5A,2.2944758,0.5763497,0.021763186223214544,1.0,0.5679012345679012
BAG3,2.2770586,0.86944854,0.02278272254688035,1.0,0.35802469135802467
LSM12,2.2654011,0.49412122,0.023488082174802104,1.0,0.5925925925925926
KRT8,2.252425,0.3520887,0.024295431331243206,1.0,0.8518518518518519
BBIP1,2.251384,0.5311083,0.024361221879380418,1.0,0.5061728395061729
SNRPG,2.205933,0.2797683,0.027388683542904992,1.0,0.9012345679012346
XRN2,2.2030535,0.3021609,0.027590985671076693,1.0,0.8641975308641975
PPIB,2.2012491,0.19228661,0.02771838476227735,1.0,1.0
CAAP1,2.1987858,0.87292045,0.027893152489207138,1.0,0.35802469135802467
S100A6,2.1973634,0.11364751,0.027994506756694654,1.0,1.0
HMGA1,2.195004,0.21093756,0.028163306444009353,1.0,0.9876543209876543
DESI2,2.187371,0.54759496,0.028715446017823745,1.0,0.49382716049382713
ACTR1A,2.1871629,0.61382776,0.02873063403246856,1.0,0.48148148148148145
TXNRD1,2.1826873,0.32153407,0.029058853465706098,1.0,0.9259259259259259
LRRC8C,2.1668315,0.78589636,0.030247712134054215,1.0,0.35802469135802467
NIFK,2.157984,0.52290344,0.030929069877566554,1.0,0.5432098765432098
ZNF791,2.156978,0.7355849,0.03100738568268151,1.0,0.3950617283950617
UBE2G1,2.154584,0.5983993,0.031194407870301543,1.0,0.4567901234567901
SINHCAF,2.141469,0.4902013,0.032236230249409754,1.0,0.5925925925925926
GDI2,2.141018,0.2749681,0.03227258420397317,1.0,0.8024691358024691
HLA-E,2.1300542,0.19338034,0.03316713194858601,1.0,0.8888888888888888
ASXL1,2.1279032,0.4591591,0.033345112703278515,1.0,0.6172839506172839
RSL24D1,2.1183271,0.29002085,0.034147363078788934,1.0,0.8518518518518519
MPG,2.1119432,0.34257355,0.03469131378567079,1.0,0.7530864197530864
DALRD3,2.1096187,0.6736286,0.03489121249110576,1.0,0.4074074074074074
EIF4B,2.0986202,0.3087178,0.03585038911086778,1.0,0.8765432098765432
YWHAQ,2.0971284,0.2532716,0.03598221442865121,1.0,0.8518518518518519
UROS,2.093624,0.59438074,0.03629347706005385,1.0,0.4567901234567901
CPT1A,2.0828686,0.7243023,0.03726320706464419,1.0,0.37037037037037035
SELENOK,2.0795724,0.43107608,0.03756476270550016,1.0,0.6790123456790124
AIMP1,2.0792255,0.3975124,0.03759662586784654,1.0,0.654320987654321
EXT2,2.0707946,0.46597388,0.03837799952047294,1.0,0.5432098765432098
RBPMS,2.0701354,0.5081005,0.0384396722631097,1.0,0.5802469135802469
DRAP1,2.0675678,0.2853242,0.03868067494702995,1.0,0.9382716049382716
FTSJ1,2.0654862,1.3317416,0.038877023961423694,1.0,0.24691358024691357
UPK3BL1,2.0563612,0.97045946,0.039747706639830835,1.0,0.30864197530864196
ATRAID,2.047722,0.3534298,0.040587235536216994,1.0,0.7530864197530864
BSG,2.0451894,0.27054375,0.04083619381479174,1.0,0.9382716049382716
BAZ1B,2.0392218,0.532276,0.04142790165480114,1.0,0.5555555555555556
GNG5,2.0337398,0.28250864,0.041977829732091215,1.0,0.9629629629629629
HNRNPH1,2.0238864,0.40410253,0.042981843548839535,1.0,0.7160493827160493
LMAN1,2.0211802,0.29445776,0.04326112077879067,1.0,0.8641975308641975
MRPS12,2.0201046,0.3931064,0.0433725405895034,1.0,0.6172839506172839
ALG6,2.0132003,1.3401614,0.04409357225267865,1.0,0.2345679012345679
SNCA,2.0038671,0.26655558,0.04508429449111528,1.0,0.8395061728395061
THYN1,2.0014038,0.5419429,0.04534889517331863,1.0,0.4691358024691358
COPZ1,1.9984894,0.38589394,0.04566363309867102,1.0,0.6172839506172839
GSTO1,1.9961995,0.2316289,0.0459122165547566,1.0,0.8518518518518519
