names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PDCD6,3.1393442,0.50022876,0.0016932635146116566,1.0,0.7926829268292683
TXNIP,3.0643501,0.563476,0.0021814345501973017,1.0,0.7317073170731707
DHX36,2.9511864,0.56566036,0.0031655579973968464,1.0,0.6707317073170732
ARIH1,2.9397736,0.77302575,0.003284522480901591,1.0,0.5
GABARAPL2,2.8933978,0.43136516,0.0038109833329244584,1.0,0.8170731707317073
BLOC1S1,2.8320577,0.45359674,0.004624950725596997,1.0,0.7926829268292683
CTTN,2.8155417,0.5902584,0.004869507771004439,1.0,0.6707317073170732
CST3,2.8057837,0.26801965,0.005019435406520944,1.0,1.0
VPS28,2.787923,0.30246204,0.005304712875257377,1.0,0.8780487804878049
XPNPEP3,2.786406,0.9374351,0.005329607157877257,1.0,0.3780487804878049
MED31,2.783889,0.6665091,0.005371141849533031,1.0,0.5609756097560976
P4HB,2.7712348,0.32968968,0.005584414789155633,1.0,0.975609756097561
DDT,2.6332798,0.339387,0.008456463164214419,1.0,0.9512195121951219
STRAP,2.6125917,0.4630476,0.008985855247846486,1.0,0.7317073170731707
FAM210B,2.593007,0.5144187,0.0095140801941677,1.0,0.6585365853658537
ANXA11,2.5454936,0.4495324,0.010912338430378183,1.0,0.6951219512195121
SOX7,2.5425282,0.57473934,0.011005370535244885,1.0,0.5609756097560976
ELOC,2.5104961,0.3499799,0.012056160877156514,1.0,0.9146341463414634
GDF15,2.4739819,0.4670692,0.013361650197463977,1.0,0.7195121951219512
RBMX,2.4298818,0.43158686,0.015103749559325912,1.0,0.6707317073170732
WDR1,2.4297438,0.36469337,0.015109497779739484,1.0,0.8414634146341463
PIH1D1,2.4285026,0.648964,0.015161318525571304,1.0,0.45121951219512196
ESD,2.4168482,0.37377793,0.0156555413264987,1.0,0.8048780487804879
SMAD4,2.4134347,0.7597827,0.01580295739608231,1.0,0.4268292682926829
SEC62,2.3786788,0.3285795,0.017374808222728355,1.0,0.8536585365853658
RBM8A,2.3744032,0.35791814,0.01757734115720865,1.0,0.7926829268292683
PTRH1,2.3568873,0.5354791,0.018428835076412832,1.0,0.5365853658536586
COX7B,2.350612,0.30160278,0.018742566221530952,1.0,0.9634146341463414
RBX1,2.3387508,0.31141832,0.019348332111692755,1.0,0.926829268292683
ATP6V1F,2.3353028,0.30618665,0.019527606266953736,1.0,0.8780487804878049
RPS27L,2.3333719,0.22560994,0.01962863226691012,1.0,1.0
TYMS,2.3289585,0.8949918,0.019861264608043966,1.0,0.3780487804878049
B4GALT3,2.3216143,1.1150334,0.020253716823919184,1.0,0.2926829268292683
GCSH,2.3206143,0.3685147,0.02030766917857524,1.0,0.7804878048780488
MAP1LC3B,2.3163733,0.4511734,0.020537897605280964,1.0,0.7073170731707317
MYL6,2.3122013,0.16299906,0.02076660012314571,1.0,1.0
RPS25,2.308684,0.09133588,0.02096111203687873,1.0,1.0
S100A6,2.2906857,0.131711,0.02198160515061922,1.0,1.0
DPM3,2.271894,0.44968417,0.023092917882262178,1.0,0.6707317073170732
FBN1,2.2608948,0.5048235,0.023765773878925013,1.0,0.6707317073170732
UFM1,2.2557573,0.46723226,0.024085838749233816,1.0,0.6219512195121951
PSMA2,2.2508612,0.33354676,0.024394338525975896,1.0,0.8780487804878049
SRPX,2.2504818,0.31187347,0.02441837867777054,1.0,0.8414634146341463
JUND,2.2478957,0.31412736,0.024582836677609923,1.0,0.9146341463414634
MED27,2.2406895,1.0611718,0.02504619904286919,1.0,0.2804878048780488
DOCK4,2.2049336,0.5055347,0.02745875658920011,1.0,0.6097560975609756
COPZ1,2.1995893,0.4562002,0.027836057561701103,1.0,0.6463414634146342
LGALS3,2.1983135,0.410069,0.02792678101302511,1.0,0.6829268292682927
NTM,2.190176,1.3297102,0.02851146903133962,1.0,0.23170731707317074
TMA7,2.1805217,0.16477165,0.029218815414525645,1.0,0.9878048780487805
RER1,2.1762805,0.39278656,0.029534285063215468,1.0,0.7682926829268293
KIF5B,2.175384,0.3305414,0.029601343503642352,1.0,0.8414634146341463
TRIM27,2.1742463,0.5369526,0.029686644679798927,1.0,0.5
STXBP2,2.1593509,1.0178843,0.030822956179459304,1.0,0.3048780487804878
MDH2,2.1582475,0.3098657,0.030908593413764198,1.0,0.8658536585365854
B2M,2.1446278,0.10403432,0.03198261223451147,1.0,1.0
CPNE3,2.1379042,0.33866096,0.03252451533132356,1.0,0.8292682926829268
WSB1,2.1369734,0.3711207,0.03260016445117798,1.0,0.8292682926829268
KIF2A,2.136801,0.48095465,0.03261419007263702,1.0,0.5853658536585366
SUB1,2.1360767,0.18565081,0.03267315413233396,1.0,0.9146341463414634
EXOC1,2.1269395,0.5113996,0.03342510397522669,1.0,0.5487804878048781
UBE2W,2.118423,0.58289856,0.03413926043421243,1.0,0.45121951219512196
RNASET2,2.1096652,0.54784155,0.03488721733109874,1.0,0.4634146341463415
IFI27,2.1025622,0.21984646,0.0355040619798258,1.0,1.0
ADAR,2.0993211,0.520746,0.03578861214618634,1.0,0.5853658536585366
ZDHHC24,2.09839,0.5880745,0.035870703341514466,1.0,0.43902439024390244
PPP1R12A,2.094287,0.46621394,0.03623442882035102,1.0,0.5975609756097561
PTPN18,2.085184,0.94432634,0.03705258598762626,1.0,0.2926829268292683
AURKAIP1,2.0832877,0.29612672,0.037225001089155704,1.0,0.8902439024390244
THOC3,2.0825982,0.71621495,0.03728786659979523,1.0,0.3780487804878049
ANXA7,2.0801156,0.44293332,0.03751493125324874,1.0,0.5975609756097561
SLC25A1,2.0784261,0.31995118,0.037670133353992635,1.0,0.7317073170731707
MICAL2,2.0673923,0.48918208,0.03869719001526542,1.0,0.524390243902439
UFC1,2.0653582,0.33953777,0.038889128641915634,1.0,0.8414634146341463
EAPP,2.0652547,0.57221603,0.038898909801979235,1.0,0.47560975609756095
POLR2J3,2.0576346,0.44693568,0.03962522541634463,1.0,0.5853658536585366
CSNK2B,2.0465665,0.34310177,0.040700670950588214,1.0,0.7195121951219512
SNRPE,2.0307057,0.29192612,0.04228486676004133,1.0,0.9146341463414634
PRXL2A,2.0304642,0.34171832,0.042309371428005525,1.0,0.8292682926829268
RUVBL2,2.0228786,0.5270281,0.043085662457411196,1.0,0.4878048780487805
PSMA3,2.022534,0.33262306,0.04312123257598499,1.0,0.7560975609756098
BCAT1,2.021258,0.3679038,0.04325305787691596,1.0,0.6829268292682927
RAC1,2.0182238,0.21872723,0.04356795699218593,1.0,1.0
TMEM14C,2.0167756,0.3116307,0.04371893110060018,1.0,0.8048780487804879
PRKACB,2.0156722,0.5518385,0.04383425533210137,1.0,0.4268292682926829
EBP,2.015431,0.39574423,0.043859516720259006,1.0,0.5975609756097561
MRPL57,2.0111554,0.29835513,0.04430904567645475,1.0,0.926829268292683
GSTP1,2.0072246,0.18453214,0.04472574677417325,1.0,1.0
KCNN3,2.0065005,0.4383751,0.044802866937448615,1.0,0.5609756097560976
TBCA,2.0053973,0.22403857,0.04492059902731494,1.0,0.9878048780487805
LSM12,2.0039492,0.37846294,0.04507551823608969,1.0,0.6341463414634146
CRYL1,2.0005012,0.56176025,0.0454461874877113,1.0,0.47560975609756095
HDLBP,2.0000527,0.32504866,0.04549456265234469,1.0,0.926829268292683
MGAT4A,1.9994322,0.41486287,0.045561615284556885,1.0,0.6219512195121951
NQO1,1.9929154,0.22293341,0.04627070953440778,1.0,0.9634146341463414
DRAP1,1.9899502,0.22742741,0.04659642923159027,1.0,0.9146341463414634
TMSB10,1.9819163,0.08601425,0.04748861296315904,1.0,1.0
RNF11,1.9813646,0.4409652,0.04755040227630704,1.0,0.5609756097560976
C12orf57,1.9790889,0.28502625,0.047805998117245785,1.0,0.9512195121951219
FOXC2,1.9748478,0.6653573,0.048285417434332845,1.0,0.35365853658536583
ZFYVE16,1.9702965,0.5762746,0.04880440244891137,1.0,0.4146341463414634
H2AFJ,1.9696413,0.34792808,0.0488794889898399,1.0,0.7682926829268293
RABGGTB,1.9671588,0.3711647,0.049164908053312,1.0,0.7317073170731707
RLIM,1.9602628,0.5911381,0.04996508595398531,1.0,0.4146341463414634
TBCB,1.9578836,0.38147473,0.05024366847667523,1.0,0.7073170731707317
GTF2A2,1.9541253,0.3530071,0.05068640013744516,1.0,0.6951219512195121
PRNP,1.9496084,0.36740765,0.051222810059709266,1.0,0.6829268292682927
FAU,1.9479189,0.10971014,0.051424669538223465,1.0,1.0
HHIP-AS1,1.9475741,0.4412537,0.05146594705539677,1.0,0.5365853658536586
RTN4,1.9464707,0.16368866,0.051598221511538415,1.0,0.9878048780487805
OAT,1.9458846,0.38780996,0.05166860795861443,1.0,0.5853658536585366
HRH1,1.9428504,0.6037209,0.05203424698186849,1.0,0.3780487804878049
HSP90AA1,1.9391265,0.20325,0.052485941416773284,1.0,1.0
RNF115,1.9390919,0.46027365,0.05249013904126958,1.0,0.5609756097560976
AHNAK,1.9374369,0.2054621,0.052691955330536625,1.0,0.9634146341463414
HDDC3,1.9338166,0.7225514,0.05313569030703298,1.0,0.36585365853658536
NDUFB10,1.932127,0.27422142,0.05334383256118238,1.0,0.9634146341463414
RPL30,1.931265,0.061752327,0.05345028967826433,1.0,1.0
ATP5MPL,1.9232311,0.14428619,0.05445102892618547,1.0,0.9634146341463414
CASP6,1.9224726,0.96305925,0.05454632169679377,1.0,0.2804878048780488
AGPAT2,1.9217141,1.3821703,0.05464175353566079,1.0,0.2073170731707317
PHLDA3,1.9100252,0.4830847,0.056129961759272554,1.0,0.5
HLA-C,1.9076806,0.18190211,0.05643250965814412,1.0,0.9634146341463414
LMNB2,1.9037844,0.8717116,0.05693827478789043,1.0,0.2804878048780488
SAP18,1.9027154,0.31269577,0.0570776818648932,1.0,0.8902439024390244
PGLS,1.8940265,0.33515936,0.05822149423154996,1.0,0.8658536585365854
MORN2,1.8939575,0.69783497,0.058230647722887365,1.0,0.35365853658536583
SRSF7,1.8911302,0.34406012,0.05860697156787524,1.0,0.6341463414634146
PKN1,1.8884752,0.37259313,0.058962185472502655,1.0,0.6341463414634146
PERP,1.8873029,0.31881434,0.05911960103955609,1.0,0.7560975609756098
