names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PHF20,3.5778418,0.6538473,0.00034644320690392925,1.0,0.7023809523809523
TMEM123,3.2076662,0.52122265,0.001338167702971044,1.0,0.7857142857142857
FASN,3.0221696,0.49716368,0.0025096992446611904,1.0,0.7380952380952381
ATP5ME,2.999042,0.2842776,0.002708298793984459,1.0,1.0
PNRC2,2.95667,0.67915016,0.003109806026496475,1.0,0.5833333333333334
SLC12A2,2.8635473,0.8946307,0.00418926377137515,1.0,0.42857142857142855
RPL39,2.8436556,0.12659149,0.004459923305743175,1.0,1.0
MRPL4,2.832245,0.58819836,0.00462224029623012,1.0,0.6071428571428571
HERC2,2.8066652,0.7048823,0.005005723089819712,1.0,0.5238095238095238
TOPORS,2.7623858,0.8696526,0.0057380618903699445,1.0,0.4166666666666667
NDUFB5,2.7052996,0.48306176,0.006824282322304979,1.0,0.7142857142857143
SNRPD1,2.6602027,0.41508988,0.00780936381549141,1.0,0.9166666666666666
DDX21,2.6287985,0.37126195,0.008568714188882826,1.0,0.9285714285714286
NOL7,2.612892,0.41263333,0.00897796978143834,1.0,0.7857142857142857
RIDA,2.5612893,0.8480417,0.010428445123819541,1.0,0.39285714285714285
BLOC1S1,2.491975,0.36760762,0.012703493203679445,1.0,0.75
ACSL4,2.46459,0.41542855,0.013717009485574052,1.0,0.7857142857142857
STT3A,2.4225926,0.6524311,0.015410191186284342,1.0,0.4642857142857143
SREK1IP1,2.4145885,0.52663213,0.015752999572028258,1.0,0.5952380952380952
MT-ND3,2.403757,0.1458111,0.016227556558558506,1.0,1.0
ZYX,2.3964338,0.40534955,0.016555480935959134,1.0,0.75
PTRH1,2.387612,0.5229,0.016958232477788923,1.0,0.5357142857142857
KRR1,2.380323,0.7213453,0.017297469557495622,1.0,0.4642857142857143
TGFB1,2.3679247,0.46324983,0.01788817345740186,1.0,0.6785714285714286
DHX36,2.3620322,0.45999342,0.018175063791737004,1.0,0.6547619047619048
ZFAND5,2.3561397,0.52644604,0.018465975093493864,1.0,0.6190476190476191
MSL3,2.3483057,0.6003279,0.018859041545333802,1.0,0.5
SLC38A1,2.3430943,0.43706167,0.019124551505369593,1.0,0.6190476190476191
METAP2,2.3295038,0.2689852,0.01983238752353705,1.0,0.8809523809523809
TMEM14C,2.3292315,0.34864387,0.019846810581068096,1.0,0.7619047619047619
GRINA,2.328448,0.45107818,0.019888327895647276,1.0,0.6428571428571429
FRMD4A,2.326745,0.45034343,0.019978844587730603,1.0,0.6071428571428571
PFDN4,2.32293,0.41739002,0.020182907876739226,1.0,0.7619047619047619
CLIC1,2.3166628,0.26897943,0.020522103993931937,1.0,0.9880952380952381
CDH2,2.3113494,0.5799928,0.02081356679841982,1.0,0.5476190476190477
DNAJC5,2.2766752,0.82153165,0.022805629604763226,1.0,0.38095238095238093
EIF3I,2.276062,0.3266897,0.022842294073596125,1.0,0.8571428571428571
SYPL1,2.272111,0.3692644,0.02307980686763083,1.0,0.7142857142857143
HPS1,2.2658439,0.6793115,0.02346095067499824,1.0,0.39285714285714285
PCID2,2.2388334,0.5968812,0.025166761661072883,1.0,0.4642857142857143
FTL,2.2248342,0.11349579,0.026092367102870235,1.0,1.0
NT5E,2.2154675,0.40464202,0.02672799538824977,1.0,0.7738095238095238
RPL35A,2.2081103,0.08017621,0.02723658711045887,1.0,1.0
SEM1,2.2044656,0.23519191,0.027491606857077428,1.0,0.9523809523809523
CBL,2.2014344,0.5010051,0.027705292682803674,1.0,0.47619047619047616
SNRPC,2.1932938,0.48159146,0.028286224396140775,1.0,0.5714285714285714
SNX4,2.181747,0.74346507,0.029128209104888603,1.0,0.38095238095238093
UQCR10,2.1602204,0.26088867,0.03075560973953726,1.0,0.9880952380952381
PTPN1,2.1594028,0.41284424,0.030818918520981096,1.0,0.7142857142857143
RPL12,2.1568484,0.0894726,0.031017480103635482,1.0,1.0
SLC35F5,2.1323586,0.68654525,0.032977387984048256,1.0,0.39285714285714285
TOP1,2.129872,0.30099505,0.03318218055847783,1.0,0.9047619047619048
RGS3,2.1213908,0.54023796,0.03388892728217006,1.0,0.5
VPS25,2.1102529,0.44409832,0.03483658227907433,1.0,0.6071428571428571
ZNF428,2.10981,0.4287074,0.034874719716174646,1.0,0.6547619047619048
THOC7,2.1054163,0.36975116,0.035255096397088105,1.0,0.7023809523809523
STAMBP,2.0989106,0.66058683,0.035824789310301544,1.0,0.39285714285714285
POMP,2.0934608,0.1678674,0.03630804422733223,1.0,0.9404761904761905
COX17,2.0879428,0.29615146,0.0368029893928459,1.0,0.8095238095238095
IFT20,2.0866144,0.5584113,0.03692299748308793,1.0,0.4642857142857143
EIF3J,2.069005,0.30573064,0.03854562584385076,1.0,0.8333333333333334
HLA-C,2.0654285,0.19560042,0.038882474260729424,1.0,0.9642857142857143
RNF130,2.0607622,0.5245528,0.03932573852364066,1.0,0.4642857142857143
PLAC9,2.0602512,0.5408352,0.03937453068831261,1.0,0.5238095238095238
SP110,2.0547674,0.8552952,0.039901477456946506,1.0,0.30952380952380953
CEP89,2.026633,0.82644296,0.0426999637068069,1.0,0.30952380952380953
CYB5B,2.0262923,0.32866627,0.04273483531780457,1.0,0.6904761904761905
SPTLC1,2.0162103,0.5857316,0.04377799285350059,1.0,0.44047619047619047
EMG1,2.0156994,0.5609128,0.043831423084900005,1.0,0.40476190476190477
C6orf62,2.0067413,0.36702463,0.04477721634134506,1.0,0.6428571428571429
SRPRA,1.9812977,0.45767063,0.047557899671421176,1.0,0.5476190476190477
VSIG10,1.9776531,1.1550748,0.04796784850969844,1.0,0.23809523809523808
DDX50,1.9722716,0.56494445,0.04857862056293485,1.0,0.42857142857142855
MYC,1.9638244,0.35907274,0.049550463630210505,1.0,0.6547619047619048
CD82,1.9534698,0.9967511,0.050763952145582374,1.0,0.2619047619047619
GPN3,1.9413781,0.6023348,0.05221242943639354,1.0,0.40476190476190477
BOP1,1.9367118,0.57629657,0.05278058722052395,1.0,0.39285714285714285
PSME1,1.9348043,0.28540903,0.053014310038840336,1.0,0.8214285714285714
