names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL18,3.7514741,0.17017278,0.0001757979144175435,1.0,1.0
UBE2N,3.7037332,0.7309169,0.00021244966414936335,1.0,0.7283950617283951
RPL28,3.3402643,0.1283765,0.0008369869357811146,1.0,1.0
COX5B,3.113495,0.2808239,0.0018488551149295383,1.0,0.9753086419753086
RNF7,3.0413983,0.40795612,0.0023548219293623306,1.0,0.8518518518518519
RRP36,2.8729174,0.6358926,0.0040670049737055606,1.0,0.5802469135802469
ATP6AP1,2.7363563,0.55906814,0.0062123724342159695,1.0,0.6790123456790124
ESAM,2.6150613,0.36204383,0.008921147198801728,1.0,0.8765432098765432
PSME1,2.60153,0.39547426,0.009280895148372914,1.0,0.8765432098765432
ANTKMT,2.5959787,0.6377846,0.009432190618019413,1.0,0.5185185185185185
RPS13,2.5219388,0.109474555,0.011671002715418153,1.0,1.0
ATP5MG,2.517463,0.24325618,0.011820336822692297,1.0,0.9753086419753086
GALNT11,2.500393,0.6933403,0.012405563212755674,1.0,0.48148148148148145
COMMD6,2.4488702,0.20680188,0.014330505889900414,1.0,0.9259259259259259
FBXO7,2.4234385,0.7811118,0.01537435490826737,1.0,0.4567901234567901
COPS9,2.4179914,0.2918524,0.015606447632875432,1.0,0.9135802469135802
RNF145,2.3789937,0.57294375,0.017359971160306083,1.0,0.5679012345679012
B2M,2.3293793,0.11818949,0.01983897966479861,1.0,1.0
UBB,2.3283038,0.28226554,0.019895979679514238,1.0,0.9259259259259259
TOMM20,2.313697,0.18133219,0.02068434849179053,1.0,0.8888888888888888
HDAC2,2.306411,0.48857653,0.021087679660975318,1.0,0.7037037037037037
UACA,2.2753932,0.46965888,0.022882347704058788,1.0,0.5679012345679012
NOP10,2.275081,0.2636461,0.02290106949433659,1.0,0.9135802469135802
RBM27,2.247637,0.6124014,0.024599347981303803,1.0,0.49382716049382713
RPL22,2.221442,0.11027508,0.026321042338987636,1.0,1.0
NR2F2,2.2153702,0.29435647,0.026734661126338034,1.0,0.8888888888888888
RNASEK,2.1996531,0.17041738,0.02783150649831877,1.0,0.9753086419753086
RPS19,2.1973286,0.056760635,0.02799698277277125,1.0,1.0
CLTA,2.1901467,0.18046814,0.028513598877200678,1.0,0.8641975308641975
EIF2S1,2.1777952,0.4675389,0.029421291464055786,1.0,0.6049382716049383
MED31,2.1746378,0.49417362,0.02965726448687175,1.0,0.5308641975308642
POLR2E,2.171654,0.56579125,0.029881766024904534,1.0,0.5555555555555556
ODC1,2.165305,0.41431522,0.030364350708771245,1.0,0.7530864197530864
OTUD6B-AS1,2.1555207,0.4631645,0.031121110309791852,1.0,0.6296296296296297
NPC2,2.1540983,0.23820718,0.031232472299667274,1.0,0.8888888888888888
FAM43A,2.1379302,0.3882809,0.03252241370333499,1.0,0.6666666666666666
ATP5F1E,2.1287012,0.13046454,0.033278992468645935,1.0,1.0
FRMD4A,2.1264806,0.51687956,0.033463258002051556,1.0,0.5925925925925926
PCAT19,2.1027143,0.3988979,0.03549075000199887,1.0,0.6419753086419753
NUCB2,2.093659,0.44786057,0.03629038403909865,1.0,0.691358024691358
COX5A,2.079503,0.31330463,0.03757113349904275,1.0,0.9382716049382716
MGLL,2.0739517,0.3474306,0.03808378442454535,1.0,0.691358024691358
ZNF430,2.069025,1.1441715,0.03854373256009742,1.0,0.25925925925925924
LRRFIP2,2.0662842,0.40914097,0.03880165698985802,1.0,0.6419753086419753
NDUFC2,2.057749,0.25893143,0.03961422588853906,1.0,0.8765432098765432
CALM1,2.0397074,0.1940189,0.041379469450177044,1.0,0.9629629629629629
MRPL11,2.017433,0.42707774,0.043650342456507916,1.0,0.6419753086419753
