names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
STX16,3.5841804,0.6104864,0.00033813830466936014,1.0,0.8
EXOC5,3.058391,0.8146847,0.0022252902823879923,1.0,0.5846153846153846
TLE1,2.8575158,0.7825338,0.004269713225051627,1.0,0.5846153846153846
TBL1XR1,2.7352996,0.5213717,0.006232351045208497,1.0,0.7076923076923077
SMNDC1,2.726728,0.7663204,0.006396577222132477,1.0,0.5538461538461539
ACIN1,2.6986465,0.76226246,0.006962209804861299,1.0,0.5230769230769231
PSMB5,2.6880965,0.3475429,0.0071860620680078684,1.0,0.8769230769230769
PAM,2.631352,0.8004942,0.008504592123512778,1.0,0.5230769230769231
KRT10,2.6071491,0.5070838,0.0091299580235638,1.0,0.7846153846153846
DDX21,2.5990815,0.39906007,0.00934735588839772,1.0,0.9230769230769231
SRRM2,2.5914793,0.3199854,0.00955642570586193,1.0,0.8615384615384616
SON,2.5526543,0.4089501,0.010690558799609272,1.0,0.9076923076923077
JMJD1C,2.529227,0.68699294,0.011431402362893727,1.0,0.5692307692307692
ARHGDIA,2.5046365,0.43954843,0.012257729444724292,1.0,0.8153846153846154
MYSM1,2.4796968,1.0260198,0.013149414190858515,1.0,0.38461538461538464
CSDE1,2.4739177,0.2627209,0.01336405085656927,1.0,0.8923076923076924
CHD9,2.470039,0.54579806,0.013509833277768748,1.0,0.6307692307692307
RNF213,2.453167,0.5486032,0.014160463710690168,1.0,0.676923076923077
ATP2B1,2.4196165,0.52513486,0.01553688055723688,1.0,0.6923076923076923
NDUFB7,2.418414,0.3104416,0.015588322303509372,1.0,0.9076923076923077
HIPK2,2.4082522,0.56332976,0.016029107212202146,1.0,0.676923076923077
DIPK1B,2.4039469,0.67032415,0.01621913242651124,1.0,0.5076923076923077
C20orf194,2.4018912,1.152994,0.01631056146572599,1.0,0.35384615384615387
MDH2,2.3967326,0.3420644,0.016541993433872935,1.0,0.8307692307692308
SPAG9,2.3837779,0.54199106,0.017135942875527034,1.0,0.6923076923076923
ZNHIT1,2.361398,0.32090387,0.018206176517631945,1.0,0.9076923076923077
DLD,2.351973,0.8136703,0.018674132959508084,1.0,0.4461538461538462
HNRNPD,2.3506541,0.38269615,0.018740440477543373,1.0,0.8153846153846154
SV2A,2.3463101,1.2119302,0.01896032409266614,1.0,0.3230769230769231
VIM,2.3459997,0.09019739,0.018976116040427773,1.0,1.0
FAM98A,2.3416169,0.60639656,0.019200408925677585,1.0,0.5692307692307692
TMBIM6,2.321991,0.29671812,0.020233419989644796,1.0,0.8461538461538461
FTH1,2.3126435,0.1421119,0.02074224973099133,1.0,1.0
RBBP6,2.3061662,0.68282074,0.021101351684222974,1.0,0.5230769230769231
TBCB,2.3035674,0.46312994,0.021246937921595092,1.0,0.6923076923076923
TATDN1,2.2915823,0.5418928,0.021929751470442235,1.0,0.5846153846153846
PIGF,2.2821186,0.7018803,0.02248234444612493,1.0,0.49230769230769234
RPL35,2.2530286,0.12747529,0.024257342246081507,1.0,1.0
DNAJB14,2.2380958,0.591723,0.025214804374561712,1.0,0.5846153846153846
DDX3X,2.237902,0.43448338,0.02522745110339594,1.0,0.8153846153846154
ADGRG6,2.2205255,0.50219345,0.026383110513054087,1.0,0.6461538461538462
GTF2E2,2.218276,0.48837698,0.02653602121822194,1.0,0.7076923076923077
MPG,2.2174613,0.4260413,0.026591573907488397,1.0,0.7846153846153846
DNTTIP2,2.2085793,0.8430023,0.027203912481876563,1.0,0.4
RPAIN,2.2014813,0.5277612,0.027701959727664493,1.0,0.6461538461538462
BOLA3,2.191358,0.3637722,0.02842588413506033,1.0,0.7692307692307693
CHID1,2.1846094,0.48877156,0.02891750423721012,1.0,0.6307692307692307
LARP6,2.1841052,0.6546766,0.02895452657309909,1.0,0.49230769230769234
TPD52L2,2.1794508,0.6409904,0.029298202083936322,1.0,0.49230769230769234
C11orf24,2.169948,0.9801615,0.030010783209138983,1.0,0.3384615384615385
EIF4E2,2.1608331,0.4410223,0.03070822581261689,1.0,0.676923076923077
MTFP1,2.147025,0.9682216,0.03179127353645833,1.0,0.3384615384615385
IP6K2,2.143612,0.644334,0.03206398730501819,1.0,0.46153846153846156
SPATA5,2.132907,1.5859534,0.03293236028455624,1.0,0.24615384615384617
CTBP1,2.1271665,0.5139537,0.03340624736138626,1.0,0.5692307692307692
MYEF2,2.1143281,0.6823037,0.034487243079250135,1.0,0.46153846153846156
RFXANK,2.112893,0.73973805,0.03460991621272104,1.0,0.4307692307692308
CD63,2.1060278,0.20304073,0.03520192700135364,1.0,1.0
EHD4,2.086208,0.3846519,0.03695978280415805,1.0,0.7692307692307693
NF2,2.0385008,0.7398935,0.04149988760684164,1.0,0.4153846153846154
SNHG32,2.036639,0.31701463,0.04168623941560508,1.0,0.7230769230769231
IKBIP,2.0365226,0.59435093,0.04169790988813098,1.0,0.5692307692307692
CAPZB,2.0327604,0.31126505,0.04207674846079368,1.0,0.8461538461538461
MRPS33,2.014104,0.49759042,0.04399861771394556,1.0,0.5846153846153846
GNG12,1.9963398,0.3629092,0.045896951295782876,1.0,0.7384615384615385
CRIP2,1.9957579,0.24463412,0.04596027279347701,1.0,1.0
ADRM1,1.9814069,0.42530873,0.04754565123252987,1.0,0.676923076923077
DHRS7,1.9776834,0.5720444,0.04796442482318935,1.0,0.5076923076923077
NDUFA12,1.977218,0.386302,0.048016988804531695,1.0,0.7538461538461538
KMT2A,1.9771793,0.43525347,0.04802137132036826,1.0,0.6461538461538462
SMIM15,1.9494082,0.6132384,0.051246702829948525,1.0,0.49230769230769234
SART3,1.9447538,1.1246248,0.05180462102306511,1.0,0.2923076923076923
GABARAPL2,1.93145,0.3675237,0.05342742619226319,1.0,0.8
PPFIA1,1.9229558,0.6497418,0.05448560500614428,1.0,0.4461538461538462
TMED5,1.9202795,0.57452744,0.05482260413480185,1.0,0.49230769230769234
AURKAIP1,1.918185,0.30903518,0.05508755343669574,1.0,0.8307692307692308
ALKBH7,1.917642,0.3574318,0.05515641797889415,1.0,0.7384615384615385
CTSL,1.9176033,0.31973588,0.055161339619503647,1.0,0.8923076923076924
RAB9A,1.9114362,0.86084473,0.05594855018669718,1.0,0.35384615384615387
KIAA0930,1.9058509,1.0334842,0.056669548515916886,1.0,0.3076923076923077
SAR1B,1.9046098,0.58771616,0.05683081608936512,1.0,0.49230769230769234
ZC3H13,1.900033,0.40623322,0.05742879400761695,1.0,0.7076923076923077
TPI1,1.8991021,0.22831884,0.05755105471832986,1.0,0.9692307692307692
SRP72,1.895301,0.3547638,0.058052534046622854,1.0,0.7384615384615385
MMRN2,1.8937107,0.45770133,0.05826341130695593,1.0,0.5692307692307692
NKTR,1.8925084,0.44200924,0.05842327725329489,1.0,0.5692307692307692
SYNE1,1.8762957,0.5461798,0.06061469524871003,1.0,0.5230769230769231
PHF3,1.8608974,0.44741058,0.06275866542478702,1.0,0.5384615384615384
PSMD13,1.849339,0.38458526,0.0644088715169394,1.0,0.6615384615384615
PCBP2,1.8398364,0.27389583,0.0657922660497017,1.0,1.0
SRPX,1.8344839,0.25243628,0.06658220694550775,1.0,0.7692307692307693
BRF2,1.8312258,1.9296492,0.06706685341873413,1.0,0.18461538461538463
DUSP6,1.827192,0.34196937,0.0676709113840322,1.0,0.7846153846153846
EIF3G,1.8260283,0.2835762,0.06784598829403575,1.0,0.8153846153846154
PEX2,1.8148967,0.73306143,0.0695397928382381,1.0,0.38461538461538464
CDH13,1.808652,0.6719052,0.07050507952605649,1.0,0.38461538461538464
RAB14,1.8042303,0.33859342,0.07119519958894158,1.0,0.7230769230769231
IFT52,1.8040752,0.7670599,0.07121951452716224,1.0,0.35384615384615387
CSTF3,1.7967833,0.64090705,0.07237001727959652,1.0,0.4307692307692308
ACTR10,1.7961628,0.6075066,0.07246863107848768,1.0,0.4461538461538462
MTDH,1.7941071,0.17352606,0.0727960753155612,1.0,0.9538461538461539
PAK2,1.7905388,0.285925,0.0733673437536688,1.0,0.8153846153846154
PKN1,1.7895691,0.45474973,0.07352321177014591,1.0,0.6153846153846154
RANGAP1,1.7884443,1.0033259,0.07370435783501543,1.0,0.3076923076923077
LY96,1.7863498,0.29746076,0.07404263668476317,1.0,0.7538461538461538
ARPC3,1.7848371,0.15265188,0.07428773760196801,1.0,0.9538461538461539
AKIP1,1.7786313,0.8362255,0.07530022878885993,1.0,0.3230769230769231
CHMP4A,1.7709904,0.54232275,0.07656230371829488,1.0,0.47692307692307695
CNOT4,1.7682753,0.64656514,0.07701488886148357,1.0,0.4
ARHGAP35,1.7671118,0.7567829,0.0772095202632222,1.0,0.35384615384615387
PITPNB,1.7580745,0.40901124,0.07873483891298032,1.0,0.5846153846153846
ITGAV,1.7560576,0.5737625,0.07907857829951004,1.0,0.49230769230769234
CKAP5,1.754894,0.57113343,0.0792774440748582,1.0,0.4307692307692308
MTX2,1.749425,0.61433387,0.08021756748941075,1.0,0.4461538461538462
SACS,1.7482227,0.5025989,0.08042547119560545,1.0,0.5076923076923077
TAF2,1.7472531,0.5227527,0.08059345410905844,1.0,0.4461538461538462
SRSF7,1.7465161,0.37839147,0.08072131161048945,1.0,0.6153846153846154
BRD9,1.7452749,0.41718528,0.0809370228498106,1.0,0.5538461538461539
