names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
COX17,3.8457832,0.72575456,0.00012016797705164401,1.0,0.8888888888888888
CRIP2,3.404829,0.37080282,0.000662054892166472,1.0,1.0
CINP,3.0371401,0.6997461,0.002388344694659845,1.0,0.6851851851851852
NPDC1,2.951948,0.6304467,0.0031577613904039716,1.0,0.7592592592592593
XIAP,2.9080741,0.80754787,0.0036366221754135213,1.0,0.5925925925925926
LINC00607,2.904283,0.94763196,0.003680952718204838,1.0,0.5370370370370371
ACBD3,2.8370664,0.7543097,0.004553013454116845,1.0,0.6851851851851852
AP3B1,2.8147461,0.80352724,0.004881578022206077,1.0,0.5740740740740741
FOCAD,2.794598,1.1656846,0.005196425525746187,1.0,0.4074074074074074
CENPX,2.777219,0.6393484,0.005482622052536593,1.0,0.7037037037037037
DDX39B,2.659441,0.6783277,0.007827044238906756,1.0,0.7037037037037037
PAFAH1B3,2.6218288,1.0828395,0.00874593839893676,1.0,0.4074074074074074
TUBB6,2.6127982,0.4990444,0.008980427954780991,1.0,0.9074074074074074
RAC2,2.560746,0.51516473,0.010444769997991049,1.0,0.7777777777777778
MANF,2.5311418,0.6579079,0.01136919032304356,1.0,0.6481481481481481
GTF2H5,2.5178092,0.43928182,0.011808728572637256,1.0,0.8703703703703703
RPS3,2.5130384,0.0912178,0.011969630559638776,1.0,1.0
RPS27A,2.5083954,0.11021247,0.012128085901918283,1.0,1.0
FARP1,2.486203,0.85569507,0.012911432936497705,1.0,0.5
SRGAP1,2.479217,0.74369997,0.013167111814302019,1.0,0.5370370370370371
BBS7,2.4478238,1.02602,0.014372189424700378,1.0,0.4074074074074074
PPM1G,2.4149396,0.40641093,0.015737813743856483,1.0,0.8888888888888888
TMSB4X,2.4088912,0.14517924,0.016001072208521074,1.0,1.0
CEP164,2.3976457,0.8931841,0.016500815528533056,1.0,0.4444444444444444
HABP4,2.3859744,1.0997146,0.017033935798430003,1.0,0.3888888888888889
RPL18A,2.3639948,0.11301863,0.018079063139007607,1.0,1.0
HAX1,2.3538997,0.58213466,0.018577627836276183,1.0,0.6481481481481481
SREBF2,2.3161595,0.7883887,0.020549560707068034,1.0,0.5
MT-ND3,2.3121128,0.16055383,0.020771462863325867,1.0,1.0
RAB2A,2.2930725,0.40511388,0.021843833393149034,1.0,1.0
PWWP3A,2.2922206,0.73546326,0.021892920100742976,1.0,0.5370370370370371
MRPL16,2.2870238,0.6668941,0.022194432401387944,1.0,0.5370370370370371
QSER1,2.2722857,0.98273396,0.02306926611319779,1.0,0.4074074074074074
EML4,2.2564824,1.1173474,0.024040432059745525,1.0,0.35185185185185186
UQCRB,2.2497096,0.17465357,0.02446737948653093,1.0,1.0
MBD1,2.2457483,1.3478808,0.02472013665602574,1.0,0.3148148148148148
RPL28,2.2396145,0.09594327,0.02511596461233934,1.0,1.0
NANS,2.2267504,0.6453888,0.025963957698475443,1.0,0.5740740740740741
PSMD1,2.2237687,0.45147148,0.02616400953037848,1.0,0.8333333333333334
OGFOD1,2.208136,1.0423173,0.027234796509629323,1.0,0.3888888888888889
UXT,2.1895216,0.39793256,0.028558957777457913,1.0,0.8518518518518519
SLC25A1,2.186412,0.5084955,0.02878547740655035,1.0,0.7777777777777778
MTFR1,2.1830468,0.8704724,0.029032356355601426,1.0,0.42592592592592593
TOPORS,2.1811302,0.89503235,0.029173796673705225,1.0,0.4074074074074074
COL18A1,2.1795115,0.44747776,0.029293696563722226,1.0,0.7777777777777778
LRRC8B,2.1763167,0.58075273,0.029531585690300132,1.0,0.5925925925925926
ALYREF,2.176189,0.6601288,0.029541135717151966,1.0,0.5555555555555556
RBMX,2.1632397,0.48077998,0.030522744966014877,1.0,0.7777777777777778
NME4,2.1624305,0.30351114,0.030585015052427816,1.0,0.8518518518518519
SPATA33,2.149183,1.0554119,0.03161989231812825,1.0,0.35185185185185186
RPSA,2.1377673,0.10656071,0.032535633196529745,1.0,1.0
EPRS,2.1311224,0.43417448,0.033079065461062436,1.0,0.7592592592592593
MFF,2.1220493,0.578614,0.033833591977463946,1.0,0.5740740740740741
UBFD1,2.113104,0.9357254,0.034591849663753726,1.0,0.3888888888888889
LSM5,2.113019,0.4383525,0.0345991403841802,1.0,0.7777777777777778
CHMP5,2.1086316,0.42033082,0.03497639105106725,1.0,0.7592592592592593
SLC25A36,2.1042442,0.5536544,0.03535714800055045,1.0,0.6111111111111112
CDK10,2.1014328,1.2080361,0.03560298303743102,1.0,0.3148148148148148
MYL9,2.099005,0.6918076,0.03581646711438472,1.0,0.5185185185185185
RTL8A,2.09564,0.6027374,0.036114152969358916,1.0,0.5370370370370371
LAPTM4B,2.0892503,0.80242693,0.0366851863118121,1.0,0.46296296296296297
RPL26L1,2.0883985,0.49177417,0.036761902168232045,1.0,0.7222222222222222
HPF1,2.0871205,0.72347003,0.03687723215609848,1.0,0.5
SMARCB1,2.074001,0.6499327,0.03807921378548307,1.0,0.5555555555555556
THUMPD3-AS1,2.0691025,0.5815336,0.03853646910214522,1.0,0.5185185185185185
MRPL22,2.0681653,0.45472017,0.038624473716147766,1.0,0.7407407407407407
EEF1G,2.0663764,0.17924505,0.0387929568243874,1.0,1.0
METTL5,2.0648854,0.4874233,0.038933836009083365,1.0,0.6481481481481481
NFATC2IP,2.062841,0.5979807,0.03912774827482561,1.0,0.5185185185185185
