names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TRIM28,3.3578787,0.6564364,0.0007854305951422189,1.0,0.6666666666666666
THBS1,3.2723224,0.74896216,0.0010666787777455352,1.0,0.6666666666666666
TGM2,3.2706158,0.24252534,0.0010731354957600708,1.0,1.0
VTI1B,3.1733153,0.59895736,0.0015070881097245764,1.0,0.7126436781609196
RNASE1,3.0899673,0.83397335,0.0020017862851666743,1.0,0.5172413793103449
FUS,2.994239,0.44532624,0.0027513029985726514,1.0,0.7471264367816092
EDN1,2.9900901,0.85187525,0.0027889522271058206,1.0,0.5747126436781609
PLK2,2.932305,0.42993525,0.0033645593533458977,1.0,0.9080459770114943
SERF2,2.8916183,0.15982775,0.0038326335800083246,1.0,1.0
ASL,2.8148284,0.6433985,0.004880330342730132,1.0,0.5287356321839081
ERGIC3,2.8106124,0.3492349,0.004944731958644352,1.0,0.9080459770114943
SMAD1,2.7915404,0.599425,0.0052457816206269246,1.0,0.6206896551724138
P4HA1,2.7869563,0.50675607,0.005320564064614987,1.0,0.632183908045977
LPP,2.7679513,0.40968275,0.005640988693417262,1.0,0.8505747126436781
CCDC80,2.686845,0.47575653,0.0072130406763316925,1.0,0.7126436781609196
NR2F2,2.6793165,0.36211506,0.00737726005100374,1.0,0.9080459770114943
VGLL4,2.6469612,0.7676275,0.008121869175626427,1.0,0.4482758620689655
USP22,2.6055381,0.4836236,0.009173008666276967,1.0,0.6206896551724138
RPS12,2.5798075,0.082107276,0.009885538793678166,1.0,1.0
CRIP2,2.562007,0.26383495,0.010406921812034146,1.0,0.9885057471264368
NPEPPS,2.5373473,0.50726616,0.011169610596074016,1.0,0.6091954022988506
SRP9,2.4809008,0.36399734,0.013105085104087474,1.0,0.8505747126436781
ENG,2.466212,0.28583276,0.013655049962551326,1.0,0.896551724137931
CCDC50,2.4593527,0.33299714,0.013918778671058315,1.0,0.8275862068965517
ECHDC2,2.4556053,1.0314461,0.014064755779779652,1.0,0.3333333333333333
STOM,2.4329865,0.39980736,0.014974858464372645,1.0,0.8505747126436781
STX12,2.4170597,0.59254116,0.01564645004730999,1.0,0.5287356321839081
GNB1,2.4053154,0.32420096,0.016158514610447042,1.0,0.8390804597701149
BGN,2.3961809,1.4135656,0.0165669125687832,1.0,0.28735632183908044
DPP7,2.3304996,0.55563056,0.019779764006105618,1.0,0.5517241379310345
POM121,2.325213,0.91257703,0.02006057796213447,1.0,0.3333333333333333
PAIP2,2.3218,0.47096062,0.020243705582770416,1.0,0.5862068965517241
DIXDC1,2.3076465,0.4874309,0.021018800937776527,1.0,0.5632183908045977
PPDPF,2.2822506,0.14770265,0.022474543352914267,1.0,0.9540229885057471
PNPLA2,2.278704,0.85812086,0.0226846683048389,1.0,0.3448275862068966
DDIT4,2.2631452,0.48823214,0.023626738296457613,1.0,0.5862068965517241
RB1CC1,2.2588959,0.4940165,0.023889864230054812,1.0,0.632183908045977
CCDC124,2.254747,0.4310466,0.024149223102095843,1.0,0.632183908045977
ARL6IP4,2.2540777,0.22895832,0.024191282992110395,1.0,0.9080459770114943
CALR,2.248858,0.23331141,0.02452153515868584,1.0,1.0
FBN1,2.2432368,0.41157562,0.024881553326877772,1.0,0.6781609195402298
APH1B,2.2297525,0.9585856,0.02576387998032869,1.0,0.2988505747126437
PPT1,2.2243989,0.49616626,0.026121615865117402,1.0,0.5402298850574713
DDOST,2.224265,0.38905105,0.026130614000987245,1.0,0.7011494252873564
DDX42,2.2148628,0.7688553,0.026769474713351307,1.0,0.40229885057471265
TRAPPC3,2.1959581,0.42085224,0.02809493477641861,1.0,0.632183908045977
RALY,2.1761835,0.42856503,0.029541538978991914,1.0,0.632183908045977
DPYSL2,2.1578476,0.25181663,0.030939679286292498,1.0,0.896551724137931
TAGLN2,2.1502857,0.16016752,0.031532618274782716,1.0,1.0
ROCK1,2.1265962,0.44448534,0.033453639319233806,1.0,0.6206896551724138
RAB5B,2.1261613,0.5039794,0.03348982832798563,1.0,0.4942528735632184
LOXL2,2.1260276,0.22792909,0.033500970142929964,1.0,0.9425287356321839
NEAT1,2.1055167,0.20640656,0.03524635363879411,1.0,1.0
STAB1,2.089088,0.43847182,0.03669980062509411,1.0,0.5632183908045977
COL5A2,2.0874486,0.35596028,0.03684761215678576,1.0,0.6781609195402298
MRPL33,2.0864446,0.3109041,0.03693835902628924,1.0,0.8735632183908046
TMOD3,2.0859427,0.23627149,0.036983803787513675,1.0,0.8735632183908046
ITGA10,2.0846713,0.31172273,0.03709914364980372,1.0,0.7816091954022989
SOX7,2.0792508,0.5331487,0.03759429768559048,1.0,0.4942528735632184
PFKL,2.0611827,0.68183655,0.03928561776873906,1.0,0.41379310344827586
SELENOM,2.0545242,0.36743394,0.0399249856285098,1.0,0.6551724137931034
TRAPPC5,2.0393,0.22422032,0.041420092775447476,1.0,0.8160919540229885
RPS6KA3,2.0310354,0.44941714,0.04225139455751057,1.0,0.6206896551724138
EIF3G,2.00748,0.2065861,0.044698590684485166,1.0,0.7471264367816092
ID1,2.0025613,0.4505773,0.04522439617091757,1.0,0.5632183908045977
KCNN3,1.9975424,0.41578817,0.04576629768835417,1.0,0.5287356321839081
SNAP29,1.9838239,0.6702252,0.04727547544142837,1.0,0.40229885057471265
WRAP73,1.9816824,1.1024367,0.04751478981496612,1.0,0.26436781609195403
BBX,1.9738529,0.39208928,0.04839847028437289,1.0,0.6436781609195402
SV2A,1.9595991,0.9316789,0.05004266753610074,1.0,0.28735632183908044
TKT,1.9589299,0.15067017,0.05012099694733592,1.0,0.9885057471264368
DNAJB4,1.953476,0.47623807,0.05076322165321622,1.0,0.5517241379310345
RPL6,1.9525391,0.083147205,0.050874233275744744,1.0,1.0
IST1,1.9487247,0.5847369,0.0513283104874897,1.0,0.42528735632183906
CCL2,1.9468844,0.47218958,0.05154859320282968,1.0,0.5632183908045977
