names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SUCLG1,3.1952877,0.6378892,0.0013969150557124523,1.0,0.7125
SRPRA,3.146896,0.63867956,0.0016501366879020363,1.0,0.65
DYNC1LI2,2.923826,0.52885365,0.0034575796259785447,1.0,0.7125
UXT,2.832524,0.46203345,0.004618208713873749,1.0,0.8375
SNF8,2.8318257,0.5967007,0.004628305743612197,1.0,0.6625
C1GALT1C1,2.8250873,0.696768,0.004726774233689481,1.0,0.5625
CCAR1,2.8070364,0.73840564,0.004999959780526643,1.0,0.5375
UBE2L3,2.748624,0.48085874,0.005984597846753053,1.0,0.8375
HSPH1,2.7361245,0.5634,0.0062167477279426045,1.0,0.7
EMC6,2.7091706,0.51750475,0.0067451670445544815,1.0,0.6625
TCEAL9,2.697928,0.45192432,0.006977253951734785,1.0,0.85
EIF4E,2.6451719,0.46020254,0.008164943727739642,1.0,0.725
MTPN,2.636164,0.3398428,0.008384922867173236,1.0,0.975
GOLGA3,2.6295998,0.77344763,0.008548541026966784,1.0,0.45
PDCD4,2.6188114,0.55112094,0.008823675141220476,1.0,0.5625
MAPRE2,2.5878768,0.6504441,0.009656949928609543,1.0,0.525
FAM222B,2.58449,0.9226461,0.00975230976625618,1.0,0.4
PLS3,2.5826046,0.4212808,0.009805759547726577,1.0,0.7875
FKBP8,2.5774024,0.5777157,0.009954597738579124,1.0,0.6625
IP6K2,2.5710828,0.6859946,0.010138106069851043,1.0,0.475
ODF2L,2.568988,0.55469626,0.010199598914242169,1.0,0.625
SH2D3C,2.5531368,0.92946357,0.010675757750917631,1.0,0.375
VDAC2,2.53959,0.3359168,0.011098254016050758,1.0,0.85
GSTZ1,2.532153,0.8631758,0.011336451256835365,1.0,0.4
KRT19,2.520701,0.31530428,0.011712133114253044,1.0,0.9875
PPIC,2.515359,0.2940909,0.011891121875920604,1.0,0.8375
MT-ND1,2.4933279,0.17675963,0.012655192882371148,1.0,1.0
