names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CNBP,3.159617,0.48040646,0.0015797665243540886,1.0,0.8333333333333334
ATP6V1C1,3.1487951,0.992292,0.0016394511904982163,1.0,0.46153846153846156
E2F3,3.042344,1.2859433,0.0023474347642945675,1.0,0.3717948717948718
AHSA1,2.793404,0.7893999,0.0052156503459195695,1.0,0.5769230769230769
MRPL52,2.7864723,0.35099298,0.005328516762527385,1.0,0.9358974358974359
CAPZB,2.7732809,0.4277731,0.005549419935507557,1.0,0.8846153846153846
BASP1,2.7458017,0.37041172,0.006036324781438493,1.0,0.8717948717948718
MGLL,2.7286847,0.50518703,0.006358749108748845,1.0,0.717948717948718
ERP29,2.7251835,0.45909542,0.006426578317157725,1.0,0.8846153846153846
FAM107B,2.7224603,0.32645524,0.006479783673275565,1.0,0.9230769230769231
NSA2,2.690737,0.30857095,0.007129435922085227,1.0,0.9743589743589743
SAP18,2.6463177,0.3719619,0.008137337307882048,1.0,0.8717948717948718
IARS,2.582164,0.5536907,0.009818290696871766,1.0,0.6666666666666666
SPTSSA,2.529469,0.56089455,0.011423527449229035,1.0,0.6538461538461539
NOL8,2.5269933,0.87317526,0.011504367655110247,1.0,0.41025641025641024
SGK1,2.4948106,0.7975011,0.01260244220395119,1.0,0.44871794871794873
SDCBP,2.4763849,0.37665367,0.01327204159647256,1.0,0.9615384615384616
GAPVD1,2.4727068,0.72761315,0.013409409040236858,1.0,0.44871794871794873
SLIRP,2.4653509,0.27403107,0.013687918549933474,1.0,0.8205128205128205
STOM,2.4628398,0.41479036,0.013784149660915268,1.0,0.8461538461538461
MMADHC,2.4508507,0.5026211,0.014251902554613956,1.0,0.6923076923076923
NDUFS8,2.440029,0.378449,0.014686089734219674,1.0,0.9358974358974359
DCXR,2.4291008,0.45932695,0.015136323584052088,1.0,0.6923076923076923
SRSF10,2.4277568,0.51931185,0.015192523060249402,1.0,0.6282051282051282
RRP36,2.408129,0.6325305,0.01603451989459827,1.0,0.5512820512820513
DDT,2.4020107,0.25109568,0.016305236652024366,1.0,0.8717948717948718
DBN1,2.395963,0.5521433,0.016576762187877854,1.0,0.5769230769230769
SEPTIN11,2.3881826,0.3984202,0.016931929001150245,1.0,0.8205128205128205
MSN,2.3416765,0.28187144,0.019197346064984883,1.0,0.9102564102564102
TIMMDC1,2.3330472,0.57523245,0.01964566551310194,1.0,0.5641025641025641
ROCK1,2.3263278,0.5382492,0.020001072906487522,1.0,0.6410256410256411
KIAA2013,2.3214827,0.7081163,0.020260810484354446,1.0,0.4358974358974359
YWHAZ,2.3203862,0.14100449,0.020319989870695665,1.0,0.9871794871794872
MON1B,2.31494,1.0434923,0.020616218356521485,1.0,0.3333333333333333
CD55,2.3138437,0.29376277,0.02067630196056779,1.0,0.9743589743589743
PDCD5,2.3042948,0.26705793,0.021206098104491804,1.0,0.8717948717948718
TSR3,2.2906082,0.53077185,0.021986079825521417,1.0,0.5897435897435898
CBX6,2.2861521,0.63392335,0.022245356986914745,1.0,0.48717948717948717
PPFIBP1,2.283818,0.39719695,0.02238222697130318,1.0,0.7564102564102564
SOD1,2.2752242,0.26083687,0.022892486963302015,1.0,0.8974358974358975
RUVBL1,2.2676911,0.42744958,0.023348032745293047,1.0,0.717948717948718
NUDT3,2.2582133,0.5154023,0.0239323711571239,1.0,0.6538461538461539
PRKAR2A,2.2557023,0.47744814,0.024089286453482874,1.0,0.6538461538461539
SEC31A,2.251918,0.35195076,0.024327449477078125,1.0,0.7692307692307693
MYO10,2.2348363,0.53058463,0.025428091791503935,1.0,0.5897435897435898
KRT19,2.226384,0.22545187,0.02598847381989024,1.0,0.9358974358974359
YWHAQ,2.2255704,0.30413416,0.02604296076821328,1.0,0.9102564102564102
PQBP1,2.2204425,0.7576362,0.026388744418024853,1.0,0.38461538461538464
UPF3A,2.1986926,0.46312577,0.027899792396804783,1.0,0.6538461538461539
PSMB1,2.189851,0.27380994,0.028535038955327642,1.0,0.8333333333333334
HACD3,2.1871278,0.38476887,0.02873318764306296,1.0,0.7051282051282052
NMT1,2.167818,0.4525323,0.03017252326085756,1.0,0.6666666666666666
SEPTIN6,2.1604266,0.43346444,0.030739650613043006,1.0,0.6923076923076923
ADH5,2.1552987,0.41805688,0.031138469049907448,1.0,0.6666666666666666
APOBEC3C,2.149817,0.59451866,0.03156969461217749,1.0,0.48717948717948717
TRIM59,2.1492865,1.0634632,0.03161169665055053,1.0,0.28205128205128205
EIF3J-DT,2.1461036,0.99295884,0.03186471663147417,1.0,0.3076923076923077
NSRP1,2.1430974,0.4805408,0.032105272208091847,1.0,0.6025641025641025
H2AFJ,2.1400206,0.3672691,0.0323530980287374,1.0,0.782051282051282
ZNF22,2.134539,0.5198437,0.032798688967341005,1.0,0.5897435897435898
MDH2,2.1057513,0.33182347,0.035225971804834805,1.0,0.8461538461538461
PSMD12,2.1022499,0.4778334,0.03553138531820607,1.0,0.6153846153846154
NUMB,2.1017902,0.46530318,0.035571657437815374,1.0,0.6538461538461539
HSD17B11,2.0872903,0.61711645,0.03686190800094859,1.0,0.4230769230769231
COX6A1,2.0840366,0.21434262,0.037156841053983106,1.0,0.9743589743589743
HNRNPK,2.0667427,0.26945183,0.0387584065845418,1.0,0.9487179487179487
PSMG2,2.0583963,0.4640241,0.03955210136045783,1.0,0.6153846153846154
PSMB7,2.0483172,0.35548422,0.04052893866108896,1.0,0.7051282051282052
FAM136A,2.0446036,0.45738116,0.04089394559435706,1.0,0.6538461538461539
S100A10,2.0436487,0.074679054,0.040988253513270276,1.0,1.0
PHACTR4,2.0389452,0.44738555,0.041455501246543555,1.0,0.5384615384615384
PERP,2.037106,0.36098805,0.04163940713137096,1.0,0.8076923076923077
UFM1,2.0356207,0.4847889,0.041788450314959494,1.0,0.5641025641025641
CD164,2.0347013,0.39239216,0.04188094125598947,1.0,0.8205128205128205
HDHD5,2.0312,0.89234203,0.04223470578120341,1.0,0.3076923076923077
RAB35,2.0231366,1.2537599,0.043059061838510146,1.0,0.24358974358974358
EIF1AX,2.0225,0.2474593,0.04312471784000564,1.0,0.9230769230769231
POLR3B,2.0208733,1.5574145,0.043292889885410295,1.0,0.20512820512820512
ECI2,2.0133402,0.30407652,0.044078840374338804,1.0,0.8461538461538461
ARHGAP22,1.9980623,0.75607,0.04570990851824102,1.0,0.3717948717948718
EXOSC9,1.9948794,0.8467481,0.04605603951423841,1.0,0.3076923076923077
ZNF706,1.9924744,0.26582164,0.04631902236688837,1.0,0.9102564102564102
RAD50,1.9812635,0.52661186,0.04756172923301212,1.0,0.5128205128205128
PHF10,1.9803793,0.9002342,0.04766091587586944,1.0,0.3333333333333333
PHKB,1.9793184,0.6590897,0.047780169312678464,1.0,0.4358974358974359
EIF2B2,1.9793184,0.7791115,0.047780169312678464,1.0,0.38461538461538464
BOP1,1.9772671,0.6628948,0.04801143716576868,1.0,0.3974358974358974
GNPNAT1,1.9600086,0.584836,0.04999477740505775,1.0,0.47435897435897434
LINC02742,1.9409465,0.80590934,0.052264767783115756,1.0,0.2948717948717949
HSPE1,1.9405575,0.25687325,0.05231197705923906,1.0,0.9487179487179487
MRPL32,1.9369855,0.6654038,0.05274711311954731,1.0,0.41025641025641024
ATP1B1,1.9351465,0.5702338,0.05297232069703686,1.0,0.4230769230769231
RBM28,1.9343331,0.53368855,0.05307218771646321,1.0,0.5
PSMD6,1.9272245,0.41206202,0.053951650685498224,1.0,0.5897435897435898
ARF3,1.9189136,0.40118518,0.054995270127524504,1.0,0.6538461538461539
LRRFIP1,1.9187721,0.32724562,0.055013178523265975,1.0,0.8461538461538461
NME2,1.9183477,0.08073617,0.055066932884165594,1.0,0.9871794871794872
CDA,1.9155538,0.5506817,0.055421909811739556,1.0,0.4230769230769231
RGS3,1.9138563,0.50400364,0.05563852183318372,1.0,0.5128205128205128
THUMPD1,1.9136795,0.7312358,0.055661126094210776,1.0,0.38461538461538464
FDPS,1.9115222,0.26320836,0.05593751465834672,1.0,0.9102564102564102
DDX21,1.9071014,0.25856307,0.056507456545338834,1.0,0.8846153846153846
CHM,1.9067124,0.6007,0.05655784200152985,1.0,0.41025641025641024
MSANTD4,1.9003112,0.9716968,0.05739229564955061,1.0,0.28205128205128205
BEX4,1.8992856,0.63473904,0.05752693951468065,1.0,0.44871794871794873
COMMD3,1.8991088,0.48702255,0.05755018049798331,1.0,0.5256410256410257
CMC1,1.8973404,0.62516,0.05778301997599327,1.0,0.44871794871794873
UGDH,1.8955722,0.485424,0.05801664195364994,1.0,0.5769230769230769
GNAS,1.8913636,0.1392151,0.058575820772160864,1.0,1.0
LRRC38,1.8815672,0.57390773,0.059894790246675524,1.0,0.46153846153846156
S100A6,1.8812137,0.09314581,0.05994286342032833,1.0,1.0
NUDCD3,1.8792685,0.55569726,0.0602078381783354,1.0,0.5
SUMF1,1.8791624,0.8144846,0.06022231923182289,1.0,0.34615384615384615
SRSF7,1.8789856,0.40995058,0.060246460737701284,1.0,0.6282051282051282
MED31,1.8747063,0.5540064,0.06083313592957602,1.0,0.5256410256410257
CDC25B,1.8742819,0.70217746,0.06089157570708582,1.0,0.3333333333333333
PRDX6,1.8719125,0.22001025,0.0612187198622843,1.0,0.9358974358974359
MAGI2-AS3,1.8705331,0.5094292,0.06140981639510426,1.0,0.5256410256410257
HNRNPDL,1.8649454,0.33082333,0.06218906297659833,1.0,0.7948717948717948
IFT20,1.8643441,0.56510377,0.062273391282946594,1.0,0.48717948717948717
