names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CEP290,3.624542,0.96554446,0.00028947384890588157,1.0,0.6379310344827587
RALGAPB,3.3153274,0.96713203,0.000915358494002641,1.0,0.5862068965517241
KPNA2,3.2615867,0.7912509,0.0011079056550114881,1.0,0.6551724137931034
LRP10,3.2592447,0.7584346,0.0011170925598770582,1.0,0.7241379310344828
RRBP1,3.1524618,0.48048595,0.001619000518190732,1.0,0.9310344827586207
AP2B1,3.0011,0.47767976,0.0026900606234710697,1.0,0.9310344827586207
GPATCH8,2.9779274,0.8860106,0.0029020457568812922,1.0,0.5689655172413793
UTP18,2.940087,0.8774114,0.0032811993147711833,1.0,0.5344827586206896
MICB,2.929487,1.3828776,0.0033952209948731544,1.0,0.39655172413793105
TMED2,2.890948,0.5508026,0.0038408158063572228,1.0,0.896551724137931
FADS3,2.8784578,0.80575913,0.003996246596831896,1.0,0.5862068965517241
AC008875.3,2.8541348,0.64461625,0.0043154210963298285,1.0,0.6896551724137931
HMGCR,2.8461642,0.6673345,0.004424938323951882,1.0,0.6724137931034483
RAD50,2.775619,0.7764299,0.005509671272898894,1.0,0.603448275862069
RNF11,2.7540078,0.72867066,0.005887036949040398,1.0,0.6206896551724138
ORMDL1,2.7308352,0.6098563,0.006317406067164173,1.0,0.6896551724137931
MRPL30,2.723604,1.3786387,0.006457388311001317,1.0,0.3620689655172414
RAB11B,2.7190022,0.71856534,0.006547914567906675,1.0,0.5517241379310345
IGFBP4,2.711196,0.68016934,0.006704099291283291,1.0,0.6724137931034483
IQCE,2.7007601,1.4624224,0.0069181226852234965,1.0,0.3275862068965517
KLF6,2.6657546,0.5883006,0.007681573664057722,1.0,0.7758620689655172
COX16,2.6198204,0.50120956,0.008797612334127134,1.0,0.896551724137931
SULF2,2.5853488,0.68898374,0.00972804908431531,1.0,0.6551724137931034
ACTB,2.5470977,0.13407104,0.010862302092282698,1.0,1.0
GRHPR,2.5065455,0.5105158,0.012191732665846989,1.0,0.7241379310344828
CD151,2.504861,0.35044354,0.012249949754675308,1.0,0.896551724137931
SHISA5,2.4704719,0.57976437,0.01349349078333857,1.0,0.6551724137931034
HLA-A,2.4666097,0.22600977,0.013639889199056397,1.0,1.0
NDRG1,2.4535444,0.9062566,0.0141456068233703,1.0,0.43103448275862066
TMEM237,2.443355,1.0556961,0.014551414029183137,1.0,0.3793103448275862
SNRNP200,2.4382603,0.7004684,0.014758140534642316,1.0,0.5517241379310345
SUZ12,2.437151,0.70106614,0.014803495219501734,1.0,0.603448275862069
PET100,2.4263864,0.49561578,0.015250022059012682,1.0,0.8275862068965517
EMC7,2.4055557,0.554538,0.016147888353356513,1.0,0.6379310344827587
