names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SERPINE1,3.342009,0.52881205,0.0008317434502207673,1.0,1.0
ATN1,3.2728002,1.274809,0.0010648773596775305,1.0,0.6551724137931034
PAM16,3.2083101,0.931636,0.0013351747030303709,1.0,0.8275862068965517
SMC1A,3.1508107,1.0785673,0.0016281795303336023,1.0,0.7241379310344828
EPRS,3.1020498,0.8030693,0.0019218553746084056,1.0,0.8620689655172413
MT-ND2,3.0493276,0.29989257,0.0022935417624857955,1.0,1.0
SON,3.0296953,0.5912753,0.0024480067156946463,1.0,0.896551724137931
PLK2,3.0270736,0.73568994,0.002469338018799615,1.0,0.896551724137931
PPP2CB,2.9348533,0.7658206,0.00333705353987892,1.0,0.8620689655172413
FUS,2.8961127,0.76528054,0.003778167030284586,1.0,0.7931034482758621
HADHA,2.8295836,0.49659142,0.00466086218718507,1.0,0.8620689655172413
CCDC50,2.8138542,0.662034,0.004895140939747985,1.0,0.9310344827586207
EXTL2,2.8115242,1.1617607,0.004930740656461708,1.0,0.5862068965517241
FAT1,2.8024943,1.0812781,0.005070911944230665,1.0,0.6551724137931034
CCBE1,2.7575784,0.92648226,0.005823125096397335,1.0,0.7586206896551724
SMDT1,2.7488399,0.7101078,0.005980659332971272,1.0,0.896551724137931
SEPTIN8,2.7403345,1.2050251,0.00613767001600387,1.0,0.5517241379310345
ZNF10,2.7188377,0.8817087,0.0065511742068773875,1.0,0.7586206896551724
NIN,2.7133033,1.2566385,0.006661609783971203,1.0,0.5517241379310345
RAB3B,2.6897676,0.8671369,0.007150178479228724,1.0,0.7241379310344828
ARFIP1,2.689651,1.5629355,0.007152675118991805,1.0,0.4827586206896552
TNFRSF10A,2.6272583,1.1035932,0.008607597706304291,1.0,0.5517241379310345
PALMD,2.5966153,0.8870522,0.009414731137976976,1.0,0.7931034482758621
NIPSNAP2,2.5866535,0.85779375,0.009691302756875722,1.0,0.7241379310344828
GNG12,2.5812354,0.725164,0.009844739568568881,1.0,0.8275862068965517
ZKSCAN1,2.5084147,0.7337553,0.012127424401748448,1.0,0.8275862068965517
ATP5F1D,2.5011327,0.39124694,0.012379680966791715,1.0,1.0
HNRNPU,2.4947243,0.5950841,0.012605499734390062,1.0,0.9655172413793104
MCRIP1,2.4897144,0.93608606,0.012784581220946705,1.0,0.6551724137931034
PPP3R1,2.4865103,1.0887684,0.012900287041207178,1.0,0.5517241379310345
PAGR1,2.481733,1.4845471,0.013074514337174853,1.0,0.4482758620689655
OS9,2.456042,0.70794326,0.01404767474839497,1.0,0.7586206896551724
SARNP,2.4481192,0.7561926,0.014360418881432874,1.0,0.7931034482758621
MAP4K5,2.4439247,1.0748334,0.014528462773967962,1.0,0.5517241379310345
DPYSL3,2.4372833,0.59039724,0.014798079264260583,1.0,0.896551724137931
BDP1,2.4343705,0.87826794,0.014917716628180143,1.0,0.6896551724137931
PARP1,2.4103105,0.7042529,0.015938948684296766,1.0,0.8275862068965517
PIGG,2.3903284,1.8237278,0.016833309836780268,1.0,0.3793103448275862
BTAF1,2.3780947,2.0558734,0.017402361527171027,1.0,0.3448275862068966
MT-ND6,2.3701718,0.54642785,0.017779827261119183,1.0,0.8620689655172413
GTPBP6,2.3585203,0.95504516,0.018347953778052366,1.0,0.6206896551724138
EXT1,2.340927,0.5580425,0.01923593596273893,1.0,0.8620689655172413
DRAM2,2.3408685,0.9972208,0.019238937623702452,1.0,0.5517241379310345
CNBP,2.3251393,0.524145,0.02006451328458078,1.0,0.8275862068965517
NPM1,2.3213527,0.32363695,0.02026782104011938,1.0,1.0
COL6A1,2.3184397,0.81782913,0.020425432395212235,1.0,0.6551724137931034
ANO10,2.305798,0.64300215,0.021121917328236484,1.0,0.7586206896551724
SRGAP2,2.303992,1.1990371,0.021223085470572514,1.0,0.4827586206896552
STRAP,2.301662,0.6381464,0.021354248517943264,1.0,0.8275862068965517
UBE3A,2.2963023,0.8642987,0.021658605501643478,1.0,0.6206896551724138
SNX2,2.2875638,0.88417435,0.022162938734196915,1.0,0.5862068965517241
ATP6V1C1,2.2784758,1.0509647,0.022698249682513907,1.0,0.5172413793103449
S100PBP,2.275563,1.4377322,0.022872184893649068,1.0,0.41379310344827586
PEX2,2.2725337,1.0481961,0.023054304659007537,1.0,0.5172413793103449
CDC26,2.2689216,0.91144353,0.02327309230570987,1.0,0.6896551724137931
AP3M1,2.2637367,1.2777478,0.023590308585189193,1.0,0.4482758620689655
OPA1,2.2582607,1.0122875,0.023929413367224747,1.0,0.5172413793103449
HMGN3,2.2561052,0.5622597,0.024064045780272478,1.0,0.8275862068965517
DNASE2,2.2325113,1.0988609,0.025581194344159165,1.0,0.4827586206896552
TERF2,2.228375,1.1743603,0.02585551873568188,1.0,0.4827586206896552
PRRC2C,2.2270935,0.36316353,0.02594103527375972,1.0,0.896551724137931
NDUFAB1,2.2255788,0.5341209,0.02604241546577374,1.0,0.896551724137931
DCAF7,2.2198696,0.65290624,0.026427625391810945,1.0,0.7586206896551724
ANXA3,2.2177722,1.097293,0.026570362335877055,1.0,0.5172413793103449
USP9X,2.2055967,0.7283387,0.02741225374022556,1.0,0.6551724137931034
RAP1GDS1,2.2023342,1.0401797,0.02764170447838908,1.0,0.5172413793103449
LPIN2,2.1968,1.005004,0.028034740373644087,1.0,0.5172413793103449
ERGIC1,2.177284,0.8763739,0.029459390095684875,1.0,0.6551724137931034
METTL2A,2.1723905,1.5312475,0.02982623129918442,1.0,0.3793103448275862
EIF4G1,2.1674385,0.5848527,0.03020143066118701,1.0,0.8620689655172413
UBE3C,2.165283,1.0768967,0.03036601545692287,1.0,0.5172413793103449
DUSP6,2.164584,0.56050533,0.030419559524727517,1.0,0.7931034482758621
SLC35B1,2.160273,1.0510539,0.03075154337549853,1.0,0.4827586206896552
CTSB,2.1597486,0.3231094,0.030792131197848426,1.0,0.9310344827586207
PHLDA1,2.1582923,0.83146626,0.030905116564652963,1.0,0.5517241379310345
PARP14,2.1572437,0.923928,0.03098668623592972,1.0,0.5862068965517241
EZR,2.156428,0.57719296,0.031050257011274125,1.0,0.9655172413793104
RBM4,2.155496,0.7296229,0.031123046361005467,1.0,0.6551724137931034
PREP,2.154622,1.563307,0.031191419325527294,1.0,0.3793103448275862
PDGFB,2.1449516,0.59417206,0.03195672638289619,1.0,0.7931034482758621
RASSF8,2.1362712,1.1533026,0.032657311518309376,1.0,0.5172413793103449
ACTR1A,2.1348147,0.8721734,0.03277613879213681,1.0,0.5862068965517241
VTA1,2.1341157,0.9893421,0.03283330726297496,1.0,0.5172413793103449
CPT2,2.132601,1.5971842,0.03295746522832985,1.0,0.3448275862068966
CD164,2.128465,0.5645884,0.033298561204180455,1.0,0.8620689655172413
PDIA6,2.125552,0.30183005,0.03354057836915004,1.0,0.9655172413793104
MRFAP1L1,2.1243868,0.90917754,0.033637805687884645,1.0,0.5172413793103449
SMARCA1,2.1242704,0.6398235,0.03364754166459218,1.0,0.7241379310344828
PITPNB,2.120775,0.66150004,0.03394074370841179,1.0,0.6551724137931034
IMPA1,2.1201923,0.79327786,0.033989822472833324,1.0,0.5862068965517241
DCUN1D1,2.119377,1.1534947,0.03405863466022859,1.0,0.4482758620689655
SPAG9,2.1192021,0.5867095,0.03407339561190494,1.0,0.7586206896551724
ABI1,2.1150658,1.0559103,0.034424337678259885,1.0,0.4827586206896552
MIER1,2.1060944,0.6705592,0.035196161979430235,1.0,0.7241379310344828
PPIC,2.101725,0.3726477,0.03557736790761212,1.0,0.8275862068965517
SNCG,2.0973558,0.56176347,0.035962090550843755,1.0,0.896551724137931
ST6GALNAC3,2.092637,1.1394664,0.03638156984588812,1.0,0.4482758620689655
SAFB,2.0865784,0.9179734,0.03692626854106375,1.0,0.5172413793103449
