names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ANP32A,3.5953043,0.67684335,0.0003240126373513417,1.0,0.7837837837837838
NUDC,3.5686438,0.5025584,0.00035883377202284623,1.0,0.9459459459459459
TOR1AIP2,3.4803813,0.73479486,0.0005007007454362146,1.0,0.7027027027027027
EIF3A,3.47348,0.4267769,0.0005137555608077442,1.0,0.918918918918919
HAGH,3.409081,0.7140484,0.0006518212090456706,1.0,0.6486486486486487
YIPF3,3.1124387,0.7954457,0.0018554859368992006,1.0,0.5945945945945946
THYN1,3.0629315,0.7807033,0.0021918012921033655,1.0,0.5540540540540541
SMIM30,3.001184,0.741518,0.002689319147323932,1.0,0.581081081081081
HNRNPU,2.9849844,0.40153557,0.0028359273220549676,1.0,0.9324324324324325
PARP1,2.983677,0.59200925,0.0028480737980884473,1.0,0.7702702702702703
ERGIC3,2.9817517,0.41391465,0.0028660425650941235,1.0,0.9054054054054054
USP53,2.9386013,0.7404764,0.0032969703601937266,1.0,0.527027027027027
RABIF,2.9042404,0.9188352,0.003681452636104405,1.0,0.43243243243243246
CCPG1,2.8980293,0.51918936,0.003755153743123333,1.0,0.7432432432432432
PCYT1A,2.8841908,0.99253625,0.003924210373711873,1.0,0.43243243243243246
METTL5,2.8523,0.63259596,0.0043404127239318226,1.0,0.6756756756756757
HMGXB4,2.8260753,0.8414822,0.004712217358421684,1.0,0.5135135135135135
FDFT1,2.809331,0.37348998,0.00496445910728872,1.0,0.9459459459459459
STRAP,2.7611315,0.5537981,0.005760147695489369,1.0,0.7837837837837838
LBR,2.7221942,0.7699818,0.006485001229817884,1.0,0.527027027027027
SNRNP70,2.7212863,0.7293358,0.006502843590984728,1.0,0.581081081081081
RRBP1,2.7170365,0.37762678,0.006586934112319008,1.0,0.8783783783783784
GATA6,2.6926644,1.3523381,0.007088357986495284,1.0,0.32432432432432434
NOP14,2.6856542,0.79327965,0.007238795584431574,1.0,0.5135135135135135
HCCS,2.6715612,0.97101325,0.007549928755367103,1.0,0.3918918918918919
ANAPC5,2.6698542,0.4987889,0.007588420464215142,1.0,0.7432432432432432
SSB,2.664551,0.48872945,0.007709115042104575,1.0,0.8108108108108109
