names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CCDC80,3.5728147,0.7729306,0.00035316481698287864,1.0,0.8275862068965517
ZKSCAN1,3.225513,0.6717379,0.0012574713765895471,1.0,0.7931034482758621
MPRIP,3.1955612,0.81700695,0.0013955921390656194,1.0,0.6379310344827587
RPL14,3.1747305,0.13567978,0.0014997575765230832,1.0,1.0
ERLIN2,3.1246874,1.0105839,0.0017799407724525644,1.0,0.5344827586206896
RPL22L1,3.0949411,0.30789378,0.001968520261006146,1.0,1.0
BAG5,3.0037296,0.95667094,0.0026669216448792087,1.0,0.5
HHIP-AS1,2.963301,0.6983,0.003043589239718626,1.0,0.6551724137931034
ATP6V0D1,2.9602194,0.8626017,0.0030742002734696202,1.0,0.5517241379310345
LIMA1,2.9309661,0.5594613,0.003379097348630614,1.0,0.7758620689655172
TJP1,2.9173665,0.5848913,0.0035300072943508475,1.0,0.7586206896551724
PTPRF,2.895139,0.710204,0.003789908379261722,1.0,0.6724137931034483
AP1M1,2.8366733,1.1121333,0.004558624506187869,1.0,0.43103448275862066
GOLGA2,2.8349066,0.721862,0.004583909974685315,1.0,0.603448275862069
ETFB,2.8195403,0.37566113,0.0048092497670102746,1.0,0.8793103448275862
MARS,2.8066802,0.90002155,0.005005489493132166,1.0,0.5172413793103449
PARP1,2.7888079,0.5721419,0.005290245281786236,1.0,0.7586206896551724
SSR1,2.7872465,0.53176457,0.005315802506186343,1.0,0.7931034482758621
PCNX4,2.7716339,0.841775,0.005577575241328113,1.0,0.5344827586206896
DYM,2.663043,0.9638675,0.007743753268935597,1.0,0.4482758620689655
SPATS2,2.6346524,0.50297433,0.00842234915090051,1.0,0.8275862068965517
PARP14,2.6271336,0.82380974,0.008610751911869753,1.0,0.5517241379310345
PWWP3A,2.597305,0.72367847,0.009395844691942788,1.0,0.5517241379310345
HHIP,2.5941825,0.55962217,0.009481615073646336,1.0,0.7758620689655172
