names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PCAT19,3.1723418,0.55844164,0.0015121492481114877,1.0,0.7439024390243902
CTSD,3.0406277,0.62833595,0.0023608547419675624,1.0,0.6463414634146342
ENOSF1,2.9392219,0.6928292,0.0032903749089147898,1.0,0.5487804878048781
PFDN5,2.7984395,0.21330994,0.0051350178002905434,1.0,0.9878048780487805
PRRC2A,2.6777937,0.74245644,0.007410885087402074,1.0,0.5
RABGGTB,2.6115918,0.4785072,0.009012176461120135,1.0,0.7195121951219512
CD93,2.573526,0.41838074,0.010066812397003787,1.0,0.9146341463414634
SASH1,2.5685952,0.5714583,0.010211165909509446,1.0,0.6585365853658537
SERINC3,2.5448039,0.49457312,0.010933911211676592,1.0,0.7926829268292683
IGFBP4,2.4700165,0.5860684,0.013510678540932264,1.0,0.5853658536585366
RPL29,2.4237788,0.11143075,0.015359959146210689,1.0,1.0
TXNIP,2.419193,0.46078217,0.015554988013735314,1.0,0.6707317073170732
FCGRT,2.4134693,0.7412572,0.0158014622621159,1.0,0.43902439024390244
PHLDB2,2.3988497,0.8087765,0.016446665605850938,1.0,0.4146341463414634
EIF3A,2.3951602,0.31785268,0.016613100823722592,1.0,0.926829268292683
NIPA2,2.3801959,0.68123615,0.017303435193946146,1.0,0.43902439024390244
LMAN2,2.3654385,0.36407733,0.018008736833811996,1.0,0.7317073170731707
UTRN,2.360956,0.43771103,0.0182278917268842,1.0,0.7073170731707317
RAPGEF5,2.347509,0.76792264,0.018899427238198967,1.0,0.4268292682926829
RRBP1,2.3104773,0.34424594,0.0208617516114038,1.0,0.8902439024390244
BRI3,2.3034778,0.25822005,0.021251980486174393,1.0,0.975609756097561
ACO1,2.2396204,0.44830948,0.02511556743062301,1.0,0.7195121951219512
CD47,2.2107952,0.32201448,0.027050023444195184,1.0,0.7317073170731707
GLCE,2.181487,0.5524212,0.029147407717555845,1.0,0.5
DUSP4,2.120078,0.6311539,0.03399946487097313,1.0,0.45121951219512196
ELK3,2.0761158,0.34862217,0.03788323239271242,1.0,0.7195121951219512
AURKAIP1,2.0746677,0.27797627,0.03801733903874841,1.0,0.9146341463414634
COX14,2.0692544,0.36469072,0.03852222348082822,1.0,0.7195121951219512
PLEKHB2,2.0497386,0.67971003,0.04038994337989397,1.0,0.43902439024390244
CCDC47,2.0286367,0.5508999,0.04249529686700653,1.0,0.4878048780487805
GUK1,2.0249474,0.23429888,0.042872762113285875,1.0,0.975609756097561
HSPG2,2.0067763,0.20396811,0.04477347461293944,1.0,1.0
POLR2J,2.0017078,0.3820746,0.045316162089870285,1.0,0.7682926829268293
IPO5,1.998053,0.5638542,0.04571091933599037,1.0,0.5
PICALM,1.9839506,0.70253134,0.04726134801516308,1.0,0.3902439024390244
RALBP1,1.9620903,0.330508,0.0497519827106328,1.0,0.8048780487804879
OTUD6B-AS1,1.9466776,0.37896577,0.0515733984023232,1.0,0.6219512195121951
RALGDS,1.9412987,0.80262053,0.05222205628848392,1.0,0.3170731707317073
RFLNB,1.9348509,0.6589324,0.05300859146404958,1.0,0.43902439024390244
MDM2,1.9290928,0.34804687,0.05371934878224469,1.0,0.7317073170731707
TOR1AIP2,1.9110942,0.44956604,0.05599248440487853,1.0,0.5609756097560976
PSMA4,1.8927507,0.25507316,0.05839102745843353,1.0,0.9024390243902439
PDCD4,1.8890269,0.43171352,0.05888822804830215,1.0,0.5
EMP1,1.8823377,0.31497866,0.05979017445735502,1.0,0.7073170731707317
IMPDH1,1.8753037,0.67772245,0.060750942044592283,1.0,0.36585365853658536
BST2,1.8683388,0.22689244,0.06171486013220573,1.0,0.9512195121951219
NFATC2IP,1.8638564,0.48409694,0.06234187324101754,1.0,0.4634146341463415
PLEKHJ1,1.863615,0.66297716,0.062375784456386044,1.0,0.34146341463414637
XPO1,1.8575466,0.38379928,0.0632334364296309,1.0,0.573170731707317
TCAF1,1.8529263,0.44953042,0.06389293646588247,1.0,0.524390243902439
TSC22D3,1.8442028,0.34848252,0.06515359927699509,1.0,0.6463414634146342
PEX3,1.8385825,1.0891312,0.06597661970892227,1.0,0.24390243902439024
PLAGL1,1.8275144,0.5504873,0.06762246758408222,1.0,0.4146341463414634
SNRPA1,1.8219975,0.41953024,0.06845535681964002,1.0,0.5121951219512195
RAB3GAP2,1.8215148,0.486464,0.0685286340989335,1.0,0.4146341463414634
WDR46,1.8042748,0.6707515,0.07118824118361354,1.0,0.35365853658536583
CDCA7L,1.7970685,0.64091057,0.0723247552644874,1.0,0.34146341463414637
ARL6IP1,1.7835177,0.33428565,0.07450205959417086,1.0,0.5609756097560976
NCOA7,1.7779665,0.39006102,0.0754093630563368,1.0,0.5609756097560976
PCSK5,1.7774148,0.22430274,0.07550002048006509,1.0,0.8902439024390244
NDUFA4,1.7734495,0.1775023,0.07615424126499033,1.0,0.975609756097561
ZSWIM8,1.7607954,0.9447117,0.07827304334188077,1.0,0.24390243902439024
VIRMA,1.7527959,0.38938275,0.07963703190813479,1.0,0.4878048780487805
PRRC1,1.7523823,0.7601886,0.07970810532810144,1.0,0.3170731707317073
RPL14,1.7329699,0.06638621,0.08310101351684149,1.0,1.0
JAK1,1.7282462,0.1977728,0.08394410184807749,1.0,0.9024390243902439
PPP1R14B,1.7196951,0.18353224,0.08548788064247914,1.0,0.9390243902439024
TP53I3,1.7186607,0.43766108,0.08567617419877202,1.0,0.4878048780487805
KLF10,1.7089717,0.8231381,0.0874561770743315,1.0,0.2682926829268293
BCAR1,1.7074891,0.49972147,0.08773117558936616,1.0,0.45121951219512196
BTF3L4,1.7028688,0.34220585,0.08859262376127483,1.0,0.6463414634146342
SUN1,1.6986623,0.53558874,0.08938284410709434,1.0,0.4024390243902439
CDK17,1.6959038,0.64966387,0.08990409602454774,1.0,0.36585365853658536
SNRPG,1.694697,0.18755409,0.09013291186134152,1.0,0.8902439024390244
PAFAH1B3,1.694628,0.67395335,0.09014600119504673,1.0,0.3048780487804878
RPL39,1.6935936,0.072393335,0.09034252483392209,1.0,1.0
LAMTOR2,1.69118,0.250393,0.0908024207170618,1.0,0.7439024390243902
PNISR,1.6885595,0.25376096,0.09130386622823604,1.0,0.8048780487804879
HHIP-AS1,1.6850426,0.37271035,0.09198035502503672,1.0,0.5365853658536586
ZCCHC2,1.6845598,0.7078092,0.09207351990373347,1.0,0.2926829268292683
EXOC1,1.6792154,0.42931396,0.0931100617441443,1.0,0.5
LAMB1,1.6768364,0.22299038,0.09357449253341167,1.0,0.7804878048780488
NDUFA6,1.6683887,0.23371549,0.09523859018125874,1.0,0.6951219512195121
CIR1,1.6631132,0.51267636,0.09628976940559718,1.0,0.4634146341463415
B3GALT6,1.6630098,0.6856494,0.09631047319047416,1.0,0.32926829268292684
TP53TG1,1.6629409,0.35007167,0.0963242776924891,1.0,0.5853658536585366
CSK,1.6619754,0.7819243,0.09651770700376568,1.0,0.2804878048780488
MRPL51,1.6606652,0.20418443,0.09678071509737274,1.0,0.8536585365853658
TPM2,1.6561137,0.16294019,0.09769877869859266,1.0,0.9024390243902439
KNOP1,1.6494936,0.32826218,0.0990465526212834,1.0,0.5853658536585366
ATP6V1E1,1.6489419,0.30930853,0.09915953368012861,1.0,0.6219512195121951
HERC2,1.6486316,0.4812297,0.099223130708535,1.0,0.4634146341463415
APPL1,1.645425,0.3001268,0.09988220760203481,1.0,0.6463414634146342
VBP1,1.645218,0.4204697,0.09992484829745783,1.0,0.5
HLA-C,1.6324949,0.16822465,0.10257526928162261,1.0,0.975609756097561
LIMS1,1.6309777,0.32848558,0.10289500637919333,1.0,0.6951219512195121
SUPT6H,1.6160824,0.45267037,0.1060765023428133,1.0,0.4024390243902439
ELOC,1.6147032,0.2326338,0.1063749885470675,1.0,0.8658536585365854
FGFR1OP2,1.6124619,0.41126227,0.10686144835960967,1.0,0.4878048780487805
PAM,1.6022904,0.45074707,0.10909142007228212,1.0,0.45121951219512196
PPP1R16A,1.6005318,1.322802,0.10948064528573456,1.0,0.18292682926829268
OPTN,1.5957736,0.35160926,0.11053934857766834,1.0,0.5609756097560976
POLR1C,1.5954633,1.0717049,0.11060867433586163,1.0,0.21951219512195122
FKBP4,1.5947047,0.39381614,0.11077828185503323,1.0,0.5
APH1B,1.5886017,0.79647046,0.11215033447523089,1.0,0.25609756097560976
CALM3,1.5882225,0.26610616,0.11223604364617745,1.0,0.7682926829268293
EXOSC7,1.5880156,0.40929976,0.11228281586970491,1.0,0.4634146341463415
LUC7L3,1.5833263,0.28175452,0.11334711436473113,1.0,0.7195121951219512
EIF4B,1.5796369,0.18833351,0.11419003997573375,1.0,0.8170731707317073
SP3,1.5728098,0.7586264,0.1157628527722424,1.0,0.3048780487804878
BAG3,1.5686033,0.5953152,0.11674040685272542,1.0,0.3170731707317073
MAGOH,1.5666379,0.39476335,0.11719934956021377,1.0,0.5
SEC61A1,1.565569,0.4094304,0.11744954397580273,1.0,0.4878048780487805
IL6,1.5602591,1.227051,0.1186986646982177,1.0,0.18292682926829268
OAF,1.5595695,0.41967848,0.11886164951485975,1.0,0.45121951219512196
SNHG8,1.5590523,0.264189,0.11898400321542471,1.0,0.8048780487804879
EIF3L,1.5571904,0.30982563,0.11942529410111112,1.0,0.6219512195121951
GLRX5,1.5566387,0.2748758,0.11955629292804211,1.0,0.7195121951219512
BTG2,1.5523976,0.7024779,0.12056710883518029,1.0,0.2926829268292683
CHMP4B,1.5501909,0.33017305,0.12109570114954327,1.0,0.573170731707317
ZNF430,1.5490531,0.97466606,0.12136896410504673,1.0,0.21951219512195122
SNHG14,1.5479152,0.29053423,0.12164270913297313,1.0,0.5853658536585366
GCNT2,1.547398,0.9054255,0.12176729818791238,1.0,0.2073170731707317
AZI2,1.546605,0.63259125,0.12195852849270306,1.0,0.32926829268292684
BRD4,1.5455706,0.26059347,0.12220831205450236,1.0,0.7073170731707317
RANBP9,1.5431914,0.88806033,0.12278433156341294,1.0,0.24390243902439024
NDUFA7,1.540433,0.23140542,0.1234548328532464,1.0,0.7926829268292683
LINC00205,1.539709,0.57276183,0.12363131225752862,1.0,0.3170731707317073
CUTA,1.5390884,0.25559437,0.12378273699986928,1.0,0.7317073170731707
STK25,1.5365024,0.47311437,0.12441523201278817,1.0,0.45121951219512196
IMP4,1.5348473,0.40453288,0.12482134998730199,1.0,0.4634146341463415
NUDT14,1.5333301,0.4860737,0.12519453217722892,1.0,0.4024390243902439
METTL9,1.5322268,0.3449594,0.12546648323752688,1.0,0.6341463414634146
C1orf115,1.5321923,0.8712448,0.12547498912036426,1.0,0.23170731707317074
CHCHD10,1.5316751,0.16511126,0.12560263129602411,1.0,0.8658536585365854
MAP4K5,1.5305717,0.43956122,0.12587527274876728,1.0,0.4146341463414634
TMSB4X,1.5279857,0.096956514,0.1265160826373686,1.0,1.0
TGIF1,1.5251584,0.72429913,0.1272196049892567,1.0,0.2682926829268293
PMPCA,1.5241239,0.56148183,0.1274777504353821,1.0,0.36585365853658536
ZFAS1,1.5240206,0.10883351,0.12750358737558934,1.0,1.0
ACOT7,1.5220551,0.24442978,0.12799526360021096,1.0,0.6951219512195121
MALSU1,1.5214345,0.4023328,0.12815083568258046,1.0,0.43902439024390244
CARD19,1.5214,0.46494585,0.1281594828846465,1.0,0.4268292682926829
NOP56,1.521262,0.26641044,0.12819407622931628,1.0,0.7195121951219512
TAF6,1.5212276,0.5219509,0.12820272569965283,1.0,0.32926829268292684
TNRC6B,1.5181934,0.3849153,0.1289656572912317,1.0,0.5365853658536586
KIAA0586,1.5170555,0.5694124,0.12925266431700816,1.0,0.32926829268292684
CYTH2,1.5165384,0.6307607,0.12938328594464568,1.0,0.3048780487804878
RALGAPA1,1.5159867,0.7239435,0.1295227286531124,1.0,0.2926829268292683
FANCF,1.5139868,1.091356,0.13002918690295256,1.0,0.18292682926829268
EGLN2,1.5094699,0.74150187,0.13117873956859952,1.0,0.2804878048780488
ZCCHC7,1.5079528,0.521131,0.13156661174633844,1.0,0.36585365853658536
POLR3F,1.5059185,0.9351141,0.1320881075530096,1.0,0.23170731707317074
UBE2J1,1.5047807,0.4230419,0.13238048923239748,1.0,0.47560975609756095
FAH,1.5039876,0.6689097,0.13258456667697896,1.0,0.32926829268292684
TAPBP,1.5039186,0.29367927,0.13260232404949082,1.0,0.6951219512195121
SNX18,1.5030566,1.059796,0.13282444663564855,1.0,0.2073170731707317
TOMM34,1.5020912,0.44230127,0.1330735658284351,1.0,0.43902439024390244
WDR34,1.497126,0.6123561,0.13436046731567577,1.0,0.34146341463414637
ADIPOR1,1.4962295,0.40414664,0.1345938467093702,1.0,0.4146341463414634
RRP36,1.4953331,0.3445234,0.13482753935509753,1.0,0.524390243902439
DNAJC17,1.49354,0.6095215,0.1352958653320351,1.0,0.2804878048780488
STK19,1.4917127,0.5439801,0.13577448984139548,1.0,0.34146341463414637
TNS1,1.4915748,0.7295627,0.13581066544499662,1.0,0.2682926829268293
RPS6KA2,1.4914024,0.36729681,0.1358558954159781,1.0,0.5121951219512195
MORF4L1,1.4883336,0.17863049,0.13666293653263523,1.0,0.9878048780487805
LRRC41,1.4883336,0.51670307,0.13666293653263523,1.0,0.34146341463414637
NDUFA3,1.4848511,0.24740654,0.13758326787328432,1.0,0.8048780487804879
CUL1,1.475438,0.6826801,0.14009481255433803,1.0,0.2926829268292683
CDC42SE1,1.4742657,0.4778015,0.1404100599149511,1.0,0.3780487804878049
COX17,1.4679558,0.26265505,0.14211621162593457,1.0,0.8048780487804879
HYAL2,1.4639217,0.23039168,0.14321534522859264,1.0,0.7926829268292683
C20orf27,1.4636458,0.31819588,0.1432907372257789,1.0,0.5853658536585366
PIK3CA,1.4630597,0.69455236,0.14345104631288855,1.0,0.2682926829268293
AC048341.1,1.4626805,0.8770815,0.1435548490085979,1.0,0.21951219512195122
SP100,1.4587152,0.28550893,0.14464351121400232,1.0,0.6219512195121951
MUL1,1.457267,1.1844525,0.14504268294297293,1.0,0.17073170731707318
BMP2K,1.4569567,0.9343478,0.1451283294232164,1.0,0.23170731707317074
HLA-B,1.4535432,0.15667874,0.14607299902690524,1.0,1.0
IFI27L2,1.4498883,0.28887206,0.1470896727001434,1.0,0.5853658536585366
CTSB,1.4497849,0.18119493,0.14711852501709025,1.0,0.9634146341463414
KCMF1,1.4495779,0.44399467,0.14717624263291326,1.0,0.4146341463414634
RNF181,1.4486126,0.24200356,0.14744582044730614,1.0,0.7073170731707317
NSRP1,1.4467506,0.32992995,0.14796678619727407,1.0,0.5365853658536586
