names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
KDELR1,3.0743117,0.3223345,0.002109889009795763,1.0,0.7920792079207921
TMEM248,2.9157608,0.59519756,0.00354822462785077,1.0,0.5544554455445545
LRP8,2.845604,0.7064061,0.004432730218757767,1.0,0.49504950495049505
C6orf62,2.8229625,0.47692147,0.0047582123600581555,1.0,0.6633663366336634
PLA2G12A,2.765646,0.82922226,0.005681015585158974,1.0,0.40594059405940597
TRIP10,2.7436252,0.7753537,0.006076488770830722,1.0,0.4158415841584158
RNPS1,2.6883247,0.46163478,0.007181155195980361,1.0,0.7029702970297029
NDUFS7,2.6865568,0.37009478,0.007219269016722691,1.0,0.8712871287128713
DRAM1,2.632776,0.7323486,0.008469019180429374,1.0,0.42574257425742573
UBB,2.5535316,0.26404315,0.010663662299800182,1.0,0.9306930693069307
WDR60,2.5459638,0.6308915,0.010897649953465864,1.0,0.48514851485148514
BCAP31,2.4835918,0.3331045,0.013006483048091388,1.0,0.8712871287128713
RAB5C,2.468239,0.42057195,0.013577959405999419,1.0,0.7524752475247525
DTWD1,2.4192348,0.7715703,0.015553201015054793,1.0,0.37623762376237624
IMPA1,2.4130006,0.56527126,0.015821793150379602,1.0,0.504950495049505
PGD,2.407604,0.22332677,0.0160575913051833,1.0,0.9603960396039604
MRPL57,2.3903594,0.29658264,0.016831895108188263,1.0,0.8712871287128713
FAM107A,2.3728356,0.49763814,0.017652117698176914,1.0,0.5841584158415841
UBE2M,2.3486435,0.37053668,0.01884193282949199,1.0,0.7227722772277227
AP3B1,2.3339422,0.5413024,0.01959874486598765,1.0,0.5148514851485149
COL13A1,2.3262506,0.4163404,0.02000519395477688,1.0,0.6435643564356436
RBX1,2.3249788,0.2794019,0.020073093150973255,1.0,0.9207920792079208
UBE2N,2.3123245,0.3861278,0.02075980662409475,1.0,0.6831683168316832
RHOA,2.2903035,0.16455789,0.022003725615129296,1.0,0.9603960396039604
CBX6,2.2825496,0.6571265,0.022456906646764013,1.0,0.44554455445544555
SLC25A1,2.2786727,0.36118183,0.022686524425466797,1.0,0.7326732673267327
C16orf74,2.2758503,0.5838908,0.022854966900929995,1.0,0.43564356435643564
RPUSD3,2.2661736,0.7075021,0.023440759194849375,1.0,0.37623762376237624
IGBP1,2.2557523,0.46106854,0.024086143876721866,1.0,0.5346534653465347
TRIM8,2.2481225,0.5373055,0.024568375121451096,1.0,0.5445544554455446
ATP5MF,2.2399344,0.22076379,0.02509517559960115,1.0,0.9207920792079208
DCXR,2.2283657,0.3568367,0.025856135628549867,1.0,0.6336633663366337
MED4,2.2276833,0.5213818,0.025901634581654377,1.0,0.504950495049505
TALDO1,2.2158666,0.27110973,0.026700644867271698,1.0,0.8811881188118812
CLEC11A,2.2101598,0.33560464,0.02709408191827517,1.0,0.7821782178217822
FAU,2.1921086,0.09274563,0.02837165856141323,1.0,1.0
CHTOP,2.1920466,0.65938264,0.028376136838632483,1.0,0.4158415841584158
TAF11,2.1890693,0.45250618,0.028591811506586094,1.0,0.5445544554455446
PTX3,2.188573,0.34097657,0.028627894204388535,1.0,0.7227722772277227
FAM210B,2.183021,0.35994864,0.02903425027405508,1.0,0.6435643564356436
CD151,2.1723208,0.24361475,0.029831469951966127,1.0,0.9108910891089109
NMT2,2.1722279,0.33336976,0.029838484020583367,1.0,0.7920792079207921
EXT2,2.1678855,0.46021837,0.030167387971323286,1.0,0.5148514851485149
NAA20,2.1632953,0.36221576,0.030518469307553215,1.0,0.7227722772277227
ATP6V0E1,2.1581159,0.27011982,0.030918830512443055,1.0,0.8514851485148515
SUCLG2,2.1497107,0.4096227,0.031578112955758436,1.0,0.5544554455445545
SEC61G,2.1398168,0.21048842,0.032369584378556304,1.0,0.9801980198019802
CRIP1,2.136498,0.30661935,0.03263884117654529,1.0,0.9900990099009901
SLC16A3,2.122417,0.44715834,0.03380273365042678,1.0,0.5445544554455446
FAM177A1,2.1198738,0.3430616,0.03401669274158135,1.0,0.801980198019802
SLC20A2,2.1107552,0.49913415,0.03479335659674968,1.0,0.44554455445544555
RTN4,2.1085222,0.15982534,0.034985852084750226,1.0,0.9900990099009901
AASS,2.0970774,0.44023907,0.03598672260963642,1.0,0.4752475247524752
RRP36,2.0944722,0.4404189,0.03621794392994777,1.0,0.5445544554455446
HARS,2.0756767,0.53909636,0.03792385580209478,1.0,0.44554455445544555
ADGRG6,2.0735676,0.40868703,0.038119475629683604,1.0,0.594059405940594
SYPL1,2.0662792,0.35946542,0.038802134216499966,1.0,0.7425742574257426
JUP,2.0624952,0.6915284,0.03916061296010184,1.0,0.31683168316831684
POLR2F,2.061999,0.31687552,0.039207834529315706,1.0,0.7029702970297029
YWHAB,2.0515778,0.12363628,0.040210713493965385,1.0,0.9900990099009901
RPN1,2.0510504,0.33174482,0.0402620274132938,1.0,0.693069306930693
IDS,2.049965,0.37688974,0.04036784859896783,1.0,0.6039603960396039
AC002558.3,2.036163,1.163474,0.04173397923022203,1.0,0.2079207920792079
CLN3,2.0310144,1.0069106,0.042253518823846536,1.0,0.25742574257425743
ANKRD9,2.0292778,0.6687559,0.04243001496105162,1.0,0.3564356435643564
