names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
EEF1A1,4.4532104,0.35688317,8.459584543813025e-06,0.25177415519296326,1.0
RPS2,3.9819748,0.31662753,6.834504110415344e-05,0.6780283711139382,1.0
FTH1,3.7510624,0.69514376,0.00017608687155384512,1.0,1.0
TRIB3,3.5402787,2.0988147,0.0003997048193267003,1.0,0.7692307692307693
PHKB,3.4612455,1.7974491,0.0005376820511692853,1.0,0.8461538461538461
SARS,3.310499,1.0865915,0.0009312977391880085,1.0,1.0
RPL5,3.2758186,0.3088302,0.0010535620319854888,1.0,1.0
WDR74,3.2058477,2.2138724,0.0013466519221589945,1.0,0.6923076923076923
CCNB1IP1,3.1885948,1.4576688,0.0014296615615993077,1.0,0.8461538461538461
ZFAS1,3.1546986,0.6234713,0.0016066402000742288,1.0,1.0
HARS,3.1325657,1.6038088,0.0017328557530032816,1.0,0.8461538461538461
SLC39A14,3.0916116,1.9041271,0.0019907317467359707,1.0,0.6923076923076923
MKNK2,3.0628564,1.675817,0.002192352241191676,1.0,0.7692307692307693
SNHG32,3.0531843,1.1059498,0.0022642687501476513,1.0,0.9230769230769231
GAS5,3.0442963,0.6276435,0.002332253184330976,1.0,1.0
NEMF,3.0130143,1.4697127,0.0025866681197333464,1.0,0.8461538461538461
RPS9,2.9892259,0.25662866,0.0027968529081750775,1.0,1.0
RPL13A,2.9512343,0.25172004,0.003165067736562662,1.0,1.0
ATF4,2.9032218,1.1627485,0.003693448262722942,1.0,0.8461538461538461
GARS,2.9025247,1.135209,0.0037016783125649213,1.0,1.0
ZKSCAN1,2.8887572,1.1090306,0.003867675720717053,1.0,1.0
DDX18,2.851114,1.0693161,0.0043566327671988895,1.0,0.9230769230769231
NPM3,2.8444917,1.3285639,0.004448233822323216,1.0,0.8461538461538461
IARS,2.8398736,1.2471541,0.004513142701695998,1.0,1.0
PABPC1,2.8321183,0.6176421,0.004624073310898824,1.0,1.0
KLC1,2.8167822,1.265529,0.004850739837451942,1.0,0.9230769230769231
RTRAF,2.8080685,0.8626287,0.004983961038855128,1.0,1.0
RACK1,2.7934296,0.32269537,0.00521523768120554,1.0,1.0
SKIL,2.7717326,1.3147181,0.005575882516689671,1.0,0.7692307692307693
LSM8,2.7708611,1.10158,0.005590825313283917,1.0,0.9230769230769231
EEF1D,2.752998,0.44021195,0.005905222642580938,1.0,1.0
EIF3E,2.730517,0.45299074,0.006323509267642882,1.0,1.0
PRELID3B,2.7187533,1.2989271,0.006552843551640785,1.0,0.7692307692307693
TCF7L2,2.6947908,1.5758234,0.007043283103741918,1.0,0.6923076923076923
RPS16,2.6864257,0.30465683,0.007222100871076564,1.0,1.0
RPS3,2.679629,0.2433557,0.007370379048938063,1.0,1.0
PAIP1,2.6368449,1.3369739,0.008368108441027707,1.0,0.7692307692307693
RPLP0,2.6137536,0.27118972,0.008955357979253724,1.0,1.0
ADSL,2.6075668,1.4027369,0.009118823616360579,1.0,0.7692307692307693
FZD4,2.604343,1.7243665,0.009205061292085882,1.0,0.6153846153846154
FTL,2.6009445,0.41148913,0.009296747733023372,1.0,1.0
SNUPN,2.5836916,1.3570276,0.00977491895474876,1.0,0.7692307692307693
EIF1,2.5803802,0.5094849,0.009869156752457007,1.0,1.0
ACAA2,2.576372,1.2913233,0.009984316545737434,1.0,0.7692307692307693
STAT3,2.5741935,1.136511,0.010047404097879166,1.0,0.8461538461538461
SNHG16,2.539513,0.6907766,0.011100687026681657,1.0,1.0
TAF12,2.5264425,1.3598338,0.011522420098202273,1.0,0.7692307692307693
PRKAG2,2.5263555,1.4696018,0.011525278724268378,1.0,0.6923076923076923
RAB29,2.4969904,1.1290776,0.012525233802668326,1.0,0.8461538461538461
DCTN4,2.4792144,1.4265668,0.013167208323791708,1.0,0.6923076923076923
ROCK2,2.4746835,1.2241836,0.013335432463266328,1.0,0.7692307692307693
RPS27,2.4689324,0.2724971,0.013551681755525815,1.0,1.0
RPS17,2.4626586,0.27255306,0.013791118208529737,1.0,1.0
VPS36,2.438609,1.1250622,0.014743919173766338,1.0,0.8461538461538461
FNDC3B,2.4370403,1.0583853,0.0148080269186095,1.0,0.7692307692307693
RPL22,2.4358203,0.28964046,0.014858058196399968,1.0,1.0
RPL10,2.429808,0.24734616,0.01510682319314645,1.0,1.0
TRAF7,2.4224885,1.3121004,0.015414613054573513,1.0,0.6923076923076923
EEF2,2.4156919,0.4555156,0.015705346476649132,1.0,1.0
SLC25A6,2.4140363,0.37596014,0.01577689261987665,1.0,1.0
EFTUD2,2.4108121,1.2270217,0.015917042433646146,1.0,0.7692307692307693
RPS6,2.4096794,0.20541373,0.01596654351228863,1.0,1.0
SET,2.4052355,0.49948376,0.016162049539339564,1.0,1.0
PRAG1,2.394169,1.5472825,0.01665806801057306,1.0,0.6153846153846154
MSH3,2.3939948,1.5520858,0.01666598507342701,1.0,0.6153846153846154
LARS,2.3894637,0.78245693,0.016872991662736654,1.0,1.0
ZNF10,2.3756962,1.1924659,0.01751588303269131,1.0,0.7692307692307693
RPL37A,2.3657625,0.23749584,0.017992982988252,1.0,1.0
DNAJC1,2.3619285,0.85817516,0.018180149181698732,1.0,0.9230769230769231
PSMC1,2.3493807,1.0404102,0.01880466460274736,1.0,0.9230769230769231
SYNE1,2.3465052,1.2619164,0.0189503978871989,1.0,0.7692307692307693
NFIA,2.3438041,0.9581232,0.019088197513716418,1.0,0.8461538461538461
PTCD3,2.3408413,1.3769096,0.019240339100300635,1.0,0.6923076923076923
FAM126A,2.334916,1.0259689,0.01954780463437792,1.0,0.7692307692307693
RBM28,2.329775,1.2031277,0.019818044969990473,1.0,0.7692307692307693
