names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CRIP2,3.670414,0.4178684,0.00024215796801803233,1.0,1.0
TAOK1,3.4744093,0.7455579,0.0005119795638202225,1.0,0.6833333333333333
RPS24,3.0034404,0.11393212,0.0026694575682786716,1.0,1.0
SRRM2,2.9998055,0.39922225,0.002701520294443496,1.0,0.8833333333333333
RAB11FIP1,2.9608307,0.67498684,0.003068104855922113,1.0,0.7
IER2,2.918342,0.56019825,0.003518979409666595,1.0,0.75
SPATS2L,2.9094164,0.65842855,0.003621042562830938,1.0,0.6833333333333333
ADGRG1,2.860183,0.688367,0.004233966800745121,1.0,0.6
BAG3,2.6872804,1.1573248,0.007203646317859543,1.0,0.4
CD2AP,2.577626,0.87338257,0.009948162410881997,1.0,0.4666666666666667
TMEM183A,2.5691445,0.6430317,0.010194997197447734,1.0,0.6333333333333333
MEAK7,2.5563817,1.503447,0.010576704195828615,1.0,0.31666666666666665
SCOC,2.5532718,0.57870555,0.01067161982109782,1.0,0.6666666666666666
DNAJC8,2.5396204,0.35953644,0.011097281564333691,1.0,0.8166666666666667
KLHL5,2.4767761,0.7846289,0.013257500915299009,1.0,0.5
ZCCHC3,2.4466465,0.9785084,0.014419219923500044,1.0,0.4
KIAA0319L,2.4364283,0.9356781,0.014833113643696088,1.0,0.4166666666666667
EEA1,2.4342473,0.46649393,0.014922798376370484,1.0,0.85
GGCT,2.4316623,0.5261582,0.015029709764132003,1.0,0.6666666666666666
FKBP14,2.3901834,0.56355995,0.01683995543049518,1.0,0.6333333333333333
ZMYND8,2.342283,0.5069111,0.01916617973540027,1.0,0.7166666666666667
TCEAL8,2.2942612,0.47043958,0.021775502359437194,1.0,0.6833333333333333
TIMM17A,2.2699878,0.5107869,0.02320832644693092,1.0,0.6666666666666666
RPL27,2.2690587,0.121754535,0.023264749444520838,1.0,1.0
NHP2,2.2579117,0.33169267,0.02395116964237418,1.0,0.95
CHCHD10,2.2332344,0.36916566,0.02553349526372487,1.0,0.9166666666666666
ADNP,2.2252374,0.61683536,0.026065302838114323,1.0,0.55
ZMAT3,2.2050028,0.36044976,0.027453893411151443,1.0,0.8333333333333334
YWHAE,2.2027006,0.1624277,0.027615848841824883,1.0,0.9833333333333333
JOSD2,2.1958346,0.49523786,0.028103776501813,1.0,0.5833333333333334
PGF,2.190988,0.6716267,0.028452653391612365,1.0,0.5
SHOC2,2.1904228,0.70923054,0.02849359769835699,1.0,0.4666666666666667
ROCK2,2.1755598,0.56831735,0.029588195996890304,1.0,0.55
KMT2E,2.1661897,0.44749373,0.030296698017692025,1.0,0.7166666666666667
HSPE1,2.1514075,0.31462842,0.03144404943259624,1.0,0.9666666666666667
STX8,2.1495497,0.6468502,0.031590855626235606,1.0,0.48333333333333334
DNAJB14,2.1411893,0.55413055,0.032258779825672164,1.0,0.5833333333333334
TRMT10A,2.137837,1.492293,0.03252997384356621,1.0,0.26666666666666666
HECTD1,2.1289515,0.4459152,0.03325826729317655,1.0,0.6333333333333333
AHCYL1,2.1228125,0.39976445,0.03376956357007296,1.0,0.7166666666666667
LAPTM5,2.1105344,0.84979707,0.034812344737512935,1.0,0.38333333333333336
SWI5,2.093329,0.5238564,0.03631979266577325,1.0,0.6833333333333333
FTX,2.0837166,0.48919633,0.03718595320300318,1.0,0.6333333333333333
BTG1,2.0734982,0.5930427,0.03812592498204549,1.0,0.5333333333333333
LAMP2,2.0585144,0.43559876,0.03954079372936266,1.0,0.6166666666666667
