names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TCTN3,3.178801,0.8960204,0.001478855648238688,1.0,0.46236559139784944
IPO7,3.119642,0.4552381,0.0018107093241741163,1.0,0.7634408602150538
ATP5F1B,3.107157,0.3038157,0.0018889612579523385,1.0,0.9354838709677419
WDR43,3.0249035,0.56578773,0.0024871241227761715,1.0,0.6989247311827957
FAM171A1,2.988289,0.6262441,0.0028054410238677083,1.0,0.5483870967741935
OCIAD2,2.8507905,0.44395128,0.004361069557226434,1.0,0.7526881720430108
AHNAK2,2.6962137,0.61349684,0.007013264288305935,1.0,0.5913978494623656
SELENOM,2.5576801,0.44184777,0.01053729559955702,1.0,0.7311827956989247
REEP5,2.5540576,0.37853876,0.010647566153098998,1.0,0.7311827956989247
MTRNR2L1,2.540699,0.84922457,0.011063110004085365,1.0,0.3655913978494624
TCF3,2.5265644,0.8927126,0.01151843043193294,1.0,0.3655913978494624
GTF2A2,2.523168,0.41463926,0.011630280147652517,1.0,0.7311827956989247
CFAP298,2.5024672,0.5245677,0.012333102782156203,1.0,0.6344086021505376
TIMM17A,2.496904,0.44295824,0.012528289184442477,1.0,0.6451612903225806
ME1,2.4827693,0.4227538,0.013036553322077968,1.0,0.7204301075268817
HDAC3,2.4736478,1.1458913,0.013374143936247961,1.0,0.27956989247311825
HSPH1,2.4407208,0.4997805,0.014657987025590107,1.0,0.6236559139784946
UBE2Z,2.4401386,0.5933903,0.01468163296452427,1.0,0.5053763440860215
HUWE1,2.435675,0.43620434,0.014864038266661515,1.0,0.6881720430107527
EI24,2.411028,0.32671845,0.015907627922693658,1.0,0.8279569892473119
HEXA,2.4041386,0.6032117,0.016210630388570072,1.0,0.4838709677419355
IMP4,2.3993192,0.513815,0.016425593864682512,1.0,0.5376344086021505
HMGN2,2.3731844,0.28490913,0.017635459797324712,1.0,0.8924731182795699
TCF15,2.3636749,0.48573053,0.01809468260124597,1.0,0.6344086021505376
TMED5,2.362834,0.6089258,0.018135793725344726,1.0,0.5053763440860215
SNHG1,2.355039,0.73487765,0.018520771615404653,1.0,0.3870967741935484
DYNC1H1,2.3492813,0.36509287,0.01880968561619129,1.0,0.8172043010752689
CDKN1A,2.332171,0.33733284,0.019691702721923526,1.0,0.9247311827956989
MACF1,2.3218205,0.28134528,0.02024260312829266,1.0,0.8817204301075269
SOX12,2.27547,0.758683,0.022877742900232124,1.0,0.41935483870967744
UBC,2.2736912,0.20082952,0.022984562670077813,1.0,0.967741935483871
UBE2G2,2.2528286,0.48244685,0.02426995623947027,1.0,0.5698924731182796
STIP1,2.2460363,0.42817873,0.02470169042249558,1.0,0.6129032258064516
CASP4,2.2169905,0.56608844,0.02662374889466564,1.0,0.4946236559139785
GPATCH2,2.211977,0.6665084,0.02696826061926933,1.0,0.3870967741935484
PCSK5,2.2074487,0.3129622,0.027282733652297577,1.0,0.9354838709677419
NIP7,2.19988,0.5853785,0.027815418564999764,1.0,0.44086021505376344
NDUFB9,2.1974216,0.2895764,0.027990345701160175,1.0,0.956989247311828
PES1,2.1865861,0.768857,0.028772753803033336,1.0,0.34408602150537637
CUEDC2,2.1758475,0.41341144,0.029566661685469,1.0,0.6451612903225806
PITRM1,2.1675997,0.6774472,0.030189165825620874,1.0,0.3978494623655914
PRPF38A,2.1586723,0.6891733,0.030875594479125423,1.0,0.3870967741935484
LACTB,2.1564083,0.83940834,0.031051804009465864,1.0,0.3655913978494624
MRPL13,2.1508448,0.33361626,0.031488445882906474,1.0,0.6774193548387096
NFE2L1,2.1497452,0.41684094,0.03157537944882955,1.0,0.6021505376344086
USP4,2.1381009,0.7459366,0.032508551097075004,1.0,0.3870967741935484
TRIR,2.1321495,0.30923307,0.03299456100237598,1.0,0.8494623655913979
PSME2,2.130888,0.35408178,0.03309836906377766,1.0,0.7956989247311828
NFS1,2.1283329,0.8666329,0.033309503788634474,1.0,0.3118279569892473
NT5E,2.121993,0.37522694,0.033838313993355414,1.0,0.6989247311827957
ACAT2,2.1218638,0.36152357,0.03384918035585838,1.0,0.7526881720430108
CCPG1,2.119438,0.3557422,0.03405347776773808,1.0,0.6774193548387096
VCL,2.1165593,0.2967434,0.034297277348622396,1.0,0.7956989247311828
ENY2,2.1035888,0.23808514,0.03541432815215271,1.0,0.967741935483871
PPP1CB,2.0913947,0.38631615,0.036492689743190934,1.0,0.7204301075268817
TSR1,2.088969,0.5655004,0.03671052230304854,1.0,0.40860215053763443
CCND1,2.0840847,0.31632048,0.03715245333156124,1.0,0.9354838709677419
NMT1,2.0703704,0.3738224,0.03841765884611123,1.0,0.6666666666666666
GTF3A,2.0665863,0.3209565,0.038773164930186566,1.0,0.8279569892473119
TCP1,2.0638044,0.3987019,0.039036256009285904,1.0,0.6881720430107527
PLAC9,2.0636103,0.41037422,0.03905466764868176,1.0,0.5591397849462365
C12orf75,2.0633194,0.29746678,0.03908229893671514,1.0,0.8494623655913979
SNRNP40,2.056915,0.5209875,0.0396944009838527,1.0,0.46236559139784944
SUCLG2,2.0521927,0.4880394,0.04015094344313572,1.0,0.5161290322580645
GGH,2.050543,0.4965599,0.04031146669176416,1.0,0.5161290322580645
DDX39B,2.045206,0.41092592,0.040834540149609,1.0,0.6021505376344086
ARPC5L,2.0445268,0.3505789,0.040901523949568405,1.0,0.6129032258064516
FDFT1,2.042942,0.27256843,0.04105818165907701,1.0,0.956989247311828
QPCT,2.0349529,0.8493135,0.04185562545155891,1.0,0.3010752688172043
EMC6,2.0331414,0.37921694,0.04203823424380088,1.0,0.6021505376344086
PGK1,2.0214326,0.29102516,0.04323500658109088,1.0,0.8602150537634409
GRK6,2.0153518,0.97897685,0.04386781082019977,1.0,0.27956989247311825
YTHDF2,2.0117939,0.45012197,0.04424168234680842,1.0,0.5483870967741935
MGLL,2.0109527,0.3436963,0.0443304438674681,1.0,0.7204301075268817
SPATS2L,2.0095296,0.3650106,0.04448099802602089,1.0,0.6666666666666666
MLLT11,2.002252,0.45521644,0.04525763727384699,1.0,0.5806451612903226
