names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
GOLM1,3.1398,0.4610955,0.0016906311364814827,1.0,0.6167664670658682
SLC25A11,3.0511482,0.59665036,0.0022796812778826383,1.0,0.49101796407185627
REX1BD,2.956381,0.35833868,0.0031127213173529227,1.0,0.7485029940119761
NGLY1,2.8721893,0.7573124,0.004076387558081267,1.0,0.3712574850299401
SRP14,2.7994356,0.16576247,0.00511920363065133,1.0,0.9940119760479041
UQCRH,2.7226052,0.13195972,0.006476938653736966,1.0,0.9760479041916168
UBE2G2,2.6988895,0.39436254,0.006957124871260607,1.0,0.6167664670658682
RSPRY1,2.6659179,0.5700061,0.007677845458957215,1.0,0.4251497005988024
DYNLL1,2.6140742,0.18975005,0.008946959869690158,1.0,0.9820359281437125
DAP,2.5849872,0.3786883,0.00973826354124338,1.0,0.6706586826347305
ATRAID,2.574484,0.30024868,0.010038969761193946,1.0,0.7784431137724551
ATP2B1,2.547795,0.3724917,0.01084061669445372,1.0,0.6646706586826348
SRSF7,2.5324242,0.3849902,0.011327688565776385,1.0,0.6646706586826348
CSNK2A1,2.5217533,0.28633943,0.011677158671269179,1.0,0.8263473053892215
RPS26,2.4700534,0.15143913,0.013509284344306049,1.0,0.9940119760479041
RNF7,2.4422374,0.26009303,0.014596547732635653,1.0,0.8562874251497006
NBEAL1,2.4024074,0.30898216,0.016287556918075843,1.0,0.7365269461077845
RPL7A,2.3975635,0.06303808,0.01650451712696096,1.0,1.0
AIDA,2.3929114,0.39073795,0.016715270320989684,1.0,0.5029940119760479
CSNK1A1,2.3781402,0.20150383,0.017400209172791215,1.0,0.8802395209580839
RPRD1A,2.3603475,0.68939453,0.018257827174578703,1.0,0.3413173652694611
AAMDC,2.35512,0.3415028,0.01851673006253507,1.0,0.6706586826347305
SCOC,2.3518107,0.34900522,0.018682278372887027,1.0,0.6047904191616766
COX14,2.3511393,0.2516708,0.018716025456741572,1.0,0.7125748502994012
SERBP1,2.3341858,0.12345075,0.019585994185990926,1.0,0.9940119760479041
INPP1,2.311861,0.34644052,0.020785348439049445,1.0,0.5389221556886228
SNRPG,2.2969937,0.17173852,0.02161913162053418,1.0,0.8802395209580839
LAMTOR1,2.2940922,0.26329026,0.021785206744070137,1.0,0.718562874251497
CD164,2.2817907,0.24881552,0.02250170183871601,1.0,0.7844311377245509
TOP1MT,2.280064,0.57630265,0.02260388414244864,1.0,0.3413173652694611
CAV2,2.2444305,0.20912252,0.02480470612187301,1.0,0.8323353293413174
OTUD6B-AS1,2.2391791,0.3693672,0.02514426200656259,1.0,0.592814371257485
ERCC1,2.238028,0.3108519,0.025219220526589137,1.0,0.562874251497006
LUC7L3,2.220835,0.24728872,0.026362149069243685,1.0,0.7065868263473054
ZC3H14,2.2168782,0.58965325,0.02663141315806866,1.0,0.3532934131736527
DHCR7,2.2069747,0.3500323,0.0273158257368897,1.0,0.5449101796407185
AURKAIP1,2.1958003,0.21825612,0.028106241409388645,1.0,0.8323353293413174
YARS,2.193618,0.4218053,0.028262872419189893,1.0,0.46706586826347307
DGKH,2.180909,0.46482712,0.02919014563992295,1.0,0.4311377245508982
MOB4,2.164675,0.54084176,0.030412588442756044,1.0,0.40119760479041916
NDUFA7,2.1337893,0.22808604,0.03286002664826994,1.0,0.844311377245509
SDCBP,2.121368,0.18454406,0.03389084592347457,1.0,0.8862275449101796
KDM4B,2.1183946,0.7992637,0.03414166737530682,1.0,0.24550898203592814
ECHS1,2.1043665,0.2560629,0.035346484508553495,1.0,0.6227544910179641
PSMB5,2.0857825,0.21378654,0.03699833259855947,1.0,0.874251497005988
PLAAT3,2.0855186,0.34973863,0.0370222434624388,1.0,0.5329341317365269
PRDX3,2.0833845,0.25731224,0.03721618845096395,1.0,0.7544910179640718
SMIM14,2.0633376,0.3516566,0.039080556678587904,1.0,0.49101796407185627
PRKCA,2.060628,0.48530182,0.039338543626793926,1.0,0.40119760479041916
AHCYL1,2.0528347,0.22537774,0.040088614921294695,1.0,0.718562874251497
COX5B,2.0527148,0.11187231,0.04010024858200477,1.0,0.9700598802395209
FNTA,2.052355,0.31227797,0.04013516674771589,1.0,0.5688622754491018
PCAT19,2.0509403,0.24871925,0.04027276185851438,1.0,0.6467065868263473
MYL12B,2.0367444,0.12735856,0.04167565834366546,1.0,0.9940119760479041
SIVA1,2.032572,0.3036879,0.04209578125550218,1.0,0.6407185628742516
RBMS1,2.022117,0.3279684,0.043164269808110986,1.0,0.5748502994011976
RWDD1,2.021134,0.16450296,0.04326591562469654,1.0,0.8323353293413174
AAK1,2.0144675,0.307383,0.04396047235414391,1.0,0.6167664670658682
TMED5,2.0128608,0.34946507,0.044129266176513186,1.0,0.46107784431137727
TMEM147,1.9936533,0.24085659,0.046189952826295434,1.0,0.7904191616766467
MIER1,1.9907998,0.35114467,0.04650290424764756,1.0,0.5389221556886228
NBL1,1.9896487,0.35218918,0.04662964094076823,1.0,0.5029940119760479
ADAM10,1.9887855,0.2810778,0.04672488412269615,1.0,0.6287425149700598
GABBR2,1.9663887,0.30064666,0.049253731078029786,1.0,0.5808383233532934
AC010642.2,1.9587152,0.36740634,0.05014614467236415,1.0,0.5149700598802395
CDC42EP1,1.9498188,0.5926205,0.05119771334828465,1.0,0.2754491017964072
MRPL1,1.9433684,0.42731088,0.05197166519188037,1.0,0.40119760479041916
PSMA2,1.941546,0.22786765,0.052192093081980646,1.0,0.844311377245509
IARS2,1.9320501,0.21192391,0.05335332659238058,1.0,0.7245508982035929
EIF4B,1.9229618,0.21462345,0.054484841608712885,1.0,0.8922155688622755
PFN2,1.9206358,0.21912485,0.05477763376223589,1.0,0.7425149700598802
PQBP1,1.9200603,0.49163538,0.054850279322603744,1.0,0.32934131736526945
ARHGEF40,1.9001094,1.3292357,0.05741876314428081,1.0,0.15568862275449102
FAM200B,1.895937,0.3453903,0.05796837810127939,1.0,0.5029940119760479
CD81,1.8927717,0.13128756,0.05838823780671864,1.0,0.9520958083832335
AKAP13,1.8906136,0.37192202,0.05867595167963648,1.0,0.47904191616766467
FBXW9,1.8873763,0.80340147,0.05910972920197592,1.0,0.20958083832335328
TMEM106B,1.8852421,0.2945975,0.05939715433099871,1.0,0.5449101796407185
MIR222HG,1.8779523,0.48795375,0.0603876802177737,1.0,0.3772455089820359
SNRPD2,1.876082,0.081075676,0.060644023949249524,1.0,0.9520958083832335
CEP170,1.8665382,0.20351097,0.06196611199249399,1.0,0.7544910179640718
COA4,1.8648356,0.25999972,0.06220445079665238,1.0,0.7365269461077845
SMIM4,1.8613106,0.3535181,0.06270032384557407,1.0,0.47305389221556887
UBE2D3,1.860879,0.17693056,0.06276126700565766,1.0,0.8023952095808383
MYSM1,1.8555076,0.50147694,0.06352377625501789,1.0,0.30538922155688625
ST6GALNAC4,1.8483138,0.45448053,0.06455696786582868,1.0,0.40119760479041916
OSBP,1.8355807,0.57045907,0.06641970122484811,1.0,0.30538922155688625
HTRA1,1.834046,0.28267264,0.06664717163715342,1.0,0.6287425149700598
RPS21,1.8333745,0.041290794,0.06674689148232706,1.0,1.0
UBA2,1.8320796,0.37328082,0.0669395552835082,1.0,0.46107784431137727
RYBP,1.817548,0.57618374,0.06913323238288313,1.0,0.2994011976047904
HIBADH,1.8081721,0.33415133,0.07057971753261866,1.0,0.4550898203592814
ITSN1,1.8053905,0.3123178,0.07101359769633596,1.0,0.4431137724550898
DNAJC4,1.8028727,0.39286286,0.0714082173406813,1.0,0.38922155688622756
TBCA,1.7991319,0.12964828,0.07199782631138832,1.0,0.9640718562874252
MET,1.799084,0.575529,0.07200541121121766,1.0,0.25149700598802394
INTS3,1.7949834,0.67407995,0.07265634435943141,1.0,0.23353293413173654
ATP6V0D1,1.7875978,0.36335042,0.07384093276212117,1.0,0.4311377245508982
PNN,1.786111,0.2692337,0.07408128779291293,1.0,0.6467065868263473
USP7,1.781459,0.50849754,0.07483750033408411,1.0,0.32934131736526945
CD2AP,1.7771187,0.48088503,0.07554871274851502,1.0,0.3712574850299401
SRP72,1.7737856,0.22154067,0.07609862933335079,1.0,0.7544910179640718
CD276,1.7712677,0.5783186,0.07651619523806977,1.0,0.2934131736526946
AK3,1.7695172,0.2856687,0.0768076024918647,1.0,0.5748502994011976
GNB1,1.7687738,0.16542079,0.07693162413711212,1.0,0.8023952095808383
SH3GLB1,1.7671672,0.17417243,0.07720022855952513,1.0,0.7844311377245509
CDC123,1.7669754,0.3009003,0.07723235173842798,1.0,0.5508982035928144
DCTN6,1.7646254,0.29022092,0.07762674528479585,1.0,0.49101796407185627
GAK,1.7641698,0.550704,0.07770339886940485,1.0,0.2754491017964072
BLOC1S1,1.7600693,0.19575801,0.0783960588255096,1.0,0.7245508982035929
SRI,1.7578871,0.22595201,0.07876671115908476,1.0,0.8023952095808383
ROMO1,1.7573357,0.13137272,0.07886061789582148,1.0,0.9640718562874252
DSTYK,1.7523959,0.59775585,0.07970576287343613,1.0,0.25149700598802394
STOML2,1.7408378,0.17842157,0.08171202210088596,1.0,0.7485029940119761
NFKBIB,1.7341474,1.0083203,0.08289191864791198,1.0,0.16167664670658682
CFI,1.7301669,0.72571564,0.0836004622828155,1.0,0.2215568862275449
ZBTB11,1.7204552,0.6396172,0.08534972998913808,1.0,0.23952095808383234
C1orf43,1.7204552,0.22625116,0.08534972998913808,1.0,0.6287425149700598
MAPK6,1.7164986,0.38077217,0.08607082587571796,1.0,0.38922155688622756
IPO5,1.7152996,0.3427839,0.08629030893463259,1.0,0.4550898203592814
RPL31,1.7146043,0.054938447,0.08641781610852599,1.0,0.9880239520958084
MYBBP1A,1.7140287,0.5802255,0.08652345432365138,1.0,0.2275449101796407
MIDN,1.7085375,0.45691478,0.08753667200935987,1.0,0.3652694610778443
RELL1,1.7071706,0.31528485,0.08779035250513433,1.0,0.49101796407185627
FAM192A,1.7062594,0.30887285,0.08795980201965457,1.0,0.5029940119760479
RTF1,1.7000726,0.19403647,0.08911726082063244,1.0,0.7485029940119761
NAA25,1.6963319,0.48783058,0.0898230513224216,1.0,0.31137724550898205
MSMO1,1.6959962,0.1915636,0.08988661091799742,1.0,0.8682634730538922
