names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TDG,3.2707586,0.72988206,0.0010725945737866097,1.0,0.49242424242424243
NFIA,3.2279568,0.42512125,0.0012467779253738914,1.0,0.7121212121212122
ST6GAL1,3.1707075,0.69411224,0.001520681703443189,1.0,0.4696969696969697
SINHCAF,2.969821,0.46672252,0.002979733960142836,1.0,0.6212121212121212
NOC2L,2.919606,0.8021768,0.0035047414126581863,1.0,0.42424242424242425
ZBED5,2.9110565,0.94618213,0.003602088553624479,1.0,0.3106060606060606
EEF1E1,2.8617885,0.5069567,0.004212578208538088,1.0,0.5606060606060606
MRPS26,2.858542,0.41254145,0.004255928733613848,1.0,0.7575757575757576
GTF2F1,2.8548625,0.5076506,0.004305548132984928,1.0,0.5378787878787878
FRMD4B,2.8500195,0.37096706,0.004371655468495498,1.0,0.7954545454545454
HNRNPH1,2.8479633,0.41910636,0.004400000599502549,1.0,0.7348484848484849
FNTA,2.8051615,0.45811257,0.005029136699728646,1.0,0.6212121212121212
TUBGCP2,2.804891,0.5629666,0.005033359909551675,1.0,0.5
SPOP,2.796558,0.58487934,0.005165015240729411,1.0,0.5
EIF1B,2.6990771,0.40388054,0.006953204695409461,1.0,0.6666666666666666
EXT1,2.6812747,0.3242682,0.007334227985164812,1.0,0.8560606060606061
CBX3,2.6786232,0.2731047,0.007392551334177141,1.0,0.8636363636363636
NASP,2.652623,0.39819452,0.007986902024892004,1.0,0.75
ABRACL,2.6343336,0.3202901,0.008430263044331058,1.0,0.696969696969697
ATXN7L3B,2.6324668,0.49460685,0.00847673299117516,1.0,0.5
HP1BP3,2.622348,0.2938717,0.008732621757111671,1.0,0.8257575757575758
SPEN,2.5990262,0.5251169,0.009348863957862052,1.0,0.4696969696969697
CHD8,2.5958335,0.53427696,0.009436173739184076,1.0,0.48484848484848486
EID1,2.5837398,0.27159217,0.009773547760918072,1.0,0.9090909090909091
NUFIP2,2.528736,0.38089976,0.011447404006784852,1.0,0.6515151515151515
TWISTNB,2.5211337,0.4983292,0.011697743022084038,1.0,0.5
MGAT5,2.5031147,0.66198784,0.012310564831513113,1.0,0.36363636363636365
CRTAP,2.4958909,0.27531227,0.012564124591619692,1.0,0.8939393939393939
POLR3G,2.4577427,0.7901763,0.013981329874495742,1.0,0.3181818181818182
CIR1,2.4484086,0.47030005,0.014348883449025192,1.0,0.5
CYTOR,2.4394803,0.27664986,0.014708404771091628,1.0,0.8333333333333334
EVI5,2.4332576,0.484105,0.014963653134868917,1.0,0.5378787878787878
TMEM14B,2.4321754,0.32038248,0.015008440299540328,1.0,0.7348484848484849
UQCRFS1,2.4176466,0.27874577,0.015621241762145409,1.0,0.8181818181818182
XRCC6,2.4172406,0.3211349,0.015638670664455238,1.0,0.7348484848484849
ELOVL5,2.4133718,0.42825982,0.015805687062751518,1.0,0.5984848484848485
BRCC3,2.4113967,1.084529,0.015891550475066015,1.0,0.24242424242424243
TCP1,2.4099898,0.36545655,0.015952963351220626,1.0,0.6666666666666666
SYF2,2.40282,0.29984355,0.016269185207081212,1.0,0.7348484848484849
RPS6KB2,2.380256,0.8726625,0.017300616674188134,1.0,0.2878787878787879
SET,2.3772528,0.16908365,0.017442129775401605,1.0,1.0
DESI2,2.365673,0.5714496,0.017997329181341528,1.0,0.44696969696969696
NME4,2.3644555,0.20334423,0.01805659274519022,1.0,0.8333333333333334
TXNRD2,2.3576376,0.26115435,0.01839163745241656,1.0,0.8787878787878788
H2AFZ,2.3448944,0.25872266,0.019032464268839915,1.0,0.9318181818181818
PTTG1IP,2.3377519,0.2300909,0.019400124066283275,1.0,0.8939393939393939
SNHG8,2.3369403,0.31210405,0.01944229371776444,1.0,0.8257575757575758
CCT4,2.3081532,0.26853913,0.02099061613495703,1.0,0.8560606060606061
TUT4,2.292921,0.46510887,0.02185255311151073,1.0,0.5075757575757576
MMADHC,2.2836952,0.36254728,0.022389455955707807,1.0,0.6666666666666666
TMX4,2.2817202,0.39905062,0.022505873087868906,1.0,0.5227272727272727
REXO4,2.2750645,0.49950668,0.02290206558865852,1.0,0.4393939393939394
RAI14,2.2658927,0.26056552,0.023457958037529557,1.0,0.9242424242424242
PHGDH,2.2551246,0.71770155,0.024125511069050278,1.0,0.32575757575757575
YES1,2.242679,0.34174722,0.024917517506496765,1.0,0.6666666666666666
LYN,2.2367268,0.5544732,0.02530419667034,1.0,0.3939393939393939
ZEB1,2.235293,0.34736988,0.025398123742172218,1.0,0.6515151515151515
MPLKIP,2.2286372,0.34024867,0.025838047433448696,1.0,0.6439393939393939
MYCBP2,2.2247953,0.39041626,0.026094974729879594,1.0,0.5833333333333334
ZNF10,2.2116735,0.35487297,0.026989230154723636,1.0,0.5681818181818182
ARID1B,2.1976318,0.48156264,0.027975357471940503,1.0,0.5
AP2B1,2.192924,0.22428586,0.02831284640914247,1.0,0.8787878787878788
SYNGR2,2.1720643,0.56404835,0.029850807041528968,1.0,0.4015151515151515
TSPAN5,2.1537209,0.32781416,0.031262074109418385,1.0,0.6742424242424242
SLC52A2,2.1522326,0.547188,0.03137902750889778,1.0,0.3939393939393939
IFT43,2.1388943,0.47890285,0.03244422007141308,1.0,0.4393939393939394
DDX42,2.132347,0.44528478,0.032978330550071176,1.0,0.4090909090909091
MRPL32,2.1266925,0.54192847,0.033445647814004074,1.0,0.4015151515151515
ANAPC16,2.10356,0.24849783,0.035416844289345176,1.0,0.8409090909090909
FAH,2.0721757,0.64363414,0.0382490569569377,1.0,0.3409090909090909
SMG1,2.0634098,0.4972429,0.0390737136193129,1.0,0.45454545454545453
AP1G1,2.0574574,0.4914696,0.03964223301873188,1.0,0.3787878787878788
CNOT7,2.0510726,0.26277122,0.04025988886524241,1.0,0.7727272727272727
SIAH1,2.0495574,0.9977007,0.04040764347848085,1.0,0.22727272727272727
KRTCAP2,2.0489893,0.25642055,0.04046316987376256,1.0,0.9318181818181818
POMP,2.0408185,0.15108503,0.04126887396437728,1.0,0.9393939393939394
FBLIM1,2.0388706,0.30840227,0.04146295589870668,1.0,0.6666666666666666
PAICS,2.034704,0.35192755,0.04188067130007103,1.0,0.5606060606060606
TSPAN3,2.0291035,0.26870903,0.042447752828727287,1.0,0.8106060606060606
ZRANB2,2.0241523,0.24390875,0.04295448142523784,1.0,0.7045454545454546
TAF15,2.0241253,0.41110814,0.04295726442000651,1.0,0.4318181818181818
PSMB4,2.0240712,0.27013257,0.04296283086678288,1.0,0.7045454545454546
CPEB4,2.022123,0.9206808,0.04316362939947271,1.0,0.23484848484848486
SPTY2D1,2.020094,0.53008085,0.04337363731379857,1.0,0.36363636363636365
LSM8,2.0197423,0.29461,0.043410126328418334,1.0,0.6818181818181818
NES,2.0159004,0.29372096,0.04381039018760687,1.0,0.6818181818181818
NUDT16,2.0081084,0.4524341,0.0446317685066998,1.0,0.4015151515151515
TPPP3,2.0065393,0.3275548,0.044798747054913636,1.0,0.6060606060606061
OTUB1,2.0030491,0.39671087,0.04517202028033551,1.0,0.5
