names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
COL4A5,4.270329,0.94535977,1.9518464457845595e-05,0.5809085391944006,0.7083333333333334
PPID,3.0462945,0.9472252,0.0023168088942412536,1.0,0.5
IDH3B,2.863398,0.6711933,0.004191235799530524,1.0,0.6111111111111112
RBM4,2.8413002,0.62695175,0.004492998173445148,1.0,0.625
RPS3,2.6416833,0.09079561,0.008249513826120481,1.0,1.0
ENOSF1,2.5786679,0.76206166,0.009918212693332727,1.0,0.5
MXD4,2.529721,0.5073628,0.011415322571662,1.0,0.7361111111111112
C1D,2.50615,0.6908282,0.012205379482136569,1.0,0.5277777777777778
ABLIM3,2.4995575,0.8088073,0.0124348488850515,1.0,0.4305555555555556
RPL4,2.467442,0.15238246,0.013608223076923574,1.0,1.0
RPL13A,2.4429502,0.104011446,0.01456774148510788,1.0,1.0
RPL18A,2.433117,0.085008614,0.014969470488624336,1.0,1.0
NTHL1,2.4319751,0.63026136,0.015016739767499834,1.0,0.5
TAF1,2.403211,1.0710576,0.01625180242705034,1.0,0.3333333333333333
ETHE1,2.3867114,0.609404,0.016999830327568067,1.0,0.5416666666666666
RHOQ,2.3461988,0.64648783,0.018965991392275287,1.0,0.5138888888888888
NACA,2.326458,0.16548015,0.0199941291314391,1.0,1.0
C6orf62,2.3126101,0.4485109,0.020744087789998214,1.0,0.6805555555555556
PYURF,2.3078222,0.38638633,0.02100902751229037,1.0,0.8611111111111112
RPS16,2.2924643,0.11028326,0.0218788698944796,1.0,1.0
BID,2.264621,0.50126475,0.02353594877255209,1.0,0.6527777777777778
AC008875.3,2.2565184,0.4512829,0.024038181756452233,1.0,0.7083333333333334
ATP1A1,2.2549715,0.59920347,0.024135111872759744,1.0,0.6111111111111112
EIF4A1,2.2404976,0.116789356,0.025058641327817592,1.0,0.9583333333333334
PSMB6,2.2316585,0.30524874,0.025637548797592814,1.0,0.8055555555555556
ACTR10,2.2305167,0.6412579,0.02571316152744987,1.0,0.4861111111111111
SLC16A1-AS1,2.2218616,0.6429357,0.026292653460910958,1.0,0.4861111111111111
PNKD,2.1898568,0.5025191,0.028534631336404527,1.0,0.5694444444444444
ADAR,2.1808333,0.55202,0.029195739550071285,1.0,0.5555555555555556
SMIM4,2.1691952,0.6004808,0.030067864436553546,1.0,0.5416666666666666
METTL8,2.169011,0.62961113,0.030081841905621024,1.0,0.4722222222222222
ETFB,2.1674273,0.2829236,0.03020227883071917,1.0,0.9027777777777778
ARIH2,2.1358275,0.6364833,0.03269347367789389,1.0,0.4722222222222222
DDX52,2.1303399,0.47782782,0.03314356059068783,1.0,0.5833333333333334
RPS17,2.126657,0.08796619,0.033448597393420265,1.0,1.0
SQOR,2.1138034,0.9817088,0.034532064048719474,1.0,0.3194444444444444
DENND4A,2.1118882,0.72852695,0.03469603652303248,1.0,0.4305555555555556
C14orf119,2.1042645,0.53418136,0.03535538170127438,1.0,0.5
SH3GLB1,2.1025703,0.32501823,0.035503346210587414,1.0,0.7916666666666666
RBMS1,2.0975983,0.41553426,0.035940643931705686,1.0,0.6527777777777778
GMCL1,2.0975246,0.68073094,0.03594715678802634,1.0,0.4166666666666667
TCP1,2.0856287,0.36789894,0.037012272571117506,1.0,0.6944444444444444
LINC00863,2.0809512,1.7582564,0.037438364275679585,1.0,0.20833333333333334
KAT6A,2.078852,0.5143519,0.03763095541188771,1.0,0.5277777777777778
RPL23,2.0691657,0.09993396,0.0385305313896456,1.0,1.0
SRP54,2.0558333,0.4954819,0.03979857306823513,1.0,0.625
TAF1D,2.0536604,0.27392367,0.04000856278409396,1.0,0.8472222222222222
AP1S1,2.052924,0.41977215,0.04007995872072717,1.0,0.7083333333333334
MPHOSPH10,2.0524452,0.8941948,0.040126424010626015,1.0,0.3611111111111111
POLR3D,2.0503826,0.45439062,0.04032710486059623,1.0,0.5972222222222222
BRI3,2.0446372,0.19849674,0.040890637337004085,1.0,0.9444444444444444
NUDT3,2.0418382,0.41863516,0.041167587419023356,1.0,0.6527777777777778
TRMT112,2.0357244,0.26718855,0.04177803421926562,1.0,0.9166666666666666
PDS5A,2.0340302,0.50884664,0.04194854386880506,1.0,0.5555555555555556
GNAQ,2.0253754,0.4332779,0.04282884284963644,1.0,0.6388888888888888
RAP1GDS1,2.0216556,0.57851076,0.04321195511525278,1.0,0.4583333333333333
RNF213,2.0180461,0.35166854,0.043586452000229065,1.0,0.6805555555555556
EIF4E,2.0117114,0.40754175,0.04425036046292155,1.0,0.6805555555555556
RPL28,2.0008836,0.073486075,0.04540494140108542,1.0,1.0
TBC1D20,1.9879194,0.6239532,0.04682059463558863,1.0,0.4027777777777778
ANAPC13,1.9747344,0.60675883,0.04829828992623554,1.0,0.4583333333333333
CD81,1.9738506,0.21946634,0.048398739064180435,1.0,0.9583333333333334
YWHAG,1.9706832,0.35254142,0.048760123831967435,1.0,0.8888888888888888
FKBP9,1.9702044,0.551787,0.048814948378802445,1.0,0.4444444444444444
CAPRIN2,1.9566511,1.001542,0.050388504789043304,1.0,0.2916666666666667
MECP2,1.9526366,0.6525757,0.050862665582589256,1.0,0.4305555555555556
FAM210B,1.9475541,0.48656285,0.05146833462708582,1.0,0.5972222222222222
UBE2K,1.9446814,0.31917652,0.05181333158209559,1.0,0.7222222222222222
HIC1,1.9446077,0.90529716,0.05182220303780264,1.0,0.3333333333333333
RPL18,1.9351794,0.057135213,0.05296828816433688,1.0,1.0
EIF3I,1.9336325,0.30667016,0.05315832534456373,1.0,0.8055555555555556
DECR1,1.9316806,0.44153973,0.05339894674223814,1.0,0.5694444444444444
PCSK7,1.9284027,0.6237875,0.0538050552062417,1.0,0.4305555555555556
OAT,1.9103193,0.4320289,0.05609211049602953,1.0,0.5833333333333334
YBEY,1.9086988,0.67121327,0.056300955109846174,1.0,0.4027777777777778
FLNB,1.9078885,0.23382875,0.056405619939220705,1.0,0.8055555555555556
MRPS21,1.9078517,0.20293693,0.056410381277451675,1.0,0.9166666666666666
MED28,1.8952928,0.53952247,0.058053619564894327,1.0,0.4861111111111111
HINT1,1.8942616,0.14334157,0.05819029750295505,1.0,0.9861111111111112
TBRG1,1.8901366,0.5583557,0.0587396855285996,1.0,0.4166666666666667
PLD3,1.8870798,0.3865885,0.05914959409487855,1.0,0.7083333333333334
PCNX1,1.8808556,0.7403845,0.0599915677671987,1.0,0.3194444444444444
MGAT2,1.8803768,0.616473,0.060056744581877396,1.0,0.4166666666666667
MRTFB,1.8749996,1.0210814,0.06079277111533322,1.0,0.3055555555555556
RTL8C,1.8735265,0.31038004,0.0609957215337985,1.0,0.7222222222222222
CCL2,1.8705801,0.47950628,0.0614033062627383,1.0,0.5833333333333334
RPL7A,1.8618146,0.068020046,0.06262922442982784,1.0,1.0
TMEM74B,1.856769,0.868818,0.06334403215091682,1.0,0.2916666666666667
UQCRFS1,1.8502133,0.3196528,0.06428281696758302,1.0,0.7916666666666666
FAM114A1,1.8496609,0.42021725,0.06436245005870217,1.0,0.6388888888888888
BAX,1.8480035,0.24283308,0.06460183804915198,1.0,0.9305555555555556
FNDC4,1.8399746,0.72361124,0.06577196406709293,1.0,0.3611111111111111
AL096870.8,1.833824,0.8651705,0.06668011537269083,1.0,0.2777777777777778
TOP1,1.8331243,0.23055354,0.06678408910407478,1.0,0.8472222222222222
ZFYVE16,1.828226,0.65652937,0.06751564879418549,1.0,0.4166666666666667
SMIM26,1.8205285,0.34725994,0.068678554270796,1.0,0.8333333333333334
GAS5,1.8038815,0.14836587,0.07124988298728316,1.0,1.0
DCUN1D5,1.8031081,0.36263052,0.07137124024882055,1.0,0.7083333333333334
RPS28,1.7992778,0.08269834,0.07197474703362126,1.0,1.0
MARCKSL1,1.7986885,0.33255035,0.07206796416965577,1.0,0.8333333333333334
FTH1,1.7978046,0.1175741,0.07220797525002182,1.0,1.0
PRRC2C,1.7954843,0.22538915,0.07257656438210239,1.0,0.9305555555555556
ACTL6A,1.7952266,0.62023455,0.07261761363368864,1.0,0.3888888888888889
WDR70,1.7951529,0.615172,0.07262934548135812,1.0,0.3888888888888889
MAN1A2,1.7948582,0.40654474,0.07267628838748201,1.0,0.5416666666666666
SDF4,1.7943795,0.32638532,0.0727526235749016,1.0,0.8055555555555556
UQCRQ,1.7938639,0.19932967,0.07283490407492552,1.0,0.9861111111111112
IFT22,1.7904018,0.5885158,0.07338933312855539,1.0,0.4027777777777778
LINC00472,1.7891496,0.78692895,0.07359071945647576,1.0,0.2916666666666667
SERP1,1.783883,0.26562333,0.07444267974863969,1.0,0.8888888888888888
C17orf49,1.782999,0.2651745,0.07458645279171489,1.0,0.8055555555555556
ARL2,1.7797949,0.26431713,0.07510953281651678,1.0,0.8472222222222222
UBE2Q2,1.7790583,0.6599712,0.07523020357596084,1.0,0.4027777777777778
CYP20A1,1.7769222,0.9529228,0.07558104411013913,1.0,0.2777777777777778
SETD5,1.7737917,0.51797676,0.07609761837902872,1.0,0.4722222222222222
SYNCRIP,1.7714714,0.330267,0.07648234652925492,1.0,0.6805555555555556
GNPDA1,1.7703665,0.52057666,0.0766661070832302,1.0,0.5
SPRY2,1.7695563,0.3980221,0.0768010934678064,1.0,0.5694444444444444
VPS16,1.7675306,0.80584764,0.07713940719603925,1.0,0.2916666666666667
PCGF2,1.7666836,0.5554687,0.07728124350166655,1.0,0.4722222222222222
RPS4X,1.7632583,0.029800294,0.07785692372467017,1.0,1.0
ME2,1.7603856,0.36172232,0.07834244066937819,1.0,0.5694444444444444
B4GALT5,1.7553031,0.33272287,0.07920746747684926,1.0,0.6527777777777778
PPP1CB,1.7533512,0.30815867,0.07954174560784452,1.0,0.7083333333333334
SNX6,1.7512519,0.24214764,0.07990253137890012,1.0,0.8194444444444444
ZNF638,1.7499996,0.48159736,0.08011836943337389,1.0,0.5
ETS2,1.7488948,0.6697974,0.0803092079697906,1.0,0.4027777777777778
ZFAS1,1.7469796,0.11614758,0.08064086945083998,1.0,1.0
AKR1B1,1.7448435,0.31888944,0.08101211095613865,1.0,0.6666666666666666
CEBPD,1.7424865,0.6180637,0.08142336569505502,1.0,0.4027777777777778
CUL5,1.7380301,0.460334,0.08220552302957324,1.0,0.5
SUMO3,1.7364832,0.33264214,0.08247843590309531,1.0,0.8194444444444444
NDUFA7,1.7354151,0.26369354,0.0826673040685492,1.0,0.8194444444444444
PPIL1,1.7348258,1.1805902,0.08277165715827474,1.0,0.2222222222222222
RALGAPA1,1.734568,0.78803843,0.08281734519345645,1.0,0.3194444444444444
