names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PSMD8,3.8429666,0.8308786,0.00012155600366718499,1.0,0.9210526315789473
PSMA5,3.7760468,0.99732107,0.00015933716787490805,1.0,0.8157894736842105
PSMB4,3.5087736,0.8649071,0.00045017809779034226,1.0,0.7894736842105263
POGLUT1,3.4960608,1.4790212,0.0004721811989858847,1.0,0.5526315789473685
PSMB1,3.4057493,0.70626354,0.0006598274638672017,1.0,0.9736842105263158
YWHAQ,3.3364902,0.57718825,0.0008484343856882885,1.0,0.9210526315789473
BLVRB,3.313658,1.1195239,0.0009208405884600994,1.0,0.7105263157894737
NSA2,3.2951481,0.41445443,0.000983697753723053,1.0,0.9473684210526315
DNAJB6,3.2936227,0.69527054,0.0009890516255881897,1.0,0.9473684210526315
UFL1,3.2690616,1.0100929,0.0010790479102554093,1.0,0.6842105263157895
MOCS2,3.2475517,0.93548656,0.0011640253613889459,1.0,0.7894736842105263
MGAT4B,3.0452662,0.9343683,0.002324744795684547,1.0,0.6842105263157895
FLOT1,2.9856179,0.82131845,0.00283006044382035,1.0,0.7368421052631579
ANXA1,2.9799733,0.486042,0.0028827340894524763,1.0,1.0
EZR,2.912545,0.6467667,0.0035849664560645886,1.0,0.8947368421052632
GRN,2.8610327,0.6344478,0.004222633717145383,1.0,0.8157894736842105
C19orf33,2.8465402,0.6261833,0.004419714247901005,1.0,0.8157894736842105
PSMD14,2.8252337,0.7251608,0.004724614965531327,1.0,0.7894736842105263
PTGES3,2.784146,0.4986987,0.005366886983413869,1.0,1.0
TUBB4B,2.742804,0.6136557,0.0060917016318503365,1.0,0.868421052631579
EML4,2.7069032,1.4784586,0.006791404609893426,1.0,0.42105263157894735
METTL26,2.6279316,0.5312399,0.008590579578238687,1.0,0.9473684210526315
DYNLT1,2.6194904,0.45204902,0.008806127921356993,1.0,0.9473684210526315
TNFRSF12A,2.6119134,0.6197221,0.009003703576007823,1.0,0.8157894736842105
SKP1,2.5889797,0.3776689,0.009626078014752154,1.0,0.9736842105263158
HSPA1B,2.5840979,1.466721,0.009763405958082113,1.0,0.42105263157894735
CDC42SE1,2.5722497,1.0141344,0.010103999858725293,1.0,0.5263157894736842
PTP4A2,2.5635033,0.56198853,0.010362172107779606,1.0,0.8421052631578947
LRRFIP1,2.5608082,0.5684792,0.010442899833662667,1.0,0.7631578947368421
GSTP1,2.5506887,0.28700903,0.01075102704294985,1.0,1.0
SUSD6,2.538688,1.6046675,0.011126901287177787,1.0,0.3684210526315789
SEC11C,2.5085332,1.1289425,0.012123354266308265,1.0,0.5
PDLIM4,2.498058,0.5525881,0.012487576861157803,1.0,0.8421052631578947
B2M,2.4922101,0.17877437,0.012695091546200571,1.0,1.0
COX7A2,2.4749207,0.25998324,0.01332657443567782,1.0,0.9736842105263158
BIRC6,2.4704967,0.76450396,0.013492556135675664,1.0,0.631578947368421
LINC00520,2.4689202,2.1017396,0.01355213894715513,1.0,0.42105263157894735
ACADVL,2.4656658,0.88684547,0.01367588446843879,1.0,0.5526315789473685
ADARB1,2.4514275,1.2539711,0.014229082327513305,1.0,0.42105263157894735
RHOB,2.4298158,1.0693516,0.01510649543727941,1.0,0.5
DYNC1H1,2.4196966,0.644554,0.015533465476052652,1.0,0.9210526315789473
KTN1,2.4186795,0.33532655,0.015576958766533082,1.0,0.9736842105263158
GOLGA3,2.4016953,1.0688035,0.016319298291984943,1.0,0.47368421052631576
VEZT,2.3881688,0.87885284,0.016932560227175396,1.0,0.6052631578947368
GPX3,2.3743374,1.3021808,0.017580479161906505,1.0,0.42105263157894735
ERCC1,2.3701675,0.6897008,0.017780024442488305,1.0,0.6842105263157895
RHOC,2.3645232,0.43409303,0.01805330085909082,1.0,0.9473684210526315
CTSD,2.357048,0.96409,0.018420865237211117,1.0,0.6052631578947368
SPTAN1,2.3544545,0.694985,0.01854990934645651,1.0,0.7631578947368421
PKN2,2.3497763,0.70353556,0.018784696325304225,1.0,0.6578947368421053
PSMC3,2.344081,0.6896257,0.01907402907307301,1.0,0.7105263157894737
PPP1R18,2.312655,1.1048094,0.020741612903126073,1.0,0.47368421052631576
PTPN1,2.305841,0.6511553,0.021119518513222756,1.0,0.7368421052631579
LAMTOR5,2.3029933,0.4974407,0.02127921792679737,1.0,0.9210526315789473
DDIT4,2.302434,0.73718375,0.021310710750858296,1.0,0.6842105263157895
PSME2,2.298315,0.5273123,0.021543864994665474,1.0,0.868421052631579
CAST,2.294247,0.36065382,0.021776317481122232,1.0,1.0
STUB1,2.2932808,0.49958912,0.021831844641203173,1.0,0.8421052631578947
PSMD2,2.2923145,0.5360344,0.021887494969154882,1.0,0.7631578947368421
SRGN,2.2919078,0.33374372,0.02191096358757503,1.0,1.0
P4HTM,2.258702,1.2363529,0.02390192357149325,1.0,0.42105263157894735
GFPT2,2.249193,0.77465063,0.02450022447244807,1.0,0.5526315789473685
IDH1,2.2489386,0.68950284,0.024516398373909024,1.0,0.6578947368421053
C18orf32,2.2441587,0.61600846,0.02482219420189705,1.0,0.8157894736842105
LRRFIP2,2.2327173,0.6213571,0.025567600606989597,1.0,0.7368421052631579
LAPTM4A,2.2306323,0.48508206,0.025705496113681153,1.0,0.868421052631579
PHPT1,2.2195976,0.26662937,0.0264460945856165,1.0,0.9210526315789473
CD46,2.212275,0.47043887,0.026947665294274142,1.0,0.868421052631579
ELP2,2.2117157,0.9138985,0.02698631514925025,1.0,0.47368421052631576
STK4,2.2089188,0.94666326,0.02718028304481096,1.0,0.5
RNF5,2.2087662,1.1914876,0.027190897629016712,1.0,0.42105263157894735
PRELID3B,2.2045965,0.71847445,0.027482418041951538,1.0,0.5789473684210527
SPCS2,2.1997657,0.41517702,0.027823522669917614,1.0,0.8421052631578947
BIRC2,2.1886294,1.1102871,0.028623792982258155,1.0,0.4473684210526316
DUSP1,2.177188,1.0311793,0.029466555737337495,1.0,0.4473684210526316
IFI27,2.172306,0.29776776,0.02983257982808026,1.0,1.0
MIR193BHG,2.1592374,2.4214928,0.030831753032529358,1.0,0.2631578947368421
SNHG7,2.1543558,0.74536276,0.031212287056470823,1.0,0.631578947368421
R3HDM4,2.1486096,1.1366451,0.03166536471565554,1.0,0.42105263157894735
RPAP2,2.1454568,1.1561898,0.03191634381474412,1.0,0.39473684210526316
TMX3,2.1445923,0.5979233,0.03198545784758713,1.0,0.6842105263157895
GARS,2.1426091,0.46209252,0.03214449847771893,1.0,0.8421052631578947
RPL21,2.1398633,0.19396001,0.03236582709418008,1.0,1.0
NDUFS5,2.1355917,0.22060506,0.0327127108539305,1.0,1.0
GDF15,2.1331,0.64882475,0.032916526248057826,1.0,0.7631578947368421
PSMA6,2.1308625,0.5373094,0.03310046959845442,1.0,0.8157894736842105
AKAP11,2.1290827,0.83469665,0.03324741576451229,1.0,0.5
SH3BGRL3,2.1232347,0.18667987,0.03373417567159754,1.0,1.0
USP14,2.1218112,0.49664906,0.033853609495659374,1.0,0.7631578947368421
HINT1,2.1218112,0.26000515,0.033853609495659374,1.0,1.0
PSMD13,2.1196754,0.5945323,0.03403343805984102,1.0,0.6842105263157895
GLOD4,2.114285,0.78459924,0.03449092586613118,1.0,0.5263157894736842
DBI,2.11398,0.33321348,0.03451697776837232,1.0,0.9736842105263158
LIMS1,2.113929,0.61237305,0.03452132138602148,1.0,0.7368421052631579
RBM39,2.113319,0.5023134,0.034573481230630136,1.0,0.9210526315789473
FOXJ3,2.103352,1.1384182,0.03543500193612133,1.0,0.3684210526315789
DPYSL3,2.1024368,0.495037,0.03551503171743686,1.0,0.8421052631578947
PRPSAP1,2.095216,0.78962034,0.03615180131237999,1.0,0.5
KPNA3,2.0925207,0.6724198,0.036391950420155514,1.0,0.631578947368421
LAMTOR1,2.0909953,0.47722855,0.03652848546041387,1.0,0.7894736842105263
UBE4A,2.0882494,0.9957718,0.03677534854305682,1.0,0.5
APLP2,2.0850458,0.21639164,0.03706515017869771,1.0,1.0
SF3B6,2.0787911,0.34845874,0.03763656029049598,1.0,0.9210526315789473
NTN4,2.074723,0.766168,0.03801221807097002,1.0,0.5263157894736842
PGRMC1,2.0738585,0.7117279,0.0380924548429478,1.0,0.5263157894736842
SUMO1,2.0628746,0.4964755,0.03912453767808244,1.0,0.8421052631578947
VTI1B,2.0621119,0.55706656,0.039197083652138115,1.0,0.7368421052631579
TNPO1,2.060078,0.4527254,0.039391098257356996,1.0,0.868421052631579
U2SURP,2.0586033,0.6146291,0.039532268127314155,1.0,0.631578947368421
RBM18,2.0574336,0.9212589,0.03964453558391111,1.0,0.4473684210526316
VPS29,2.0561624,0.58008796,0.03976687222340671,1.0,0.7105263157894737
NECAP2,2.0397882,0.87930804,0.04137141685242768,1.0,0.4473684210526316
CEBPZOS,2.0307367,0.7880528,0.04228170112884331,1.0,0.5263157894736842
PSMA7,2.0305333,0.30007756,0.0423023500772248,1.0,1.0
EMP3,2.0182784,0.34623668,0.04356228618063884,1.0,1.0
PFDN5,2.0132442,0.18218847,0.04408896242577057,1.0,0.9736842105263158
HSP90AA1,2.0104473,0.31094193,0.04438387596543649,1.0,1.0
LINC00662,2.0090742,0.9754264,0.04452925981217059,1.0,0.4473684210526316
MTX2,2.0089216,0.77096134,0.044545438346728215,1.0,0.5
AC018521.5,2.007447,1.0630083,0.04470208667930813,1.0,0.39473684210526316
RBM5,2.007447,0.85142,0.04470208667930813,1.0,0.5
TP53TG1,2.005057,0.63017267,0.044956951736603225,1.0,0.6052631578947368
PSAP,1.9932595,0.38240752,0.046233030615291375,1.0,0.9473684210526315
YPEL5,1.9931071,0.8440794,0.04624972933311189,1.0,0.4473684210526316
PSMC5,1.9901576,0.5163201,0.04657357072754242,1.0,0.7631578947368421
TXNDC12,1.9882253,0.7609626,0.04678677584701888,1.0,0.5789473684210527
PLPP5,1.9826826,0.7694117,0.04740289936266883,1.0,0.5263157894736842
EPRS,1.9793773,0.5376173,0.04777354941173489,1.0,0.7631578947368421
ZEB2,1.9772415,0.79328096,0.048014339530518785,1.0,0.47368421052631576
CLU,1.976377,0.583087,0.04811209170939344,1.0,0.8421052631578947
CAVIN2,1.9746481,0.38357934,0.04830809774093868,1.0,0.868421052631579
IWS1,1.9740379,0.94070387,0.04837743629347438,1.0,0.4473684210526316
ARL5A,1.9738345,0.62782633,0.04840056771270272,1.0,0.6052631578947368
ZBTB38,1.9717495,0.62654305,0.04863820081077657,1.0,0.631578947368421
CIAPIN1,1.969207,0.9381959,0.04892932236391833,1.0,0.4473684210526316
BABAM1,1.9691561,0.64970064,0.04893515968159199,1.0,0.5789473684210527
OXR1,1.9656475,0.64898485,0.049339348647262915,1.0,0.5789473684210527
MRPL9,1.9619862,0.7924659,0.04976409363104987,1.0,0.5263157894736842
ZFAS1,1.960359,0.24323417,0.04995385110214893,1.0,1.0
JAG1,1.9567485,0.6852279,0.05037704249254313,1.0,0.5526315789473685
ZNF444,1.9537483,1.5743835,0.050730990419327424,1.0,0.2894736842105263
VPS13C,1.9481038,0.65554345,0.051402539519020546,1.0,0.6578947368421053
USP11,1.9452053,1.1588904,0.0517502706906679,1.0,0.34210526315789475
NEPRO,1.936764,1.1733464,0.052774191732010846,1.0,0.3684210526315789
MICAL2,1.9363573,0.68668324,0.05282396198427677,1.0,0.5526315789473685
RAF1,1.9343741,1.1962209,0.05306715403719081,1.0,0.3684210526315789
UBC,1.9327977,0.46027127,0.053261127201055206,1.0,0.9736842105263158
VAMP3,1.9216105,0.5472827,0.05465479386237802,1.0,0.6578947368421053
FBXW7,1.9215088,0.8565051,0.05466760174780695,1.0,0.47368421052631576
HSD17B11,1.9192204,0.854996,0.05495644162432137,1.0,0.4473684210526316
PPP1R35,1.9171864,0.8732585,0.055214255319518346,1.0,0.42105263157894735
KIF1B,1.9165761,0.85044897,0.05529179572975948,1.0,0.47368421052631576
SMIM26,1.9115928,0.40947348,0.05592844569812786,1.0,0.8421052631578947
TMEM245,1.9049313,0.80671775,0.056789002547365144,1.0,0.5263157894736842
FBXL15,1.9027956,0.9101175,0.057067227961389154,1.0,0.39473684210526316
MRPL28,1.901626,0.602293,0.05722006938650824,1.0,0.631578947368421
LETM2,1.8961849,0.6754592,0.057935597278149106,1.0,0.5526315789473685
ZBTB21,1.8941001,1.6278553,0.05821173494290659,1.0,0.2894736842105263
UBE2J2,1.889981,0.77849543,0.058760489751652385,1.0,0.4473684210526316
AP2A2,1.8880996,0.57492834,0.05901258098597748,1.0,0.631578947368421
GLRX2,1.8850994,1.0432748,0.05941642110776969,1.0,0.39473684210526316
NXPE3,1.883167,1.1996326,0.059677733617957446,1.0,0.3684210526315789
AP1S2,1.8784379,0.3898075,0.06032128531928788,1.0,0.7894736842105263
HDDC2,1.8755902,0.5761928,0.06071156792857677,1.0,0.6052631578947368
CDC42EP2,1.8741664,0.8922834,0.06090749251783537,1.0,0.42105263157894735
ATG3,1.8740647,0.5029602,0.06092150715223161,1.0,0.6578947368421053
TSPYL2,1.8738613,1.0919015,0.060949544435565536,1.0,0.34210526315789475
CALM1,1.8734545,0.31265664,0.061005651070597106,1.0,1.0
HNRNPH1,1.8700475,0.49371925,0.06147722573070877,1.0,0.7894736842105263
HSPH1,1.8641487,0.52755004,0.0623008180032243,1.0,0.6578947368421053
CIB1,1.8629792,0.40515167,0.0624651959796593,1.0,0.7631578947368421
BMI1,1.8627758,0.63263154,0.062493820038997644,1.0,0.5263157894736842
PPP4C,1.8590636,0.53737724,0.06301811752816065,1.0,0.6578947368421053
BIN1,1.8578433,0.9023728,0.0631912814859267,1.0,0.4473684210526316
KRTCAP2,1.8503172,0.32774898,0.06426783575808052,1.0,0.8947368421052632
COA8,1.8478255,0.5362152,0.06462758162411529,1.0,0.6578947368421053
PSMD7,1.8449271,0.46526736,0.06504815074891061,1.0,0.8157894736842105
FAM177A1,1.8438083,0.45137337,0.06521107835460604,1.0,0.8421052631578947
FTL,1.8431981,0.38341925,0.06530008972303435,1.0,1.0
TMEM50A,1.8386724,0.3032655,0.06596338920605352,1.0,0.8157894736842105
SH2B3,1.8374519,0.6712152,0.06614320396457617,1.0,0.5526315789473685
CDKN1A,1.8372486,0.39376038,0.06617321232066171,1.0,0.9210526315789473
MYL6,1.8319601,0.17457797,0.06695737514610532,1.0,1.0
LMF2,1.8316041,1.2618394,0.06701042896710144,1.0,0.3157894736842105
SQSTM1,1.830282,0.6097222,0.06720778907667446,1.0,0.8421052631578947
SLC17A5,1.8294684,1.0922765,0.0673294790670044,1.0,0.3684210526315789
MTMR6,1.8292141,0.93694395,0.0673675443543444,1.0,0.39473684210526316
SNTB2,1.8251969,0.3925804,0.06797132985524525,1.0,0.7631578947368421
MRPL52,1.8242816,0.31869304,0.0681095219585273,1.0,0.9473684210526315
CCDC82,1.8232137,0.923429,0.06827103798785418,1.0,0.39473684210526316
S100A10,1.822756,0.13321881,0.06834035547688165,1.0,1.0
NDUFB5,1.8220441,0.43208507,0.06844829767803196,1.0,0.6842105263157895
GABARAPL2,1.8203151,0.41449255,0.06871102657806935,1.0,0.8157894736842105
PTTG1,1.8191965,0.7111804,0.06888146882275954,1.0,0.6052631578947368
ATP6V1H,1.8183829,0.6706448,0.06900564488771861,1.0,0.5
HCFC1R1,1.8165522,0.6608044,0.06928571352574107,1.0,0.5526315789473685
NPEPPS,1.8143656,0.5496542,0.06962146277520846,1.0,0.6052631578947368
HMG20A,1.8117721,0.83232063,0.07002140751632152,1.0,0.4473684210526316
PRPF4B,1.8117213,0.50739026,0.0700292683789601,1.0,0.6842105263157895
MIR1915HG,1.8113145,1.876225,0.07009218135654918,1.0,0.23684210526315788
NOP10,1.8107551,0.25610635,0.07017876242728549,1.0,0.8947368421052632
PPP1R15A,1.8100941,0.70645535,0.07028119863443182,1.0,0.5526315789473685
BBIP1,1.8055174,0.64656925,0.07099374162655135,1.0,0.5
UTP18,1.8036869,0.753628,0.0712804123461081,1.0,0.5
YAF2,1.8032292,0.69728875,0.07135222808528188,1.0,0.5
PSMB3,1.7993646,0.4476349,0.07196103979738182,1.0,0.7894736842105263
RGS4,1.799212,0.80060214,0.07198515886452568,1.0,0.4473684210526316
MPP6,1.7989068,1.2000811,0.07203341686307187,1.0,0.3157894736842105
TEK,1.79611,0.9066371,0.07247701767364927,1.0,0.39473684210526316
ALDH2,1.7948896,0.5594491,0.07267128858335864,1.0,0.5526315789473685
APOL2,1.794076,1.4375025,0.07280103916253693,1.0,0.2894736842105263
TSC22D1,1.7938217,0.4451369,0.0728416250788383,1.0,0.6842105263157895
NELFE,1.7908216,0.5656506,0.07332193872627941,1.0,0.631578947368421
RRAS2,1.7885332,0.6124758,0.07369001856893674,1.0,0.631578947368421
TP53RK,1.783855,0.98824674,0.07444723975166072,1.0,0.39473684210526316
MTIF3,1.7813123,0.5275779,0.07486143223987164,1.0,0.6842105263157895
RPS27L,1.7791258,0.13229991,0.07521914131770928,1.0,0.9736842105263158
PPP6C,1.7790241,0.90159947,0.07523581285378719,1.0,0.42105263157894735
RTL8C,1.7785156,0.49406627,0.07531921579157685,1.0,0.7631578947368421
XRN2,1.7778546,0.30534205,0.0754277524352031,1.0,0.868421052631579
VBP1,1.7734814,0.6625214,0.07614898396590908,1.0,0.5526315789473685
TATDN1,1.7663622,0.60965806,0.07733510651399468,1.0,0.5789473684210527
ATP5PB,1.7634128,0.29334465,0.0778308900034494,1.0,0.7894736842105263
LASP1,1.7616838,0.7242613,0.0781227230633707,1.0,0.47368421052631576
KANSL1,1.7605143,0.725363,0.07832064423072622,1.0,0.47368421052631576
ADD3,1.7559377,0.8450281,0.07909904508295439,1.0,0.42105263157894735
SGCB,1.755531,0.5894176,0.07916853971803627,1.0,0.5526315789473685
PLAT,1.7553784,0.35293022,0.07919461300486948,1.0,0.9473684210526315
UBXN4,1.7511578,0.42934716,0.07991874756517522,1.0,0.8421052631578947
ARL1,1.7492254,0.60143673,0.08025207014935837,1.0,0.5526315789473685
CCNI,1.7485644,0.24934505,0.08036636051675068,1.0,0.9736842105263158
ZNF24,1.7465303,0.9879299,0.08071885272793486,1.0,0.39473684210526316
SRSF2,1.7449539,0.46761,0.0809928968708627,1.0,0.7894736842105263
FAM174C,1.7424114,0.48382926,0.08143649476849753,1.0,0.6578947368421053
SLC20A1,1.74114,0.5405211,0.08165903194173652,1.0,0.5526315789473685
NORAD,1.7399704,0.5341386,0.08186420165177931,1.0,0.7631578947368421
CYTOR,1.7337667,0.304464,0.08295949504928236,1.0,0.868421052631579
RAB5IF,1.7322412,0.4790896,0.0832306406150614,1.0,0.8157894736842105
MARCKS,1.7273594,0.2591843,0.08410313407778863,1.0,1.0
GNL1,1.7269526,0.9343602,0.08417617479704911,1.0,0.39473684210526316
PMPCB,1.724766,0.66789925,0.08456964872305163,1.0,0.5
DDT,1.7182063,0.32107604,0.08575900579940347,1.0,0.9473684210526315
PSMD3,1.7159687,0.7274464,0.0861677562261595,1.0,0.4473684210526316
UFD1,1.7143415,0.6852913,0.08646601663881745,1.0,0.5263157894736842
LENG8,1.7117481,0.81693125,0.08694309193306204,1.0,0.4473684210526316
SLIT2,1.709104,1.3981676,0.0874317070880428,1.0,0.2631578947368421
ARPC5L,1.7064087,0.501589,0.08793199618062565,1.0,0.7368421052631579
SMPD1,1.7052392,0.85682625,0.08814981988643163,1.0,0.39473684210526316
SULT1A1,1.7013745,2.881823,0.08887268081708184,1.0,0.21052631578947367
RIT1,1.699188,1.0617589,0.08928377890153327,1.0,0.3684210526315789
NMT1,1.6966963,0.5132358,0.08975410515092061,1.0,0.7105263157894737
NDUFB4,1.6952724,0.4191885,0.09002375728635963,1.0,0.9736842105263158
NKAP,1.6952215,0.67575896,0.0900333997661795,1.0,0.5263157894736842
ACTA2,1.691662,0.7991319,0.09071044169050409,1.0,0.39473684210526316
ZFYVE9,1.6906958,1.2533754,0.09089491513160532,1.0,0.2894736842105263
KRT19,1.6863735,0.27658165,0.09172388811086442,1.0,0.9736842105263158
DHRS4L2,1.6863226,0.9310428,0.09173367677126944,1.0,0.3684210526315789
BPGM,1.684797,1.3261648,0.09202772712634937,1.0,0.2894736842105263
LIN54,1.6837801,2.0600965,0.09222418103166415,1.0,0.21052631578947367
NDUFA3,1.683119,0.32745102,0.0923520566041105,1.0,0.7894736842105263
SGK1,1.6820003,0.71926445,0.09256878578365361,1.0,0.4473684210526316
RNF19A,1.6820003,0.65224385,0.09256878578365361,1.0,0.47368421052631576
RAB11A,1.6819494,0.24660581,0.09257864680524704,1.0,0.9210526315789473
TMEM250,1.6811358,1.2047328,0.09273653789007692,1.0,0.2894736842105263
ARF4,1.6795086,0.39762014,0.09305296858446489,1.0,0.7631578947368421
ERLEC1,1.6790509,0.38754106,0.09314212067864473,1.0,0.8157894736842105
ULBP2,1.6788476,0.7285841,0.09318176582809364,1.0,0.4473684210526316
SUN2,1.6760507,1.4449946,0.09372826101217295,1.0,0.2894736842105263
LARP1,1.675288,0.5348039,0.09387775047115458,1.0,0.6052631578947368
UFC1,1.6729996,0.35540888,0.0943273663622368,1.0,0.8157894736842105
C12orf76,1.6707622,0.8657814,0.09476865827084209,1.0,0.39473684210526316
TERF2IP,1.6665416,0.51847327,0.09560559783681474,1.0,0.6578947368421053
ENAH,1.6665416,0.3997478,0.09560559783681474,1.0,0.7631578947368421
MAIP1,1.6660839,1.7913802,0.09569670487088941,1.0,0.23684210526315788
NDUFB3,1.6658297,0.38768128,0.09574734991657834,1.0,0.8947368421052632
TMEM258,1.6630837,0.20146829,0.09629568473535824,1.0,0.868421052631579
SNX6,1.6621175,0.32384738,0.09648921388460253,1.0,0.868421052631579
CIAO2B,1.6586088,0.34354773,0.0971946484217853,1.0,0.868421052631579
STK16,1.6549984,1.2627685,0.09792482854403893,1.0,0.3157894736842105
DUSP23,1.6541847,0.79923534,0.09808997977895623,1.0,0.39473684210526316
PPTC7,1.654083,1.240907,0.09811063931848275,1.0,0.2894736842105263
MED10,1.6456926,0.79156816,0.09982705769840726,1.0,0.4473684210526316
TST,1.6406584,0.6980799,0.10086835045994948,1.0,0.39473684210526316
CD99,1.6399465,0.099727005,0.1010162999356184,1.0,1.0
TMEM233,1.6379124,1.8649626,0.10143996549613736,1.0,0.23684210526315788
RABAC1,1.6376581,0.2808834,0.101493023040553,1.0,0.9473684210526315
PSMB5,1.6366411,0.2814168,0.10170547424461757,1.0,0.8421052631578947
SAP30L,1.6364886,1.4207015,0.1017373724417323,1.0,0.2631578947368421
WDR83OS,1.6333358,0.30455148,0.10239838682363228,1.0,0.8947368421052632
GPAT4,1.6294712,0.9306514,0.10321331924535755,1.0,0.34210526315789475
