names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
GAPDH,3.8988101,0.22204177,9.666651566964426e-05,1.0,1.0
PSMA1,3.747475,0.54436755,0.00017862365544911815,1.0,0.8666666666666667
MYO5A,3.505387,0.79055876,0.00045594383048390863,1.0,0.8
MLLT11,3.340118,0.90345544,0.0008374282844864876,1.0,0.6666666666666666
ATP6V1F,3.0804207,0.45053285,0.002067083851723394,1.0,0.8666666666666667
SRGN,3.0562685,0.30607703,0.0022411049318015546,1.0,0.9833333333333333
P4HA1,3.0127702,0.63129413,0.002588748699406688,1.0,0.7333333333333333
ATP6AP2,2.980298,0.58420247,0.0028796814096521623,1.0,0.7833333333333333
NDUFA4,2.891282,0.36040345,0.003836736879131146,1.0,0.9666666666666667
MARCH5,2.8650296,1.07253,0.004169703292380301,1.0,0.45
ISCU,2.8523073,0.5769176,0.004340313075081937,1.0,0.7666666666666667
STRN,2.7160368,0.99877226,0.006606856050244118,1.0,0.48333333333333334
TIE1,2.6901479,0.58824396,0.007142035307879385,1.0,0.7166666666666667
ETFB,2.6810606,0.41420707,0.007338923725964279,1.0,0.9333333333333333
PLPP5,2.6770217,0.78879845,0.007427982287352076,1.0,0.55
SDHB,2.6495981,0.79524255,0.008058759537807143,1.0,0.55
HSPH1,2.6015358,0.59946364,0.009280736507385222,1.0,0.7166666666666667
CTDSPL,2.5689425,0.7708801,0.010200940092158996,1.0,0.5166666666666667
ZNRF1,2.5506465,0.75646853,0.01075233217023234,1.0,0.5333333333333333
TMED10,2.5201533,0.37269098,0.011730373714667019,1.0,0.9166666666666666
ASPH,2.5039172,0.3633769,0.012282678672370036,1.0,0.9333333333333333
NDUFB5,2.4962435,0.5396365,0.012551645136868373,1.0,0.7833333333333333
PTGES3,2.4733028,0.3642776,0.01338706687339488,1.0,0.9666666666666667
ATP6V0E1,2.4714854,0.356873,0.013455308003600223,1.0,0.85
CAST,2.4566224,0.2518706,0.014025001998389167,1.0,0.95
SMIM14,2.4530277,0.6768433,0.01416593806437682,1.0,0.5666666666666667
PFDN4,2.4447482,0.50300753,0.014495330029245827,1.0,0.75
ELOC,2.4257658,0.35770026,0.015276129970790768,1.0,0.9166666666666666
AC007998.3,2.4252405,0.6254269,0.015298243001799938,1.0,0.6333333333333333
GSTA4,2.4122355,0.90253437,0.015855033562340873,1.0,0.43333333333333335
RNF7,2.3777843,0.34545022,0.017417010979197515,1.0,0.8833333333333333
TALDO1,2.3733013,0.3709948,0.01762988123624701,1.0,0.9166666666666666
CD151,2.345595,0.35130742,0.018996748513467054,1.0,0.9
LSM12,2.3446255,0.57787657,0.019046202057556808,1.0,0.65
MPZL2,2.322735,0.5984496,0.02019339527697679,1.0,0.6333333333333333
IRF2BPL,2.3152227,0.8961852,0.0206007465848573,1.0,0.4
C6orf62,2.289778,0.518919,0.022034186366697316,1.0,0.6666666666666666
SELENOF,2.2734208,0.47886086,0.023000836347701132,1.0,0.8333333333333334
MAP4K3-DT,2.2717648,0.83071756,0.023100717795710417,1.0,0.43333333333333335
EDF1,2.2700684,0.2957644,0.023203425719036636,1.0,0.9166666666666666
KCNMA1,2.2519746,0.90867114,0.024323881219139955,1.0,0.43333333333333335
PTPRE,2.2266915,0.45049125,0.02596790432932359,1.0,0.75
ERO1A,2.2190983,0.60945725,0.026480030471599983,1.0,0.5166666666666667
FRA10AC1,2.2098494,0.65233237,0.027115611088515842,1.0,0.5333333333333333
CXCL16,2.2022564,1.2816153,0.027647198073514352,1.0,0.2833333333333333
PSMA3,2.1793563,0.4217506,0.029305213289988707,1.0,0.7333333333333333
CCNY,2.1729345,0.5754199,0.029785247176781406,1.0,0.5833333333333334
RBM14,2.167886,1.2347398,0.030167364551773906,1.0,0.3
ESD,2.16207,0.38787642,0.03061277849903148,1.0,0.8
PSMC1,2.1609392,0.48715752,0.030700039538448125,1.0,0.7166666666666667
CACYBP,2.1538713,0.5354479,0.03125027454127675,1.0,0.6666666666666666
CUL1,2.1477726,1.0727062,0.03173182861330943,1.0,0.35
ARL6IP4,2.1467226,0.30166024,0.03181538412468497,1.0,0.9333333333333333
MZT2A,2.136706,0.41474694,0.03262190042568129,1.0,0.7833333333333333
AKT3,2.1242666,0.65407175,0.033647863495918126,1.0,0.5333333333333333
ANP32A,2.1182082,0.47495386,0.034157433395869054,1.0,0.75
RAD50,2.1165524,0.58375776,0.034297858350877904,1.0,0.5333333333333333
TMSB4X,2.1134021,0.07436406,0.03456637057003824,1.0,1.0
IAH1,2.0997508,0.55630934,0.03575076976813297,1.0,0.5833333333333334
RAC2,2.096762,0.42669186,0.0360146451102348,1.0,0.7666666666666667
EIF1,2.091875,0.19320406,0.03644969436621282,1.0,1.0
S100A10,2.089048,0.14741467,0.03670341460564827,1.0,1.0
CRK,2.0868669,0.8305748,0.03690016819558488,1.0,0.45
CSTB,2.0659862,0.21471897,0.038829791254343,1.0,0.9833333333333333
TXN,2.0500731,0.18399368,0.04035729869055504,1.0,0.9833333333333333
NDUFB9,2.0497096,0.2531345,0.04039277793151829,1.0,0.85
ALG8,2.0471652,0.93343425,0.040641873891552716,1.0,0.35
AC027644.3,2.0367448,1.1051292,0.041675609352957305,1.0,0.3
BRD3,2.036018,0.62840545,0.041748553758413784,1.0,0.45
CCDC59,2.0235784,0.5199919,0.0430135571752886,1.0,0.5333333333333333
TIMP1,2.0206704,0.261728,0.0433138998915034,1.0,0.95
