names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SLC3A2,3.1634462,0.71176416,0.001559132216966368,1.0,0.6144578313253012
CHD3,3.0491257,0.592387,0.0022950840899328183,1.0,0.6626506024096386
RPF2,3.0109847,0.7517508,0.002604019995278559,1.0,0.5301204819277109
PPP5C,2.981959,0.80866075,0.0028641027368794835,1.0,0.4939759036144578
RPS9,2.9583137,0.10844167,0.0030932717201158644,1.0,1.0
GABARAPL2,2.9248674,0.42351964,0.0034460298555848644,1.0,0.8433734939759037
CUX1,2.9212692,0.64466864,0.00348608435876866,1.0,0.6024096385542169
LMAN1,2.8812776,0.418358,0.00396066566595356,1.0,0.8674698795180723
ACTR2,2.8501275,0.36427265,0.004370171876919499,1.0,0.9156626506024096
PHYKPL,2.8007462,0.8983832,0.005098459626488544,1.0,0.42168674698795183
HIGD1A,2.7270684,0.5341859,0.006389976708846759,1.0,0.6385542168674698
SPRY2,2.7260747,0.5951608,0.006409248464506575,1.0,0.6024096385542169
CSTB,2.686049,0.22493266,0.007230250671483396,1.0,0.9879518072289156
UQCC2,2.629951,0.36409053,0.0085397165075979,1.0,0.8554216867469879
IARS2,2.5604885,0.46130636,0.010452515370409903,1.0,0.7951807228915663
XRCC6,2.5072348,0.43184626,0.012167983727366145,1.0,0.7349397590361446
SYNJ2,2.5053158,0.48499462,0.012234210541559796,1.0,0.6746987951807228
BLOC1S2,2.5049732,0.64848834,0.012246070307656431,1.0,0.5301204819277109
SSR2,2.488113,0.31148753,0.012842295305955985,1.0,0.9156626506024096
GDI2,2.4835894,0.27772743,0.013006566587692335,1.0,0.7951807228915663
RBMX2,2.4508972,0.66048336,0.014250068034261534,1.0,0.4819277108433735
DPY19L1,2.4482927,0.8164473,0.014353500416814123,1.0,0.3855421686746988
HADHA,2.4454827,0.3021018,0.014465840662029597,1.0,0.8674698795180723
DCAF7,2.4311583,0.5057369,0.015050635573893887,1.0,0.6385542168674698
NUB1,2.422317,0.54226106,0.0154218903477065,1.0,0.5421686746987951
CDC37,2.4069645,0.32640272,0.016085727205829785,1.0,0.891566265060241
YES1,2.3604963,0.4488078,0.018250500881336985,1.0,0.7228915662650602
CEP170,2.3561099,0.35739505,0.018467453308737787,1.0,0.7951807228915663
PSMA3,2.3509011,0.3751253,0.01872801315203937,1.0,0.7228915662650602
G3BP2,2.3452468,0.37568212,0.019014492633452555,1.0,0.6987951807228916
SNX4,2.2972705,0.7541751,0.021603340917550274,1.0,0.39759036144578314
FAM136A,2.2924728,0.47017542,0.02187836792119667,1.0,0.6506024096385542
PIGT,2.2915134,0.39603537,0.021933737440750566,1.0,0.6867469879518072
TMEM51,2.2725627,0.947251,0.023052538503092482,1.0,0.3373493975903614
HBP1,2.2685192,0.7874706,0.0232975855551228,1.0,0.3614457831325301
ZDHHC9,2.2670798,0.7353173,0.023385349755927706,1.0,0.40963855421686746
USP34,2.2670114,0.55890286,0.023389536152355325,1.0,0.6024096385542169
CCDC50,2.2623165,0.29453596,0.023677857136267966,1.0,0.8313253012048193
CAPN2,2.2614255,0.32544577,0.023732921757126293,1.0,0.8313253012048193
HDGFL2,2.2572105,0.733029,0.02399492830043342,1.0,0.39759036144578314
EIF4A2,2.2379856,0.261426,0.025221987475421242,1.0,0.9036144578313253
TSN,2.2042654,0.7962276,0.02750569132530381,1.0,0.37349397590361444
GJC1,2.1992278,0.86145246,0.027861727956935117,1.0,0.3373493975903614
PPIA,2.1988852,0.16001345,0.02788609182855905,1.0,1.0
ARPC3,2.1975486,0.20170325,0.02798128651461602,1.0,0.9879518072289156
RABL3,2.1959038,1.0738828,0.02809883364671356,1.0,0.2891566265060241
CKLF,2.1897697,0.40907705,0.028540947001397806,1.0,0.7710843373493976
CSNK2B,2.1889472,0.36137077,0.028600677915038345,1.0,0.6987951807228916
SMARCC2,2.187405,0.58187664,0.028712963595771388,1.0,0.4578313253012048
RALY,2.1829844,0.4340891,0.029036955422844055,1.0,0.6746987951807228
BOD1,2.1791806,0.60237414,0.02931825293636642,1.0,0.46987951807228917
HADHB,2.1745543,0.4650592,0.029663528560981443,1.0,0.5542168674698795
ABCC4,2.1705105,0.7463785,0.029968183369112365,1.0,0.37349397590361444
CIRBP,2.1667411,0.36461323,0.030254601978785264,1.0,0.6987951807228916
MAFF,2.1646163,0.7287839,0.03041707204280211,1.0,0.3855421686746988
PSMD1,2.161498,0.30920017,0.03065689325380013,1.0,0.7951807228915663
ANKLE2,2.1537876,0.6462262,0.031256839023231155,1.0,0.43373493975903615
SDHAF2,2.1531022,0.6608104,0.03131065180103064,1.0,0.42168674698795183
STARD4,2.1513202,0.45171,0.03145093716817698,1.0,0.5542168674698795
CCDC59,2.1462827,0.56215686,0.03185043308891668,1.0,0.5060240963855421
SGSM3,2.1327465,0.7293532,0.03294552395509014,1.0,0.3493975903614458
LUC7L3,2.132678,0.36531177,0.03295114972205142,1.0,0.7590361445783133
ANKH,2.1311703,0.97467506,0.03307512482050254,1.0,0.3132530120481928
PDXDC1,2.1263382,0.6365449,0.0334751017813189,1.0,0.43373493975903615
TMED8,2.125139,0.6769821,0.03357502548328802,1.0,0.39759036144578314
LAMTOR1,2.1145499,0.38155535,0.03446833080873859,1.0,0.7469879518072289
CCDC124,2.111637,0.43386212,0.034717594529171225,1.0,0.6265060240963856
BZW1,2.1098208,0.24742408,0.03487379575099834,1.0,0.9397590361445783
MTPN,2.1096494,0.16737695,0.03488856264406097,1.0,0.891566265060241
CDH2,2.109067,0.49867368,0.034938810023822146,1.0,0.5421686746987951
TUBA1B,2.1039267,0.30805653,0.03538485321418829,1.0,0.9518072289156626
HOXB7,2.0913498,0.518648,0.03649670484499988,1.0,0.5301204819277109
FBXW5,2.0856955,0.66693944,0.037006203471054266,1.0,0.39759036144578314
DLC1,2.0823715,0.39638534,0.037308544446860596,1.0,0.6024096385542169
WNK1,2.0692809,0.42322895,0.03851973353739914,1.0,0.5783132530120482
GNG10,2.06839,0.29795715,0.0386033715042212,1.0,0.7951807228915663
PEBP1,2.0626671,0.23269914,0.03914427193384293,1.0,0.9397590361445783
MAK16,2.0542712,0.58093,0.03994944805375399,1.0,0.42168674698795183
DPAGT1,2.0532775,0.9171543,0.040045678171528966,1.0,0.3253012048192771
TNIK,2.0509129,0.54510486,0.04027543026930911,1.0,0.43373493975903615
UBE2J2,2.038679,0.5992211,0.04148207801896936,1.0,0.40963855421686746
