names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SF3B6,3.0390227,0.2974185,0.002373470043487233,1.0,0.9291338582677166
DEXI,3.0091372,0.8294477,0.0026199082295750224,1.0,0.3779527559055118
APP,2.9463305,0.23425846,0.0032156844311730893,1.0,0.9921259842519685
SEPTIN9,2.8770394,0.60135067,0.004014255740521591,1.0,0.5118110236220472
MARCH7,2.8324456,0.59507734,0.004619342425178108,1.0,0.4881889763779528
SNHG29,2.7889833,0.16265884,0.005287379146196539,1.0,0.9921259842519685
ISCU,2.6229434,0.36545476,0.008717373282123329,1.0,0.6771653543307087
RBM6,2.6056137,0.52102107,0.009170981708576139,1.0,0.5118110236220472
UBE2L3,2.5530727,0.30457914,0.010677722370453367,1.0,0.7716535433070866
REXO2,2.531907,0.30110395,0.011344401453119744,1.0,0.8740157480314961
COLEC12,2.5279336,0.3732328,0.01147360846731217,1.0,0.7952755905511811
SND1,2.5150466,0.49239448,0.011901666095629511,1.0,0.5118110236220472
VPS25,2.5138876,0.4035863,0.011940849177629937,1.0,0.6141732283464567
SMC3,2.49791,0.52037364,0.01249279050472754,1.0,0.5433070866141733
NDUFV3,2.4815185,0.41583776,0.013082391761919002,1.0,0.7007874015748031
ARHGAP6,2.4794214,0.4681269,0.013159577626328018,1.0,0.5590551181102362
COPS9,2.4549997,0.21655954,0.014088474642484129,1.0,0.9133858267716536
EIF3E,2.4374492,0.15056844,0.014791296342579927,1.0,1.0
CHD8,2.433779,0.54576474,0.014942117016586012,1.0,0.48031496062992124
COMMD6,2.4264662,0.21441258,0.015246668553366441,1.0,0.952755905511811
CD2BP2,2.424369,0.738797,0.015335014152142133,1.0,0.33858267716535434
TAPBP,2.4081154,0.31868827,0.01603510745165278,1.0,0.6929133858267716
PICSAR,2.3909514,0.6661043,0.016804780404288806,1.0,0.3779527559055118
MYL12A,2.378699,0.17073594,0.01737385169654244,1.0,1.0
LYN,2.3554363,0.5622364,0.018500963090446944,1.0,0.4094488188976378
PLAU,2.347627,0.725535,0.01889343117383092,1.0,0.3543307086614173
RPL14,2.3259096,0.07364748,0.02002337173116627,1.0,1.0
MED21,2.3250265,0.59442544,0.020070538167930155,1.0,0.4094488188976378
PGAM1,2.3083315,0.32565695,0.02098070298517773,1.0,0.7165354330708661
ENSA,2.3054893,0.3783597,0.021139188014121908,1.0,0.6692913385826772
CISD2,2.3025641,0.45638707,0.02130337707554314,1.0,0.5039370078740157
PRPF6,2.2877731,0.34808093,0.022150733083109046,1.0,0.7637795275590551
FBXW5,2.2736998,0.605548,0.02298404960986212,1.0,0.3858267716535433
APBB2,2.2730925,0.5612929,0.023020601212131533,1.0,0.3858267716535433
HSD17B7,2.2634895,0.70300215,0.02360553215208346,1.0,0.3543307086614173
CD151,2.2593226,0.2521375,0.023863323785318555,1.0,0.9133858267716536
ARL6IP4,2.2586052,0.22122978,0.023907957307699165,1.0,0.9212598425196851
DYNC1LI2,2.2583568,0.32768774,0.023923424233601647,1.0,0.6692913385826772
CDK13,2.2315068,0.4665488,0.025647581365199932,1.0,0.4566929133858268
TMSB4X,2.2295475,0.1024534,0.02577749922381235,1.0,1.0
KDM1A,2.229299,0.38479897,0.02579400826077514,1.0,0.6141732283464567
COPS2,2.2243595,0.4357421,0.02612425920312682,1.0,0.5511811023622047
FILIP1L,2.2103689,0.5586137,0.027079571536800483,1.0,0.4094488188976378
NDUFS2,2.201566,0.37443224,0.027695976930380933,1.0,0.7165354330708661
EIF3I,2.1924596,0.2305423,0.028346333409922275,1.0,0.7716535433070866
NDUFS7,2.1785793,0.28012824,0.029362934702119342,1.0,0.8346456692913385
ANP32A,2.161415,0.32119864,0.030663285207398323,1.0,0.6771653543307087
RPL26,2.158021,0.061829723,0.030926203309602694,1.0,1.0
DBNL,2.1313918,0.53601915,0.03305688954731379,1.0,0.4094488188976378
STX12,2.12797,0.40815714,0.03333958232268312,1.0,0.5354330708661418
VTI1B,2.127418,0.3258521,0.03338537110417457,1.0,0.6771653543307087
CWC15,2.1259553,0.36268875,0.03350697166445784,1.0,0.5905511811023622
TPR,2.1225612,0.2691065,0.03379063747599894,1.0,0.7480314960629921
MOCS2,2.0991054,0.3806748,0.035807613096103336,1.0,0.5826771653543307
RAB3B,2.0989673,0.41493556,0.03581977500122752,1.0,0.5590551181102362
GLS,2.0952144,0.26269576,0.036151932480061995,1.0,0.7716535433070866
VAMP5,2.0912406,0.18997192,0.03650648698939507,1.0,0.9921259842519685
HEBP2,2.09102,0.2634947,0.036526271036288846,1.0,0.8582677165354331
RAB1A,2.0794852,0.2985333,0.037572772807908494,1.0,0.7165354330708661
UBE2V1,2.0773327,0.17588787,0.03777085160221013,1.0,0.9448818897637795
PRRC2B,2.062459,0.35907996,0.039164051876707254,1.0,0.5433070866141733
TACC1,2.0605826,0.1600265,0.039342879371134204,1.0,0.905511811023622
IFT52,2.0482752,0.5105445,0.04053304500456823,1.0,0.3543307086614173
GGT5,2.0380926,0.68031114,0.041540676390380456,1.0,0.33070866141732286
GARS,2.0284343,0.27696928,0.04251594482933148,1.0,0.7874015748031497
BZW1,2.0270545,0.2135921,0.04265683731265038,1.0,0.937007874015748
SURF6,2.0263095,0.5729231,0.04273308327727383,1.0,0.3543307086614173
PPA1,2.0253987,0.20600228,0.042826429245117204,1.0,0.889763779527559
GNG5,2.0219495,0.14343116,0.04318157713460629,1.0,0.889763779527559
FAM107B,2.0196867,0.19340776,0.04341590344956655,1.0,0.905511811023622
PIR,2.0156577,0.22992638,0.043835777872963465,1.0,0.8661417322834646
AP3D1,2.0111322,0.4800242,0.04431150143661051,1.0,0.41732283464566927
TPM1,2.0054476,0.20017387,0.04491522336030847,1.0,0.952755905511811
ZNF385D,2.003571,0.48136276,0.04511602686708768,1.0,0.4015748031496063
SNHG32,2.0033226,0.27417868,0.04514266043413271,1.0,0.7637795275590551
STIP1,2.0025501,0.3073599,0.045225605206066694,1.0,0.6220472440944882
HNRNPM,2.0008392,0.29403713,0.04540972591889657,1.0,0.7401574803149606
DOCK5,2.0004804,0.43850005,0.045448411891304885,1.0,0.48031496062992124
DDB1,1.9983004,0.39807373,0.04568410131083658,1.0,0.5039370078740157
DNAJB4,1.9892216,0.3763183,0.04667674717941393,1.0,0.5669291338582677
STX1A,1.9862965,1.0458724,0.04700040749882636,1.0,0.2125984251968504
SNX2,1.9810258,0.44967365,0.04758837309698216,1.0,0.4645669291338583
SPRYD7,1.9800048,0.4189198,0.04770298423538238,1.0,0.4251968503937008
DYNLL2,1.9737132,0.6550741,0.04841436808560033,1.0,0.28346456692913385
PFN1,1.9673663,0.10575109,0.04914099869294691,1.0,1.0
ARL2BP,1.9654347,0.31971964,0.049363955443105664,1.0,0.6692913385826772
PBRM1,1.9618196,0.46099335,0.04978348357685325,1.0,0.49606299212598426
TPT1,1.9577632,0.054303344,0.050257807663402924,1.0,1.0
PSMA3,1.956687,0.27087727,0.05038428261441036,1.0,0.7244094488188977
PNKP,1.9454558,0.4130173,0.05172014947042072,1.0,0.4251968503937008
TMEM189,1.9425306,0.33768895,0.05207289000582932,1.0,0.5748031496062992
FAM229B,1.9345005,0.4757144,0.05305162099780648,1.0,0.4251968503937008
ATP6V1G1,1.9248422,0.19662268,0.0542491020031303,1.0,0.8110236220472441
C19orf48,1.918992,0.76613355,0.054985341073703245,1.0,0.2677165354330709
SCPEP1,1.9154599,0.4303489,0.05543388268915046,1.0,0.3937007874015748
RPL19,1.914632,0.06515655,0.05553944954657609,1.0,1.0
PSMD13,1.9075676,0.29850975,0.05644711798311029,1.0,0.6299212598425197
NCOR1,1.8924731,0.31628957,0.05842796994167274,1.0,0.5826771653543307
TCTEX1D2,1.891259,0.46359193,0.05858978575325541,1.0,0.4645669291338583
MIR100HG,1.8802761,0.38042226,0.06007045990535932,1.0,0.4881889763779528
PLGRKT,1.8729082,0.47977984,0.06108106326195469,1.0,0.3779527559055118
ZDBF2,1.8692105,1.17887,0.06159354097294777,1.0,0.1889763779527559
ZNF721,1.8669752,0.46773204,0.061905044829408264,1.0,0.33070866141732286
TMEM14C,1.863443,0.22963938,0.062399955083086475,1.0,0.7559055118110236
TYW5,1.8630291,0.66169715,0.06245816602326571,1.0,0.2677165354330709
KIF3A,1.853702,0.48674923,0.06378180627241971,1.0,0.3700787401574803
EIPR1,1.8519083,0.7103899,0.06403899023028281,1.0,0.2283464566929134
TAF15,1.8516048,0.41115394,0.06408259827445693,1.0,0.4251968503937008
EDEM3,1.8471344,0.3990341,0.06472767028428321,1.0,0.41732283464566927
C19orf53,1.8447059,0.16676286,0.06508031964691738,1.0,0.8740157480314961
TIMM23,1.8341094,0.662015,0.06663774731155314,1.0,0.29133858267716534
CCNL1,1.8338886,0.5521665,0.066670517287286,1.0,0.3700787401574803
GPATCH11,1.8334472,0.5669161,0.06673609705145557,1.0,0.33070866141732286
TTC37,1.8308257,0.32074773,0.0671265717376918,1.0,0.6220472440944882
PDLIM5,1.8302186,0.29856306,0.06721726512138468,1.0,0.5984251968503937
FAM217B,1.8287836,0.60306907,0.06743203224926907,1.0,0.2992125984251969
PNN,1.826576,0.2893275,0.06776354553154734,1.0,0.6456692913385826
PPP1R8,1.8234302,0.7213474,0.06823826725727651,1.0,0.2283464566929134
SCD,1.8170005,0.16608742,0.06921703857023422,1.0,0.905511811023622
PHACTR2,1.8127508,0.19898744,0.06987025922357162,1.0,0.8346456692913385
MFSD1,1.8015748,0.57961667,0.0716123261971668,1.0,0.31496062992125984
RPS18,1.8009677,0.041612048,0.07170796712848415,1.0,1.0
NORAD,1.7958902,0.27031046,0.07251197757231802,1.0,0.7007874015748031
UBE2G2,1.785818,0.28889462,0.07412873032402091,1.0,0.5984251968503937
RAB14,1.7777051,0.2815985,0.07545231123905151,1.0,0.6929133858267716
U2SURP,1.7757182,0.3387335,0.07577937720378125,1.0,0.5905511811023622
PLOD3,1.7722136,0.2533562,0.07635910470156902,1.0,0.6456692913385826
AP1M1,1.7674673,0.50208646,0.0771500085380623,1.0,0.33858267716535434
WRN,1.7630244,0.43289903,0.07789636785776026,1.0,0.41732283464566927
SYF2,1.7620034,0.24691106,0.07806871967168658,1.0,0.7480314960629921
SQSTM1,1.7580849,0.25447634,0.07873306238772175,1.0,0.8110236220472441
ESD,1.7578089,0.21558559,0.07878001993157369,1.0,0.7874015748031497
CCDC124,1.7562084,0.31596324,0.07905282320636656,1.0,0.6141732283464567
PEBP1,1.7481782,0.09081918,0.08043316378080113,1.0,0.8818897637795275
ROCK1,1.7463018,0.31026128,0.08075852357551189,1.0,0.6299212598425197
CYHR1,1.7461362,0.40459034,0.080787283029296,1.0,0.4094488188976378
MADD,1.7429628,1.3097247,0.08134011493191406,1.0,0.15748031496062992
GATC,1.7417486,0.42866805,0.08155244363534978,1.0,0.33070866141732286
DNAJC2,1.7415003,0.40207288,0.0815959298616651,1.0,0.3779527559055118
LAMB1,1.7366711,0.2095565,0.08244524129072986,1.0,0.7874015748031497
