names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
FTH1,4.8719983,0.5253945,1.1047513710131225e-06,0.03287961030409255,1.0
GAS5,4.132919,0.53008467,3.581851457040757e-05,0.3481156006611262,1.0
RPL37,3.6654553,0.24928583,0.00024689886512208726,1.0,1.0
FTL,3.4470341,0.33006743,0.0005667772317881748,1.0,1.0
SNHG32,3.30297,0.8572974,0.0009566663396111718,1.0,0.8333333333333334
WARS,3.2602785,0.8923231,0.0011130285865738076,1.0,0.7222222222222222
RPS19,3.2420418,0.2139656,0.0011867657293554272,1.0,1.0
SARS,3.1597943,0.62448627,0.0015788059441819312,1.0,0.8611111111111112
EIF1,3.155039,0.33425325,0.0016047658005681432,1.0,1.0
LANCL1,3.0557568,1.4880033,0.0022449334696257716,1.0,0.5
PFDN4,3.011968,0.8253607,0.002595600328118124,1.0,0.7777777777777778
DHRS3,2.9316013,2.1729743,0.0033721926849377536,1.0,0.3888888888888889
LAMB1,2.897375,0.6550904,0.003762995690262298,1.0,0.8333333333333334
BRK1,2.8914182,0.4937848,0.0038350749951685885,1.0,0.9444444444444444
TXNIP,2.85066,0.9659131,0.004362858332414424,1.0,0.6666666666666666
FAM210B,2.8332596,0.8805204,0.004607596142931936,1.0,0.6666666666666666
KTN1,2.8241673,0.3548827,0.004740362787803998,1.0,0.9722222222222222
GLS,2.7861788,0.63680214,0.005333345359271946,1.0,0.8055555555555556
RPS11,2.7619853,0.1545084,0.005745108560227019,1.0,1.0
FAM50A,2.6964066,0.6169876,0.007009206797538707,1.0,0.7777777777777778
RPL10,2.694473,0.14520356,0.007050001181885219,1.0,1.0
RPL18A,2.6941595,0.18537891,0.0070566365399027395,1.0,1.0
EIF2S2,2.668503,0.36295,0.0076190114157807685,1.0,1.0
RPL14,2.6445184,0.15327784,0.008180726309300643,1.0,1.0
PPM1G,2.6286855,0.5459951,0.008571560578292423,1.0,0.9166666666666666
TCEA1,2.6099262,0.57616276,0.009056173352024853,1.0,0.9444444444444444
NOP53,2.6066866,0.6231561,0.009142300890027946,1.0,0.75
NDUFAF8,2.5995278,0.46134314,0.009335212729356052,1.0,0.8611111111111112
ANAPC16,2.5768495,0.5602985,0.009970533381069699,1.0,0.8888888888888888
PYGB,2.5575156,1.4479929,0.01054228251388387,1.0,0.4444444444444444
TRIB3,2.5500433,1.1472025,0.010770953945545215,1.0,0.5
LUZP1,2.4909441,0.6712964,0.012740415357486585,1.0,0.6944444444444444
APP,2.4812772,0.34341994,0.013091253998527464,1.0,0.9722222222222222
DKK3,2.4709308,1.0839887,0.013476186436959697,1.0,0.5
MPG,2.4598007,0.5710526,0.013901415284761524,1.0,0.7777777777777778
TMEM258,2.453896,0.42098248,0.014131780617677015,1.0,0.9166666666666666
RPS15,2.4496112,0.15301104,0.014301051191888691,1.0,1.0
LRRC41,2.4454832,1.2252241,0.014465817983307004,1.0,0.4444444444444444
RPL37A,2.4432886,0.11496048,0.014554095274356391,1.0,1.0
BTG3,2.4286053,1.030894,0.015157026930775067,1.0,0.5555555555555556
SUN1,2.404255,1.0751803,0.016205470016582964,1.0,0.5
ADIRF,2.3920274,0.36232415,0.01675558847376037,1.0,0.9444444444444444
ISCU,2.3772397,0.7334811,0.017442753523517034,1.0,0.7222222222222222
COL18A1,2.36867,0.7286081,0.017852175705039774,1.0,0.6944444444444444
ZFAS1,2.3675203,0.4174969,0.01790773377603185,1.0,1.0
SLC25A37,2.35801,0.5255957,0.01837318976777371,1.0,0.8055555555555556
FKBP3,2.3525236,0.62514055,0.01864651121978886,1.0,0.7222222222222222
YBX3,2.3524714,0.3513475,0.018649131291021716,1.0,1.0
PPP1R14B,2.3512695,0.38904724,0.018709481893069202,1.0,0.9444444444444444
RPL29,2.3329806,0.14673032,0.01964916662467634,1.0,1.0
RPL6,2.3306813,0.11834903,0.01977016731764176,1.0,1.0
TMEM14C,2.3268147,0.56032145,0.019975136112665326,1.0,0.7777777777777778
LETMD1,2.3228955,1.1575719,0.020184765023491834,1.0,0.4444444444444444
RPL22,2.3221118,0.15452673,0.020226920399364464,1.0,1.0
RPL26,2.3071148,0.12603016,0.021048418126119746,1.0,1.0
N4BP2L2,2.2953055,0.5558084,0.02171562444418626,1.0,0.7777777777777778
RPS15A,2.2446191,0.12676723,0.02479259097088141,1.0,1.0
TNRC6B,2.238819,0.7312593,0.025167696385689317,1.0,0.6111111111111112
RPLP2,2.2359972,0.123473965,0.02535194965349007,1.0,1.0
ANKRD17,2.198897,0.6835951,0.02788524731273473,1.0,0.6388888888888888
RPS23,2.1928878,0.09969033,0.028315464271095412,1.0,1.0
C18orf32,2.181862,0.59165114,0.029119702922025193,1.0,0.6944444444444444
FBXO22,2.1713068,0.67877644,0.029907978941670695,1.0,0.6388888888888888
RPS13,2.1537497,0.13543513,0.03125981309679331,1.0,1.0
TCF12,2.1436124,1.1666875,0.03206396012610511,1.0,0.4166666666666667
FAM204A,2.1409473,0.75101334,0.03227827978177823,1.0,0.6388888888888888
UBE2R2,2.1364014,0.6247502,0.032646717120629005,1.0,0.7222222222222222
STX17,2.133057,1.1249709,0.03292004547918887,1.0,0.4444444444444444
RPL41,2.117433,0.10781173,0.03422310392574361,1.0,1.0
COL6A1,2.1075048,0.76242536,0.035073837559138815,1.0,0.5833333333333334
DDIT4,2.1003983,0.7969416,0.035693812664327085,1.0,0.6111111111111112
RPL7A,2.0954342,0.11749891,0.03613240810283974,1.0,1.0
UBA52,2.0935009,0.14145578,0.036304468360646325,1.0,1.0
TLK1,2.09,0.92560565,0.03661781437520569,1.0,0.4722222222222222
DDX21,2.086917,0.3880718,0.03689565095718262,1.0,0.8611111111111112
RPS14,2.0866034,0.10031445,0.03692400583581019,1.0,1.0
TCOF1,2.0744805,0.99002266,0.03803471498585996,1.0,0.4444444444444444
FMC1,2.063037,0.9468158,0.03910913038095183,1.0,0.4722222222222222
RPS27,2.0574458,0.16076766,0.03964337806345276,1.0,1.0
AFAP1,2.0364397,0.5939082,0.04170623502014887,1.0,0.6388888888888888
RPS4X,2.034245,0.07254736,0.04192690862122129,1.0,1.0
PNISR,2.0301168,0.45282626,0.042344663135473984,1.0,0.8611111111111112
ST3GAL2,2.0271385,1.4638308,0.042648263086744215,1.0,0.3333333333333333
WDR83OS,2.0259888,0.4309907,0.04276593332338108,1.0,0.9166666666666666
SNHG8,2.0180461,0.5403001,0.043586450406279065,1.0,0.8055555555555556
NQO1,2.01512,0.31650603,0.04389207959820066,1.0,0.9444444444444444
MARCH6,1.992285,0.7685097,0.04633979483038372,1.0,0.5277777777777778
RPL38,1.988784,0.17634666,0.0467250491852969,1.0,1.0
NLGN1,1.9883137,0.8541,0.04677700453974957,1.0,0.5
PHF20L1,1.9654788,0.5031453,0.04935885194704303,1.0,0.6944444444444444
TMEM87B,1.9554982,1.0193934,0.05052428859018898,1.0,0.4166666666666667
FAU,1.9435321,0.20206104,0.05195189922981902,1.0,1.0
AKIP1,1.9379932,1.2525069,0.05262405240306629,1.0,0.3611111111111111
RPL36A,1.936112,0.12303417,0.05285397813821088,1.0,1.0
RPS16,1.9295281,0.13248459,0.05366533957114298,1.0,1.0
GHITM,1.9158897,0.3884269,0.0553791250954647,1.0,0.7222222222222222
RPL39,1.8768561,0.13012686,0.06053781667329837,1.0,1.0
KIAA1109,1.8750272,0.78017604,0.060788977453655545,1.0,0.5277777777777778
XPOT,1.8698541,0.8092,0.06150408224373575,1.0,0.5277777777777778
PFDN5,1.8675027,0.17095655,0.061831424763279505,1.0,0.9722222222222222
DCP2,1.8671892,1.0848198,0.06187517918071994,1.0,0.3888888888888889
RPL34,1.8591421,0.1156198,0.06300700765427847,1.0,1.0
SNHG7,1.8564248,0.6279198,0.06339302730748936,1.0,0.6111111111111112
STAB1,1.8549618,0.6868841,0.06360169216505693,1.0,0.6111111111111112
ECI1,1.8533418,0.7977356,0.06383337549935876,1.0,0.5277777777777778
SNHG29,1.8504156,0.21704486,0.06425366702328256,1.0,1.0
NKTR,1.8457128,0.6684332,0.0649339199609215,1.0,0.5555555555555556
SNHG5,1.84472,0.24873826,0.06507828582656154,1.0,1.0
NSMCE2,1.8304024,0.9763878,0.06718979102309595,1.0,0.4166666666666667
RBCK1,1.8217282,0.58815044,0.06849623121653395,1.0,0.6666666666666666
UBE2E3,1.8166596,0.48324051,0.06926925023360185,1.0,0.6666666666666666
NDUFB11,1.8139946,0.33724353,0.06967854822476792,1.0,0.9166666666666666
LRRFIP1,1.8059998,0.34803525,0.07091836942347365,1.0,0.75
UBE2B,1.8053727,0.647667,0.0710163705201417,1.0,0.6111111111111112
ZBTB16,1.8016105,2.4734373,0.07160671126096056,1.0,0.2222222222222222
ABRAXAS1,1.7989455,1.07097,0.07202729740137252,1.0,0.3888888888888889
RPL15,1.796385,0.10923084,0.07243329371840321,1.0,1.0
AC009107.2,1.7908462,1.043403,0.07331798334152527,1.0,0.3611111111111111
ZNF433-AS1,1.7884425,1.1826179,0.07370464574484728,1.0,0.3333333333333333
TARS,1.7778872,0.53865725,0.0754223824620069,1.0,0.6388888888888888
ANKRD11,1.7750655,0.33290383,0.0758870741360472,1.0,0.8611111111111112
IGFBP4,1.7678022,0.58123493,0.07709397751042062,1.0,0.5833333333333334
COPRS,1.7678022,0.6380117,0.07709397751042062,1.0,0.5833333333333334
RNF169,1.7655553,1.1017071,0.0774704884652744,1.0,0.3333333333333333
NIPSNAP2,1.7638309,0.5657364,0.07776045352642531,1.0,0.5833333333333334
RPS24,1.7588668,0.09116784,0.078600139220086,1.0,1.0
BAG4,1.7569857,1.0975237,0.07892025746238525,1.0,0.3333333333333333
HERC2,1.7489908,0.78690225,0.08029261184196494,1.0,0.5
RPS20,1.7483637,0.16176198,0.08040106236491412,1.0,1.0
TMEM101,1.7456988,0.863932,0.08086330529748192,1.0,0.4166666666666667
ATP6V0C,1.7450718,0.40636888,0.08097238134036978,1.0,0.7777777777777778
FBLIM1,1.7436609,0.47940418,0.08121823920325877,1.0,0.6666666666666666
TMEM59,1.7425113,0.36261046,0.08141901552489782,1.0,0.7222222222222222
BTF3,1.741414,0.123205245,0.08161104120044926,1.0,0.9722222222222222
C16orf72,1.7384355,1.2918917,0.08213410656754558,1.0,0.3333333333333333
ELK4,1.732792,0.6809395,0.08313263213096046,1.0,0.5277777777777778
RPS18,1.7314857,0.064174615,0.08336516854805101,1.0,1.0
DDX49,1.7264694,1.3838457,0.08426300872551344,1.0,0.3055555555555556
LAGE3,1.7237521,0.6697624,0.08475259673576505,1.0,0.5555555555555556
VGLL4,1.7220278,0.89475745,0.08506448854613366,1.0,0.4166666666666667
PRDX3,1.7168024,0.41197327,0.08601528668696148,1.0,0.7777777777777778
EIF5A,1.7124653,0.23189399,0.08681095387343957,1.0,0.9444444444444444
CELF2,1.7121518,0.48011228,0.0868687015244288,1.0,0.6944444444444444
LGALS3,1.711786,0.52683187,0.0869361129744036,1.0,0.6111111111111112
RPL36,1.7105842,0.124165766,0.08715790510743744,1.0,1.0
TFPI,1.7094346,0.2622211,0.08737048119947104,1.0,0.8611111111111112
RBMS3,1.7090166,0.6939479,0.08744788524243206,1.0,0.4722222222222222
SNRPB2,1.7046272,0.30147392,0.08826397254322996,1.0,0.8333333333333334
BZW2,1.6987225,0.3881233,0.08937147792125676,1.0,0.6388888888888888
BCL7A,1.6912502,1.3872464,0.0907890247329638,1.0,0.3333333333333333
RPL13A,1.6890556,0.090839185,0.09120878555423044,1.0,1.0
RPL28,1.6871744,0.09783952,0.09156982116084826,1.0,1.0
EPHB2,1.681322,0.988183,0.09270039316006845,1.0,0.3888888888888889
MED28,1.6775074,0.6217542,0.09344329739050673,1.0,0.5
BPTF,1.6752605,0.47957343,0.0938831291756109,1.0,0.6666666666666666
SEC11A,1.6739019,0.2493957,0.09414987841015725,1.0,0.9166666666666666
MLH3,1.6697216,1.1214589,0.09497445838229615,1.0,0.3333333333333333
TCTN3,1.6670043,0.71172965,0.0955135309444189,1.0,0.4444444444444444
ELK3,1.6661683,0.4371434,0.09567989145482673,1.0,0.7222222222222222
YPEL3,1.6640781,1.2371337,0.09609680776804673,1.0,0.3055555555555556
