names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
HSF1,3.4061098,0.8697199,0.0006589564841029803,1.0,0.609375
BBX,3.1332881,0.60867006,0.0017285971564833357,1.0,0.71875
QSOX1,3.0884106,0.6548446,0.002012302114003277,1.0,0.796875
PSMB2,3.0769958,0.50578976,0.002090982385001684,1.0,0.859375
AFF1,2.9677732,1.1623122,0.002999655268950385,1.0,0.421875
SNX5,2.9322388,0.6096243,0.003365278938202455,1.0,0.75
TFG,2.9296587,0.7406195,0.0033933446496953196,1.0,0.609375
P4HA1,2.8461976,0.660148,0.00442447203478543,1.0,0.6875
CCDC124,2.7821653,0.57903594,0.005399753634135034,1.0,0.734375
TOPORS,2.7703986,1.0166188,0.005598772633550146,1.0,0.4375
SEPHS1,2.7439725,1.1239234,0.0060700614169430355,1.0,0.40625
TIMM9,2.670519,0.81393695,0.007573408417346287,1.0,0.5
TGM2,2.6279871,0.24685568,0.008589177330650077,1.0,1.0
CRLS1,2.596909,0.76873654,0.009406681509282495,1.0,0.515625
FBL,2.5893643,0.54644245,0.009615329117126944,1.0,0.703125
ATP5MF,2.5057468,0.30881625,0.01221930331616867,1.0,0.953125
ANP32A,2.4497674,0.46564063,0.014294849928946574,1.0,0.703125
FLNA,2.444021,0.39893642,0.014524582487119927,1.0,0.90625
DOCK1,2.414663,0.7636027,0.015749774026983587,1.0,0.5
RPSA,2.374633,0.13481899,0.01756640763262221,1.0,1.0
SUMO2,2.3589962,0.2865478,0.018324441279319214,1.0,1.0
PPIB,2.3490279,0.17805648,0.018822500036819238,1.0,0.96875
GSN,2.3430078,0.57131875,0.019128989012371197,1.0,0.609375
TBL3,2.3198261,1.2091423,0.02035027934499057,1.0,0.3125
RBBP6,2.3105614,0.61394644,0.020857089501579447,1.0,0.546875
LPP,2.3075123,0.35305932,0.021026276883003035,1.0,0.8125
SREK1IP1,2.2892172,0.57980484,0.022066727967384393,1.0,0.578125
NT5DC2,2.2889047,0.6095313,0.022084895999006794,1.0,0.578125
MDK,2.285269,0.28991768,0.02229705601477659,1.0,0.96875
ITGA10,2.2824545,0.41017693,0.022462523927695686,1.0,0.828125
KMT5B,2.2824154,0.7560631,0.022464829588918638,1.0,0.4375
PSMA5,2.2662313,0.4740232,0.023437222745066832,1.0,0.78125
GGCT,2.243089,0.46999845,0.024891077236053646,1.0,0.6875
CNOT1,2.2274914,0.628512,0.02591445392684385,1.0,0.5
PALMD,2.1912923,0.48764744,0.02843064624405437,1.0,0.671875
SNX6,2.1811285,0.36689553,0.029173918231372702,1.0,0.90625
AFAP1,2.1719027,0.50110006,0.029862997988469024,1.0,0.65625
SLC27A5,2.1704955,0.5668114,0.029969332351292788,1.0,0.53125
POLM,2.152904,0.983162,0.0313262133670057,1.0,0.328125
TRAPPC3,2.1504023,0.49787757,0.031523409795015174,1.0,0.703125
LNPEP,2.148604,0.64313906,0.03166580154108098,1.0,0.515625
