names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ATP2B4,3.2246656,0.6220197,0.0012611982256276206,1.0,0.5603448275862069
RPS27L,2.8828115,0.21348844,0.003941430376341001,1.0,1.0
CEP170,2.850239,0.3481565,0.004368639202562808,1.0,0.7586206896551724
MYCBP,2.6820576,0.5921647,0.007317085564957701,1.0,0.4827586206896552
ANXA6,2.6790807,0.42703587,0.00738245984204308,1.0,0.6293103448275862
SVIP,2.6646585,0.33939412,0.007706652755747778,1.0,0.7586206896551724
IPO5,2.6374328,0.5452169,0.00835361827343862,1.0,0.5344827586206896
APRT,2.5511022,0.22422187,0.010738283856515797,1.0,0.9655172413793104
MT-ND6,2.546738,0.31971514,0.01087350486589541,1.0,0.853448275862069
ATP6V1A,2.5322292,0.5863841,0.011333990986464072,1.0,0.4827586206896552
NRP2,2.522778,0.28180844,0.011643184112475457,1.0,0.8793103448275862
SPARC,2.490928,0.22585091,0.012740993836169992,1.0,0.9827586206896551
CD93,2.4502048,0.30301666,0.014277493101369063,1.0,0.8706896551724138
ENG,2.4429216,0.24735208,0.014568901967195872,1.0,0.9137931034482759
TMEM147,2.3839035,0.28539038,0.017130093844866304,1.0,0.7844827586206896
PPP2R5E,2.3327756,0.365719,0.01965992223010439,1.0,0.6379310344827587
COPG1,2.2900872,0.6730609,0.02201625873497822,1.0,0.3879310344827586
LTBP1,2.2861855,0.23246947,0.0222434100889077,1.0,0.9827586206896551
PHF20L1,2.2856364,0.34295622,0.022275542583294568,1.0,0.6724137931034483
SIL1,2.268295,0.3562035,0.023311228061635693,1.0,0.646551724137931
PIGT,2.2302887,0.34005857,0.025728276026062823,1.0,0.7068965517241379
TCEAL4,2.1900282,0.2696849,0.02852219390680666,1.0,0.8706896551724138
SMAD3,2.1880918,0.37563363,0.028662921293093207,1.0,0.6896551724137931
TMEM208,2.178005,0.60257834,0.029405672417895205,1.0,0.4051724137931034
MCM3,2.1591318,1.004643,0.03083994176099763,1.0,0.27586206896551724
RRM2B,2.153727,0.35475057,0.03126157765593973,1.0,0.7155172413793104
YAF2,2.146704,0.52791,0.03181686105281363,1.0,0.4482758620689655
ARHGDIA,2.1432645,0.2968231,0.032091860664296486,1.0,0.7413793103448276
IRF2BPL,2.1408079,0.7959718,0.03228953396581896,1.0,0.3275862068965517
UBE2H,2.1368194,0.31146127,0.03261268417923571,1.0,0.6810344827586207
CCDC6,2.132484,0.5355029,0.03296707211321468,1.0,0.4396551724137931
OSTF1,2.118611,0.4911355,0.034123349740132904,1.0,0.47413793103448276
CPSF6,2.1185243,0.62899107,0.03413068410500758,1.0,0.39655172413793105
HDAC7,2.1082351,0.5679816,0.03501064904916331,1.0,0.43103448275862066
PTPRG,2.1022525,0.60696566,0.03553116534792947,1.0,0.39655172413793105
WDR11,2.0910385,0.5464224,0.03652461674100862,1.0,0.43103448275862066
ANKRD28,2.0753734,0.48619205,0.03795193078238454,1.0,0.5775862068965517
PMF1,2.0643907,0.5932182,0.03898068605822501,1.0,0.39655172413793105
ZC3H7A,2.0617318,0.5763013,0.039233284703639765,1.0,0.3793103448275862
EIF2B3,2.0525699,0.60498536,0.04011432345006745,1.0,0.39655172413793105
CRIP2,2.049246,0.15022011,0.04043806487909428,1.0,0.9827586206896551
MYO1C,2.0206618,0.2722426,0.04331478372772775,1.0,0.7241379310344828
HERC2,2.0180895,0.42153874,0.0435819366522309,1.0,0.4827586206896552
CHIC2,2.0175982,0.36615688,0.043633123853826214,1.0,0.5775862068965517
SETD5,2.0136096,0.45749956,0.04405052559191965,1.0,0.45689655172413796
ATP1B1,2.0127716,0.5997911,0.04413866773379369,1.0,0.3793103448275862
POMP,2.0078583,0.22512046,0.044658362501493735,1.0,0.9741379310344828
RCC2,2.0047657,0.5726384,0.04498810411525122,1.0,0.35344827586206895
SNRPG,2.0016732,0.25800914,0.045319896405990226,1.0,0.9396551724137931
PGAP1,1.99965,0.8564074,0.04553807097074244,1.0,0.27586206896551724
PSME1,1.9950256,0.23782973,0.04604008114271492,1.0,0.8620689655172413
ERH,1.9928002,0.252904,0.046283329934953266,1.0,0.9051724137931034
AGPAT4,1.9804012,0.54303646,0.047658465687806253,1.0,0.4051724137931034
XPC,1.9724243,0.32613993,0.04856119982398611,1.0,0.6206896551724138
GNAI2,1.9534066,0.16486487,0.050771431355240294,1.0,0.9827586206896551
YBEY,1.9449961,0.5734898,0.05177544574185083,1.0,0.3879310344827586
TMCC1,1.9442446,0.903981,0.05186595439690975,1.0,0.23275862068965517
BOLA3,1.9422793,0.26695204,0.0521032953382374,1.0,0.75
G6PC3,1.9346491,0.44678202,0.05303336277316578,1.0,0.46551724137931033
HHIP,1.9327127,0.27623597,0.05327159719678545,1.0,0.6982758620689655
TMUB2,1.9280016,0.9961285,0.05385491745874383,1.0,0.2413793103448276
PVT1,1.923753,0.29939243,0.05438554264230284,1.0,0.6551724137931034
TMEM259,1.9186374,0.5550484,0.055030239497326446,1.0,0.3620689655172414
TTC3,1.9170477,0.22320883,0.05523186186453925,1.0,0.8879310344827587
MGRN1,1.9114697,0.8330615,0.05594425043955966,1.0,0.25862068965517243
NEAT1,1.9042152,0.15575145,0.05688215707694268,1.0,0.9827586206896551
PRDM2,1.8987527,0.4938856,0.057596992744615584,1.0,0.3879310344827586
CUL1,1.8863827,0.6999819,0.05924340946579465,1.0,0.3017241379310345
CHCHD1,1.8838392,0.27839854,0.05958672122643303,1.0,0.646551724137931
RAB1A,1.8692726,0.29035354,0.061584898316634745,1.0,0.6896551724137931
COPS9,1.8662379,0.19016424,0.062008091848693686,1.0,0.9224137931034483
EPAS1,1.8609776,0.3486877,0.06274732669149391,1.0,0.5862068965517241
COMMD5,1.859995,0.6299394,0.06288623012730019,1.0,0.3275862068965517
RSRC2,1.8576828,0.3112797,0.0632140647193761,1.0,0.6896551724137931
PREX1,1.8493012,0.5163428,0.06441432626999787,1.0,0.43103448275862066
AP4E1,1.8474226,1.1336584,0.06468591525228122,1.0,0.1896551724137931
SPATC1L,1.8465556,0.319747,0.0648115823391069,1.0,0.5862068965517241
OTUD6B,1.8465266,0.6036321,0.06481577470867642,1.0,0.3275862068965517
RBMS2,1.8405439,0.49189577,0.06568842450447951,1.0,0.4051724137931034
CCT6A,1.836093,0.18515609,0.06634390616418172,1.0,0.7758620689655172
DRAM2,1.8302548,0.5120306,0.06721185341384653,1.0,0.3879310344827586
SPRYD7,1.8292143,0.485529,0.06736751400638753,1.0,0.4051724137931034
ACOT13,1.8243587,0.33166552,0.06809785746747266,1.0,0.5689655172413793
IFI27L1,1.8243009,0.60985845,0.06810659109348256,1.0,0.3017241379310345
ALKBH7,1.8209194,0.2771422,0.06861911341825998,1.0,0.6810344827586207
NDUFA1,1.8187228,0.2000119,0.06895372904889457,1.0,0.9137931034482759
LTO1,1.8155147,1.2197978,0.06944485176220111,1.0,0.1896551724137931
BCL9L,1.8119308,1.1238133,0.06999688639700191,1.0,0.19827586206896552
OGFRL1,1.804185,0.9209473,0.07120230118027213,1.0,0.22413793103448276
MRPL11,1.8036648,0.34951627,0.07128386797895551,1.0,0.603448275862069
OSBPL11,1.797133,0.8233939,0.07231451702685053,1.0,0.2413793103448276
SWAP70,1.795659,0.39440042,0.07254877659277867,1.0,0.5258620689655172
MRPL34,1.7887514,0.3251238,0.07365487199404301,1.0,0.5775862068965517
FRG1,1.788289,0.5452031,0.07372941004513159,1.0,0.39655172413793105
MFAP1,1.7877109,0.43123966,0.0738226693307092,1.0,0.4482758620689655
SDF4,1.7848785,0.24061278,0.07428103488742481,1.0,0.7241379310344828
ATP5MPL,1.7796761,0.15119724,0.07512898880874541,1.0,0.9913793103448276
TGDS,1.7780864,1.1215246,0.07538965672525152,1.0,0.1810344827586207
SF3B1,1.7762656,0.3063695,0.0756891466556594,1.0,0.6293103448275862
ATXN7L3B,1.7740691,0.4560994,0.0760517274511092,1.0,0.45689655172413796
TLE2,1.7738668,0.7209546,0.07608519419399938,1.0,0.3017241379310345
SAT2,1.7732309,0.29625607,0.07619045360461282,1.0,0.5862068965517241
MRPL16,1.7723638,0.41888148,0.07633418055176852,1.0,0.46551724137931033
DUBR,1.7722771,1.6554232,0.07634856539999417,1.0,0.15517241379310345
NSMCE3,1.7658609,0.75198936,0.07741919437556936,1.0,0.2413793103448276
KPNA2,1.7643291,0.32174382,0.07767659536048986,1.0,0.5
FIS1,1.7616123,0.21123154,0.07813483202028318,1.0,0.8362068965517241
SARNP,1.7590978,0.25300622,0.07856090340112229,1.0,0.6896551724137931
HSPG2,1.75904,0.14630285,0.07857072033307005,1.0,0.9913793103448276
PHPT1,1.759011,0.15263945,0.078575629173378,1.0,0.9396551724137931
CD47,1.7543578,0.23845999,0.07936921304561179,1.0,0.7413793103448276
RBIS,1.7491266,0.21073425,0.08026914770055114,1.0,0.8275862068965517
SAMD4B,1.7464098,0.57776845,0.08073977749008736,1.0,0.3103448275862069
MRPL33,1.7456872,0.19135433,0.08086532149649812,1.0,0.8275862068965517
MACF1,1.7449358,0.21186754,0.08099605535407714,1.0,0.853448275862069
FAM171A1,1.7376813,0.38139394,0.08226698359692859,1.0,0.5
ALDH9A1,1.7297044,0.44224522,0.08368311475117207,1.0,0.41379310344827586
ZNF467,1.7282014,0.6201595,0.08395211921969001,1.0,0.3017241379310345
RAP2A,1.7211204,0.60796326,0.0852289774238572,1.0,0.29310344827586204
F2R,1.7174209,0.20901823,0.08590228932346078,1.0,0.8362068965517241
ATP6V1F,1.7155423,0.19769965,0.08624584737371728,1.0,0.8706896551724138
