names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
UBE2D2,3.6601195,0.56995565,0.0002520976869571689,1.0,0.8470588235294118
PRR13,3.6376722,0.6067191,0.00027511323094229925,1.0,0.8470588235294118
ANAPC10,3.333771,1.1176236,0.0008567713808483147,1.0,0.4117647058823529
MARVELD1,3.23975,0.864238,0.0011963454974128224,1.0,0.49411764705882355
ASL,3.2330124,0.7779325,0.0012249223731175109,1.0,0.5647058823529412
SHARPIN,3.220553,0.7648963,0.0012794352638738362,1.0,0.5764705882352941
DFFA,3.034068,0.7842382,0.002412798573409059,1.0,0.6
DHCR7,2.9960468,0.6073127,0.002735045190816226,1.0,0.6470588235294118
RPL36AL,2.9477327,0.28276244,0.0032011374977200316,1.0,1.0
MDH1,2.8503258,0.5272427,0.004367445842032382,1.0,0.6941176470588235
SMIM14,2.8324156,0.6822754,0.004619777942810845,1.0,0.5411764705882353
CHD7,2.8288267,0.68667346,0.004671900189179301,1.0,0.5411764705882353
CCND1,2.813354,0.42383882,0.0049027654766050305,1.0,0.9647058823529412
RNF2,2.7425926,1.0864173,0.006095625319838182,1.0,0.35294117647058826
SRGN,2.7380219,0.23183428,0.0061809953557178995,1.0,0.9882352941176471
COL5A1,2.724784,0.55794287,0.0064343602299885136,1.0,0.6470588235294118
NPDC1,2.713137,0.46203077,0.00666495494827332,1.0,0.7529411764705882
PRMT2,2.698646,0.4669147,0.006962215984027118,1.0,0.7764705882352941
YTHDC1,2.671662,0.6087099,0.007547661735577085,1.0,0.5764705882352941
TLE5,2.6590333,0.3833563,0.007836520105897065,1.0,0.9294117647058824
C1orf122,2.6013072,0.50168735,0.009286929078289697,1.0,0.6941176470588235
CCN1,2.5670776,0.39384347,0.010255967445863145,1.0,0.8823529411764706
U2SURP,2.5618975,0.53142965,0.010410206374120705,1.0,0.6235294117647059
LMAN2,2.5297332,0.40979108,0.01141492941316155,1.0,0.7647058823529411
URM1,2.527431,0.9235585,0.01149004304455318,1.0,0.38823529411764707
TINAGL1,2.5268552,0.307888,0.011508889860436184,1.0,0.9176470588235294
AUP1,2.5126016,0.57384706,0.01198446229179577,1.0,0.5529411764705883
NDUFS7,2.5087757,0.32807514,0.012115040091793868,1.0,0.8235294117647058
TIMM10,2.500379,0.47154114,0.012406047013687764,1.0,0.7294117647058823
IVNS1ABP,2.485922,0.6318485,0.01292162376574321,1.0,0.4823529411764706
POLR2A,2.4760697,0.5217864,0.013283763619102646,1.0,0.5764705882352941
UQCR11,2.4611726,0.21711029,0.013848372559996706,1.0,1.0
TRIB3,2.4448874,0.68872976,0.014489739292933446,1.0,0.47058823529411764
MCL1,2.4420772,0.42762378,0.014603023090823314,1.0,0.8117647058823529
SNCA,2.4414678,0.3425393,0.014627693440603471,1.0,0.8588235294117647
IER2,2.4394026,0.43833774,0.014711571967215922,1.0,0.7647058823529411
NRBP1,2.4351704,0.47446036,0.014884779689481663,1.0,0.6235294117647059
RERE,2.4288054,0.6473359,0.015148667661302464,1.0,0.5058823529411764
ANP32A,2.4071705,0.43615013,0.016076659528442536,1.0,0.6823529411764706
ECI1,2.3870595,0.505365,0.016983744247027047,1.0,0.5882352941176471
MIR100HG,2.38171,0.58158493,0.017232460336089654,1.0,0.5058823529411764
CAPZB,2.3555725,0.35623574,0.01849419394484056,1.0,0.8705882352941177
ANKRD17,2.3524237,0.48236278,0.018651517534515365,1.0,0.6
UQCC2,2.331263,0.36167148,0.019739496349993103,1.0,0.8941176470588236
STRN4,2.330349,0.8170332,0.019787720774920046,1.0,0.3764705882352941
ATP6AP2,2.317788,0.3859018,0.02046085237595923,1.0,0.7176470588235294
ADRM1,2.3145375,0.45312673,0.02063825146599964,1.0,0.6823529411764706
PTPRN2,2.3117275,0.3322288,0.020792707229048028,1.0,0.8823529411764706
GLB1,2.2795632,0.6593717,0.022633605619763016,1.0,0.4235294117647059
DYNLRB1,2.2730966,0.32885545,0.023020363391104047,1.0,0.8235294117647058
SRPK2,2.2652755,0.46824303,0.023495775669264245,1.0,0.6235294117647059
ADSL,2.2630072,0.5551341,0.023635250233478858,1.0,0.5294117647058824
PCYOX1,2.243641,0.45758393,0.024855517183213004,1.0,0.6588235294117647
COL4A1,2.238427,0.31200075,0.025193230537948898,1.0,0.8588235294117647
RNMT,2.2313168,0.47838348,0.02566014519716612,1.0,0.5176470588235295
NOL4L,2.228202,0.5602414,0.02586704471806245,1.0,0.49411764705882355
ATP6V1C1,2.2131019,0.65984684,0.026890628816395847,1.0,0.4117647058823529
PUM3,2.211849,0.5419053,0.026977094804316638,1.0,0.5411764705882353
LRRC75A,2.21019,0.44465557,0.027091973148572476,1.0,0.6705882352941176
DESI1,2.209242,0.39911875,0.027157807305960974,1.0,0.6588235294117647
MIR222HG,2.2091067,0.62902266,0.02716722344755237,1.0,0.4470588235294118
SNRPB,2.2088697,0.23206322,0.027183708475352675,1.0,0.9294117647058824
PRSS23,2.2050438,0.2029236,0.02745102084915851,1.0,0.9647058823529412
MRPL21,2.204773,0.5724221,0.02747003127994218,1.0,0.5529411764705883
RBM25,2.2041974,0.35356134,0.02751046615749858,1.0,0.8352941176470589
POLR3D,2.1885216,0.4639267,0.028631633281226056,1.0,0.5882352941176471
RAP1A,2.1814792,0.5777479,0.029147985543470048,1.0,0.4823529411764706
PCMT1,2.1774502,0.43345296,0.029446987285460968,1.0,0.6705882352941176
PUM2,2.1754189,0.6467731,0.02959874241263249,1.0,0.4117647058823529
SNHG25,2.171322,0.42495424,0.02990682879474587,1.0,0.6588235294117647
NUDT14,2.158829,0.5859721,0.030863444119972393,1.0,0.47058823529411764
PAWR,2.155037,0.4722247,0.03115894683888098,1.0,0.5882352941176471
BTBD7,2.1394289,0.61434025,0.03240095767603053,1.0,0.47058823529411764
MIR22HG,2.137939,0.62512845,0.03252168834928383,1.0,0.4235294117647059
EMC10,2.131574,0.4408263,0.03304188765964262,1.0,0.6235294117647059
MSMO1,2.1307275,0.32490197,0.03311159676524676,1.0,0.9411764705882353
WBP2,2.1294749,0.5319694,0.033214997224375785,1.0,0.49411764705882355
MGLL,2.127037,0.3701487,0.033417001130522324,1.0,0.7647058823529411
CISD2,2.1188438,0.4809635,0.034103679711891884,1.0,0.5294117647058824
RAB2A,2.1097362,0.2835732,0.03488109074266167,1.0,0.9411764705882353
