names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PLOD2,3.4866934,0.392014,0.000489031496362844,1.0,0.7734806629834254
CD59,3.334308,0.13905029,0.0008551193111627931,1.0,0.994475138121547
PLAAT3,3.2873087,0.49065313,0.0010114992379508729,1.0,0.5911602209944752
UQCC2,3.0314002,0.28944504,0.0024342232297572606,1.0,0.8674033149171271
RBMS1,2.9910953,0.4213539,0.0027797864109575018,1.0,0.6464088397790055
CYB5B,2.9795928,0.36285985,0.002886317295824485,1.0,0.6906077348066298
CDC40,2.8591843,0.51992095,0.004247318676097681,1.0,0.4861878453038674
MMP14,2.8591843,0.42136335,0.004247318676097681,1.0,0.5027624309392266
EFHD2,2.7874086,0.35773718,0.005313144665619519,1.0,0.6795580110497238
ERH,2.7359922,0.28111035,0.006219249242629217,1.0,0.9116022099447514
MESD,2.729919,0.31431848,0.006334990709532389,1.0,0.8176795580110497
SEC61G,2.725548,0.2066169,0.006419485289603876,1.0,0.9834254143646409
BST2,2.721476,0.2289763,0.006499109514657265,1.0,0.9668508287292817
SLMAP,2.675052,0.6120628,0.007471769863379045,1.0,0.35359116022099446
MGLL,2.6538873,0.32799307,0.00795704288296486,1.0,0.6961325966850829
LAMC1,2.648021,0.23990902,0.008096452513114001,1.0,0.9171270718232044
GALNT1,2.635023,0.19827077,0.008413157822501764,1.0,0.9558011049723757
BSCL2,2.6281674,0.5097822,0.008584623186247482,1.0,0.4088397790055249
TCAF1,2.589151,0.43238732,0.009621291734830466,1.0,0.5303867403314917
SUB1,2.5800638,0.2291173,0.009878202950180154,1.0,0.9723756906077348
SNHG14,2.5784535,0.3971146,0.00992436375380493,1.0,0.6298342541436464
RBX1,2.5728633,0.23334779,0.010086102695278943,1.0,0.9171270718232044
FBXO7,2.553585,0.4653301,0.010662022359456501,1.0,0.44751381215469616
GPBP1L1,2.5517447,0.57429177,0.010718503196047065,1.0,0.3756906077348066
PLSCR3,2.5329955,0.45181838,0.011309238610375295,1.0,0.5414364640883977
IFI27,2.5321443,0.1642032,0.011336730355166257,1.0,0.994475138121547
NAA10,2.5240006,0.23342027,0.01160277379399496,1.0,0.8232044198895028
SRSF4,2.5062177,0.32003936,0.012203047232235514,1.0,0.7348066298342542
HCLS1,2.4681902,0.373347,0.013579810726371036,1.0,0.5966850828729282
FAM107A,2.453329,0.33775833,0.0141540809072413,1.0,0.574585635359116
EWSR1,2.4517186,0.46119827,0.014217577242107335,1.0,0.5193370165745856
MBTPS1,2.4424937,0.46232876,0.014586186758024486,1.0,0.4198895027624309
ARHGAP22,2.4380536,0.55934715,0.014766581872536069,1.0,0.36464088397790057
IL13RA2,2.4185684,0.2748904,0.015581717057052297,1.0,0.8784530386740331
AKAP8L,2.388754,0.5716162,0.016905626720066864,1.0,0.34806629834254144
LARP6,2.3815763,0.45968294,0.017238722533961786,1.0,0.4585635359116022
CCDC82,2.3724892,0.53447556,0.01766867836119463,1.0,0.3425414364640884
EIF4EBP1,2.3663468,0.24324985,0.01796460393009181,1.0,0.9723756906077348
ARL2,2.3379817,0.18994327,0.019388201027938687,1.0,0.8342541436464088
POLR2K,2.3114567,0.27260786,0.020807637076919728,1.0,0.7900552486187845
PITRM1,2.3092253,0.4722245,0.020931082236584082,1.0,0.3812154696132597
GADD45B,2.2948241,0.5318986,0.02174320509274207,1.0,0.35911602209944754
PTRHD1,2.294778,0.34324792,0.021745843074345232,1.0,0.5580110497237569
METTL26,2.290338,0.21695606,0.02200172223214022,1.0,0.9005524861878453
NDEL1,2.2863352,0.83286494,0.02223465239951831,1.0,0.2541436464088398
C19orf48,2.28063,0.7377982,0.022570350079856125,1.0,0.27071823204419887
CENPB,2.2798247,0.50252247,0.0226180797222825,1.0,0.35911602209944754
SERPINE1,2.2771103,0.17444396,0.022779643790422202,1.0,1.0
HEG1,2.257809,0.65619946,0.0239575708646145,1.0,0.3370165745856354
VIM,2.2457542,0.033732455,0.024719748022280694,1.0,1.0
UBE2M,2.2367134,0.25469375,0.025305081519807614,1.0,0.6961325966850829
MPC1,2.2342517,0.46655977,0.025466509917957535,1.0,0.3867403314917127
