names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PDCD6IP,3.047775,0.6093436,0.0023054243598183894,1.0,0.6962025316455697
DCTN3,2.9557483,0.5333772,0.003119115036506138,1.0,0.6835443037974683
DIP2A,2.9501262,0.754933,0.0031764413613839964,1.0,0.5569620253164557
RAB5B,2.7361,0.7897917,0.006217214224409653,1.0,0.5063291139240507
RPL14,2.70047,0.093754776,0.006924160650202075,1.0,1.0
SRP9,2.69035,0.4266536,0.007137709351042274,1.0,0.8354430379746836
AMIGO2,2.6751,1.2896078,0.007470692781309039,1.0,0.3037974683544304
AP1G1,2.6253445,0.76796323,0.008656131682400287,1.0,0.4430379746835443
VMP1,2.617052,0.41674513,0.008869283275166548,1.0,0.7974683544303798
PIGK,2.573059,0.9009474,0.010080400460824182,1.0,0.4177215189873418
FSCN1,2.4820864,0.48266152,0.013061557582959644,1.0,0.6708860759493671
CCNY,2.4807863,0.52390456,0.013109291879627925,1.0,0.6455696202531646
NOP58,2.4457889,0.6855484,0.014453564346980937,1.0,0.4810126582278481
FAM43A,2.4397802,0.44840643,0.014696201765369541,1.0,0.6835443037974683
PRPF6,2.4352825,0.43347502,0.014880167614285037,1.0,0.7974683544303798
MED4,2.4217894,0.6258425,0.015444295754016917,1.0,0.5189873417721519
MIER1,2.4169405,0.50639296,0.015651579856152377,1.0,0.5949367088607594
TSPAN3,2.3905165,0.36284387,0.016824691782920977,1.0,0.810126582278481
IRF2BP2,2.3721042,0.5749379,0.01768710402240054,1.0,0.5189873417721519
EIF4E2,2.3618088,0.43757856,0.018186024537608036,1.0,0.7088607594936709
ACER3,2.328814,0.5803237,0.01986892183912123,1.0,0.5189873417721519
SCP2,2.3175697,0.3731265,0.020472713424869275,1.0,0.7974683544303798
SP100,2.3076258,0.39538473,0.021019963483351528,1.0,0.6962025316455697
TPMT,2.3015468,1.0843285,0.02136074260405493,1.0,0.3291139240506329
ZMIZ1,2.2973301,1.094053,0.02159993814077267,1.0,0.35443037974683544
NUP155,2.2676737,1.0791172,0.02334910414815245,1.0,0.2911392405063291
DOCK6,2.2630355,0.6478617,0.02363350514928342,1.0,0.45569620253164556
ARPC2,2.2544265,0.18351161,0.024169343852768463,1.0,0.9746835443037974
EIF5A,2.2380521,0.24289224,0.025217649309577695,1.0,0.9493670886075949
MECP2,2.236682,0.64969015,0.02530714151565435,1.0,0.4430379746835443
PAWR,2.2334843,0.5355986,0.025517026203821794,1.0,0.5569620253164557
TMA7,2.2181993,0.20310462,0.026541253777679148,1.0,1.0
ATP6V1H,2.216126,0.6657171,0.0266828710728686,1.0,0.4430379746835443
SLC39A13,2.1859775,0.79126406,0.028817248772475733,1.0,0.3924050632911392
IER5,2.1810935,0.90928704,0.02917651345037318,1.0,0.31645569620253167
TASOR2,2.1574101,0.66239446,0.030973713575641874,1.0,0.4177215189873418
AK5,2.1506636,0.90053034,0.03150275133706081,1.0,0.31645569620253167
