names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MRPL47,3.7005262,0.6500277,0.000215152904554459,1.0,0.6697247706422018
TMPO,3.3789423,0.57536775,0.0007276527172412839,1.0,0.6605504587155964
FST,3.3778384,0.96883124,0.0007305798539610327,1.0,0.44954128440366975
ABRACL,3.1673276,0.42995247,0.001538468480231464,1.0,0.7522935779816514
STAT3,3.116132,0.5432985,0.0018324019568522665,1.0,0.6146788990825688
PTX3,3.0269573,0.4852441,0.002470288042830119,1.0,0.7522935779816514
TIMM17A,2.9596214,0.4842224,0.003080173546773923,1.0,0.6697247706422018
FAM177A1,2.939304,0.41173437,0.0032895003022885044,1.0,0.8073394495412844
R3HDM1,2.9057107,0.7211076,0.0036641994355972297,1.0,0.43119266055045874
ENO1,2.8756976,0.24637616,0.0040313585385738145,1.0,0.9908256880733946
SRM,2.785926,0.343432,0.005337503552914268,1.0,0.926605504587156
EBNA1BP2,2.7664444,0.49292716,0.005667126063705373,1.0,0.7431192660550459
EIF2S2,2.6802828,0.23253925,0.0073559964680591635,1.0,0.9908256880733946
EIF3I,2.676464,0.38226706,0.007440353553863409,1.0,0.8348623853211009
PDZD11,2.6520298,0.5528331,0.008000947552633876,1.0,0.5137614678899083
ARPC1A,2.6459138,0.34525248,0.008147057680886145,1.0,0.7981651376146789
CYHR1,2.6360984,0.6350348,0.008386543056986183,1.0,0.45871559633027525
PGLS,2.6349945,0.37246442,0.008413866169742719,1.0,0.8348623853211009
ALYREF,2.6184962,0.53665036,0.008831830745535833,1.0,0.5504587155963303
PET100,2.6046827,0.39170465,0.009195935176826035,1.0,0.7889908256880734
MRPL27,2.6031613,0.41317716,0.009236849832520846,1.0,0.7155963302752294
DCXR,2.5708506,0.40919685,0.01014490484337313,1.0,0.6972477064220184
LDHA,2.564317,0.271978,0.01033790776703871,1.0,0.9174311926605505
PSMA2,2.529023,0.33762473,0.011438051966948005,1.0,0.8899082568807339
DNPH1,2.5107048,0.3579284,0.0120490414564769,1.0,0.6972477064220184
LSM10,2.4833467,0.43954176,0.01301543292199539,1.0,0.5871559633027523
ANXA7,2.477738,0.448846,0.01322182357103348,1.0,0.5963302752293578
EIF2S1,2.457033,0.4468206,0.014008985987190345,1.0,0.6146788990825688
PRMT1,2.433971,0.37795335,0.01493419219676157,1.0,0.7614678899082569
EPRS,2.4265125,0.36098665,0.015244728877214564,1.0,0.7706422018348624
WDR1,2.4168162,0.32036132,0.01565691798568741,1.0,0.8165137614678899
PSMB6,2.4141014,0.30980876,0.01577407411237374,1.0,0.8623853211009175
MYL12A,2.3835511,0.13957825,0.017146506938188918,1.0,0.9908256880733946
AP3D1,2.3626072,0.58263034,0.018146884437345422,1.0,0.44036697247706424
RAB5IF,2.3341753,0.35706362,0.019586545749588524,1.0,0.7981651376146789
TXNRD1,2.3318481,0.2616422,0.01970867806709115,1.0,0.8899082568807339
CD55,2.3091443,0.17649367,0.020935574678448563,1.0,0.8990825688073395
MARCH2,2.3078914,0.83418447,0.02100518478754494,1.0,0.3302752293577982
ZNF106,2.2756703,0.3473591,0.02286575415748292,1.0,0.7431192660550459
EBAG9,2.2745068,0.54627943,0.022935538886961298,1.0,0.5045871559633027
CYCS,2.2735221,0.282713,0.022994731929208836,1.0,0.8532110091743119
PFDN4,2.2665112,0.35007256,0.023420107871393203,1.0,0.7614678899082569
PPIC,2.2592912,0.2418395,0.023865276407583437,1.0,0.8532110091743119
HCCS,2.2559497,0.7925115,0.024073777177748824,1.0,0.3302752293577982
LYAR,2.2542791,0.53093255,0.024178618580903574,1.0,0.47706422018348627
PFN1,2.249953,0.13569134,0.024451924194467994,1.0,0.9908256880733946
YWHAZ,2.2494757,0.09811125,0.024482245433040378,1.0,0.981651376146789
BOP1,2.2409134,0.61841303,0.025031692515217852,1.0,0.3944954128440367
UBE2B,2.239869,0.39026493,0.025099423178446132,1.0,0.6513761467889908
STARD7,2.239183,0.5337306,0.025144018236894338,1.0,0.48623853211009177
UNC50,2.235722,0.6751468,0.02536997923765144,1.0,0.3944954128440367
CDC42SE1,2.2304714,0.5590706,0.02571617182453213,1.0,0.42201834862385323
H2AFZ,2.2268314,0.24816702,0.025958537299615538,1.0,0.908256880733945
RAB11FIP1,2.2196116,0.3752356,0.026445144073317006,1.0,0.6880733944954128
GID8,2.2056491,0.48267215,0.027408574657474618,1.0,0.4954128440366973
NDUFA12,2.204754,0.328567,0.027471352831752567,1.0,0.7981651376146789
EIF5,2.195774,0.33907026,0.02810812331998744,1.0,0.7155963302752294
MT2A,2.1947,0.24913473,0.028185127022380876,1.0,1.0
TXNRD2,2.1926115,0.27888024,0.028335376968288136,1.0,0.8623853211009175
PSMG4,2.1887927,0.35735568,0.028611904851546015,1.0,0.6513761467889908
CLCN3,2.1663873,0.25135723,0.030281609281684156,1.0,0.8532110091743119
PSMC1,2.1648657,0.38723037,0.03039797338745578,1.0,0.6422018348623854
YWHAH,2.1617033,0.29332477,0.03064105758955007,1.0,0.8256880733944955
DEGS1,2.1562138,0.38244992,0.031066979735036616,1.0,0.5688073394495413
IDI1,2.156184,0.35766336,0.031069308342485228,1.0,0.7339449541284404
S100A10,2.1527827,0.10745016,0.03133575339958817,1.0,1.0
GLG1,2.1411474,0.2718467,0.03226215201977538,1.0,0.8073394495412844
CD70,2.141058,0.28546512,0.032269368151765634,1.0,0.9174311926605505
JPT1,2.1265883,0.20276721,0.03345430703404314,1.0,0.9357798165137615
VRK2,2.1252756,0.7473807,0.033563625322064854,1.0,0.3302752293577982
PRELID1,2.1151617,0.22115634,0.03441616394544385,1.0,0.926605504587156
SYPL1,2.1114624,0.31309363,0.03473259544421592,1.0,0.7064220183486238
ZNF280D,2.1053462,0.64230263,0.03526117754304491,1.0,0.3853211009174312
HSCB,2.070112,0.77395815,0.03844186040740108,1.0,0.29357798165137616
PYCR1,2.0652192,0.50929004,0.03890226993091385,1.0,0.44036697247706424
TSTD3,2.0523307,0.7724444,0.04013753143981383,1.0,0.29357798165137616
C19orf53,2.0369363,0.22379869,0.041656432284745006,1.0,0.926605504587156
DDX39B,2.0313275,0.38114074,0.042221794747797005,1.0,0.5871559633027523
CUEDC2,2.0305219,0.3188246,0.042303521110314074,1.0,0.6697247706422018
AXL,2.0281649,0.48344243,0.04254341539155853,1.0,0.47706422018348627
