names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CDH5,3.633229,0.59195125,0.00027989627043618914,1.0,0.8831168831168831
CDC42BPB,3.3594456,0.63521767,0.0007809902021335231,1.0,0.7662337662337663
MRPS18C,3.1544018,0.6564677,0.001608275595320955,1.0,0.6623376623376623
PRDX3,3.008557,0.48670366,0.0026249150786652503,1.0,0.8311688311688312
CMC1,2.9692214,0.8188018,0.002985554311320546,1.0,0.5324675324675324
DDX5,2.8752072,0.2851606,0.00403762311461206,1.0,0.987012987012987
DPYSL2,2.8289657,0.37987885,0.004669871539226067,1.0,0.948051948051948
SEPTIN11,2.8213477,0.46406263,0.004782234386298826,1.0,0.7922077922077922
IARS2,2.7644267,0.4482533,0.005702293202059828,1.0,0.8311688311688312
SRPK1,2.7268708,0.49975133,0.006393806427704741,1.0,0.7402597402597403
TARS,2.7008488,0.57490116,0.006916278237363561,1.0,0.7012987012987013
ARID4B,2.675681,0.6604602,0.007457758380690867,1.0,0.5714285714285714
SRSF11,2.6459212,0.39586657,0.008146879573980872,1.0,0.8441558441558441
SEMA3A,2.6266983,0.619789,0.008621773598411585,1.0,0.5714285714285714
B4GALT7,2.622035,1.0872145,0.008740645679766892,1.0,0.37662337662337664
PLXNA2,2.568745,0.53263986,0.010206755620503579,1.0,0.6363636363636364
RTL8A,2.5517292,0.67258847,0.010718981863429783,1.0,0.5584415584415584
PLAAT3,2.5498424,0.5855777,0.010777161427277698,1.0,0.5844155844155844
COL4A5,2.5398037,0.6163704,0.011091466208225485,1.0,0.5974025974025974
TIA1,2.531367,0.69397765,0.011361885819549026,1.0,0.4675324675324675
EIF3G,2.4998987,0.35835603,0.012422886797215342,1.0,0.8181818181818182
EFHD2,2.4565048,0.4639039,0.014029595723411621,1.0,0.7662337662337663
MRPL36,2.4199457,0.527613,0.015522825920607457,1.0,0.6493506493506493
MAP4K4,2.4118295,0.2718702,0.015872708684557833,1.0,0.8961038961038961
FYTTD1,2.4094088,0.541243,0.01597839361515675,1.0,0.6493506493506493
PRDX1,2.3842409,0.20141526,0.017114391472020356,1.0,1.0
SLFN5,2.3659081,0.53110135,0.017985910667815085,1.0,0.5844155844155844
AC005261.1,2.3624907,1.0703489,0.018152599135357526,1.0,0.33766233766233766
OGDH,2.3571153,0.69327885,0.01841752384801394,1.0,0.4675324675324675
ADSS,2.3406336,0.40616363,0.019251052480043763,1.0,0.8051948051948052
DPYSL3,2.321126,0.35844842,0.02028005062150896,1.0,0.8441558441558441
STK17A,2.3192036,0.40398923,0.020383999370200145,1.0,0.7402597402597403
SGMS2,2.318634,0.6142789,0.02041488811945147,1.0,0.5064935064935064
RBM43,2.3180645,0.87414616,0.020445817687833944,1.0,0.35064935064935066
ARHGAP24,2.2894082,0.67143583,0.02205564891225968,1.0,0.4675324675324675
FAM49B,2.2840686,0.53481877,0.022367507469923213,1.0,0.5454545454545454
EXT2,2.2790492,0.53765535,0.02266414307533908,1.0,0.5324675324675324
PTP4A2,2.2489688,0.39055327,0.02451447283648498,1.0,0.8441558441558441
LPIN2,2.232131,0.7256164,0.025606298113407127,1.0,0.4155844155844156
BZW1,2.2277882,0.27931368,0.025894643673688995,1.0,0.948051948051948
LARP1,2.220277,0.43125802,0.026399968976980017,1.0,0.6493506493506493
RNF19A,2.2106655,0.6229269,0.027059003509012074,1.0,0.4935064935064935
GNPAT,2.2072482,0.637613,0.02729672512189337,1.0,0.4155844155844156
RBM27,2.1817956,0.69375145,0.029124615453070626,1.0,0.4935064935064935
ROBO4,2.1536734,0.3683632,0.03126579866048789,1.0,0.6753246753246753
MYOF,2.1361592,0.35135424,0.0326664425748412,1.0,0.7662337662337663
AP2S1,2.1354115,0.22915073,0.032727403213237985,1.0,1.0
ALDH2,2.1348422,0.5908913,0.032773914776876766,1.0,0.4805194805194805
DHX37,2.1313891,1.1369519,0.033057104551008305,1.0,0.2727272727272727
CSDE1,2.1299295,0.2715525,0.0331774315889235,1.0,0.922077922077922
IDH1,2.1196773,0.49728423,0.03403326567396945,1.0,0.6103896103896104
TCHP,2.117399,0.73543924,0.0342259931703174,1.0,0.36363636363636365
SF1,2.109425,0.4041162,0.034907901578645366,1.0,0.6233766233766234
CLPB,2.103338,0.75880504,0.03543624304396887,1.0,0.38961038961038963
CAPZA2,2.0991018,0.3036152,0.03580793266485604,1.0,0.8311688311688312
MAP4K2,2.0974643,1.2490203,0.03595249943685849,1.0,0.2597402597402597
GPATCH11,2.0958624,0.8054117,0.036094404725574326,1.0,0.36363636363636365
MCFD2,2.094296,0.36656728,0.03623361799443784,1.0,0.8831168831168831
ATRX,2.0897396,0.35464054,0.036641207070851875,1.0,0.8181818181818182
E2F7,2.08084,0.6363082,0.03744855180387035,1.0,0.42857142857142855
MARCH5,2.080306,0.8036349,0.03749747020554357,1.0,0.36363636363636365
TALDO1,2.07429,0.23416543,0.03805238558956014,1.0,0.8311688311688312
TCEAL9,2.072795,0.3535155,0.03819137201325774,1.0,0.8181818181818182
C6orf62,2.071905,0.40290532,0.03827430677663427,1.0,0.6493506493506493
ICE1,2.0696979,0.7145931,0.038480645950020785,1.0,0.36363636363636365
GAS5,2.065711,0.15022498,0.03885578463680123,1.0,1.0
CFAP298,2.0652483,0.41501862,0.03889952809311398,1.0,0.6493506493506493
MRPL51,2.057274,0.27447376,0.03965985716291259,1.0,0.8831168831168831
LPP,2.0457048,0.31813592,0.04078541480469413,1.0,0.8181818181818182
NUB1,2.0452065,0.492262,0.04083450249642706,1.0,0.5454545454545454
CALM1,2.0392973,0.16262831,0.04142036872665881,1.0,0.961038961038961
TCF4,2.0376596,0.3074444,0.04158397125918715,1.0,0.7792207792207793
PABPC4,2.0227087,0.33374128,0.04310319581060567,1.0,0.7922077922077922
ARL3,2.0201457,0.4496907,0.04336828826519133,1.0,0.6493506493506493
NASP,2.01356,0.3979593,0.04405575213123973,1.0,0.7272727272727273
SRP9,2.0125277,0.29152617,0.04416434641345817,1.0,0.8441558441558441
LIPG,2.0090747,0.5446599,0.04452921868648877,1.0,0.4805194805194805
C11orf58,2.0076864,0.30714232,0.044676635093957695,1.0,0.8831168831168831
DDX54,2.0068676,0.6287681,0.044763765804078495,1.0,0.4155844155844156
MRPS16,2.0016704,0.37940443,0.04532020535131977,1.0,0.7272727272727273
ZNF521,1.9789944,0.52274716,0.047816635771352284,1.0,0.5064935064935064
DIMT1,1.9777129,0.5575797,0.04796110593931633,1.0,0.44155844155844154
CYHR1,1.975399,0.62313217,0.04822288390253379,1.0,0.44155844155844154
PSMD11,1.9751854,0.45715427,0.048247108420471994,1.0,0.5714285714285714
ANP32E,1.9739039,0.45913613,0.04839267029962915,1.0,0.5714285714285714
COX17,1.9722664,0.34198016,0.04857920264846056,1.0,0.8311688311688312
SCAF11,1.9681727,0.33959463,0.04904817655294526,1.0,0.8441558441558441
XPO1,1.9664284,0.44085023,0.04924915155123441,1.0,0.6103896103896104
STAB1,1.9657875,0.46206564,0.0493231524332426,1.0,0.5844155844155844
SYNE1,1.9607682,0.50685596,0.04990605977429738,1.0,0.4935064935064935
NREP,1.9549302,0.54887825,0.050591306582464794,1.0,0.5064935064935064
ZNRF1,1.9525452,0.653657,0.0508735142675378,1.0,0.44155844155844154
DNAJC10,1.9495549,0.35888726,0.051229188475178475,1.0,0.7792207792207793
GOT2,1.9391247,0.39049363,0.05248614920350861,1.0,0.6753246753246753
CMPK1,1.9389112,0.37130192,0.05251215604463272,1.0,0.6883116883116883
SLC20A1,1.9370601,0.41648883,0.05273800026081912,1.0,0.5584415584415584
RAB4A,1.9346038,0.495291,0.05303893096052541,1.0,0.5064935064935064
REXO2,1.9225361,0.25471458,0.054538332012304395,1.0,0.8311688311688312
PHF20L1,1.922465,0.3696526,0.05454728187783914,1.0,0.6883116883116883
TRIM33,1.921219,0.75080585,0.054704102940993544,1.0,0.35064935064935066
SLC16A1,1.9201511,0.5324589,0.05483882010174954,1.0,0.4675324675324675
LAMC1,1.914491,0.25031897,0.055557447693479194,1.0,0.935064935064935
XPOT,1.9127467,0.56530267,0.05578048689563992,1.0,0.5064935064935064
SEPTIN2,1.9100412,0.24914943,0.05612790054425171,1.0,0.8961038961038961
ZEB1,1.8938086,0.37971896,0.05825041722416013,1.0,0.6233766233766234
TNKS1BP1,1.8870094,1.0524495,0.05915905881765223,1.0,0.2727272727272727
LEPROT,1.8782524,0.3092135,0.06034665393448795,1.0,0.7402597402597403
ITGA5,1.8775048,0.21336064,0.06044894312830213,1.0,0.922077922077922
EDF1,1.8749417,0.2794574,0.060800740525829115,1.0,0.961038961038961
AK2,1.8692105,0.5220308,0.06159353880310424,1.0,0.4805194805194805
TNPO3,1.8632656,0.672077,0.062424905301380416,1.0,0.35064935064935066
