names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ZFAND6,3.0660627,0.7266,0.002168977906924389,1.0,0.7222222222222222
SRPRA,2.947092,0.751857,0.0032077773323593733,1.0,0.6666666666666666
COPS9,2.9177008,0.40096986,0.0035262258034993894,1.0,0.9259259259259259
CDH5,2.9147615,0.61427695,0.003559603132721308,1.0,0.8518518518518519
BRD7,2.8557236,0.59015733,0.004293888712577363,1.0,0.7777777777777778
ZFAND1,2.6352038,0.91653234,0.00840867708324582,1.0,0.5
WWTR1,2.6254919,0.61660314,0.008652385807735563,1.0,0.6666666666666666
EXOSC1,2.617271,1.1002598,0.00886359653021054,1.0,0.46296296296296297
FAM136A,2.5703301,0.58703756,0.010160165929104377,1.0,0.7037037037037037
CCT6A,2.5030708,0.4109849,0.012312086767251233,1.0,0.8148148148148148
CLTA,2.4957018,0.34537274,0.012570822505282296,1.0,0.9259259259259259
DIAPH2-AS1,2.4673755,1.149524,0.013610756327491369,1.0,0.37037037037037035
HSP90AB1,2.460134,0.18437283,0.013888510254016712,1.0,1.0
ANKRD1,2.4315095,0.67162824,0.015036050503157332,1.0,0.7222222222222222
POLR3G,2.4315095,1.0625544,0.015036050503157332,1.0,0.3888888888888889
SSBP1,2.376433,0.3933166,0.017480940087959387,1.0,0.8888888888888888
LIPA,2.3738346,0.9005229,0.017604436848288302,1.0,0.4444444444444444
KLHL42,2.3371594,0.8274733,0.01943089931733295,1.0,0.48148148148148145
SND1,2.330046,0.8104918,0.019803729307108487,1.0,0.5185185185185185
TRMT10C,2.3166707,0.90128356,0.02052167854512573,1.0,0.42592592592592593
PAK2,2.2949893,0.35925812,0.02173373833197599,1.0,0.8703703703703703
F2R,2.2862146,0.44454855,0.02224171277916135,1.0,0.8703703703703703
GNG11,2.2532027,0.34468615,0.024246379239313554,1.0,0.9259259259259259
CTSZ,2.2528193,0.21606249,0.024270550526155923,1.0,0.9814814814814815
TOP1MT,2.2383366,1.042719,0.02519911591624675,1.0,0.4074074074074074
TMED1,2.2155902,0.7544469,0.02671957566847869,1.0,0.5185185185185185
TAX1BP1,2.213077,0.47752947,0.026892330165980003,1.0,0.7222222222222222
RPSA,2.212353,0.09146,0.026942285504417914,1.0,1.0
HNRNPLL,2.206006,1.1695997,0.027383568112590306,1.0,0.35185185185185186
SMDT1,2.2038763,0.4548954,0.027533040341849564,1.0,0.8333333333333334
GCSH,2.1883714,0.44420058,0.028642559461302324,1.0,0.7777777777777778
LXN,2.1804485,0.34005463,0.029224229266934545,1.0,0.8518518518518519
TNFRSF10D,2.1797245,0.66818285,0.029277896078455434,1.0,0.5370370370370371
DCHS1,2.1712904,1.2399367,0.029909227992461276,1.0,0.3148148148148148
CCDC85B,2.1683939,0.26564378,0.03012873220848794,1.0,0.8703703703703703
XBP1,2.1594486,0.595483,0.030815373505429972,1.0,0.6111111111111112
PRRC2C,2.152037,0.28693634,0.03139444150873672,1.0,0.8888888888888888
PLOD2,2.1486292,0.4310848,0.03166379697510929,1.0,0.7407407407407407
TGM2,2.1477349,0.22698517,0.03173483031775094,1.0,0.9814814814814815
HLA-E,2.1275868,0.3498562,0.033371352643902896,1.0,0.9814814814814815
SURF4,2.1255422,0.67304593,0.03354139253976706,1.0,0.5185185185185185
VIM,2.1109743,0.09167792,0.034774511857947554,1.0,1.0
SMS,2.1045425,0.3405422,0.03533115975312084,1.0,0.9074074074074074
AKR7A2,2.081924,0.593955,0.03734942059425069,1.0,0.5740740740740741
SPOCK1,2.0545347,0.38686705,0.03992397268652213,1.0,0.9074074074074074
NACA,2.0480175,0.16066019,0.04055828835611346,1.0,1.0
SRSF7,2.027486,0.4703927,0.0426127171226394,1.0,0.7037037037037037
SNRPB2,2.026549,0.33136925,0.042708550614765674,1.0,0.8518518518518519
PSMB5,2.0222042,0.36165437,0.04315525394570111,1.0,0.8888888888888888
EXOC5,2.0186262,0.67027736,0.04352608606843966,1.0,0.5
MRPS25,2.0092125,0.599708,0.044514605510923885,1.0,0.5555555555555556
ZKSCAN1,2.0038455,0.43968567,0.045086626823558136,1.0,0.7037037037037037
RPL3,1.9975412,0.093488775,0.04576642798445877,1.0,1.0
PPIC,1.9922167,0.26008165,0.04634729172365954,1.0,0.8148148148148148
COX6A1,1.9739003,0.24561033,0.0483930740495357,1.0,0.9814814814814815
AGK,1.9714298,1.5184444,0.048674736641058786,1.0,0.25925925925925924
SLC25A11,1.9516653,0.59857726,0.05097796363434382,1.0,0.5185185185185185
LYPLA1,1.9456592,0.34381977,0.051695692424306945,1.0,0.8888888888888888
ATN1,1.9435719,0.6885314,0.051947087520717035,1.0,0.48148148148148145
WAC-AS1,1.9430609,0.93385446,0.052008809322991734,1.0,0.37037037037037035
PLAAT3,1.942507,0.5260328,0.05207574382228742,1.0,0.5740740740740741
ARSD,1.9408458,0.81570774,0.05227697977316556,1.0,0.4074074074074074
TRAPPC5,1.9386734,0.27285242,0.05254111529884477,1.0,0.8148148148148148
RPL19,1.9378215,0.1014832,0.05264500196843703,1.0,1.0
PISD,1.9376085,1.4700322,0.052671000447253376,1.0,0.2777777777777778
ZNF585A,1.9330508,1.1543258,0.053229945213634555,1.0,0.3148148148148148
SRC,1.9240204,0.9098206,0.054352026627695386,1.0,0.35185185185185186
RFK,1.9144363,0.43707922,0.05556443229926582,1.0,0.6296296296296297
EIF4EBP1,1.9112415,0.24102326,0.05597354174387483,1.0,0.9074074074074074
SNRNP70,1.907195,0.5706035,0.05649534538668921,1.0,0.5740740740740741
HNRNPK,1.8990592,0.24649614,0.057556703131855916,1.0,0.9259259259259259
RPS5,1.8962904,0.095686,0.05792165783420023,1.0,1.0
ATP2C1,1.8940328,0.6215938,0.05822065784810762,1.0,0.46296296296296297
ECI2,1.8841505,0.36421704,0.0595446198888509,1.0,0.8333333333333334
PRAG1,1.8824892,0.850042,0.05976961640398351,1.0,0.37037037037037035
QARS,1.8693271,0.6010729,0.061577321812472684,1.0,0.5370370370370371
CD55,1.8625543,0.2497079,0.06252499666743036,1.0,0.9444444444444444
PRKCA,1.8621284,0.72702897,0.0625849998350089,1.0,0.46296296296296297
RNF141,1.859743,0.84858716,0.0629218982227369,1.0,0.4074074074074074
RTF2,1.8493922,0.38401198,0.06440120932267014,1.0,0.7222222222222222
PRSS23,1.8482846,0.27796197,0.06456117588841996,1.0,1.0
ARHGAP1,1.839808,0.98051345,0.06579642560843674,1.0,0.3148148148148148
CAPRIN1,1.8318425,0.34986103,0.06697487818337532,1.0,0.7407407407407407
ETV1,1.8279663,0.99218166,0.06755460424819786,1.0,0.3148148148148148
RIN2,1.8130578,0.65074366,0.06982291899743683,1.0,0.42592592592592593
EDEM1,1.8113539,0.89203304,0.07008609017008952,1.0,0.3333333333333333
TANK,1.8067535,0.7033959,0.07080072055587967,1.0,0.42592592592592593
ALDH9A1,1.7941877,0.67479646,0.07278321826142027,1.0,0.4444444444444444
GHITM,1.7931228,0.40290272,0.07295329440879163,1.0,0.8148148148148148
SMAP1,1.792782,0.5013335,0.07300778741032687,1.0,0.6111111111111112
PSMB2,1.7890335,0.33170372,0.07360941139103486,1.0,0.7407407407407407
TTC39C,1.776851,0.98094773,0.07559274329523168,1.0,0.2777777777777778
ATRN,1.7765529,0.9467017,0.07564182787955598,1.0,0.3333333333333333
EIF2AK4,1.7750621,0.46644557,0.07588764110814188,1.0,0.6296296296296297
TSEN34,1.7740823,0.54282457,0.07604953010902418,1.0,0.5
RPL23,1.7653075,0.08052309,0.07751208887282453,1.0,1.0
MRPL11,1.7637315,0.3950108,0.07777719319087756,1.0,0.6481481481481481
ARIH2,1.7595997,0.58273417,0.07847570319131261,1.0,0.46296296296296297
KLF2,1.7588756,0.5175145,0.0785986466718121,1.0,0.5925925925925926
CRIPT,1.7477154,0.71069735,0.0805133205971999,1.0,0.4444444444444444
CEP57,1.7471616,0.6756498,0.08060930143360885,1.0,0.42592592592592593
EPN2,1.7446059,0.4103587,0.08105349477334908,1.0,0.6296296296296297
GSN,1.7437966,0.47294754,0.08119456953052763,1.0,0.5925925925925926
KLF3,1.7407722,0.6389936,0.08172350849500044,1.0,0.4074074074074074
NEMF,1.7394092,0.56244403,0.08196281569665936,1.0,0.5
SRSF5,1.73532,0.36371925,0.08268414924775573,1.0,0.7222222222222222
UPK3BL1,1.7338717,0.94381857,0.08294085210989541,1.0,0.3148148148148148
SNHG1,1.7299103,0.65875685,0.08364631029415828,1.0,0.3888888888888889
