names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
AHNAK2,4.424205,0.93630403,9.679816592020386e-06,0.2880907014117107,0.7236842105263158
STX8,3.7749903,0.94956166,0.0001600138831383176,1.0,0.618421052631579
PKM,3.4003043,0.36057165,0.0006731090118439943,1.0,1.0
SUPT20H,3.343399,1.0582104,0.0008275880415308464,1.0,0.47368421052631576
TSPAN3,3.1979108,0.5393196,0.0013842710494190312,1.0,0.881578947368421
ADTRP,3.096069,0.8354294,0.0019610472816986965,1.0,0.5131578947368421
TSPO,2.983226,0.20150238,0.00285227291616065,1.0,0.9736842105263158
FYTTD1,2.9438796,0.63873476,0.003241259909905015,1.0,0.6578947368421053
CCDC12,2.8874762,0.73867846,0.0038834611414432355,1.0,0.5263157894736842
DIAPH1,2.8748624,0.66640985,0.004042036926591896,1.0,0.618421052631579
NDUFA12,2.8064184,0.46861994,0.00500956063596402,1.0,0.8552631578947368
PSMA7,2.8058808,0.25199297,0.0050179246092075065,1.0,1.0
TRAPPC3,2.769258,0.55964273,0.005618413792143765,1.0,0.6710526315789473
H3F3B,2.691067,0.27652445,0.007122390087433736,1.0,0.9868421052631579
MRPL20,2.6846883,0.36622038,0.00725974552220446,1.0,0.868421052631579
CDC37,2.6549816,0.36248925,0.007931274473248793,1.0,0.868421052631579
PFN1,2.5921636,0.2067927,0.009537440600619283,1.0,1.0
FHL1,2.586896,0.50071025,0.00968448404234772,1.0,0.7631578947368421
CMSS1,2.5650368,0.57028306,0.010316484941007297,1.0,0.6973684210526315
PPM1G,2.5552182,0.40402642,0.010612125693226402,1.0,0.8947368421052632
FNTA,2.5385551,0.56116486,0.011131126867939298,1.0,0.6447368421052632
GGH,2.5149043,0.60277045,0.011906469361075363,1.0,0.5657894736842105
ARF3,2.5116076,0.5228857,0.012018266321887875,1.0,0.6447368421052632
CORO1C,2.5049424,0.63788986,0.012247136740879981,1.0,0.5394736842105263
ERCC1,2.4914684,0.46894243,0.012721623969536692,1.0,0.6973684210526315
RND3,2.4862366,0.47285643,0.012910207299980981,1.0,0.75
MSRB3,2.4798582,0.5389028,0.013143466707216897,1.0,0.618421052631579
YBX1,2.4657035,0.12781765,0.013674448149221136,1.0,0.9868421052631579
OIP5-AS1,2.4545949,0.64800155,0.014104348085673735,1.0,0.5394736842105263
POLR2H,2.4390783,0.53636324,0.014724772735057002,1.0,0.618421052631579
MRPS16,2.433775,0.46891007,0.014942284229001734,1.0,0.7368421052631579
MT2A,2.4189394,0.26464042,0.015565833226324101,1.0,0.9868421052631579
RANBP1,2.379163,0.3306844,0.017351998713950885,1.0,0.8421052631578947
CBL,2.3747911,0.7082595,0.01755887803627956,1.0,0.47368421052631576
MRPL21,2.3700612,0.54421157,0.017785146993145717,1.0,0.5789473684210527
MAP1LC3B,2.3669434,0.5101252,0.017935672046565626,1.0,0.6973684210526315
TMEM177,2.3546164,1.4701399,0.018541836145358724,1.0,0.2631578947368421
EIF4EBP1,2.3506746,0.2658195,0.01873941424973723,1.0,0.9473684210526315
RAD23B,2.3474853,0.48473582,0.01890061831413255,1.0,0.6447368421052632
TSPYL4,2.3288515,1.1252154,0.01986694207127831,1.0,0.3157894736842105
PLAT,2.3158076,0.3616119,0.02056877754807696,1.0,0.9868421052631579
FAM216A,2.3117583,0.7808816,0.020791008275129478,1.0,0.3815789473684211
MICA,2.301402,0.47220352,0.021368914145000126,1.0,0.7105263157894737
TUBB,2.2746694,0.29481697,0.022925762624127138,1.0,0.9210526315789473
TUBA1A,2.2678251,0.3005456,0.023339867981110006,1.0,0.8289473684210527
RIT1,2.266141,0.7281405,0.023442758261912267,1.0,0.39473684210526316
AL355312.4,2.2567165,0.46945664,0.02402580103716369,1.0,0.7368421052631579
ATP5MG,2.2547812,0.198438,0.024147057066949567,1.0,0.9736842105263158
HMGCS1,2.234499,0.37897113,0.025450259113576314,1.0,0.8421052631578947
JTB,2.2180152,0.3775617,0.026553803155368715,1.0,0.7763157894736842
MRPS12,2.21393,0.5004024,0.026833597573438287,1.0,0.6447368421052632
CDC23,2.2042546,0.81672114,0.02750644175606261,1.0,0.35526315789473684
FKBP1A,2.2024271,0.17105928,0.027635155613983643,1.0,1.0
LAMP1,2.200026,0.37833562,0.02780503952225933,1.0,0.7763157894736842
USP4,2.1930742,0.8171758,0.02830202983252876,1.0,0.40789473684210525
P4HA2,2.192071,0.44808778,0.028374388735643467,1.0,0.6052631578947368
URI1,2.18924,0.4770816,0.028579404033849426,1.0,0.6052631578947368
RPL36AL,2.1858356,0.19255117,0.028827629864665846,1.0,0.9605263157894737
COX16,2.1791704,0.34789798,0.029319008459808144,1.0,0.75
C9orf78,2.174942,0.47231904,0.02963446521527833,1.0,0.631578947368421
IDH3G,2.1690292,0.59250116,0.030080461751184742,1.0,0.5131578947368421
KCTD20,2.1639767,0.6490248,0.03046614537262741,1.0,0.4473684210526316
KIF2A,2.1610382,0.50783366,0.030692391291216415,1.0,0.5657894736842105
NDUFA7,2.1497502,0.3904062,0.031574972604283644,1.0,0.881578947368421
LIMA1,2.1471703,0.34657925,0.03177973443100104,1.0,0.7763157894736842
PLEKHO1,2.146991,0.46473882,0.03179399618497122,1.0,0.631578947368421
TIPRL,2.139,0.4729276,0.03243567481140439,1.0,0.5921052631578947
TMEM243,2.1273537,0.98304844,0.03339070663871678,1.0,0.3157894736842105
LDLR,2.1246662,0.36049634,0.033614483901612834,1.0,0.7894736842105263
SNRPG,2.1237702,0.29480106,0.033689360813416905,1.0,0.9342105263157895
TMED10,2.1185026,0.24663112,0.03413252834996541,1.0,0.8552631578947368
SDF2L1,2.1184666,0.42372409,0.034135560077115906,1.0,0.6578947368421053
HARS,2.1177142,0.53063786,0.03419927953518918,1.0,0.4868421052631579
SMIM26,2.1078238,0.35111004,0.03504622775160707,1.0,0.8421052631578947
ITPR3,2.0945292,0.73451716,0.03621286041703964,1.0,0.3684210526315789
LYPLA1,2.0889032,0.3123514,0.03671643554589602,1.0,0.868421052631579
VCP,2.0883298,0.32797313,0.03676808864986824,1.0,0.8289473684210527
EHMT1,2.0731719,0.61155474,0.03815628839135676,1.0,0.4342105263157895
MIR4435-2HG,2.0715234,0.63539165,0.038309903535968734,1.0,0.42105263157894735
SHARPIN,2.0669725,0.5089063,0.038736747016710725,1.0,0.5263157894736842
CDC42BPB,2.0662916,0.34985206,0.03880095169533098,1.0,0.6710526315789473
CBX3,2.0559714,0.29597,0.03978528496739143,1.0,0.8947368421052632
COMMD8,2.0534987,0.6363494,0.04002423643375859,1.0,0.42105263157894735
SNRPE,2.0525312,0.28460357,0.04011807002545271,1.0,0.9210526315789473
FAM234A,2.046905,0.4971104,0.04066739974811731,1.0,0.5131578947368421
URB1-AS1,2.0416732,1.8595964,0.04118394976220196,1.0,0.19736842105263158
LAMTOR1,2.0397382,0.36828128,0.04137640538697091,1.0,0.7631578947368421
ZDHHC3,2.0375524,0.539666,0.041594724602336056,1.0,0.4473684210526316
ESAM,2.036979,0.29815722,0.04165214985680409,1.0,0.9078947368421053
ACTR10,2.0349722,0.5129515,0.04185366710213827,1.0,0.4868421052631579
FLAD1,2.0290954,0.8361019,0.042448577804900786,1.0,0.32894736842105265
SPAG7,2.024831,0.40229908,0.04288471505337665,1.0,0.6710526315789473
