names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ZFAND1,2.9936745,0.88064003,0.002756398012702875,1.0,0.5285714285714286
PFN2,2.8492079,0.47996408,0.004382822064767105,1.0,0.8285714285714286
ECHDC2,2.8182375,1.2157333,0.004828807612621782,1.0,0.37142857142857144
CCDC25,2.7485259,0.4178932,0.0059863897120030814,1.0,0.8571428571428571
SRP72,2.621319,0.44729355,0.00875902205016227,1.0,0.8142857142857143
POLR2A,2.6188536,0.67116565,0.008822583543430637,1.0,0.5857142857142857
LRPAP1,2.5929637,0.48738423,0.009515278375824481,1.0,0.7714285714285715
SWI5,2.584969,0.56420463,0.009738774798519789,1.0,0.6857142857142857
SRI,2.5751436,0.4356726,0.010019846328547553,1.0,0.8714285714285714
ZFAND5,2.5371125,0.57944524,0.011177107229835361,1.0,0.6714285714285714
POLR2K,2.5229907,0.4131016,0.011636146793437954,1.0,0.7857142857142857
PARP4,2.49344,0.72464085,0.012651199868947747,1.0,0.5
FAM171A1,2.4663548,0.5862921,0.013649607284458187,1.0,0.5571428571428572
LAMTOR5,2.4281366,0.35306996,0.01517662253884181,1.0,0.8571428571428571
CDC42,2.4261193,0.25775266,0.01526125242578753,1.0,1.0
PRPF6,2.4165554,0.41972733,0.01566813978299953,1.0,0.8142857142857143
ATP5IF1,2.409532,0.3493036,0.01597299581372369,1.0,0.9285714285714286
CPPED1,2.4074025,0.7662469,0.016066450123384073,1.0,0.4714285714285714
IGFBP7,2.3937666,0.3117408,0.01667635860279659,1.0,0.9571428571428572
RAB1B,2.3701184,0.5312908,0.017782388306675875,1.0,0.6428571428571429
PSMA1,2.3548386,0.33892637,0.01853074896135879,1.0,0.9
C1orf52,2.346769,0.93621397,0.018936982781834404,1.0,0.37142857142857144
COX6C,2.3444157,0.14989352,0.01905692519640257,1.0,0.9714285714285714
ITSN1,2.3290238,0.620673,0.019857808928090023,1.0,0.5142857142857142
MEAF6,2.311652,0.5821294,0.02079687564603367,1.0,0.5714285714285714
PINX1,2.2962973,1.0186129,0.02165888293572214,1.0,0.34285714285714286
HYI,2.290843,0.5468832,0.021972495237854,1.0,0.6714285714285714
TCN2,2.2853138,0.6700853,0.022294428386024717,1.0,0.5142857142857142
RPS19,2.2729108,0.10957162,0.023031557510315517,1.0,1.0
SMS,2.2723503,0.2867303,0.023065355560837598,1.0,0.8857142857142857
CDK12,2.237532,0.6775551,0.025251592419624,1.0,0.45714285714285713
NAAA,2.230135,0.72702897,0.02573848715350578,1.0,0.44285714285714284
PARP1,2.2283044,0.42750156,0.02586022726298194,1.0,0.7285714285714285
DDX6,2.2190394,0.52102786,0.026484047576385582,1.0,0.5857142857142857
STAG2,2.210783,0.5700376,0.02705086414002588,1.0,0.5428571428571428
PSAP,2.2039464,0.24589229,0.02752811484655977,1.0,0.9
ITM2B,2.1934485,0.2759235,0.028275077163886855,1.0,0.9857142857142858
MMP2,2.183623,0.75399494,0.028989948368714977,1.0,0.4142857142857143
PAIP2,2.17122,0.48274192,0.029914541920704373,1.0,0.6285714285714286
ACBD3,2.1647196,0.4872844,0.030409163482760133,1.0,0.5857142857142857
CNOT7,2.1638231,0.3857743,0.03047793547254352,1.0,0.8142857142857143
PLSCR4,2.1557908,0.46667722,0.031099999251050107,1.0,0.6428571428571429
TRIM27,2.1544087,0.6693395,0.0312081437772471,1.0,0.4857142857142857
ZNF281,2.1460776,0.661049,0.03186679052678532,1.0,0.42857142857142855
NDFIP1,2.1364763,0.45288685,0.03264060650535679,1.0,0.6571428571428571
ATP6V1F,2.1328526,0.32454246,0.03293682416400739,1.0,0.9
TNIP1,2.1126041,0.7538284,0.03463467057876218,1.0,0.37142857142857144
ZFAND6,2.08522,0.45978338,0.03704933098404085,1.0,0.6571428571428571
PTEN,2.0821567,0.56114286,0.03732816585938674,1.0,0.5428571428571428
RAB11A,2.0761418,0.21023262,0.037880833242581124,1.0,0.9
SH3D19,2.0747223,0.52050364,0.038012286997722695,1.0,0.5571428571428572
ABHD13,2.0742738,1.1774043,0.03805387922535779,1.0,0.2714285714285714
TMEM50B,2.0659802,0.49018136,0.03883034415437421,1.0,0.5571428571428572
GSTP1,2.0483842,0.14945452,0.04052236376375043,1.0,0.9857142857142858
NRP1,2.041697,0.3403678,0.04118159468632213,1.0,0.8714285714285714
RNF130,2.041398,0.626945,0.04121126838340642,1.0,0.4714285714285714
SULF2,2.0058324,0.5317492,0.044874116682696426,1.0,0.5571428571428572
MARCKS,2.0053842,0.16455302,0.04492198490676312,1.0,0.9714285714285714
DBT,2.0015736,0.987207,0.045330606058185584,1.0,0.34285714285714286
UQCRB,1.9962687,0.08058467,0.04590468413105059,1.0,0.9714285714285714
PMEPA1,1.9860697,0.6072422,0.04702558162666977,1.0,0.4142857142857143
RPUSD3,1.9814372,0.7014911,0.0475422612476143,1.0,0.4
BEX4,1.9792705,0.57944876,0.04778556743487009,1.0,0.4714285714285714
SUMO2,1.9747874,0.17604104,0.04829228323631324,1.0,0.9714285714285714
MMP24OS,1.9722843,0.37255025,0.04857715788476612,1.0,0.7142857142857143
TM9SF1,1.9720975,0.69554496,0.04859847365390144,1.0,0.45714285714285713
SAFB,1.9668299,0.59316725,0.04920281988525564,1.0,0.42857142857142855
UBE2E2,1.9667178,0.6155498,0.04921574652464848,1.0,0.45714285714285713
ITFG1,1.9645137,0.6254273,0.049470550131989595,1.0,0.45714285714285713
DIPK1B,1.9608152,0.47386906,0.04990058805257871,1.0,0.5571428571428572
