names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
STMP1,3.7672884,0.5009524,0.00016503031095236863,1.0,0.9242424242424242
RPS29,2.86559,0.17399678,0.00416232795244275,1.0,1.0
SLC25A3,2.7935405,0.23112963,0.0052134506950103285,1.0,1.0
SNRNP25,2.7472007,0.89245015,0.006010631652484345,1.0,0.48484848484848486
NAXE,2.6981285,0.6885297,0.006973050711117603,1.0,0.5606060606060606
BSCL2,2.667723,0.8935319,0.0076367194078947225,1.0,0.45454545454545453
DYNC1I2,2.6642206,0.36638746,0.00771669460939917,1.0,0.8787878787878788
POP7,2.655253,0.9374785,0.007924898086342487,1.0,0.48484848484848486
SF3B5,2.6508267,0.4095095,0.008029502289421396,1.0,0.9090909090909091
PFDN2,2.646439,0.37462097,0.008134415335536174,1.0,0.9696969696969697
MTX1,2.6345463,0.6637985,0.008424981819245097,1.0,0.5757575757575758
CNTLN,2.6184583,1.1594001,0.008832809481966367,1.0,0.36363636363636365
SLC1A5,2.6052568,0.84775734,0.009180540586309403,1.0,0.5151515151515151
SEC61G,2.5706177,0.27345,0.010151735074613092,1.0,0.9848484848484849
SAT1,2.5686548,0.5216599,0.010209412639287384,1.0,0.8181818181818182
ZMAT2,2.5563002,0.588016,0.010579185192858767,1.0,0.6060606060606061
RUVBL2,2.5537214,0.7896733,0.010657851194041959,1.0,0.5151515151515151
TNFSF12,2.5521817,0.8131223,0.0107050635593949,1.0,0.45454545454545453
RPS5,2.54841,0.11282347,0.010821520647760905,1.0,1.0
GMPR2,2.5241625,0.9027052,0.0115974299639748,1.0,0.42424242424242425
MAVS,2.5170422,0.7030248,0.011834464467726357,1.0,0.5151515151515151
GNG5,2.5097294,0.28280148,0.012082367685378823,1.0,0.9242424242424242
PODXL,2.4967206,0.49294928,0.012534770080352524,1.0,0.803030303030303
TOMM20,2.4958353,0.31458235,0.012566092978726812,1.0,0.9393939393939394
SELENOM,2.4898312,0.49502397,0.012780379029759039,1.0,0.7121212121212122
ALKBH7,2.476399,0.5463705,0.013271523070106081,1.0,0.7878787878787878
TUBA1B,2.458271,0.36475194,0.013960779758654835,1.0,0.9393939393939394
PA2G4,2.4447231,0.3078246,0.0144963367530533,1.0,0.9848484848484849
PCNA,2.4252868,0.8155035,0.015296301985757646,1.0,0.4393939393939394
ATP6V0E1,2.4131246,0.39466754,0.01581641756551333,1.0,0.8939393939393939
PSMA5,2.4046571,0.46990177,0.016187647356453318,1.0,0.7272727272727273
NMT2,2.396536,0.44079342,0.01655086272181101,1.0,0.7878787878787878
XRCC6,2.3917637,0.4448882,0.01676763904489844,1.0,0.7727272727272727
CMTM3,2.3912249,0.7610035,0.016792269703302477,1.0,0.4393939393939394
CHMP2A,2.367439,0.38514653,0.01791166602899191,1.0,0.8484848484848485
FNDC3B,2.3670928,0.52391386,0.01792843964766671,1.0,0.696969696969697
PDLIM4,2.3392274,0.41719195,0.019323668570554238,1.0,0.8333333333333334
RPS2,2.320676,0.07235681,0.020304329492376316,1.0,1.0
SLC25A6,2.3186362,0.19560297,0.020414766684332827,1.0,0.9696969696969697
CNTNAP3B,2.3183668,0.7618923,0.02042939182710807,1.0,0.4393939393939394
VAMP3,2.3085139,0.48352942,0.02097057001245457,1.0,0.6363636363636364
TECPR1,2.2801096,1.1809198,0.02260118177351746,1.0,0.3181818181818182
