names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
THRAP3,3.5123978,1.0506586,0.0004440826347242052,1.0,0.9523809523809523
USP9X,3.2145884,1.1347042,0.0013063168102714967,1.0,0.8571428571428571
NUTF2,3.2031474,0.8904002,0.001359343986935878,1.0,1.0
HMGN3,3.1068234,0.92156833,0.0018910930412400682,1.0,1.0
ITM2B,2.917053,0.5386755,0.0035335574833794906,1.0,1.0
MRPS21,2.8917046,0.6597999,0.003831580469464496,1.0,1.0
NT5C,2.853682,1.079699,0.004321576940336096,1.0,0.7619047619047619
PDLIM5,2.7731152,0.9996098,0.00555224681374243,1.0,0.7142857142857143
PCNP,2.7606466,0.9003192,0.005768708086943519,1.0,0.8095238095238095
PTP4A2,2.7315986,0.74977654,0.006302788017488236,1.0,0.8571428571428571
DRAP1,2.694535,0.6246875,0.007048689871096204,1.0,1.0
UFC1,2.6912467,0.7307056,0.007118553818699082,1.0,0.9047619047619048
PDCD7,2.6902876,1.2282732,0.0071390475767054,1.0,0.7142857142857143
MDH2,2.6322603,0.68334866,0.00848188610334452,1.0,0.9047619047619048
TAF10,2.6087615,0.7624875,0.009087052381891851,1.0,0.9523809523809523
SMARCD1,2.6018422,0.95470136,0.009272451277561015,1.0,0.8571428571428571
RBM39,2.5957448,0.6552659,0.0094386124132864,1.0,0.8571428571428571
PSMD12,2.591977,0.87325233,0.00954261919547832,1.0,0.8095238095238095
HNRNPH1,2.590127,0.8471265,0.00959405009285843,1.0,0.8095238095238095
PRKAR2A,2.571013,0.84892,0.010140150900074894,1.0,0.8095238095238095
USP10,2.568478,1.1384639,0.010214613705501242,1.0,0.6666666666666666
PSMA4,2.5593665,0.621229,0.010486313059249078,1.0,1.0
VARS,2.5578592,1.2060015,0.01053187030399392,1.0,0.6190476190476191
TCTEX1D2,2.5466924,1.0875705,0.010874928342656909,1.0,0.6666666666666666
BMS1,2.5440204,1.2219781,0.010958467913097234,1.0,0.6190476190476191
BUD31,2.5296335,0.82148653,0.011418173162545052,1.0,0.8571428571428571
PLXNA2,2.5092862,0.94975805,0.01209754049402098,1.0,0.7619047619047619
CHMP4B,2.4997635,0.9769861,0.01242762478793423,1.0,0.7142857142857143
TPGS2,2.482088,0.8699852,0.013061497580426995,1.0,0.8571428571428571
TYW3,2.4469428,1.0699844,0.014407366651079735,1.0,0.6666666666666666
PTX3,2.4448192,0.79457974,0.01449248118630958,1.0,0.9047619047619048
MYL12B,2.4061115,0.38635433,0.016123346906611144,1.0,1.0
HNRNPL,2.383983,1.0849252,0.01712639634219679,1.0,0.6190476190476191
PRR13,2.3750768,0.675702,0.01754530183106182,1.0,0.8571428571428571
YIPF3,2.3669927,0.93172324,0.01793328852200095,1.0,0.6666666666666666
RAC1,2.361786,0.4229248,0.01818713933069382,1.0,1.0
UQCRC1,2.3470564,0.78431326,0.018922386008296425,1.0,0.7619047619047619
CHURC1,2.3349304,0.58917207,0.019547059244782162,1.0,0.9523809523809523
ADGRL4,2.332327,0.6612481,0.019683494831247837,1.0,0.8571428571428571
HSP90AA1,2.3110206,0.42151567,0.02083171446221957,1.0,1.0
TMA16,2.310404,0.92795646,0.02086579428341947,1.0,0.7142857142857143
PDHB,2.292797,0.9475426,0.021859683212860994,1.0,0.6666666666666666
CYTH2,2.2797804,1.5032206,0.02262071278502093,1.0,0.47619047619047616
TRAPPC1,2.273272,0.61225593,0.023009788885062676,1.0,1.0
CD81,2.2716963,0.3004721,0.02310485560633728,1.0,0.9047619047619048
CBR1,2.249842,0.8639636,0.02445898083260907,1.0,0.8095238095238095
HAX1,2.2486088,0.81639963,0.024537397874399732,1.0,0.7142857142857143
ARMC10,2.2323036,1.1483713,0.02559490522750627,1.0,0.5714285714285714
PMS2,2.228878,1.6256858,0.025822015067462706,1.0,0.42857142857142855
BCAR1,2.2253842,1.1160871,0.026055460346157917,1.0,0.5714285714285714
PPIL3,2.1965418,1.237417,0.02805318788060052,1.0,0.5238095238095238
TMEM181,2.1964734,0.9107015,0.028058086012772637,1.0,0.6666666666666666
ALDH2,2.1919518,0.9152208,0.02838299672481598,1.0,0.6666666666666666
MAP4K5,2.1842787,1.1667087,0.02894177950287904,1.0,0.5238095238095238
HNRNPA1,2.1806476,0.5064078,0.02920948778756647,1.0,0.9523809523809523
POLE4,2.175304,0.84173435,0.029607347956970044,1.0,0.6666666666666666
PTPRN2,2.1678364,0.5636725,0.03017113386967192,1.0,0.9047619047619048
SNHG25,2.1659868,0.7716121,0.030312204564922503,1.0,0.8571428571428571
CTSD,2.165096,0.82957494,0.03038032936815305,1.0,0.7142857142857143
CGGBP1,2.157286,0.8834953,0.03098338595112055,1.0,0.6666666666666666
SSR1,2.1551623,0.58167607,0.031149141359986126,1.0,0.7619047619047619
NDUFA13,2.1398847,0.40506268,0.032364087476403514,1.0,0.9523809523809523
SRPK2,2.138309,0.81960315,0.03249167512633333,1.0,0.7142857142857143
TMBIM4,2.130499,0.6254452,0.03313044483171064,1.0,0.8571428571428571
STARD13,2.123511,1.5521832,0.033711056156411054,1.0,0.42857142857142855
LRRC6,2.1203597,2.5651996,0.03397573437092073,1.0,0.3333333333333333
NOVA1,2.1071372,0.78985167,0.0351056812025083,1.0,0.7142857142857143
C12orf65,2.1039174,1.1295389,0.035385656966956835,1.0,0.5238095238095238
FEZ2,2.1022732,0.67979777,0.03552935671227081,1.0,0.8571428571428571
UGGT2,2.1013825,1.3431305,0.03560740174300523,1.0,0.47619047619047616
STOML2,2.0996013,0.62331086,0.03576393061786945,1.0,0.9523809523809523
MRPS34,2.0954907,0.64983976,0.03612739232758329,1.0,0.9047619047619048
GPATCH2L,2.0896676,1.0909947,0.036647683722492344,1.0,0.5238095238095238
SPAG9,2.0852144,0.7437042,0.0370498485045572,1.0,0.7619047619047619
ATP6V1C1,2.0822685,1.0593706,0.03731795622120457,1.0,0.5238095238095238
PSMD1,2.0715811,0.5276086,0.03830453207460255,1.0,0.8095238095238095
SCARB1,2.0715811,0.77510923,0.03830453207460255,1.0,0.8095238095238095
TPP1,2.0565774,0.8069222,0.03972688436983905,1.0,0.6666666666666666
SPTAN1,2.051782,0.7001149,0.0401908673436534,1.0,0.8095238095238095
SAR1A,2.0503433,0.88754207,0.040330955317469,1.0,0.6190476190476191
LYPLA1,2.0490415,0.5699918,0.040458058153918744,1.0,0.9523809523809523
VAPB,2.0468493,1.0111173,0.040672893754362914,1.0,0.5714285714285714
SRP68,2.0424645,1.1112168,0.04110546684871672,1.0,0.5238095238095238
AC100810.1,2.033901,0.8401332,0.04196158248432083,1.0,0.6190476190476191
OCIAD2,2.0257483,0.69563806,0.042790577932644326,1.0,0.8095238095238095
GARS-DT,2.0187604,1.2084409,0.0435121262095987,1.0,0.47619047619047616
AGFG1,2.016294,0.8019514,0.043769232145179075,1.0,0.6666666666666666
MT2A,2.0130057,0.5616442,0.04411403469660227,1.0,1.0
PPP1R2,2.0093746,0.80678844,0.04449741492637213,1.0,0.6666666666666666
SNX17,2.0066342,0.84194934,0.04478861658420095,1.0,0.7142857142857143
GLRX2,2.0035515,1.1595335,0.04511813809708465,1.0,0.47619047619047616
GNAS,2.0028663,0.28680784,0.0451916420314221,1.0,1.0
PRKCE,2.0020442,1.3165154,0.0452799799860347,1.0,0.42857142857142855
CHCHD3,1.9981391,0.92128974,0.04570157553356203,1.0,0.5714285714285714
DPYSL2,1.9918363,0.5274493,0.04638902071097371,1.0,1.0
EIF1,1.9918363,0.23439755,0.04638902071097371,1.0,1.0
SNRPA,1.9912198,1.03636,0.046456735818017805,1.0,0.5714285714285714
REX1BD,1.9902606,0.61404145,0.04656223580686331,1.0,0.8095238095238095
ATP5IF1,1.9795047,0.44907302,0.047759215878862275,1.0,0.9523809523809523
CD99,1.9790251,0.21744002,0.047813181222746894,1.0,1.0
FEM1B,1.9727907,1.51271,0.048519406836761564,1.0,0.42857142857142855
S100A13,1.971078,0.42095476,0.04871495176453152,1.0,1.0
AC118549.1,1.9620348,1.1058054,0.04975843141361161,1.0,0.47619047619047616
ADA,1.9598426,0.8360644,0.05001419994311913,1.0,0.6190476190476191
POGZ,1.9375085,1.1458507,0.05268321284504351,1.0,0.47619047619047616
RRAGB,1.930726,2.1156871,0.053516932177298755,1.0,0.3333333333333333
IMP4,1.9306576,0.8239978,0.0535254094695157,1.0,0.6190476190476191
NUDT21,1.9240122,0.81110823,0.054353053097067804,1.0,0.6190476190476191
BATF3,1.9214089,1.2490207,0.054680182436614086,1.0,0.42857142857142855
E2F7,1.9193536,1.1650716,0.05493960089853015,1.0,0.5238095238095238
PTGER4,1.9163392,1.3507683,0.05532193692825056,1.0,0.42857142857142855
PRKACA,1.9155856,1.170756,0.05541786666573552,1.0,0.47619047619047616
ZC3H7A,1.9131192,1.0193762,0.05573278824041176,1.0,0.5238095238095238
DESI1,1.9122286,0.7199767,0.05584687568983765,1.0,0.8095238095238095
NDUFB1,1.9068164,0.5832039,0.0565443666618554,1.0,1.0
MACROD1,1.9053092,0.99621457,0.05673989036350638,1.0,0.5238095238095238
IKBIP,1.9033909,0.78810126,0.05698955209369536,1.0,0.6190476190476191
ANKRD29,1.903117,1.3420837,0.05702529254817321,1.0,0.42857142857142855
HIGD2A,1.8957179,0.50669104,0.057997355467994116,1.0,0.8571428571428571
CTNNB1,1.8943478,0.79920083,0.058178869758584655,1.0,0.7142857142857143
CAND1,1.8912648,0.8590448,0.05858900309896697,1.0,0.6666666666666666
UBA52,1.8835232,0.18385984,0.05962948856925184,1.0,1.0
FUS,1.8833863,0.53858626,0.05964804140892146,1.0,0.7619047619047619
PSMG3,1.877974,1.0392423,0.06038471775998319,1.0,0.47619047619047616
ISOC2,1.8767408,0.79778713,0.06055361880805818,1.0,0.6666666666666666
CRTAP,1.8725618,0.40845138,0.06112891986740274,1.0,0.8571428571428571
KAT6A,1.866396,0.8106192,0.061985985556883116,1.0,0.6190476190476191
ZFAS1,1.8639982,0.23371333,0.062321963399371426,1.0,1.0
CLTB,1.8639296,0.5950419,0.0623315848581585,1.0,0.8095238095238095
FDX1,1.859819,0.81225485,0.0629111249354181,1.0,0.6666666666666666
EML3,1.8597506,1.4872254,0.06292082154969078,1.0,0.38095238095238093
GNG5,1.8579694,0.37527832,0.06317336751723902,1.0,0.9523809523809523
CCNQ,1.8557086,1.6069791,0.06349511250078138,1.0,0.38095238095238093
BCL7A,1.8546124,1.4076921,0.06365159673521645,1.0,0.42857142857142855
AL445524.1,1.8491317,0.9198267,0.06443880376574972,1.0,0.5238095238095238
PSMB8,1.8431028,0.60883415,0.06531399516640639,1.0,0.7619047619047619
SRGAP2C,1.8381702,1.1113317,0.06603733109494198,1.0,0.47619047619047616
REEP3,1.836389,0.6290761,0.06630015266182955,1.0,0.7619047619047619
PFKL,1.8350188,0.8408169,0.06650290895608546,1.0,0.5714285714285714
PSMC1,1.8245368,0.6247999,0.06807094918046869,1.0,0.7142857142857143
IRF3,1.8171378,0.9591648,0.06919600593617761,1.0,0.5238095238095238
CAMLG,1.8153566,0.51060504,0.06946912188233126,1.0,0.9523809523809523
EXOC1,1.8096703,0.74482816,0.07034692094150781,1.0,0.6190476190476191
SV2A,1.8072726,1.6151308,0.07071979499776837,1.0,0.38095238095238093
PDRG1,1.8057654,1.2236427,0.07095500151621952,1.0,0.42857142857142855
NSD2,1.8030934,1.1309665,0.07137353469746863,1.0,0.47619047619047616
RCAN3,1.7975442,1.7844472,0.0722492619071692,1.0,0.3333333333333333
DOCK9,1.7968591,1.5304818,0.07235798397428933,1.0,0.38095238095238093
MRPS17,1.7908988,0.7449337,0.07330952907255925,1.0,0.6190476190476191
NSRP1,1.7881585,0.68416184,0.07375044328808149,1.0,0.7619047619047619
PEBP1,1.7874049,0.43128255,0.07387207409309904,1.0,0.9523809523809523
PCNA,1.7871994,1.0451673,0.07390527457786941,1.0,0.47619047619047616
SPAG7,1.7860347,0.59932595,0.07409364114401928,1.0,0.7142857142857143
MRPS22,1.7828147,1.1050249,0.07461646224831216,1.0,0.47619047619047616
PPP4R3A,1.7816501,0.9988568,0.07480630836872658,1.0,0.47619047619047616
CRBN,1.7816501,0.9331811,0.07480630836872658,1.0,0.5238095238095238
