names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
LIMA1,4.2548375,0.7930945,2.092007665546157e-05,0.3113116607099236,0.9056603773584906
PCNP,3.2722044,0.7079482,0.0010671236322139692,1.0,0.7547169811320755
GSK3B,3.160663,0.97626483,0.0015741060444623733,1.0,0.5471698113207547
RGS12,3.0040143,1.0670253,0.0026644282916396963,1.0,0.5094339622641509
CCDC85B,2.9642823,0.46360996,0.0030338974182229374,1.0,0.9245283018867925
SLK,2.9231315,0.6689655,0.0034653012915666116,1.0,0.7358490566037735
RBPJ,2.9171546,0.91793436,0.003532407286826321,1.0,0.5849056603773585
SEC14L1,2.8799167,0.5709163,0.003977803431046856,1.0,0.8679245283018868
ATP6V0D1,2.7240422,0.8467029,0.006448828893868906,1.0,0.5660377358490566
HEXB,2.714754,0.6926729,0.0066324995514546285,1.0,0.6792452830188679
NIPSNAP2,2.7057242,0.6943767,0.006815563748627082,1.0,0.660377358490566
EMC1,2.6785052,0.8712891,0.007395158067659084,1.0,0.5094339622641509
ZRANB2,2.6735172,0.57004046,0.007506042044936287,1.0,0.8113207547169812
SASH1,2.6602302,0.63636065,0.007808724513954409,1.0,0.6792452830188679
NDUFB9,2.6558442,0.37115327,0.00791101354625723,1.0,0.9056603773584906
MVP,2.6531782,0.7580349,0.007973774112672603,1.0,0.5660377358490566
CREB1,2.5717795,1.0643604,0.010117730186762907,1.0,0.41509433962264153
TXNL4A,2.5625346,0.47998837,0.010391124784178692,1.0,0.9056603773584906
MED13L,2.5369925,0.89455634,0.011180930928158707,1.0,0.49056603773584906
CDC42BPB,2.5363905,0.5588132,0.011200172267661295,1.0,0.7358490566037735
MTPN,2.5035386,0.35097754,0.012295822438721795,1.0,0.9622641509433962
CTDNEP1,2.4911118,0.6203054,0.012734405650927729,1.0,0.7169811320754716
LINC01013,2.458432,0.972635,0.013954525723777858,1.0,0.4339622641509434
WBP2,2.422097,0.8062939,0.015431232633120294,1.0,0.5283018867924528
H2AFY,2.411046,0.52173936,0.015906842408979084,1.0,0.7358490566037735
ETFRF1,2.40967,1.1377645,0.015966955600432188,1.0,0.37735849056603776
LSM12,2.384128,0.63108695,0.01711964334865846,1.0,0.5849056603773585
DDX39B,2.373765,0.5968083,0.017607748184836833,1.0,0.660377358490566
CDK4,2.3630152,0.5596264,0.018126929458686648,1.0,0.7169811320754716
RUFY1,2.3517492,0.999123,0.01868537056593052,1.0,0.39622641509433965
VTA1,2.348782,0.86392486,0.018834921893745818,1.0,0.49056603773584906
CDK12,2.3456001,0.73296785,0.018996472693057393,1.0,0.5094339622641509
RAB3GAP2,2.3449552,0.7979817,0.019029366764101,1.0,0.4716981132075472
CCND1,2.3434072,0.38869038,0.019108515793750412,1.0,0.9056603773584906
SLBP,2.3201873,0.70338476,0.020330749698084752,1.0,0.6037735849056604
UBE2R2,2.3056962,0.54308206,0.02112760810990375,1.0,0.7169811320754716
CD81,2.2959783,0.29969472,0.021677120643612796,1.0,0.9622641509433962
AL445524.1,2.2861743,0.85638475,0.022244060430921794,1.0,0.4528301886792453
TCP1,2.2856154,0.5357349,0.022276770979854435,1.0,0.6792452830188679
SLFN5,2.2817454,0.6484164,0.022504377911901702,1.0,0.6226415094339622
DAAM1,2.2754245,0.5727995,0.022880483867729045,1.0,0.6226415094339622
