names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NDUFB9,3.408972,0.467529,0.0006520816226060928,1.0,0.9459459459459459
MRPS33,3.310721,0.6562791,0.0009305599565804534,1.0,0.6621621621621622
GLB1,3.0353632,0.9823706,0.0024024620161280084,1.0,0.4594594594594595
WTAP,3.0258832,0.75445855,0.0024790811675867597,1.0,0.581081081081081
TOMM7,2.9185514,0.2323574,0.0035166191321227974,1.0,1.0
HNRNPU,2.8529174,0.4256022,0.004331988092556717,1.0,0.9459459459459459
DHX30,2.8391876,0.7090971,0.004522855086708743,1.0,0.581081081081081
ATP5MD,2.8318143,0.29406568,0.004628472517275261,1.0,0.9864864864864865
SYF2,2.8122003,0.48423433,0.004920384542427992,1.0,0.7432432432432432
SPART,2.8067157,0.55005836,0.005004938983463187,1.0,0.6621621621621622
AHCY,2.743806,0.5342039,0.006073143916242652,1.0,0.6891891891891891
ETFA,2.6729414,0.554167,0.007518935883668284,1.0,0.6486486486486487
TAF1D,2.6613185,0.3952992,0.007783530414456849,1.0,0.8918918918918919
SNHG8,2.6156616,0.4282507,0.008905476952679278,1.0,0.8243243243243243
VAMP5,2.601859,0.26005256,0.009271990779662167,1.0,0.9864864864864865
NPM1,2.5027726,0.22621308,0.012322469326565163,1.0,1.0
BSG,2.5023005,0.3214591,0.012338917908787949,1.0,0.9594594594594594
CARM1,2.468412,0.58401597,0.0135714052418674,1.0,0.5405405405405406
PLEKHB2,2.4523938,0.6367853,0.014190923423713324,1.0,0.5135135135135135
NLRP1,2.4237359,0.7754085,0.015361778763009594,1.0,0.40540540540540543
PTPRN2,2.3969665,0.34070817,0.016531440290236676,1.0,0.8783783783783784
MTSS1,2.3883216,0.51070195,0.016925517529537568,1.0,0.6081081081081081
ZNHIT1,2.3840358,0.26154068,0.017123939929698385,1.0,0.9054054054054054
RPL22,2.3735387,0.11320311,0.017618549238329954,1.0,1.0
LAS1L,2.3648214,1.2175177,0.018038770311321728,1.0,0.3108108108108108
TECPR1,2.357884,1.1067332,0.01837944359806625,1.0,0.32432432432432434
TCF25,2.3452802,0.30685565,0.019012791742469975,1.0,0.8243243243243243
RPS7,2.3335843,0.09908156,0.01961749619214274,1.0,1.0
TPI1,2.333548,0.24696112,0.01961940002419885,1.0,0.972972972972973
RPAIN,2.317421,0.4809244,0.020480807361487666,1.0,0.6621621621621622
DDA1,2.3148422,0.7709583,0.02062157106380328,1.0,0.44594594594594594
BTG2,2.2946107,0.9022585,0.021755440166171418,1.0,0.35135135135135137
RNF11,2.2860389,0.564632,0.022251990750340775,1.0,0.5540540540540541
RPL32,2.2730355,0.10516735,0.023024042943896043,1.0,1.0
EIF2AK2,2.2707834,0.46753585,0.023160087609993236,1.0,0.6486486486486487
EPN2,2.2514966,0.4749476,0.024354110049019245,1.0,0.6756756756756757
CFL1,2.2428882,0.15184559,0.024904028693730523,1.0,1.0
ERICH1,2.231483,0.61741954,0.025649151748102398,1.0,0.5405405405405406
KCTD12,2.2307565,0.39244047,0.0256972583268688,1.0,0.7972972972972973
RPS18,2.228541,0.07576163,0.025844465693399665,1.0,1.0
ZKSCAN1,2.2277417,0.4331132,0.025897735510775954,1.0,0.7027027027027027
FUS,2.2139757,0.3923846,0.026830445838267505,1.0,0.7702702702702703
MRPL13,2.2071836,0.40626225,0.027301239172649143,1.0,0.7297297297297297
ZMYM4,2.2069292,0.6837171,0.027319000002948873,1.0,0.4864864864864865
SFPQ,2.2000644,0.38395068,0.02780232521091906,1.0,0.8108108108108109
NBDY,2.1984663,0.35006592,0.027915897595609418,1.0,0.7837837837837838
TGFB1,2.1928363,0.45289886,0.028319174011143523,1.0,0.6891891891891891
ARPC2,2.1876423,0.17401032,0.02869567066256599,1.0,0.9864864864864865
UQCR11,2.1856809,0.21264622,0.028838961240188674,1.0,1.0
IL27RA,2.17522,1.1236166,0.029613625525307538,1.0,0.28378378378378377
IMPA1,2.1610909,0.6439498,0.030688323974625197,1.0,0.5
EIF3F,2.1583304,0.2855558,0.03090215667277788,1.0,0.918918918918919
ATP5MC2,2.1567686,0.12967476,0.03102370659497779,1.0,1.0
PVR,2.1515381,0.546801,0.03143375021309638,1.0,0.5405405405405406
RPL26,2.1494315,0.08404112,0.031600215303050905,1.0,1.0
TACC1,2.142385,0.27273652,0.03216251723443848,1.0,0.9324324324324325
USP5,2.1251683,0.8830642,0.0335725725165275,1.0,0.33783783783783783
RRAS,2.1152887,0.2905044,0.03440534975451207,1.0,0.8108108108108109
IDI1,2.1025033,0.41292357,0.03550920909481406,1.0,0.7297297297297297
TMEM181,2.102467,0.6485068,0.03551238760442882,1.0,0.47297297297297297
DYSF,2.0974183,0.38744158,0.03595656872040761,1.0,0.7432432432432432
RAP1A,2.095239,0.58180183,0.03614976039662337,1.0,0.47297297297297297
ISCU,2.0921152,0.37995598,0.036428211145354876,1.0,0.7297297297297297
ZC3H18,2.0852866,0.66175014,0.037043287884757505,1.0,0.40540540540540543
LNCTAM34A,2.0746078,1.5026573,0.03802288315453601,1.0,0.22972972972972974
MMADHC,2.072029,0.44037005,0.03826272752491748,1.0,0.7162162162162162
COA8,2.07123,0.4113372,0.038337306032681547,1.0,0.6486486486486487
AZIN1,2.07054,0.59995586,0.0384018141543315,1.0,0.4864864864864865
NRIP1,2.0659633,0.61216706,0.0388319438385672,1.0,0.44594594594594594
DDX60L,2.0638204,0.59874624,0.03903475662242155,1.0,0.4189189189189189
SHISA5,2.0531416,0.4648101,0.040058844420003084,1.0,0.5945945945945946
RPL13A,2.0496547,0.07424104,0.04039813840529586,1.0,1.0
TRIB1,2.0467126,0.7096484,0.040686310108856746,1.0,0.3783783783783784
SMIM4,2.0441337,0.51674557,0.040940336230512145,1.0,0.5405405405405406
TUFM,2.0407922,0.34267226,0.04127149468555774,1.0,0.9459459459459459
LCMT1,2.0391939,0.67593867,0.0414306751453516,1.0,0.3918918918918919
AAK1,2.0284426,0.45220256,0.04251509508419874,1.0,0.6216216216216216
RFK,2.0245562,0.47578835,0.042912961082019155,1.0,0.6081081081081081
APRT,2.0202339,0.20261176,0.043359139761494865,1.0,0.972972972972973
SNHG25,2.0195436,0.4294582,0.043430739976210275,1.0,0.6756756756756757
RPS25,2.0171828,0.082630366,0.04367644389965123,1.0,1.0
FAM133B,2.01148,0.41103947,0.044274759647705726,1.0,0.6486486486486487
RBX1,2.0114439,0.29314008,0.044278592635368645,1.0,0.8918918918918919
HRAS,2.0070488,0.49568594,0.04474445572502885,1.0,0.5675675675675675
CNIH1,2.0018184,0.42667818,0.04530425249681479,1.0,0.6621621621621622
FADS1,1.9996029,0.30544272,0.04554316255394342,1.0,0.8108108108108109
ATP6V1E1,1.9995302,0.4685908,0.04555101361197081,1.0,0.6351351351351351
JCAD,1.9936824,0.74809986,0.04618677580049254,1.0,0.36486486486486486
ESYT1,1.9838028,0.76648253,0.04727783024996615,1.0,0.3918918918918919
PMPCB,1.9823862,0.54543996,0.047436030926456145,1.0,0.527027027027027
SSU72,1.9762478,0.35972208,0.048126719983253144,1.0,0.6756756756756757
RAB11A,1.9739232,0.20554517,0.04839047923007191,1.0,0.8918918918918919
IGFBP7,1.973451,0.22518173,0.04844420342044563,1.0,0.9459459459459459
NDUFV3,1.9555079,0.4276787,0.05052315392737419,1.0,0.6486486486486487
ATP5IF1,1.9476624,0.26151428,0.05145538223345018,1.0,0.9324324324324325
CCZ1,1.9427226,1.1171316,0.05204969474176865,1.0,0.28378378378378377
GAPDH,1.9422866,0.06541562,0.05210240863166271,1.0,1.0
ALDH9A1,1.94087,0.5684083,0.05227403724817376,1.0,0.4594594594594595
EEF1A1,1.9378917,0.05470446,0.052636439758871376,1.0,1.0
LPIN1,1.9281573,0.39403614,0.05383555615353779,1.0,0.6486486486486487
PECAM1,1.9226727,0.36482504,0.05452116414333134,1.0,0.8243243243243243
ARPC4,1.917188,0.3983903,0.05521404021155076,1.0,0.6486486486486487
PFKM,1.9097784,0.7958188,0.056161752875945686,1.0,0.35135135135135137
SNRPN,1.9035673,0.45866308,0.05696655902900808,1.0,0.5405405405405406
PSMB7,1.8978285,0.3620322,0.05771868720410345,1.0,0.7702702702702703
APH1B,1.8921622,0.9092811,0.05846937526849735,1.0,0.28378378378378377
TRIO,1.8821009,0.6240566,0.059822307922717394,1.0,0.4189189189189189
GRB10,1.8757083,0.66323566,0.06069534789495055,1.0,0.44594594594594594
S100A13,1.8718945,0.22407328,0.06122120547299142,1.0,0.9459459459459459
WDR83OS,1.8712406,0.26352534,0.061311730246998666,1.0,0.8783783783783784
PRKAA1,1.8676448,0.728117,0.061811599953632945,1.0,0.36486486486486486
ALG9,1.8635767,1.2249546,0.06238117080692372,1.0,0.22972972972972974
INPP5B,1.8603804,1.697374,0.06283173031428109,1.0,0.20270270270270271
SRA1,1.8593997,0.48053953,0.06297050835912937,1.0,0.5540540540540541
ZNF444,1.85831,1.2747108,0.06312500327354233,1.0,0.22972972972972974
BLCAP,1.8523169,0.51429725,0.0639803350934733,1.0,0.4864864864864865
RPS6KA3,1.8515178,0.40183806,0.06409509910720719,1.0,0.6351351351351351
RSL24D1,1.8473771,0.30528408,0.06469251088909907,1.0,0.8918918918918919
ATP5F1C,1.845452,0.2620563,0.06497181559255791,1.0,0.9324324324324325
ELK3,1.835863,0.4087655,0.06637792601586062,1.0,0.6756756756756757
