names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPS15A,4.0224996,0.18230371,5.758378918464752e-05,0.5712695779044932,1.0
RPL28,3.403195,0.14266972,0.0006660272280292507,1.0,1.0
RPS8,3.3932242,0.14641026,0.0006907508295224469,1.0,1.0
RPL39,3.1453831,0.15708768,0.0016586939273148566,1.0,1.0
EPB41L4A-AS1,3.126951,1.1170582,0.0017662931392372215,1.0,0.532258064516129
FAM133B,3.091517,0.7448333,0.0019913667446953033,1.0,0.7096774193548387
MTHFD2,3.0463104,0.75849766,0.0023166852510402643,1.0,0.6935483870967742
RPS24,3.026329,0.11351625,0.0024754278666705987,1.0,1.0
NDUFS1,2.9535537,0.6842662,0.0031413786007171746,1.0,0.6612903225806451
EIF1,2.9114857,0.25747582,0.0035971451390765653,1.0,1.0
SLC25A6,2.6968145,0.22701095,0.007000624301346305,1.0,1.0
RPL29,2.676873,0.14590874,0.00743128239808278,1.0,1.0
UBE2D3,2.6688087,0.38055912,0.0076120766136132155,1.0,0.8548387096774194
RACK1,2.6350033,0.1580758,0.008413646703157442,1.0,1.0
LRRC75A,2.632024,0.6046485,0.00848778774313139,1.0,0.7419354838709677
ZFAND6,2.5935707,0.5466064,0.009498501485206388,1.0,0.7258064516129032
ARPC5L,2.564691,0.5335306,0.010326772882349068,1.0,0.7258064516129032
ATP6V0E1,2.553886,0.3784503,0.010652814904748528,1.0,0.8387096774193549
SENP6,2.5386317,0.58632946,0.011128689617391208,1.0,0.6129032258064516
LINC00662,2.5331895,1.0564462,0.011302983392055823,1.0,0.45161290322580644
RPL18,2.519723,0.11434226,0.011744725509798196,1.0,1.0
DDR2,2.5112615,0.549326,0.012030051795252883,1.0,0.7096774193548387
RPL36,2.4859173,0.1398216,0.012921796453638569,1.0,1.0
UFC1,2.4844475,0.41382924,0.012975261513350562,1.0,0.7903225806451613
CNIH1,2.4759068,0.52875865,0.01328982633704293,1.0,0.6451612903225806
FTH1,2.473563,0.19001235,0.013377319271724699,1.0,1.0
RPL18A,2.4556472,0.09647159,0.014063109464829963,1.0,1.0
EIF3E,2.4446833,0.2135343,0.014497935800832086,1.0,1.0
MRPS24,2.4430149,0.40136576,0.01456513402065733,1.0,0.7419354838709677
MIEF1,2.4328852,0.93815863,0.014979048885715603,1.0,0.4032258064516129
CCDC117,2.414731,1.036835,0.015746828887344737,1.0,0.3709677419354839
RPL24,2.4008672,0.08620405,0.016356267211046757,1.0,1.0
YBX3,2.396736,0.22651313,0.016541839704372507,1.0,0.9838709677419355
HDGF,2.3813627,0.4747055,0.017248725266701667,1.0,0.7258064516129032
RPL10A,2.3790586,0.1258529,0.0173569184967126,1.0,1.0
DHX29,2.3364341,0.67577064,0.01946862301643057,1.0,0.532258064516129
ESYT2,2.3246758,0.88546777,0.02008930425101561,1.0,0.41935483870967744
PXDC1,2.322213,1.0462701,0.020221477651737773,1.0,0.3548387096774194
FAU,2.3193924,0.13695593,0.020373768906421223,1.0,1.0
CSNK2A1,2.3021123,0.39727625,0.021328841892430506,1.0,0.7741935483870968
PAPPA2,2.2982988,0.93197984,0.02154479343943704,1.0,0.4032258064516129
FTL,2.2963521,0.12720531,0.021655750661942492,1.0,1.0
SEC11A,2.2778008,0.22824854,0.02273844314842494,1.0,0.9354838709677419
TIMM13,2.271445,0.37402996,0.023120054243809505,1.0,0.967741935483871
XPA,2.2637782,0.9239877,0.023587762701042854,1.0,0.3870967741935484
DDIT4,2.2565086,0.59633577,0.02403879867515559,1.0,0.6129032258064516
