names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ZC3H13,3.2445593,0.54686165,0.0011763250539328382,1.0,0.7358490566037735
TPPP3,2.9717813,0.604317,0.002960776393262485,1.0,0.6698113207547169
DDX1,2.765185,0.5278864,0.005689049834419092,1.0,0.6132075471698113
LXN,2.720156,0.34856752,0.006525115423798881,1.0,0.9056603773584906
RPL34,2.6627495,0.09186868,0.007750507136124552,1.0,1.0
SRSF4,2.639327,0.40443522,0.008307078948078105,1.0,0.7075471698113207
CASP4,2.6088233,0.5758091,0.009085412266129581,1.0,0.5283018867924528
SPTAN1,2.6011672,0.4819705,0.009290716317718327,1.0,0.6886792452830188
SPINDOC,2.5404928,1.4297125,0.011069641845540013,1.0,0.2358490566037736
SSU72,2.5119257,0.4240643,0.012007436870269098,1.0,0.660377358490566
EIF3M,2.486052,0.32893014,0.012916908465297253,1.0,0.7735849056603774
TLN1,2.436877,0.30760476,0.014814721966072418,1.0,0.8679245283018868
CCNI,2.410761,0.17333722,0.015919271178623365,1.0,0.9716981132075472
RSF1,2.4002302,0.43075833,0.016384769600166434,1.0,0.6698113207547169
TRADD,2.3840704,0.98931706,0.01712232743940843,1.0,0.3018867924528302
ST13,2.3652477,0.15504688,0.01801801755471002,1.0,0.9150943396226415
RAB5B,2.3277535,0.61577654,0.019925195554580912,1.0,0.46226415094339623
AP1B1,2.250314,0.708016,0.024429016626015536,1.0,0.36792452830188677
TJP1,2.249618,0.37640637,0.024473202686008045,1.0,0.6792452830188679
MAT2A,2.2304323,0.44947663,0.025718765786365366,1.0,0.5943396226415094
BCL2L13,2.204286,0.70260453,0.027504227219833505,1.0,0.37735849056603776
WSB1,2.180803,0.32375067,0.029197981254033712,1.0,0.7264150943396226
PIAS2,2.1765363,0.7324253,0.029515186996140457,1.0,0.33962264150943394
BCAP29,2.120764,0.32196167,0.033941660363762574,1.0,0.6981132075471698
ETS2,2.1082056,0.65325665,0.03501321627508345,1.0,0.4056603773584906
MIB2,2.104695,1.2238088,0.03531785119725912,1.0,0.22641509433962265
FAM98B,2.089171,0.6908381,0.03669233629742214,1.0,0.33962264150943394
EPHB4,2.0713167,0.64019024,0.03832921794701738,1.0,0.37735849056603776
KCTD12,2.070076,0.29129884,0.03844523874338033,1.0,0.7830188679245284
CLEC14A,2.062904,0.35446227,0.0391217611595102,1.0,0.6981132075471698
COX6A1,2.0529478,0.17544092,0.04007763923362448,1.0,0.9622641509433962
TRIR,2.0488322,0.2646685,0.040478522732505504,1.0,0.8490566037735849
LPP,2.0402985,0.25824103,0.0413206083120263,1.0,0.7264150943396226
UQCRQ,2.0396025,0.15002824,0.041389938748873895,1.0,0.9716981132075472
CIAO2A,2.0335197,0.56894135,0.042000029522996744,1.0,0.41509433962264153
SGMS2,2.020689,0.42930686,0.04331197619364595,1.0,0.5
LTBP3,2.0085843,0.61460996,0.04458123899220733,1.0,0.3867924528301887
RAB14,2.0056791,0.30530956,0.04489048868480079,1.0,0.7264150943396226
FKBP5,2.0039542,0.53349113,0.04507496023646357,1.0,0.4811320754716981
SRFBP1,1.977657,0.747,0.04796742336001516,1.0,0.330188679245283
RIF1,1.9727848,0.39148954,0.048520085670444996,1.0,0.5283018867924528
CELF1,1.971544,0.36854813,0.04866167695384641,1.0,0.5660377358490566
CCDC50,1.9623445,0.20825697,0.04972238455602044,1.0,0.7735849056603774
TGFBR2,1.9508754,0.30521128,0.051071870579881815,1.0,0.6886792452830188
ILF3,1.9486663,0.31690255,0.051335289467149756,1.0,0.7264150943396226
MORC2,1.9231255,1.1606193,0.054464291429154335,1.0,0.20754716981132076
ERGIC3,1.9195243,0.19027348,0.054918006254016806,1.0,0.839622641509434
TOR1AIP2,1.9142588,0.3881763,0.05558709073799827,1.0,0.5754716981132075
NOVA1,1.904333,0.38163096,0.05686682488052254,1.0,0.5566037735849056
ERP29,1.8845117,0.26876795,0.059495797052738254,1.0,0.8207547169811321
MRPL17,1.8749793,0.3197049,0.06079557583894095,1.0,0.7264150943396226
MINDY2,1.8518595,0.4882997,0.06404601600204271,1.0,0.39622641509433965
PXDN,1.8473504,0.26623502,0.06469637066988791,1.0,0.7547169811320755
SCARB1,1.846715,0.3477627,0.06478846803119061,1.0,0.5943396226415094
AP001528.1,1.8402995,0.76964825,0.06572428476534924,1.0,0.3018867924528302
SDCCAG8,1.8232319,0.32766637,0.06826827409608084,1.0,0.6226415094339622
TNPO1,1.822899,0.24875726,0.06831868462603337,1.0,0.7924528301886793
AHNAK,1.8204175,0.17306621,0.06869543732576104,1.0,0.9339622641509434
TNRC6B,1.8153336,0.42122385,0.06947265406719781,1.0,0.5471698113207547
MED28,1.8120048,0.41213137,0.06998544694643133,1.0,0.46226415094339623
TNPO2,1.8017159,0.7944092,0.07159011476686376,1.0,0.2641509433962264
DSTN,1.7980542,0.08947511,0.07216841161052916,1.0,1.0
MRPL3,1.7902164,0.30286133,0.07341911518672044,1.0,0.5754716981132075
DHX40,1.7888244,0.46355838,0.07364309108865112,1.0,0.41509433962264153
MIPOL1,1.7879167,0.55759114,0.07378946311853035,1.0,0.36792452830188677
TNPO3,1.7834681,0.63893753,0.07451012812655146,1.0,0.330188679245283
PSMB8,1.7808657,0.26720735,0.07493440113311557,1.0,0.660377358490566
TCP1,1.7804723,0.29948777,0.07499870675549379,1.0,0.6226415094339622
DAXX,1.7720293,0.6681545,0.07638970017578427,1.0,0.3018867924528302
ZNF346,1.7679743,0.8770874,0.07706521617834351,1.0,0.25471698113207547
HCCS,1.7594707,0.65121734,0.07849759412863824,1.0,0.3018867924528302
TMEM156,1.7540841,0.542152,0.07941609356837903,1.0,0.32075471698113206
SOCS4,1.7493633,0.5461361,0.08022823831820117,1.0,0.36792452830188677
WDR75,1.7444307,0.66933244,0.08108402092873335,1.0,0.32075471698113206
PCAT19,1.7436136,0.2875471,0.0812264891500197,1.0,0.6509433962264151
MOB4,1.7387415,0.46199208,0.08208024511944577,1.0,0.41509433962264153
POLR2M,1.7352312,0.8547171,0.08269987302986806,1.0,0.2358490566037736
MARCKS,1.7221581,0.1274408,0.08504087857440855,1.0,0.9811320754716981
NUDT5,1.7170136,0.31894305,0.08597667825622461,1.0,0.5849056603773585
CS,1.7079352,0.3821706,0.08764837343385448,1.0,0.5377358490566038
GOT2,1.7055445,0.29603934,0.08809292076677049,1.0,0.6415094339622641
FAM114A1,1.7048787,0.29999626,0.08821704187984165,1.0,0.6132075471698113
SLK,1.7038498,0.32251814,0.08840914271879037,1.0,0.6415094339622641
ZNF106,1.7023671,0.30513442,0.08868658695148617,1.0,0.6886792452830188
USP22,1.7013079,0.29847223,0.08888519066499306,1.0,0.5754716981132075
ENPP1,1.6932583,0.9002759,0.09040631512575328,1.0,0.22641509433962265
NUFIP1,1.6876901,0.96173036,0.09147072442484964,1.0,0.2169811320754717
SUGP2,1.6846943,0.45060194,0.09204757723047863,1.0,0.46226415094339623
SOX7,1.6829693,0.3485068,0.09238102805408915,1.0,0.5
H1FX,1.6826969,0.2781126,0.0924337667534043,1.0,0.6226415094339622
IVD,1.6818496,0.52136296,0.09259799734074384,1.0,0.42452830188679247
C1orf43,1.6816076,0.31913352,0.09264496337396436,1.0,0.6132075471698113
SRRM1,1.6799432,0.17682286,0.09296837281207615,1.0,0.839622641509434
POLR2H,1.6746473,0.36066914,0.09400343523322924,1.0,0.5849056603773585
COX20,1.6704108,0.3409377,0.09483812127916086,1.0,0.5
CIRBP,1.67032,0.23350272,0.0948560721872392,1.0,0.660377358490566
