names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ABCF2,3.338067,0.881524,0.0008436339440718562,1.0,0.44545454545454544
ASPH,3.291207,0.35061917,0.0009975841515773671,1.0,0.9181818181818182
ST13,2.9443016,0.26373234,0.003236843118144852,1.0,0.9636363636363636
HUWE1,2.9180803,0.48476115,0.0035219357353760785,1.0,0.6727272727272727
EEF2,2.8910573,0.17915252,0.003839481743296521,1.0,1.0
MRPL17,2.7967732,0.41628063,0.005161573409793346,1.0,0.7454545454545455
NDUFV2,2.7925267,0.36248037,0.005229813148588185,1.0,0.7818181818181819
ZNHIT6,2.775452,0.7088956,0.005512507323458296,1.0,0.43636363636363634
CIRBP,2.7168622,0.46069366,0.006590405860908956,1.0,0.6636363636363637
GOLM1,2.6676266,0.47077596,0.007638910505369461,1.0,0.6181818181818182
ARL6IP4,2.6649244,0.2734733,0.007700565906736823,1.0,0.9272727272727272
GLO1,2.659015,0.32637814,0.007836951285699202,1.0,0.8090909090909091
MTRNR2L12,2.5920806,0.3924983,0.009539740146624315,1.0,0.7636363636363637
FCF1,2.525859,0.91362655,0.011541573056086388,1.0,0.33636363636363636
RAC2,2.5195935,0.37025318,0.011749046794015472,1.0,0.7818181818181819
IFT20,2.5112488,0.5688174,0.01203048423635975,1.0,0.4818181818181818
CNRIP1,2.5098236,0.5491297,0.012079152020557002,1.0,0.5181818181818182
PVR,2.4713082,0.62190115,0.013461976637154573,1.0,0.5
TMEM222,2.4291105,1.4854252,0.01513591805373412,1.0,0.23636363636363636
ZFYVE21,2.4287245,0.48119733,0.015152042574386989,1.0,0.5636363636363636
TRAK2,2.403899,0.8723305,0.016221261503956474,1.0,0.33636363636363636
CAVIN2,2.3940694,0.30057126,0.016662588797982,1.0,0.8909090909090909
RND3,2.342013,0.42395592,0.01918004987871658,1.0,0.6818181818181818
RAB29,2.3415377,0.50081635,0.019204480678891692,1.0,0.5363636363636364
FSTL1,2.3375585,0.20945796,0.019410158650200977,1.0,0.9181818181818182
SNAPC5,2.3003795,0.6689279,0.02142672745441386,1.0,0.35454545454545455
FASN,2.3002014,0.37441415,0.02143681501701961,1.0,0.6727272727272727
PCNP,2.2966378,0.36735687,0.021639436470697573,1.0,0.6363636363636364
VRK2,2.278464,0.87198853,0.022698942031137107,1.0,0.32727272727272727
ABCE1,2.2776623,0.44806898,0.022746705583856813,1.0,0.6363636363636364
ARF3,2.266378,0.43481275,0.023428254121388367,1.0,0.6181818181818182
SNX5,2.252035,0.39898136,0.024320067478521442,1.0,0.6545454545454545
ETS2,2.216311,0.585451,0.026670215237271384,1.0,0.41818181818181815
GADD45B,2.206244,0.71751565,0.027366914795139544,1.0,0.36363636363636365
MYL6B,2.1943955,0.3555964,0.02820699061883743,1.0,0.6818181818181818
OXLD1,2.1845365,0.5361326,0.028922848389793476,1.0,0.5181818181818182
FRMD4A,2.170045,0.4690097,0.030003438403159183,1.0,0.5909090909090909
ATF6,2.1672535,0.4846093,0.030215523576349972,1.0,0.4909090909090909
ZNF827,2.1636307,0.60695493,0.030492703003512252,1.0,0.42727272727272725
PGD,2.1467338,0.24133359,0.031814477341210956,1.0,0.9818181818181818
TM9SF2,2.138924,0.4062689,0.032441835278625854,1.0,0.6090909090909091
ADAM23,2.1295104,0.8011264,0.033212062403283345,1.0,0.38181818181818183
POLR2J3,2.1077433,0.46515828,0.035053195681918704,1.0,0.5454545454545454
FAM241A,2.0743356,0.54893845,0.038048148813247605,1.0,0.4909090909090909
DENND10,2.0716035,0.6616738,0.03830241961452499,1.0,0.4090909090909091
MT-ATP8,2.0550334,0.33021462,0.039875775870028975,1.0,0.7454545454545455
CES2,2.0512621,0.6261904,0.04024143186053502,1.0,0.38181818181818183
PRDX6,2.0488863,0.1930602,0.040473223071324615,1.0,0.9363636363636364
SEC31A,2.0475204,0.30555636,0.04060701487156943,1.0,0.7909090909090909
GLS,2.0444322,0.32147163,0.04091088324307328,1.0,0.7454545454545455
KDELR2,2.0353155,0.20805004,0.04181914084490714,1.0,0.8
MYLK,2.0175872,0.8585628,0.043634279614695015,1.0,0.3
ERLIN1,2.0129545,0.6618277,0.044119407370614976,1.0,0.34545454545454546
ACTB,1.9992352,0.07504189,0.04558291617375923,1.0,1.0
TRAM1,1.9878618,0.21075647,0.0468269882153652,1.0,0.7909090909090909
ZYG11B,1.9844763,0.46490493,0.047202758479911275,1.0,0.44545454545454544
CDH2,1.9781215,0.47088316,0.047915002104904236,1.0,0.5181818181818182
TIMP2,1.9683516,0.32685864,0.049027596486528054,1.0,0.6363636363636364
ATRX,1.9630954,0.22636782,0.0496350832334968,1.0,0.7454545454545455
APLN,1.9605119,0.3386405,0.04993598500533199,1.0,0.9272727272727272
BPTF,1.9388638,0.31555954,0.05251793170180768,1.0,0.6818181818181818
CALM2,1.923511,0.06971324,0.054415899710069264,1.0,0.990909090909091
PREPL,1.9213135,0.41164362,0.054692187465850556,1.0,0.5181818181818182
PLAC9,1.9185519,0.38345876,0.055041072116473216,1.0,0.509090909090909
ISCA1,1.9101777,0.5809922,0.05611034104586717,1.0,0.4
DSTN,1.8945874,0.07250764,0.05814708343773137,1.0,1.0
GTF3C6,1.8886483,0.28302288,0.05893897459421393,1.0,0.7363636363636363
SMIM7,1.8774827,0.46343592,0.06045196959485914,1.0,0.4636363636363636
MRTO4,1.8761166,0.37420145,0.06063926084871285,1.0,0.5
TNRC6A,1.8725235,0.42604664,0.06113421535059906,1.0,0.5363636363636364
RABGAP1L,1.8701181,0.7220026,0.061467414645639804,1.0,0.2727272727272727
EXOC6B,1.8686037,0.5366709,0.061677977167003,1.0,0.37272727272727274
ERP44,1.8680692,0.54224145,0.061752435760533624,1.0,0.4090909090909091
