names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TMSB4X,2.9000227,0.1454793,0.003731357160588932,1.0,1.0
BRD2,2.777512,0.71237135,0.005477680956602159,1.0,0.5421686746987951
PRSS3,2.7720976,0.39084685,0.005569633558119241,1.0,0.8554216867469879
ANAPC11,2.718947,0.34432676,0.006549013133530216,1.0,0.9879518072289156
ESRRA,2.6597304,1.2980499,0.00782031894347684,1.0,0.3132530120481928
TM9SF4,2.6551728,0.60120547,0.007926779079143041,1.0,0.5783132530120482
MPV17,2.643453,0.54319054,0.008206518015562773,1.0,0.6265060240963856
HECW2,2.6287858,0.965963,0.008569028961962202,1.0,0.37349397590361444
PCMT1,2.5837226,0.49251187,0.009774037949229836,1.0,0.6626506024096386
VBP1,2.5793018,0.6324447,0.009900021986250437,1.0,0.5662650602409639
KIAA2026,2.5689185,0.7955243,0.010201644815938335,1.0,0.40963855421686746
CPD,2.5417092,0.47782058,0.011031192485246158,1.0,0.6867469879518072
ERH,2.4951723,0.34705397,0.012589599476425828,1.0,0.9156626506024096
MAPRE2,2.4920197,0.7024774,0.012701904814328552,1.0,0.4819277108433735
ACSL3,2.4889696,0.31469443,0.012811390921203694,1.0,0.8433734939759037
BAZ2B,2.4785862,0.69928026,0.013190422894298469,1.0,0.4819277108433735
MPC1,2.463131,0.80230397,0.013772957095363839,1.0,0.42168674698795183
KDM5B,2.4476073,0.44771016,0.014380829287772661,1.0,0.6867469879518072
TAF1B,2.412516,0.7951558,0.015842834691593935,1.0,0.39759036144578314
RBM27,2.4013789,0.64153373,0.016333416831186606,1.0,0.5060240963855421
PDCD6,2.387363,0.44778004,0.016969728713213113,1.0,0.7710843373493976
CD55,2.386095,0.28618598,0.017028351386863278,1.0,0.927710843373494
LSM5,2.3758829,0.38079897,0.01750701613732384,1.0,0.7108433734939759
MORF4L1,2.3674529,0.25803664,0.01791100280354666,1.0,0.9879518072289156
KLHL4,2.3669732,0.775414,0.0179342375699448,1.0,0.42168674698795183
SH2B3,2.3418198,0.61294687,0.019189975107319214,1.0,0.5060240963855421
SNRPG,2.3344522,0.25205255,0.019572062421558435,1.0,0.891566265060241
TRAPPC3,2.327564,0.4770524,0.019935263009131867,1.0,0.6626506024096386
TMEM134,2.3151245,0.59322596,0.020606117566587,1.0,0.5421686746987951
ADAMTS9,2.3088534,0.975735,0.020951719536871766,1.0,0.3253012048192771
ANP32E,2.304604,0.4754806,0.021188759103264704,1.0,0.6024096385542169
METTL5,2.2890117,0.52991813,0.022078667327200777,1.0,0.6265060240963856
RNF145,2.28699,0.5631728,0.02219641042428949,1.0,0.5542168674698795
SNRPC,2.2824323,0.52119094,0.022463836015814344,1.0,0.5783132530120482
TLN1,2.259678,0.27678338,0.023841255884065757,1.0,0.891566265060241
RHOT1,2.2588897,0.8652984,0.02389025262721299,1.0,0.3614457831325301
CDK11B,2.2536466,1.2148226,0.024218415735249518,1.0,0.27710843373493976
SFPQ,2.2415497,0.3460809,0.024990493389760473,1.0,0.7951807228915663
UBE2F,2.2213655,0.5213022,0.026326223510357284,1.0,0.5301204819277109
LINC00607,2.216602,0.6000964,0.02665029826295352,1.0,0.4578313253012048
SPOCD1,2.207041,0.71229225,0.02731119012761347,1.0,0.39759036144578314
FGFR1,2.2056017,0.45443934,0.02741189394923053,1.0,0.6746987951807228
USP13,2.1731837,1.0374113,0.029766501632093885,1.0,0.2891566265060241
CCPG1,2.1723611,0.36349657,0.029828432885735553,1.0,0.6867469879518072
LTBP1,2.162252,0.21399474,0.030598766161867453,1.0,0.963855421686747
SVBP,2.15461,0.7136864,0.03119236845957836,1.0,0.39759036144578314
WASHC5,2.144295,1.071829,0.03200925004682177,1.0,0.30120481927710846
