names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ZNF10,6.457745,1.8419794,1.0627441219377678e-10,3.1629390557111843e-06,0.7397260273972602
LTBP1,4.092478,0.40353397,4.267883517793947e-05,0.4234024975219448,0.9726027397260274
PSMB7,3.693134,0.6606829,0.0002215072699996005,1.0,0.8356164383561644
NFE4,3.587181,0.856401,0.00033427212046131924,1.0,0.7123287671232876
TRIM24,3.4871898,1.1816472,0.00048812486281412407,1.0,0.5342465753424658
IFITM3,3.3983898,0.2518406,0.0006778375755899185,1.0,0.9726027397260274
CLU,3.3914044,0.58545095,0.0006953543417805222,1.0,0.8356164383561644
RTN4,3.3026044,0.34829786,0.0009579142537367119,1.0,1.0
SMURF2,3.199943,0.46477395,0.0013745468528336975,1.0,0.863013698630137
COL6A2,3.169258,0.7969667,0.0015282856929736254,1.0,0.6164383561643836
PCMT1,3.1361594,0.61370033,0.0017117616074633466,1.0,0.7397260273972602
CYTOR,3.0807142,0.45020872,0.0020650471948440332,1.0,0.8767123287671232
SMARCA4,2.9928286,0.5882119,0.0027640488746730448,1.0,0.684931506849315
PHF3,2.9852579,0.7133025,0.002833392521330975,1.0,0.6164383561643836
HSP90AA1,2.9155858,0.3223567,0.0035502139760681013,1.0,0.9863013698630136
PTPN9,2.864566,1.4353241,0.0041758094901917795,1.0,0.3287671232876712
SNX5,2.823604,0.5463909,0.004748700917976911,1.0,0.7123287671232876
IL13RA1,2.7611735,0.6591801,0.005759407990425126,1.0,0.589041095890411
BCAT1,2.7263558,0.50954044,0.006403795008594517,1.0,0.684931506849315
FKBP1A,2.7223692,0.1743971,0.006481568725813698,1.0,1.0
CCN2,2.6966217,0.45935234,0.007004681785601665,1.0,0.9041095890410958
PHF19,2.6945734,0.99455315,0.007047878156181514,1.0,0.4246575342465753
EMP1,2.6595364,0.49089038,0.007824830082249582,1.0,0.8082191780821918
PDGFB,2.65544,0.46554205,0.00792050040565485,1.0,0.7671232876712328
UBE2A,2.648162,0.7249225,0.008093073439315016,1.0,0.5342465753424658
NSA2,2.6198177,0.27636954,0.008797678389336993,1.0,0.9726027397260274
H3F3B,2.6059198,0.21882363,0.009162790075991863,1.0,0.9452054794520548
FKBP3,2.6023722,0.4207304,0.009258130363303772,1.0,0.7397260273972602
AHNAK2,2.594509,0.6082311,0.009472613861458088,1.0,0.5753424657534246
CKAP5,2.5936677,0.80057657,0.009495819002698474,1.0,0.4657534246575342
ABRACL,2.5756006,0.46662626,0.010006616167204347,1.0,0.7808219178082192
FTH1,2.5689442,0.18141595,0.010200886587115337,1.0,1.0
PRKAR2A,2.5609713,0.497556,0.010437998545715744,1.0,0.6712328767123288
POLK,2.5471466,0.74646145,0.01086078044363793,1.0,0.4657534246575342
GADD45GIP1,2.5469272,0.28842697,0.010867612241496976,1.0,0.958904109589041
COMMD8,2.512731,0.82335156,0.011980060684971747,1.0,0.4383561643835616
COX6A1,2.4977727,0.2618286,0.012497632158091274,1.0,0.9726027397260274
GNG11,2.4953587,0.29886428,0.01258298233967965,1.0,0.9726027397260274
PKN1,2.4915552,0.5194978,0.012718521001097487,1.0,0.6301369863013698
SRGN,2.4914088,0.22294044,0.012723759734576505,1.0,0.9863013698630136
SLC12A8,2.439731,1.9244523,0.014698209040719607,1.0,0.2465753424657534
KANSL1,2.4321237,0.7999924,0.015010584559873398,1.0,0.4657534246575342
PLP2,2.4049497,0.4173333,0.016174694792847083,1.0,0.863013698630137
CD99,2.404584,0.11581981,0.016190889108143817,1.0,1.0
LRRC38,2.397891,0.86142975,0.01648977180264302,1.0,0.4657534246575342
PRSS23,2.3963184,0.22515455,0.016560700277752423,1.0,0.9726027397260274
VAMP3,2.3958428,0.50320214,0.01658219645268858,1.0,0.684931506849315
NDUFA2,2.3940873,0.39985833,0.016661779364710895,1.0,0.7945205479452054
CCDC85B,2.3901374,0.33747616,0.0168420681921639,1.0,0.9178082191780822
HOXB8,2.389918,1.1402,0.01685213425804535,1.0,0.3287671232876712
TALDO1,2.3868825,0.3521373,0.016991924267112078,1.0,0.9178082191780822
UBR4,2.3801894,1.020563,0.017303736059424476,1.0,0.3424657534246575
HCLS1,2.3680837,0.5068969,0.01788048730189695,1.0,0.6575342465753424
MTCH1,2.3678277,0.4419879,0.017892864175402548,1.0,0.7397260273972602
LATS2,2.354954,0.5652853,0.018525001187357646,1.0,0.547945205479452
ANXA11,2.343726,0.46151346,0.019092193907670342,1.0,0.726027397260274
RFC1,2.3428483,0.58418053,0.019137167864273105,1.0,0.5616438356164384
FAM107B,2.3185635,0.36396143,0.020418714459441017,1.0,0.9726027397260274
RBIS,2.313736,0.37806094,0.020682215737217964,1.0,0.8767123287671232
SHTN1,2.3108466,0.6375532,0.02084133130793873,1.0,0.5205479452054794
