names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CCT3,3.20852,0.37609202,0.0013342006329895328,1.0,0.9611650485436893
HMGB1,3.1706884,0.26659516,0.0015207814836087096,1.0,1.0
CHMP2A,2.962861,0.409937,0.0030479412605479944,1.0,0.8640776699029126
PA2G4,2.927609,0.27912167,0.003415793098073431,1.0,0.970873786407767
UQCRC2,2.9122245,0.52185684,0.003588644842781107,1.0,0.6504854368932039
DNAJB6,2.7759147,0.31966174,0.005504665876145382,1.0,0.8252427184466019
MAN2A1,2.762864,0.70869,0.0057296632873078245,1.0,0.4563106796116505
HMGXB3,2.750888,0.8118323,0.005943393460558952,1.0,0.4368932038834951
ZC3H15,2.6840997,0.36492428,0.0072725429965744956,1.0,0.7864077669902912
RIPOR1,2.6784801,0.78171057,0.007395710780399641,1.0,0.4368932038834951
SLIRP,2.6741197,0.30853084,0.0074925693827585715,1.0,0.8932038834951457
MRPS18C,2.667149,0.55569935,0.007649771012888335,1.0,0.5728155339805825
STMN1,2.6428905,0.45042983,0.008220164988576549,1.0,0.7184466019417476
C18orf32,2.6020803,0.41092983,0.00926601605401968,1.0,0.6990291262135923
FNBP1L,2.6014047,0.6631191,0.009284285345279426,1.0,0.47572815533980584
ARPC4,2.5843928,0.4382259,0.00975506148161077,1.0,0.6699029126213593
SCNM1,2.5790803,0.9418848,0.00990637095174255,1.0,0.34951456310679613
ARL2,2.5677803,0.29295507,0.01023520463304591,1.0,0.8543689320388349
SNHG5,2.5654156,0.20068033,0.010305226340278001,1.0,0.9902912621359223
SNX5,2.5645866,0.43192348,0.010329880179162157,1.0,0.6601941747572816
SDHAF4,2.518464,0.93757015,0.011786788767247595,1.0,0.3300970873786408
LYRM2,2.4902442,0.4914235,0.012765539818258042,1.0,0.5631067961165048
ETFB,2.4700387,0.28738084,0.013509846394616208,1.0,0.912621359223301
TFDP2,2.4508464,0.88503635,0.014252070620340574,1.0,0.3300970873786408
MICOS13,2.4291365,0.3057997,0.015134836267419096,1.0,0.941747572815534
SSB,2.428676,0.37602535,0.015154075831642704,1.0,0.7184466019417476
TCEAL4,2.4001179,0.30341804,0.016389788971352456,1.0,0.8543689320388349
EIF4B,2.3978455,0.29926577,0.016491814218567605,1.0,0.8640776699029126
CCDC59,2.3753986,0.58158505,0.01753001095208009,1.0,0.5048543689320388
GDI2,2.3749073,0.32040587,0.017553361586951814,1.0,0.8349514563106796
C1orf43,2.3532891,0.40478313,0.01860815319097872,1.0,0.6699029126213593
TMED4,2.3381197,0.4239834,0.019381033996067717,1.0,0.5728155339805825
CBX1,2.3099918,0.4000379,0.020888604495724664,1.0,0.6019417475728155
UBC,2.3083644,0.1806991,0.020978878687100473,1.0,0.9611650485436893
PRNP,2.284904,0.3656152,0.02231846025929274,1.0,0.6990291262135923
CMSS1,2.2554862,0.42465904,0.024102821178196263,1.0,0.6116504854368932
DUSP14,2.2375531,0.95109004,0.02525020618350488,1.0,0.3106796116504854
TAF10,2.2343903,0.30351374,0.025457400438260575,1.0,0.7864077669902912
MTLN,2.2263143,0.30565673,0.025993135684425385,1.0,0.7766990291262136
DNPH1,2.22048,0.36860433,0.026386207890143103,1.0,0.6796116504854369
MICA,2.220265,0.34690985,0.02640078706739458,1.0,0.6699029126213593
SET,2.2108378,0.14109297,0.027047071223431723,1.0,0.9805825242718447
ARL8B,2.204297,0.63505864,0.027503454522829627,1.0,0.39805825242718446
ARL6IP4,2.202209,0.168823,0.0276505463913779,1.0,0.8640776699029126
SUPT16H,2.1820035,0.42666572,0.029109267877925536,1.0,0.6310679611650486
SARS,2.1445713,0.25275046,0.03198713769035229,1.0,0.8446601941747572
TRMT6,2.131797,1.0024328,0.033023533859873076,1.0,0.2912621359223301
GLTP,2.1292176,0.37074372,0.03323625838470156,1.0,0.6116504854368932
SERPINB8,2.1273751,0.9256668,0.03338892144273515,1.0,0.2621359223300971
CFAP97,2.126976,0.35606194,0.03342207739922417,1.0,0.6601941747572816
C15orf61,2.118685,0.73284745,0.034117095811068504,1.0,0.3883495145631068
GAPDH,2.1101177,0.09873149,0.03484822261113125,1.0,1.0
HIGD2A,2.1013045,0.29717472,0.03561423214284841,1.0,0.7961165048543689
PRPS2,2.096637,1.3273529,0.03602571001014769,1.0,0.21359223300970873
STRAP,2.084784,0.31916043,0.03708890383045007,1.0,0.6796116504854369
PPIA,2.0845077,0.113144256,0.037114008687354184,1.0,1.0
LMNA,2.0752954,0.2140254,0.037959155099838826,1.0,1.0
NIPSNAP2,2.0619993,0.4403461,0.039207809697238485,1.0,0.5825242718446602
POLR3GL,2.061293,0.3757866,0.039275099788579765,1.0,0.5728155339805825
DDX27,2.058437,0.4702581,0.03954818655418024,1.0,0.49514563106796117
PYURF,2.0541382,0.30180767,0.039962323397465846,1.0,0.8058252427184466
TAX1BP3,2.051098,0.39346957,0.04025739307188403,1.0,0.5728155339805825
TRAP1,2.0506682,0.5658073,0.040299268846867436,1.0,0.46601941747572817
TAOK3,2.0481503,0.3478979,0.04054528373503173,1.0,0.6310679611650486
NUDT16L1,2.0335643,0.7786785,0.04199555341183898,1.0,0.32038834951456313
NONO,2.0334413,0.32882145,0.042007950214218936,1.0,0.7184466019417476
NEMF,2.0192547,0.4892982,0.043460766013020416,1.0,0.44660194174757284
NPM1,2.01732,0.14612664,0.043662128038372834,1.0,1.0
MRPL43,2.0055592,0.39124376,0.04490330951699252,1.0,0.5728155339805825
COPS5,2.0016592,0.40730336,0.04532139049285129,1.0,0.5339805825242718
WAC-AS1,1.9960091,0.6962825,0.045932931310927815,1.0,0.3300970873786408
SNRPE,1.9935832,0.1853144,0.04619761982604889,1.0,0.8349514563106796
HTATIP2,1.9882709,0.37976158,0.04678174240248695,1.0,0.5436893203883495
NAP1L1,1.9820065,0.15155791,0.04747850725259056,1.0,1.0
IL13RA1,1.9819452,0.38119668,0.04748538123808708,1.0,0.5533980582524272
RBMX2,1.9787209,0.55826783,0.04784744242799239,1.0,0.42718446601941745
SERPINE1,1.9770013,0.16022795,0.04804148855099308,1.0,1.0
VAMP3,1.9760187,0.3798106,0.048152668635644595,1.0,0.6116504854368932
SNRNP70,1.9715967,0.4488658,0.04865565762422975,1.0,0.5533980582524272
EMC6,1.9672056,0.33780333,0.049159512080709754,1.0,0.6310679611650486
GGCT,1.965271,0.37730247,0.049382875385335034,1.0,0.5922330097087378
GOLGA2,1.9569801,0.47619218,0.05034981342291999,1.0,0.49514563106796117
AFG3L2,1.9562738,0.37248734,0.05043291060876832,1.0,0.6019417475728155
PTPN2,1.9546463,0.59764886,0.05062483303388321,1.0,0.3786407766990291
TRIP10,1.9442058,0.5965286,0.05187063954484588,1.0,0.3592233009708738
FDX1,1.9243381,0.4158475,0.05431221401095185,1.0,0.5436893203883495
BLOC1S6,1.9212981,0.3880695,0.0546941362968821,1.0,0.5436893203883495
VAMP2,1.9141433,0.32760048,0.05560184983950686,1.0,0.6504854368932039
HNRNPF,1.9134678,0.2903272,0.05568820147629548,1.0,0.6504854368932039
COQ10B,1.9120859,0.52255553,0.05586517783429664,1.0,0.42718446601941745
NUDC,1.9085238,0.20728508,0.05632354487516925,1.0,0.883495145631068
SEC14L2,1.9067428,0.7420995,0.056553899949058344,1.0,0.30097087378640774
ZMAT2,1.8955039,0.40435824,0.05802567295338873,1.0,0.5436893203883495
HSPE1,1.8908671,0.2593551,0.058642086123974084,1.0,0.9805825242718447
RSL24D1,1.8798125,0.23359163,0.06013364190497307,1.0,0.883495145631068
RPS24,1.8784,0.051091515,0.06032647645835895,1.0,1.0
ANAPC16,1.8758205,0.23191403,0.060679931798051,1.0,0.7864077669902912
B4GAT1,1.8664241,0.6271426,0.06198206097383415,1.0,0.33980582524271846
PRPF8,1.8657792,0.33259565,0.06207226426029343,1.0,0.5533980582524272
SMC1A,1.8640289,0.43585977,0.06231764942257949,1.0,0.49514563106796117
TYMS,1.8612038,0.6384888,0.06271540218097581,1.0,0.33980582524271846
RPS19BP1,1.8603133,0.31059065,0.06284121506421031,1.0,0.6601941747572816
ATP5F1D,1.858348,0.1649626,0.06311960958860571,1.0,0.9805825242718447
GTF2H5,1.8545096,0.25704572,0.06366628886607281,1.0,0.7864077669902912
STX6,1.8528206,0.6873679,0.06390806379790756,1.0,0.3300970873786408
NT5C,1.849013,0.4741911,0.06445593897583386,1.0,0.5339805825242718
MRPL52,1.8421038,0.16260324,0.06545996508011787,1.0,0.8737864077669902
MBOAT7,1.838296,0.202909,0.06601878432504991,1.0,0.7378640776699029
BMS1,1.8371292,0.5448877,0.06619082026065072,1.0,0.4174757281553398
SLC35C2,1.829391,0.6029664,0.0673410588773677,1.0,0.3300970873786408
ARHGDIA,1.8286847,0.26735672,0.06744685517980248,1.0,0.7184466019417476
MCTS1,1.8281319,0.30564597,0.06752974765397483,1.0,0.6504854368932039
TPP2,1.824355,0.9211828,0.06809842553105508,1.0,0.2621359223300971
ERLEC1,1.8184899,0.2594346,0.06898929503721477,1.0,0.7475728155339806
TMEM14C,1.8157569,0.24045536,0.06940767055819667,1.0,0.7669902912621359
OS9,1.8141295,0.33256432,0.06965780382476444,1.0,0.5631067961165048
LINC00662,1.8138838,0.5277857,0.06969562399686273,1.0,0.39805825242718446
PRMT2,1.8130853,0.2625898,0.0698186559970671,1.0,0.7087378640776699
H2AFZ,1.8112429,0.23368447,0.07010325650073886,1.0,0.9223300970873787
C1orf35,1.8076502,0.5678751,0.07066096575400167,1.0,0.3592233009708738
TKT,1.8042109,0.14944391,0.07119824524299619,1.0,1.0
YTHDF3,1.8026756,0.6016889,0.0714391810301057,1.0,0.36893203883495146
DNAJC8,1.7860322,0.23403224,0.07409404771097686,1.0,0.8349514563106796
TRIOBP,1.7844354,0.24094601,0.07435294337070311,1.0,0.7475728155339806
RBMS2,1.7823166,0.4490108,0.07469761871986302,1.0,0.42718446601941745
CNBP,1.779338,0.2529926,0.07518436835158178,1.0,0.7961165048543689
CCT8,1.7755917,0.22720376,0.07580024254680294,1.0,0.8543689320388349
EIF3M,1.7726438,0.24609773,0.07628775368153766,1.0,0.7572815533980582
GSS,1.7724289,0.3647296,0.07632340117039588,1.0,0.49514563106796117
EIF6,1.771784,0.25896448,0.0764304251538294,1.0,0.8640776699029126
