names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SNX3,3.5459456,0.5116104,0.0003912069194899454,1.0,0.8947368421052632
COX17,3.516045,0.7695319,0.0004380263945814457,1.0,0.8947368421052632
TP53I11,3.3037422,1.4357789,0.0009540356732952012,1.0,0.5789473684210527
TRIP11,3.2710447,1.0903468,0.001071509218782827,1.0,0.631578947368421
HSPA1B,2.9355295,1.5668306,0.003329788562021018,1.0,0.47368421052631576
CAPNS1,2.9269867,0.5046187,0.0034226361701393203,1.0,0.868421052631579
SDHAF2,2.8022997,1.1387134,0.00507396932633524,1.0,0.5526315789473685
AKAP9,2.703598,0.76224864,0.006859323162997557,1.0,0.7894736842105263
PRELID1,2.6941905,0.4248359,0.007055982601328613,1.0,0.9473684210526315
CCDC88A,2.6932244,0.7856111,0.007076464037260333,1.0,0.6578947368421053
YBX3,2.6737993,0.38385382,0.007499733869233646,1.0,1.0
NOC2L,2.6488822,1.2111075,0.008075847564984277,1.0,0.5263157894736842
TOR1AIP2,2.6363728,0.86914784,0.008379760091626316,1.0,0.6578947368421053
CAPZA2,2.6218295,0.64126575,0.008745918842965512,1.0,0.9210526315789473
ZNF580,2.6187274,1.0441388,0.00882584123214332,1.0,0.5526315789473685
LUZP1,2.6177106,0.79200697,0.008852186972262071,1.0,0.7631578947368421
DHX30,2.6140492,0.78030217,0.008947614312268454,1.0,0.6578947368421053
AK1,2.574538,0.67123485,0.010037407133740992,1.0,0.7368421052631579
FGD5-AS1,2.5699105,1.0254753,0.010172478763599828,1.0,0.5526315789473685
MESD,2.5681815,0.58454484,0.010223358864536614,1.0,0.8157894736842105
CCND1,2.5480955,0.45279434,0.010831284250553233,1.0,0.9210526315789473
NOVA1,2.53701,0.8056765,0.011180379754385603,1.0,0.6842105263157895
PSMB5,2.536959,0.394639,0.011182003871585938,1.0,0.8421052631578947
CEMIP2,2.500448,1.0227199,0.01240363490130452,1.0,0.5
SDF4,2.480972,0.66686356,0.013102465631385595,1.0,0.7894736842105263
APBB2,2.4742596,0.971733,0.013351261034991662,1.0,0.5
FTL,2.4490883,0.2417311,0.014321828822584442,1.0,1.0
PSMB6,2.4354095,0.46269768,0.01487494585064984,1.0,0.8421052631578947
TCEAL4,2.4179676,0.4788815,0.015607467792415345,1.0,0.9210526315789473
TMSB10,2.404899,0.13400243,0.0161769427258912,1.0,1.0
IGFBP7,2.3787105,0.40722072,0.01737331171070008,1.0,0.9473684210526315
SSR3,2.3688962,0.41142485,0.0178412549040298,1.0,0.9736842105263158
HSPG2,2.3596413,0.36320278,0.018292607539363896,1.0,1.0
YY1,2.3336058,0.46517226,0.0196163793293798,1.0,0.7894736842105263
FBXO7,2.3303003,0.8400384,0.01979028209772917,1.0,0.5526315789473685
SELENON,2.3248594,0.8091134,0.020079485381994288,1.0,0.6052631578947368
MTPN,2.3032477,0.40250987,0.021264916412002486,1.0,0.9473684210526315
TAGLN,2.2984676,1.3430465,0.021535190210503024,1.0,0.42105263157894735
EIF5B,2.2927215,0.41244718,0.021864048225791955,1.0,0.9210526315789473
MYL12A,2.282958,0.24960989,0.022432841107916997,1.0,1.0
IFT57,2.2765508,0.5566271,0.02281306432201552,1.0,0.7894736842105263
PYURF,2.265567,0.57047415,0.023477909749521575,1.0,0.8157894736842105
SSR1,2.2475147,0.5092413,0.02460714330002603,1.0,0.7105263157894737
C9orf16,2.237904,0.35737714,0.02522731677776264,1.0,0.8947368421052632
HADHA,2.2369378,0.4227234,0.025290404265572258,1.0,0.8947368421052632
AGO2,2.2220385,0.7305182,0.02628070644338546,1.0,0.5789473684210527
DCPS,2.217767,1.0774667,0.02657072509142758,1.0,0.42105263157894735
VEPH1,2.2149193,0.6893998,0.02676560315035925,1.0,0.6842105263157895
PHLDA1,2.1960535,0.96508425,0.028088109037980875,1.0,0.5263157894736842
PABPN1,2.1822221,0.5912452,0.029093145953895394,1.0,0.7105263157894737
METTL5,2.1814594,0.6984216,0.029149460075965937,1.0,0.6842105263157895
S100A10,2.1678822,0.14018935,0.030167658851610313,1.0,1.0
UTRN,2.1575084,0.67844886,0.03096606746685243,1.0,0.7631578947368421
CFL1,2.1574576,0.12894167,0.030970025482980588,1.0,0.9736842105263158
PTDSS1,2.1465247,0.9918559,0.03183114444656288,1.0,0.47368421052631576
C8orf76,2.1409311,0.99718314,0.032279600191908446,1.0,0.42105263157894735
TMCO1,2.1379309,0.6052499,0.03252235839978972,1.0,0.8157894736842105
TSPO,2.1352866,0.27480504,0.032737609634911166,1.0,1.0
ACTN1,2.1326423,0.3626842,0.032954079667386185,1.0,0.8157894736842105
G3BP2,2.1268961,0.4738215,0.033428713525674864,1.0,0.6842105263157895
EIF4E2,2.1198277,0.5488858,0.03402056613703423,1.0,0.7631578947368421
IGFBP4,2.1160648,0.6544673,0.034339291003408545,1.0,0.631578947368421
PHF20L1,2.1134207,0.59159815,0.03456478325089221,1.0,0.6842105263157895
OST4,2.0985212,0.184832,0.03585912439157779,1.0,0.9473684210526315
TTC3,2.0981653,0.41203964,0.03589054604936025,1.0,0.9473684210526315
SPG7,2.0970974,0.89283025,0.03598495193450112,1.0,0.5
HSPH1,2.0965889,0.60058135,0.03602998148573508,1.0,0.6578947368421053
PGK1,2.0930803,0.43435496,0.036341996658765745,1.0,0.8157894736842105
PDXDC1,2.090792,0.8507082,0.03654672306828958,1.0,0.5
CMSS1,2.0852492,0.6399087,0.03704669243587679,1.0,0.6578947368421053
IARS2,2.0698922,0.54580694,0.03846244885726685,1.0,0.7894736842105263
AFDN,2.0657732,0.9613907,0.03884990204147946,1.0,0.47368421052631576
PIH1D1,2.0571795,0.8987392,0.03966897732646189,1.0,0.4473684210526316
ATP11C,2.050467,0.9414125,0.04031887999887186,1.0,0.47368421052631576
MRPS31,2.039839,0.74911934,0.041366350153610155,1.0,0.5
H2AFJ,2.0375,0.5469548,0.04159996289570029,1.0,0.7894736842105263
CTSD,2.033381,0.5994478,0.042014039831790535,1.0,0.6052631578947368
OGDH,2.0333302,0.80092925,0.042019173610194444,1.0,0.5
SEPTIN11,2.0285501,0.46570808,0.0425041247662367,1.0,0.8421052631578947
CDK12,2.0249398,0.8304056,0.04287354816527012,1.0,0.5
SERPINB6,2.0110574,0.31170255,0.044319389607636754,1.0,0.8157894736842105
COX16,2.0100405,0.5135334,0.044426910844139994,1.0,0.8157894736842105
NOSIP,2.0024636,0.73633355,0.04523489256708853,1.0,0.5526315789473685
PNISR,2.0008364,0.38434142,0.04541002533394829,1.0,0.8157894736842105
RABAC1,1.997531,0.37045762,0.04576752353632925,1.0,0.9473684210526315
REV3L,1.9864455,0.7877659,0.046983874992497475,1.0,0.47368421052631576
MSN,1.9832419,0.35496774,0.04734041382247704,1.0,0.9210526315789473
MT-ND6,1.9654949,0.54734594,0.04935698543167566,1.0,0.8157894736842105
PSMA6,1.9591385,0.5069178,0.05009656700208155,1.0,0.7105263157894737
ATN1,1.9578164,0.83413494,0.05025156144317693,1.0,0.47368421052631576
VAMP2,1.9478496,0.56454325,0.0514329637925847,1.0,0.631578947368421
PSMC3,1.9420017,0.5349394,0.052136892921081125,1.0,0.6578947368421053
JAK1,1.9397643,0.34803793,0.052408345184354284,1.0,0.9210526315789473
UBC,1.9352385,0.24477191,0.0529610324783528,1.0,0.9473684210526315
TRAM1,1.9301534,0.473734,0.053587831376967425,1.0,0.9210526315789473
SETD3,1.9270006,0.7617505,0.053979548634753995,1.0,0.5
MTHFR,1.9242039,1.128839,0.05432903744171998,1.0,0.39473684210526316
NQO1,1.9212545,0.3266955,0.054699632413574575,1.0,0.9736842105263158
EAPP,1.9196781,0.7872997,0.05489857207511264,1.0,0.5
NUP153,1.9194238,1.5942286,0.05493071554858083,1.0,0.2894736842105263
MTRNR2L8,1.8998462,0.49916098,0.05745330730775563,1.0,0.7105263157894737
CD99,1.8894217,0.18384992,0.058835342219680266,1.0,1.0
SHE,1.8874385,1.0779283,0.05910136644259912,1.0,0.42105263157894735
FADS1,1.8844383,0.43195605,0.059505710444085716,1.0,0.8421052631578947
FKBP5,1.8843366,0.8408209,0.05951945714126614,1.0,0.5263157894736842
TPGS1,1.8782853,0.94915676,0.060342140462195104,1.0,0.39473684210526316
SNRPD1,1.8747766,0.42210695,0.060823460790305484,1.0,0.9473684210526315
GUK1,1.8726408,0.28418875,0.061117992695709625,1.0,0.9210526315789473
CCDC32,1.8701491,1.068529,0.06146310529925529,1.0,0.3684210526315789
ARF3,1.8662845,0.5771247,0.062001572881952995,1.0,0.6842105263157895
RPS6KA4,1.8618096,1.795832,0.06262993250846105,1.0,0.2631578947368421
NPTN,1.8597755,0.8940982,0.0629172864897879,1.0,0.42105263157894735
