names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PSMA4,3.3857298,0.38605726,0.0007098923433702404,1.0,0.9052631578947369
TYW3,3.3052573,0.76823413,0.0009488921146715827,1.0,0.5473684210526316
CD9,3.2331042,0.33101243,0.0012245289769806397,1.0,1.0
AP1S2,3.0979168,0.43256393,0.0019488607816813101,1.0,0.8526315789473684
HMGCS1,3.0233958,0.4716939,0.0024995501933618544,1.0,0.8315789473684211
RPL4,2.9701848,0.18326183,0.0029762056724830298,1.0,1.0
LDLR,2.9578981,0.48428372,0.0030974455698831904,1.0,0.7684210526315789
ANXA5,2.766716,0.29367897,0.005662405837607011,1.0,0.9894736842105263
AP002387.2,2.7117453,0.768321,0.006693002433511201,1.0,0.4421052631578947
RPL23,2.6758444,0.09779075,0.007454121068351272,1.0,1.0
ITSN1,2.6657336,0.706959,0.007682056392276627,1.0,0.4842105263157895
PANK2,2.5847492,0.83552444,0.009744988042301407,1.0,0.3894736842105263
KRT18,2.5498085,0.22752763,0.010778213830756264,1.0,1.0
KIF13A,2.5141637,0.66535866,0.011931502325108008,1.0,0.49473684210526314
IPO5,2.477847,0.6191845,0.013217775484405362,1.0,0.5473684210526316
RPL15,2.4446342,0.085359484,0.014499909490139436,1.0,1.0
SNHG25,2.4406347,0.49421307,0.014661479100418037,1.0,0.6105263157894737
SZRD1,2.425724,0.6267201,0.015277882069638125,1.0,0.4842105263157895
LARP4,2.4242523,0.64692146,0.01533994871471795,1.0,0.4842105263157895
MTDH,2.4226522,0.2098533,0.015407664117467385,1.0,0.968421052631579
CAPZB,2.3841279,0.32765305,0.017119648475617255,1.0,0.8421052631578947
LMAN2,2.3768005,0.37205446,0.01746352335695967,1.0,0.7263157894736842
FAU,2.3642578,0.06128601,0.018066234632884936,1.0,0.9894736842105263
PSMD7,2.3476515,0.39662975,0.018892194096523464,1.0,0.8
MRPS10,2.3356204,0.5118943,0.01951102824120069,1.0,0.5473684210526316
RB1CC1,2.319654,0.4296575,0.02035960112482051,1.0,0.631578947368421
VAPA,2.3077831,0.28181764,0.021011201453131366,1.0,0.8421052631578947
ADGRG1,2.287017,0.5364133,0.022194825848674063,1.0,0.5368421052631579
PRMT1,2.2315342,0.36603737,0.02564575814626074,1.0,0.7052631578947368
SPATC1L,2.2197595,0.39425436,0.0264351038695734,1.0,0.631578947368421
CDCA7,2.2074087,1.2807829,0.02728552843041965,1.0,0.2631578947368421
NBL1,2.2061286,0.47956172,0.02737499065061705,1.0,0.5473684210526316
PLD3,2.1792831,0.39194283,0.029310635762986734,1.0,0.6736842105263158
FAM207A,2.160789,0.43073043,0.030711646232319065,1.0,0.5578947368421052
RPSA,2.150646,0.08185072,0.03150415945061348,1.0,1.0
TARS,2.1461024,0.3958062,0.031864815626653886,1.0,0.6842105263157895
TMEM156,2.127032,0.87793666,0.033417414529442656,1.0,0.3263157894736842
NGLY1,2.1221046,0.7170081,0.0338289566613217,1.0,0.3684210526315789
CYP51A1,2.1093698,0.31525952,0.03491267592770747,1.0,0.8421052631578947
