names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PGD,3.3502839,0.36704287,0.0008072876517526407,1.0,0.9767441860465116
VIM,3.1468632,0.09372471,0.001650321925125398,1.0,1.0
FHL1,2.8413618,0.45929372,0.004492132851277858,1.0,0.7325581395348837
SERP1,2.8300195,0.38971236,0.0046545177552083025,1.0,0.9186046511627907
ARL5A,2.738608,0.6275989,0.006169989777880458,1.0,0.5813953488372093
PRDX2,2.725482,0.28609794,0.006420770196971748,1.0,0.872093023255814
SCARA3,2.7109423,0.81632453,0.0067092320447078805,1.0,0.43023255813953487
XXYLT1,2.7083843,0.83490175,0.006761168290426219,1.0,0.45348837209302323
RPS4X,2.681459,0.09844022,0.0073301901726695005,1.0,1.0
PHPT1,2.653524,0.24276343,0.007965611626002407,1.0,0.9418604651162791
DARS,2.6400614,0.5461526,0.00828910337539428,1.0,0.6395348837209303
IL13RA2,2.6176124,0.35743672,0.008854734419306298,1.0,0.8372093023255814
COA8,2.5929756,0.47854075,0.00951495093485869,1.0,0.686046511627907
DDAH2,2.5842922,0.6080369,0.009757907816466328,1.0,0.5813953488372093
PABPN1,2.576955,0.4745185,0.009967490399923248,1.0,0.7906976744186046
COL6A1,2.4925442,0.54317594,0.012683154444126283,1.0,0.5697674418604651
PSMB5,2.454243,0.30589324,0.014118156894987077,1.0,0.8837209302325582
SEC11A,2.4250963,0.2981522,0.015304327729735445,1.0,0.9883720930232558
GNS,2.4201488,0.5206484,0.015514159676902693,1.0,0.6744186046511628
NME4,2.4157062,0.26759943,0.015704733330628853,1.0,0.8604651162790697
RPS14,2.4104893,0.0802449,0.01593113929787076,1.0,1.0
MT-ND5,2.409446,0.19117326,0.015976763339299437,1.0,1.0
GNL1,2.3979018,0.68132716,0.01648928982476295,1.0,0.4186046511627907
NKAP,2.3910022,0.6040937,0.0168024575000293,1.0,0.5348837209302325
PPP1R7,2.3823524,0.49465236,0.01720243008093648,1.0,0.6395348837209303
DCUN1D3,2.3566723,1.0574841,0.018439511057451497,1.0,0.32558139534883723
PDIA3,2.35435,0.27071497,0.018555131231554077,1.0,0.9883720930232558
PRRC2A,2.2960231,0.6270155,0.021674565346469006,1.0,0.47674418604651164
ZNF706,2.2879117,0.23600446,0.02214266005468188,1.0,0.872093023255814
MDM2,2.2776802,0.45307598,0.022745641664213088,1.0,0.6976744186046512
NPC2,2.2604144,0.25810775,0.02379555096581979,1.0,0.9069767441860465
COL4A5,2.2531781,0.531197,0.024247921560924507,1.0,0.5697674418604651
BMP1,2.2493749,0.7586256,0.024488654128710242,1.0,0.38372093023255816
CCT8,2.244663,0.33243087,0.0247897770125352,1.0,0.872093023255814
MMP24OS,2.2073715,0.40346536,0.02728812271919025,1.0,0.7674418604651163
SLC10A3,2.2073715,1.0048971,0.02728812271919025,1.0,0.29069767441860467
TMEM189,2.202525,0.46919823,0.027628256250684814,1.0,0.627906976744186
CEMIP2,2.2011113,0.608228,0.027728148078596252,1.0,0.43023255813953487
DHX9,2.1997313,0.59813124,0.027825961786374347,1.0,0.5
CSNK2B,2.1802106,0.36999604,0.029241862826484846,1.0,0.7093023255813954
SNHG16,2.1776862,0.32233852,0.029429404380583522,1.0,0.9534883720930233
NDUFB4,2.147126,0.2793742,0.03178325215581231,1.0,0.9418604651162791
RPL13,2.141943,0.060389306,0.03219807932390254,1.0,1.0
SHISA5,2.1289177,0.433248,0.03326106602022265,1.0,0.5930232558139535
HSD17B11,2.124475,0.6880352,0.033630438409490884,1.0,0.4069767441860465
PRCP,2.1132674,0.41878477,0.03457788673809255,1.0,0.6627906976744186
SNRNP200,2.101622,0.57207423,0.03558638307487027,1.0,0.5116279069767442
BRD3,2.085871,0.63177955,0.03699031946772582,1.0,0.4069767441860465
CUL4B,2.0636911,0.4501033,0.03904700792955771,1.0,0.686046511627907
GNG11,2.0626478,0.21967442,0.03914610228736532,1.0,0.9651162790697675
IGFBP7,2.0617054,0.22289354,0.039235790356558276,1.0,0.9418604651162791
JPX,2.0534933,0.35140818,0.040024768933356915,1.0,0.7093023255813954
PPP2R2A,2.052618,0.34035656,0.040109628453138785,1.0,0.7790697674418605
ACTN4,2.0447426,0.29233798,0.040880254485162,1.0,0.8604651162790697
PLK2,2.0414104,0.2882514,0.04121004574650095,1.0,0.8488372093023255
RPL22,2.0307076,0.106309436,0.0422846604670636,1.0,1.0
TP53I13,2.0273757,1.09173,0.042624011686003924,1.0,0.2558139534883721
GAPDH,2.0229666,0.090657935,0.04307658967672316,1.0,1.0
SHANK3,2.0213847,0.7886173,0.04323995190393743,1.0,0.32558139534883723
OS9,2.0177498,0.36057538,0.04361732193018483,1.0,0.6162790697674418
TSPO,2.0157979,0.17566904,0.04382112915017789,1.0,1.0
CTTN,2.0061047,0.3816908,0.044845085689575126,1.0,0.6395348837209303
PRPF38A,1.9985319,0.6562882,0.045659026539520454,1.0,0.37209302325581395
CUTA,1.9897138,0.30478057,0.046622466775234794,1.0,0.7790697674418605
MT-ND6,1.9840932,0.31598622,0.04724545288149212,1.0,0.8604651162790697
TRAM1,1.9777321,0.26375097,0.04795893960701693,1.0,0.8255813953488372
DDOST,1.956663,0.31651494,0.05038710111933685,1.0,0.6744186046511628
TATDN1,1.9551148,0.41309083,0.0505695208554815,1.0,0.5697674418604651
GLRX2,1.9550475,0.67702824,0.05057746468398689,1.0,0.3488372093023256
SRSF9,1.9539368,0.21646656,0.05070868887160569,1.0,0.9069767441860465
ISCU,1.9425272,0.33701575,0.05207330790847923,1.0,0.7093023255813954
RALBP1,1.9410126,0.2651701,0.05225674041798046,1.0,0.7558139534883721
EIF4G3,1.9335409,0.41009468,0.053169600328043264,1.0,0.6046511627906976
PSME1,1.9187993,0.27561066,0.05500974073470743,1.0,0.9069767441860465
APEH,1.9093081,0.7236304,0.056222357120953276,1.0,0.37209302325581395
ARHGDIA,1.8997496,0.30598298,0.05746598544850748,1.0,0.7790697674418605
HSPG2,1.88834,0.16282208,0.058980318771471474,1.0,1.0
WWC3,1.8857821,0.7637864,0.05932432288850477,1.0,0.313953488372093
MAP1LC3A,1.867271,0.35866022,0.061863759881418644,1.0,0.6046511627906976
SNF8,1.8637034,0.34998512,0.06236337526527944,1.0,0.5930232558139535
CFAP54,1.8570057,0.80862355,0.06331034703794161,1.0,0.3023255813953488
PPP1R18,1.8524283,0.6116216,0.06396433484931027,1.0,0.4069767441860465
TRAPPC3,1.8520918,0.38003403,0.06401264157043264,1.0,0.627906976744186
ADAMTS7,1.8458654,1.1315521,0.06491176307716492,1.0,0.2441860465116279
MRPL38,1.8445864,0.4999243,0.0650977314136576,1.0,0.4186046511627907
BCL10,1.8444518,0.3835193,0.06511733256686024,1.0,0.5581395348837209
RC3H1,1.8351289,0.8557153,0.06648660018064158,1.0,0.3023255813953488
ITGAE,1.826782,0.53362113,0.06773255320984048,1.0,0.47674418604651164
CCDC12,1.8056793,0.50216216,0.07096845080635272,1.0,0.4418604651162791
SPARC,1.8030204,0.15952022,0.07138501003180962,1.0,0.9767441860465116
HNRNPAB,1.8023809,0.23217204,0.07148549352632837,1.0,0.8953488372093024
FAM234A,1.8000586,0.4734485,0.07185138251632675,1.0,0.4883720930232558
MTREX,1.7993854,0.6441245,0.07195772362047806,1.0,0.38372093023255816
KIF2A,1.7940677,0.44155976,0.07280235788476695,1.0,0.5232558139534884
DCAF13,1.7914425,0.39805475,0.0732223110947412,1.0,0.5697674418604651
PFN1,1.7872691,0.08695498,0.07389400677081266,1.0,0.9767441860465116
ABHD17C,1.7867643,0.8059662,0.07397560073155933,1.0,0.2558139534883721
LYL1,1.7864614,0.40040916,0.07402459244980698,1.0,0.5813953488372093
BMP6,1.7857882,0.6718966,0.07413355789156874,1.0,0.3372093023255814
NCBP2,1.776095,0.34940863,0.07571724611624905,1.0,0.6162790697674418
S100A13,1.7756575,0.17358601,0.07578937830125021,1.0,0.9418604651162791
TLCD3A,1.769734,1.0410525,0.07677146667985281,1.0,0.23255813953488372
LY6E,1.7653923,0.29321927,0.07749786149102822,1.0,0.7209302325581395
TEAD1,1.7635748,0.52339506,0.07780359155383729,1.0,0.4069767441860465
TBCB,1.7570118,0.3331983,0.07891580388936051,1.0,0.6627906976744186
AC007998.3,1.7491025,0.45074505,0.08027331144326193,1.0,0.5813953488372093
MCM6,1.7446598,1.4023741,0.0810441092638936,1.0,0.19767441860465115
ZNF622,1.7429097,0.5745399,0.08134940189039562,1.0,0.3372093023255814
SERBP1,1.7366831,0.13703312,0.08244311386826575,1.0,1.0
SELENOM,1.7343272,0.3305751,0.08286004703147547,1.0,0.6744186046511628
CCDC124,1.7339907,0.34185416,0.08291974815676983,1.0,0.6046511627906976
AP1G1,1.7292787,0.58137417,0.08375922954055205,1.0,0.37209302325581395
RHNO1,1.7222108,0.97288656,0.08503134118511949,1.0,0.2441860465116279
EXOSC6,1.7195183,0.6129875,0.08552004625854352,1.0,0.36046511627906974
EIF3I,1.7187105,0.2905469,0.08566709970093239,1.0,0.813953488372093
SF3B6,1.7117772,0.18996505,0.08693773033261895,1.0,0.8837209302325582
RSAD1,1.7077384,0.71349645,0.08768488816099718,1.0,0.313953488372093
FIS1,1.6997955,0.22544321,0.08916940586189254,1.0,0.8604651162790697
ARL2,1.698079,0.20783639,0.08949285806221353,1.0,0.8255813953488372
GATA2,1.693569,0.65951097,0.09034721684329987,1.0,0.3372093023255814
SCAMP3,1.6928285,0.46466357,0.09048810985120836,1.0,0.4418604651162791
POLD3,1.6908765,1.0433984,0.09086040248430186,1.0,0.22093023255813954
HDAC1,1.6876117,0.38300925,0.09148578175478067,1.0,0.5697674418604651
ASPH,1.6814862,0.106912784,0.0926685065565441,1.0,0.813953488372093
TNRC6B,1.681015,0.36864176,0.09275999153522346,1.0,0.6046511627906976
PSMB10,1.680914,0.6890392,0.09277960488936776,1.0,0.313953488372093
HMOX1,1.6773129,1.3078485,0.09348132747095692,1.0,0.18604651162790697
GSTP1,1.67563,0.137616,0.09381069174392771,1.0,1.0
CCDC90B,1.6747549,0.46083874,0.09398232861618994,1.0,0.4883720930232558
BST2,1.6729711,0.16696869,0.09433298359523103,1.0,0.9302325581395349
C19orf48,1.6712883,0.79976135,0.09466475084663666,1.0,0.26744186046511625
DDX39B,1.6691343,0.3230854,0.09509077664632165,1.0,0.5813953488372093
PCYT2,1.6671822,0.5516248,0.09547818786153676,1.0,0.37209302325581395
