names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SNHG29,3.1928718,0.20464964,0.0014086547980338923,1.0,1.0
BFAR,2.9243739,0.7335466,0.0034514986548738733,1.0,0.5714285714285714
CST3,2.91085,0.2560439,0.0036044698120432017,1.0,1.0
ERGIC3,2.8587344,0.4018707,0.004253346464799557,1.0,0.9142857142857143
SARAF,2.834003,0.5262523,0.004596891047800139,1.0,0.8714285714285714
RTN3,2.757156,0.68544376,0.005830655716715485,1.0,0.6857142857142857
NCKAP1,2.7519257,0.5232521,0.005924597982982455,1.0,0.7142857142857143
CHTOP,2.6861367,0.8586905,0.007228350656084757,1.0,0.4714285714285714
GORASP2,2.6142209,0.8548773,0.008943117440873982,1.0,0.4714285714285714
LIMA1,2.5712583,0.44662726,0.010132971002218464,1.0,0.7857142857142857
GNPNAT1,2.476068,0.73003453,0.01328382564022905,1.0,0.5
NUFIP2,2.47491,0.5811556,0.013326978227381386,1.0,0.6142857142857143
RDX,2.4647856,0.346026,0.013709522448540177,1.0,0.8285714285714286
UBE2W,2.4076266,0.7442196,0.016056590244085435,1.0,0.4714285714285714
PNPT1,2.4017987,0.7893134,0.016314682974739255,1.0,0.4857142857142857
MRPS6,2.3979506,0.6734668,0.016487081759508544,1.0,0.5
RAB5B,2.3666067,0.69390196,0.017951998747044392,1.0,0.5142857142857142
CMIP,2.3561463,0.46137545,0.01846564705760232,1.0,0.8142857142857143
EIF3I,2.3443034,0.39280668,0.019062653269880353,1.0,0.8714285714285714
LEMD2,2.3251383,1.541967,0.020064560571327605,1.0,0.2571428571428571
MTDH,2.3217387,0.239857,0.020247006884373853,1.0,0.9714285714285714
CLU,2.3146033,0.43015,0.020634656583538854,1.0,0.8142857142857143
FABP5,2.2893114,1.740874,0.022061271877613944,1.0,0.24285714285714285
TAF8,2.2880037,1.1002791,0.02213730351218118,1.0,0.3142857142857143
RPS14,2.2834833,0.09254972,0.0224019143347309,1.0,1.0
ATP6V0E1,2.2769828,0.33567238,0.022787247737898846,1.0,0.8571428571428571
NAA20,2.268652,0.46710208,0.02328950484550187,1.0,0.6857142857142857
RAB2A,2.2620394,0.29351655,0.023694971906528663,1.0,0.9142857142857143
RPS27A,2.2600968,0.093035825,0.023815250156064557,1.0,1.0
PCBP1,2.2507195,0.31951317,0.024403300560962033,1.0,0.8142857142857143
THSD4,2.2321897,0.4381393,0.025602430814824127,1.0,0.7
SELENOW,2.2271836,0.24455482,0.0259350075098326,1.0,1.0
MARCKS,2.206001,0.21795553,0.027383921225680286,1.0,0.9857142857142858
CHMP2A,2.1963253,0.36569893,0.028068676283896445,1.0,0.8
CSNK1D,2.1932619,0.6022712,0.02828852491969729,1.0,0.5
NME1,2.1143227,0.2494625,0.034487725930373074,1.0,0.8428571428571429
POGLUT1,2.1049082,0.9693727,0.035299304414692076,1.0,0.35714285714285715
RPL30,2.0836136,0.095175266,0.03719532731006973,1.0,1.0
CCNI,2.0759923,0.18680038,0.03789465224643973,1.0,0.9857142857142858
HIC1,2.0634773,0.80028355,0.039067310670401874,1.0,0.35714285714285715
MED28,2.0624685,0.6084204,0.039163151254041205,1.0,0.5
TIMP1,2.0501776,0.29861325,0.040347115579285886,1.0,0.9857142857142858
PYGB,2.0500653,0.8223219,0.04035804973118156,1.0,0.37142857142857144
NDUFA1,2.0201783,0.31758583,0.043364892493319894,1.0,0.9571428571428572
LYPLA1,2.0153964,0.3025805,0.0438631305549716,1.0,0.8428571428571429
MPV17,2.0124824,0.466922,0.0441691080871311,1.0,0.5714285714285714
WDR36,2.0057952,0.5612753,0.044878104057650615,1.0,0.5428571428571428
TSPO,2.0028813,0.1377435,0.04519004124339697,1.0,0.9857142857142858
PRDX2,1.995372,0.26108727,0.04600231387244063,1.0,0.9
TUSC1,1.9875641,0.9796355,0.04685992174802528,1.0,0.3
ADAM15,1.9819976,0.43877518,0.047479507016553624,1.0,0.6714285714285714
TFAM,1.9808768,0.6006231,0.04760508519731339,1.0,0.4857142857142857
TARSL2,1.9615624,0.81670743,0.04981345995520562,1.0,0.35714285714285715
