names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CFDP1,3.9002826,0.54493785,9.608045216267296e-05,1.0,0.9259259259259259
H2AFJ,3.3221533,0.56641674,0.0008932560112373733,1.0,0.8641975308641975
FGFR1,3.1127665,0.5494145,0.0018534252656062344,1.0,0.7160493827160493
KDM1A,3.0708199,0.5714472,0.002134718894486064,1.0,0.691358024691358
SORBS2,2.9480329,0.8250136,0.0031980305004190046,1.0,0.5308641975308642
PNRC2,2.886171,0.65256864,0.0038996022836761766,1.0,0.6419753086419753
CDK13,2.8550146,0.7427601,0.004303486019929199,1.0,0.5185185185185185
VTI1B,2.8420384,0.49344623,0.004482608477784663,1.0,0.7283950617283951
GLMP,2.7614758,0.960238,0.005754078985027626,1.0,0.38271604938271603
NRSN2,2.7404504,1.1508939,0.006135505301381189,1.0,0.345679012345679
FUBP1,2.7399645,0.6721417,0.006144580129752755,1.0,0.5185185185185185
TGM2,2.7322621,0.21303593,0.006290105534297185,1.0,1.0
SLC30A7,2.7162676,0.75032496,0.0066022519418292595,1.0,0.48148148148148145
SMDT1,2.7129717,0.42237112,0.006668282359169635,1.0,0.8395061728395061
ANP32A,2.6990933,0.483897,0.006952865339981708,1.0,0.7160493827160493
SDCCAG8,2.692085,0.5069126,0.007100685371944583,1.0,0.7160493827160493
FUS,2.6174552,0.42709118,0.00885881238747006,1.0,0.7407407407407407
JAM3,2.6140897,1.06126,0.008946554025608665,1.0,0.37037037037037035
TMEM219,2.6121469,0.41275066,0.008997561628215911,1.0,0.7407407407407407
URM1,2.6104467,0.87507427,0.009042406141263653,1.0,0.4074074074074074
ACTN1,2.6021893,0.3652158,0.00926307342750205,1.0,0.8641975308641975
CIRBP,2.6013565,0.46544707,0.009285590157266271,1.0,0.7654320987654321
BTF3L4,2.5912254,0.48092952,0.00956348158631687,1.0,0.691358024691358
PIK3C2A,2.5876865,0.4560926,0.00966228678315459,1.0,0.7283950617283951
GFPT1,2.5626018,0.7497187,0.010389113984591327,1.0,0.4691358024691358
FAM174C,2.5411253,0.4792592,0.011049631097168397,1.0,0.691358024691358
DDX5,2.5232918,0.25118643,0.011626185890875985,1.0,0.9876543209876543
NFATC2IP,2.519406,0.6925899,0.011755302713425573,1.0,0.5061728395061729
CENPN,2.4830105,0.9883815,0.013027723974036474,1.0,0.345679012345679
B4GAT1,2.4670506,0.7899428,0.013623108983416943,1.0,0.4074074074074074
WDR36,2.4124749,0.51491797,0.015844633305959213,1.0,0.6172839506172839
UBXN1,2.396723,0.41559923,0.01654242051073187,1.0,0.8271604938271605
PRRC2A,2.3966885,0.6552903,0.01654398681110921,1.0,0.48148148148148145
MORF4L1,2.3903391,0.23086756,0.01683282181955341,1.0,0.9753086419753086
FCGRT,2.3862798,0.68563515,0.017019798093474557,1.0,0.4567901234567901
ZNF195,2.3829837,1.1797311,0.017172954602079266,1.0,0.2962962962962963
LUC7L3,2.379861,0.40348828,0.01731916414107515,1.0,0.7530864197530864
CUL4B,2.372922,0.4733716,0.01764798851651955,1.0,0.7407407407407407
PTOV1,2.37202,0.5278253,0.017691135087471666,1.0,0.5308641975308642
IGF2BP2,2.3505435,0.42795092,0.018746015895712315,1.0,0.7530864197530864
SMIM30,2.337845,0.4954484,0.019395290508106622,1.0,0.5679012345679012
TM9SF1,2.3251464,0.5723756,0.02006412893540204,1.0,0.49382716049382713
SHARPIN,2.3227525,0.5503967,0.02019245219014259,1.0,0.5308641975308642
OPTN,2.3177216,0.43056563,0.020464452681616726,1.0,0.6296296296296297
FAM200B,2.3126907,0.51173,0.02073964327295087,1.0,0.5679012345679012
ROCK1,2.3013108,0.42714173,0.02137407277728239,1.0,0.6790123456790124
KRT18,2.2776833,0.22061776,0.02274546039074268,1.0,1.0
FGFR1OP2,2.2675867,0.59882414,0.023354401520735615,1.0,0.5432098765432098
ACSL4,2.2651927,0.3768082,0.02350084823318802,1.0,0.7530864197530864
BNIP3L,2.253223,0.44085005,0.024245096261047844,1.0,0.6419753086419753
ANAPC11,2.248227,0.2941965,0.024561731958584108,1.0,0.9506172839506173
RECQL,2.2336547,0.48491758,0.025505799880803454,1.0,0.5925925925925926
TPP1,2.228832,0.5268113,0.025825080309850694,1.0,0.5802469135802469
TUFM,2.2259176,0.33593675,0.02601969747634799,1.0,0.9012345679012346
SNX6,2.2230725,0.28640273,0.026210902604776837,1.0,0.8271604938271605
YARS,2.216411,0.53090346,0.026663358913852818,1.0,0.5308641975308642
NOC2L,2.215405,0.5881354,0.02673228173562868,1.0,0.4444444444444444
ATG5,2.2015963,0.82700855,0.027693845614507006,1.0,0.345679012345679
TAF1D,2.1966348,0.3061742,0.028046542751536056,1.0,0.8888888888888888
FAM120A,2.1929224,0.32144687,0.028312975050602922,1.0,0.8024691358024691
PRMT1,2.1806402,0.37322614,0.029210041671796073,1.0,0.8148148148148148
VMA21,2.1794953,0.54133826,0.02929489937387486,1.0,0.5802469135802469
GRPEL1,2.1717582,0.4202831,0.02987391005171706,1.0,0.6172839506172839
COX11,2.166311,0.7363518,0.030287431960115005,1.0,0.38271604938271603
DNAJB4,2.1577759,0.4591683,0.030945259201678028,1.0,0.6296296296296297
TCP1,2.1521552,0.42389542,0.03138512882928982,1.0,0.691358024691358
HIKESHI,2.1520858,0.43128088,0.03139059266639596,1.0,0.6419753086419753
MTRNR2L10,2.1498306,0.67976403,0.03156861213023356,1.0,0.38271604938271603
PDCD6IP,2.146153,0.40832695,0.03186077818093856,1.0,0.691358024691358
YTHDC1,2.1460488,0.5046556,0.03186908065304529,1.0,0.5432098765432098
DTX3L,2.1374445,1.2221196,0.03256186312943251,1.0,0.25925925925925924
HAUS6,2.134183,1.015688,0.0328278007593255,1.0,0.2839506172839506
LRRFIP1,2.1308522,0.32057297,0.03310131388740393,1.0,0.8518518518518519
MRPL15,2.1303318,0.45288602,0.033144226017579805,1.0,0.6049382716049383
CTTN,2.1244683,0.43933895,0.03363100187730757,1.0,0.6790123456790124
GNPDA2,2.124052,0.8197289,0.033665797153775746,1.0,0.3333333333333333
FASN,2.1226988,0.3671153,0.033779094516771135,1.0,0.7530864197530864
DGKA,2.1163497,0.63393074,0.03431508483717571,1.0,0.4074074074074074
ZSCAN16-AS1,2.1106596,0.717089,0.034801584332968996,1.0,0.37037037037037035
