names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
GATAD2A,3.7844653,1.0476482,0.0001540393632341179,1.0,0.7021276595744681
MMP24OS,3.0945034,0.64441323,0.0019714265347486057,1.0,0.8723404255319149
VMP1,2.9927132,0.5880306,0.002765094042006095,1.0,0.8936170212765957
ARHGDIA,2.875618,0.5707612,0.004032373725357362,1.0,0.8297872340425532
RAD50,2.852455,0.8484625,0.004338297997908009,1.0,0.6382978723404256
NDUFB7,2.8091893,0.42896128,0.004966641470818773,1.0,0.9574468085106383
AGPAT4,2.7701273,1.0014849,0.005603440237020505,1.0,0.5106382978723404
NT5E,2.7239835,0.6051567,0.006449971794635988,1.0,0.7872340425531915
MUS81,2.7076278,1.521288,0.006776599772015441,1.0,0.3617021276595745
ELOA,2.6736825,1.3294293,0.007502346562244661,1.0,0.40425531914893614
PRKAR2A,2.6535802,0.6209346,0.007964283948917489,1.0,0.7872340425531915
TPR,2.6464074,0.49041104,0.008135177871086802,1.0,0.7659574468085106
MIB1,2.6110458,0.7594431,0.009026580206258747,1.0,0.6170212765957447
EIF4A2,2.5995784,0.4687366,0.009333834865866092,1.0,0.9361702127659575
KLF2,2.5945985,0.8521425,0.009470145638383554,1.0,0.5957446808510638
HP1BP3,2.5815778,0.55305845,0.009834981315473628,1.0,0.8936170212765957
VTI1B,2.5527039,0.67746913,0.010689036231496604,1.0,0.723404255319149
RBMX,2.5502367,0.6667287,0.01076498075687546,1.0,0.723404255319149
TJP1,2.5282156,0.6013968,0.011464390864988828,1.0,0.7659574468085106
MECOM,2.5055094,0.955006,0.012227517587762164,1.0,0.46808510638297873
RNH1,2.4935393,0.5259606,0.012647655372139665,1.0,0.851063829787234
ZNF106,2.4891078,0.5381105,0.012806414247445752,1.0,0.8085106382978723
EEF1G,2.4840822,0.22170551,0.012988581707640936,1.0,1.0
RNF168,2.4374816,0.86510164,0.014789963321107913,1.0,0.48936170212765956
IMMT,2.4365222,0.60113925,0.01482925650961372,1.0,0.7021276595744681
SNRPD3,2.4356086,0.7304375,0.014866764088203007,1.0,0.5957446808510638
SAR1B,2.4243696,0.758441,0.015334990433046014,1.0,0.574468085106383
BBX,2.365525,0.572474,0.01800452809659153,1.0,0.6808510638297872
SLC39A10,2.3590374,0.5928079,0.018322405778146793,1.0,0.7021276595744681
SMU1,2.3582609,0.8859244,0.01836078892478712,1.0,0.5106382978723404
CALCOCO2,2.3551085,0.6139632,0.0185173028706906,1.0,0.7021276595744681
NR2F2,2.3548343,0.39833742,0.018530967795865917,1.0,0.9361702127659575
DCK,2.3509965,1.6733721,0.018723205361504045,1.0,0.2978723404255319
NRDC,2.3318539,0.47862667,0.019708382265763272,1.0,0.8085106382978723
RBM17,2.31431,0.5980027,0.02065071827273018,1.0,0.7021276595744681
GMPS,2.3022032,0.8807924,0.021323721327878742,1.0,0.5106382978723404
SLIRP,2.2859843,0.38811532,0.022255177787659657,1.0,0.9148936170212766
PIK3C2A,2.2792227,0.5732385,0.022653833782623305,1.0,0.6808510638297872
P4HTM,2.2547345,0.97496855,0.02414999737152405,1.0,0.425531914893617
YWHAQ,2.2541406,0.3904267,0.024187324595939724,1.0,0.9361702127659575
GLRX5,2.2477446,0.5347247,0.024592490294465055,1.0,0.7659574468085106
HES1,2.2402062,0.8722375,0.025077544362581472,1.0,0.46808510638297873
ABRACL,2.234541,0.45359626,0.02544750055949209,1.0,0.7659574468085106
RNPEP,2.2298808,0.81945884,0.025755350193193846,1.0,0.5106382978723404
TCEAL4,2.219921,0.4085787,0.02642411800040891,1.0,0.9148936170212766
HEBP1,2.2129767,0.5800217,0.02689924550048915,1.0,0.5957446808510638
BAD,2.2106924,0.6710507,0.027057141331581245,1.0,0.6170212765957447
PTEN,2.2099159,0.6211184,0.02711100785332436,1.0,0.6382978723404256
HIC1,2.199088,0.9509408,0.02787166487723471,1.0,0.40425531914893614
PNISR,2.1983113,0.4260766,0.027926927190863298,1.0,0.8085106382978723
DIMT1,2.1946564,0.79414135,0.02818825509438681,1.0,0.48936170212765956
SH3BGRL3,2.1898594,0.1821197,0.028534444023271325,1.0,1.0
CHD3,2.182778,0.58578265,0.029052175374432776,1.0,0.6595744680851063
C5orf24,2.1740518,0.5418229,0.02970125655798184,1.0,0.6595744680851063
SLC52A2,2.1603456,0.80180365,0.030745924474018606,1.0,0.46808510638297873
UBXN8,2.1526701,1.1586158,0.03134460469759933,1.0,0.3404255319148936
WDFY1,2.151391,0.7011321,0.031445350923947284,1.0,0.5106382978723404
HLA-C,2.1327052,0.26939562,0.03294892505031298,1.0,0.9787234042553191
GSTM3,2.117674,0.94462335,0.034202673687380114,1.0,0.40425531914893614
RNF6,2.1142933,1.0438328,0.034490222041129066,1.0,0.3829787234042553
PLAT,2.112283,0.36994007,0.03466217389981273,1.0,0.9787234042553191
COA3,2.1118262,0.60362756,0.03470135582403601,1.0,0.6382978723404256
MAP4K5,2.107349,0.8330823,0.035087344618831076,1.0,0.46808510638297873
DLD,2.1004045,0.82030654,0.035693269859932174,1.0,0.44680851063829785
SLC35A1,2.089851,1.239261,0.03663119603119491,1.0,0.3191489361702128
NIFK,2.087064,0.5314009,0.036882349849432026,1.0,0.6382978723404256
TAF10,2.0853279,0.37313637,0.03703954651731196,1.0,0.8297872340425532
RRAGC,2.0822668,0.909666,0.037318098866200564,1.0,0.425531914893617
APBB2,2.0638552,0.8272583,0.03903145617236956,1.0,0.425531914893617
LLPH,2.06084,0.68178856,0.039318327952235166,1.0,0.5319148936170213
TMEM43,2.0602002,0.59569716,0.03937940914316229,1.0,0.574468085106383
DDIT4,2.0579615,0.53814596,0.03959382811135176,1.0,0.6382978723404256
FNBP1,2.056728,0.75916255,0.03971240021580062,1.0,0.46808510638297873
TSPAN14,2.0453062,0.42462566,0.040824672835583185,1.0,0.8297872340425532
SASH1,2.0390015,0.48577908,0.041449878443300774,1.0,0.723404255319149
MCRIP1,2.0350268,0.6155834,0.04184818215307201,1.0,0.5319148936170213
NTSR1,2.0272143,1.1175379,0.042640501152880324,1.0,0.3404255319148936
JOSD1,2.0143306,0.7761759,0.04397483251454152,1.0,0.425531914893617
ZBTB8OS,2.0055132,0.6826167,0.04490822425448414,1.0,0.5106382978723404
RBFOX2,2.0048277,0.5917115,0.04498146221811641,1.0,0.6170212765957447
MRPL33,2.0029547,0.41347635,0.04518216004318234,1.0,0.851063829787234
IFT57,1.9946853,0.44689643,0.046077212939894134,1.0,0.8085106382978723
PIN1,1.993406,0.5224481,0.046216999050835476,1.0,0.6595744680851063
SENP5,1.9926294,0.8781895,0.04630204327772677,1.0,0.40425531914893614
ZC3H13,1.9921725,0.4784489,0.04635213081320581,1.0,0.7659574468085106
SERP1,1.987147,0.31393823,0.046906110695304,1.0,0.8936170212765957
VAMP3,1.9863247,0.50436556,0.04699729019920279,1.0,0.6170212765957447
PEAK1,1.9860505,0.50390446,0.04702771648295882,1.0,0.6595744680851063
SARS,1.9845885,0.40515476,0.047190269994581605,1.0,0.851063829787234
BCL10,1.981756,0.5990547,0.04750656241936061,1.0,0.6170212765957447
GID8,1.9754969,0.61301106,0.04821179125654275,1.0,0.5319148936170213
PLEC,1.9746288,0.33108026,0.04831028769125535,1.0,0.8723404255319149
ADAM9,1.9729384,0.38384545,0.04850258165851754,1.0,0.9148936170212766
TMEM219,1.9679128,0.45409098,0.04907806639670879,1.0,0.7659574468085106
LINC00607,1.9659027,0.8490447,0.04930985945076181,1.0,0.44680851063829785
RTL8A,1.9572679,0.5480215,0.050315988311182884,1.0,0.5531914893617021
POLR1D,1.9564455,0.41860214,0.05041270110987705,1.0,0.7872340425531915
EFHD2,1.9532017,0.4698672,0.05079569972346847,1.0,0.723404255319149
CXorf38,1.9511458,1.0894606,0.05103970496021626,1.0,0.3404255319148936
ILF3,1.9474452,0.41507462,0.051481387854689094,1.0,0.851063829787234
SKIL,1.9454806,0.6423187,0.05171715850902921,1.0,0.5957446808510638
S100A16,1.9426024,0.22242579,0.05206422101077953,1.0,1.0
MTSS1,1.9420085,0.51473856,0.05213607902420008,1.0,0.5957446808510638
FAM234A,1.9386733,0.63790154,0.052541131752518414,1.0,0.5319148936170213
BRD7,1.9379423,0.3771601,0.052630261048566024,1.0,0.723404255319149
PIGP,1.9379423,0.8786731,0.052630261048566024,1.0,0.425531914893617
WDR18,1.9365717,0.65979165,0.05279771913806009,1.0,0.46808510638297873
DDX42,1.9329624,0.7369239,0.053240823528684006,1.0,0.44680851063829785
ISCA1,1.9262007,0.6819464,0.0540793051832896,1.0,0.46808510638297873
EIF4E2,1.9239165,0.4436767,0.05436505483635358,1.0,0.7021276595744681
TM6SF1,1.9238708,0.9479604,0.05437078265366437,1.0,0.3617021276595745
CNOT9,1.9233226,0.94126004,0.05443955574140027,1.0,0.3829787234042553
RREB1,1.921358,1.0576831,0.05468658884725158,1.0,0.3404255319148936
TTC5,1.9180229,1.2580895,0.05510811122532352,1.0,0.2978723404255319
GOLGA5,1.916241,1.1860913,0.05533441593427506,1.0,0.3191489361702128
RBBP7,1.913043,0.4863655,0.05574254651081229,1.0,0.6595744680851063
KCTD12,1.9113069,0.39367363,0.05596515127112876,1.0,0.8085106382978723
ZC3H15,1.9105302,0.4328238,0.056064977042794416,1.0,0.8085106382978723
DGAT1,1.9082459,0.7044483,0.056359442015277886,1.0,0.44680851063829785
ADIPOR1,1.9078804,0.6169622,0.05640667568291355,1.0,0.48936170212765956
IFITM2,1.9056875,0.18100238,0.05669077018938782,1.0,1.0
BLOC1S2,1.904865,0.722821,0.056797612167007516,1.0,0.5531914893617021
ERCC4,1.9039056,0.93381524,0.05692247285303392,1.0,0.3617021276595745
WWTR1,1.8972354,0.46221507,0.05779687919711128,1.0,0.7021276595744681
VPS13C,1.8958191,0.47265825,0.05798397064361938,1.0,0.7021276595744681
CDV3,1.8911134,0.37221336,0.058609214711122556,1.0,0.9361702127659575
WSB1,1.8874584,0.37120646,0.05909869557618572,1.0,0.7659574468085106
PRR3,1.8871386,1.3348656,0.05914168612132627,1.0,0.2765957446808511
LHFPL2,1.8785495,0.9749813,0.06030603442771089,1.0,0.3404255319148936
SLC35C2,1.8780469,1.0322006,0.060374745550955816,1.0,0.3617021276595745
STRBP,1.8747118,1.0105889,0.06083238366562752,1.0,0.3404255319148936
POFUT1,1.8740265,0.99132407,0.06092677396269726,1.0,0.3617021276595745
ATP2C1,1.8708284,0.6841507,0.06136886768387386,1.0,0.46808510638297873
BLOC1S1,1.8700061,0.3763983,0.06148297728331858,1.0,0.7872340425531915
MXRA7,1.8635185,0.31798556,0.062389348144753096,1.0,0.7446808510638298
ATG4A,1.8616453,0.9009007,0.06265309362292695,1.0,0.3617021276595745
CAVIN2,1.8579447,0.33029234,0.06317686202501024,1.0,0.851063829787234
LDHB,1.8560259,0.2426979,0.06344986716722369,1.0,1.0
TUBB,1.8557518,0.36863664,0.06348894735631011,1.0,0.9574468085106383
PSMA2,1.8543354,0.36835963,0.06369117860695066,1.0,0.9148936170212766
IVD,1.8513201,0.59716326,0.06412350812517384,1.0,0.5106382978723404
ZFAND6,1.8488531,0.42947635,0.06447903196136956,1.0,0.7021276595744681
ATM,1.8430965,0.46036124,0.06531491744332088,1.0,0.6595744680851063
TGFB1,1.8333652,0.44140488,0.06674827229083635,1.0,0.723404255319149
ISY1,1.8326342,0.6959824,0.06685697998781197,1.0,0.44680851063829785
MRPL47,1.8301215,0.5640957,0.06723177499278198,1.0,0.6170212765957447
TUFM,1.829025,0.3029566,0.067395862964089,1.0,0.8723404255319149
COX7A2,1.8283397,0.11819785,0.0674985851941249,1.0,0.9574468085106383
RERE,1.8250046,0.73680836,0.06800034064829026,1.0,0.46808510638297873
SDF2L1,1.8165525,0.5359414,0.06928566110730304,1.0,0.6382978723404256
RIDA,1.8164611,0.7973578,0.06929966473670143,1.0,0.40425531914893614
WDR43,1.8140397,0.56661594,0.06967160872636648,1.0,0.6170212765957447
SACS,1.8095168,0.5323656,0.07037076163833733,1.0,0.5531914893617021
YIPF6,1.8079177,0.6696895,0.07061930993507143,1.0,0.44680851063829785
ABCA3,1.8073238,1.2026615,0.07071181106811299,1.0,0.2978723404255319
NRBP2,1.805816,1.2939072,0.07094706798199212,1.0,0.2765957446808511
ZNF148,1.8028008,0.5014409,0.07141950714447962,1.0,0.5531914893617021
ADGRL4,1.8016586,0.4268883,0.07159913331778302,1.0,0.851063829787234
P4HA2,1.8000596,0.5243266,0.07185123170410376,1.0,0.6382978723404256
C1orf35,1.7870846,0.75351995,0.07392382791602034,1.0,0.40425531914893614
HOMER3,1.7852113,0.5878417,0.07422703863720294,1.0,0.48936170212765956
ACOT7,1.7796832,0.4089908,0.07512781045361897,1.0,0.8085106382978723
MDM4,1.77548,0.5804846,0.07581865148008132,1.0,0.46808510638297873
DNAJC7,1.7754344,0.4265556,0.07582618900350067,1.0,0.6382978723404256
LIMA1,1.7752516,0.39105815,0.07585634521174398,1.0,0.851063829787234
TNIP2,1.7716424,0.6236251,0.07645393809373643,1.0,0.48936170212765956
